last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
2025-07-04 09:15:00,0.3499999999999943,-0.8499999999999943,-1.1999999999999886,238800,-181.8000000000029,51600,-574200.0,N,304875.0,N,168.4,168.75,187.5,165.2,1.5100000000000193
2025-07-04 09:20:00,-4.799999999999983,-4.849999999999994,-4.800000000000011,-34725,-159.14999999999418,55500,214800.0,Y,182925.0,N,170.2,165.4,175.7,155.05,-5.199999999999989
2025-07-04 09:25:00,2.6499999999999773,2.9499999999999886,2.950000000000017,-43575,-172.7999999999738,55275,1002675.0,Y,116775.0,N,165.55,168.2,182.05,164.45,0.4399999999999977
2025-07-04 09:30:00,-7.349999999999994,-6.199999999999989,-6.25,-7575,-151.35000000000582,49050,46800.0,N,129150.0,N,168.35,161.0,174.05,156.25,-1.3999999999999773
2025-07-04 09:35:00,-10.099999999999994,-9.75,-9.75,117750,-141.29999999998836,48225,-120600.0,YES,101100.0,N,160.9,150.8,162.3,149.25,-2.4099999999999966
2025-07-04 09:40:00,3.5999999999999943,3.1500000000000057,3.200000000000017,54150,-126.49999999998545,51450,119850.0,Y,60450.0,N,150.35,153.95,157.25,144.35,-2.719999999999999
2025-07-04 09:45:00,-0.549999999999983,-0.8499999999999943,-0.8499999999999943,29775,-155.0500000000029,48300,6075.0,N,139500.0,YES,153.95,153.4,159.8,151.45,-1.0500000000000114
2025-07-04 09:50:00,9.099999999999994,9.0,9.0,-52275,-156.20000000001164,58800,70050.0,Y,-87525.0,Y,153.4,162.5,166.75,151.9,-0.4399999999999977
2025-07-04 09:55:00,4.800000000000011,4.450000000000017,4.450000000000017,-12900,-154.4499999999971,56250,68850.0,N,-8175.0,YES,161.35,166.15,166.25,151.0,-0.5400000000000205
2025-07-04 10:00:00,-5.5,-5.599999999999994,-5.450000000000017,34875,-156.75000000001455,56625,29700.0,N,137700.0,YES,164.9,159.4,169.55,155.7,-0.09999999999999432
2025-07-04 10:05:00,6.0,5.75,5.900000000000006,-99600,-150.64999999999418,52650,-12900.0,YES,-57000.0,Y,159.0,165.0,165.9,154.75,-0.15000000000000568
2025-07-04 10:10:00,-4.949999999999989,-4.900000000000006,-5.049999999999983,39375,-163.0,59025,-397500.0,YES,126975.0,YES,164.75,159.8,167.8,155.2,-0.12999999999999545
2025-07-04 10:15:00,-0.5500000000000114,-0.950000000000017,-0.9000000000000057,900,-139.29999999998836,52275,-24000.0,Y,38400.0,N,159.4,158.85,165.15,152.75,-0.21999999999999886
2025-07-04 10:20:00,5.299999999999983,5.599999999999994,5.599999999999994,42150,-146.4999999999709,52200,51375.0,Y,2175.0,Y,158.65,163.95,164.95,157.25,-0.030000000000001137
2025-07-04 10:25:00,-4.25,-4.099999999999994,-4.099999999999994,-18600,-140.04999999998836,49200,9150.0,N,-8100.0,Y,163.5,159.25,167.3,156.3,-0.03999999999999204
2025-07-04 10:30:00,-1.299999999999983,-0.9000000000000057,-1.0,-97200,-128.5,47850,-34050.0,YES,54150.0,YES,159.2,157.9,161.45,154.0,-0.18999999999999773
2025-07-04 10:35:00,6.349999999999994,5.849999999999994,6.149999999999977,-59700,-131.14999999999418,48900,39900.0,Y,-37575.0,Y,157.65,164.0,164.2,156.2,-0.060000000000002274
2025-07-04 10:40:00,-1.3499999999999943,-1.5,-1.6999999999999886,-30150,-143.8000000000029,52275,38250.0,N,20400.0,YES,163.15,161.8,164.85,157.85,-0.030000000000001137
2025-07-04 10:45:00,-5.550000000000011,-5.599999999999994,-5.800000000000011,-18600,-124.20000000001164,49950,-59175.0,YES,32550.0,N,161.55,156.0,165.2,156.0,-0.0800000000000125
2025-07-04 10:50:00,3.0999999999999943,2.9499999999999886,2.950000000000017,-153300,-132.29999999998836,52350,14700.0,Y,49725.0,N,156.25,159.35,161.7,154.05,-0.1799999999999784
2025-07-04 10:55:00,2.9499999999999886,2.75,2.799999999999983,-147450,-134.40000000000873,47475,6975.0,N,9825.0,N,159.3,162.25,163.5,157.7,-0.040000000000020464
2025-07-04 11:00:00,1.9499999999999886,1.450000000000017,1.3000000000000114,-750,-133.14999999999418,48150,77775.0,Y,11400.0,N,162.05,164.0,165.25,157.7,-0.009999999999990905
2025-07-04 11:05:00,-5.949999999999989,-5.949999999999989,-6.0,-132000,-135.15000000000873,51150,-19650.0,YES,58725.0,YES,164.5,158.55,164.5,158.2,-0.030000000000001137
2025-07-04 11:10:00,2.6999999999999886,2.3499999999999943,2.4000000000000057,-72150,-124.84999999999127,50100,12600.0,Y,-20850.0,Y,158.4,161.1,162.3,157.65,-0.05000000000001137
