last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
09-12-2024 09:15,24744.95,108925,1.55,14875,116425,N,97400,N,5.9,24730,24744.95,09-12-2024 09:15,114,-88800,-0.05,23025,424025,N,94975,N,0.59,09-12-2024 09:15,248.35,1775,-0.25,22275,612675,N,59025,N,-8.04
09-12-2024 09:20,24773.6,-28700,2.65,14725,38825,N,19250,N,6.09,24747.15,24773.6,09-12-2024 09:20,121.1,-44125,0.05,32100,-1090400,YES,57925,N,1.07,09-12-2024 09:20,233.4,12550,-0.1,26525,-528350,Y,21450,N,-5.73
09-12-2024 09:25,24738.8,-5800,0.15,12325,9300,N,-5925,Y,2.4,24775.65,24738.8,09-12-2024 09:25,107.3,61925,0.1,27925,-120400,Y,135500,YES,0.29,09-12-2024 09:25,249.1,-39450,-0.1,29675,30375,YES,7600,N,-3.53
09-12-2024 09:30,24726,-44775,0.2,13850,7350,N,64750,YES,-1.89,24738.8,24726,09-12-2024 09:30,101.45,14550,-0.05,25275,73800,Y,102225,N,-1.81,09-12-2024 09:30,259.4,-30300,0.15,29250,15275,N,-3300,YES,2.14
09-12-2024 09:35,24709.05,-18675,2.75,19875,2175,YES,3625,N,-7.9,24728.35,24709.05,09-12-2024 09:35,97.35,60225,-0.05,29125,46275,N,70100,N,-2.23,09-12-2024 09:35,267,-51425,-0.1,30900,-1875,Y,14750,N,3.71
09-12-2024 09:40,24710.05,-33025,-0.4,18275,12275,N,10450,N,-2.69,24709,24710.05,09-12-2024 09:40,97.65,31375,0,28275,62200,N,54800,N,-1.4,09-12-2024 09:40,269.4,3625,0.1,26225,-9825,Y,26375,N,1.57
09-12-2024 09:45,24715,-17050,2.75,13275,-46225,YES,8000,N,-0.57,24707.5,24715,09-12-2024 09:45,95.95,-118450,1.42E-14,32175,10875,N,58350,N,-0.85,09-12-2024 09:45,268.45,7750,0,28825,3225,N,-1900,YES,0.57
09-12-2024 09:50,24681.1,2850,-2.25,15575,2250,Y,6050,N,-8.27,24715,24681.1,09-12-2024 09:50,87.25,-37475,0.05,25900,-44350,YES,111725,YES,-2.36,09-12-2024 09:50,285.75,55150,-0.45,19950,29050,YES,-23725,YES,3.58
09-12-2024 09:55,24692,-7825,-0.6,15100,9250,N,43625,YES,-2.14,24681.3,24692,09-12-2024 09:55,89.95,47975,0,24900,150200,Y,41200,N,-1.08,09-12-2024 09:55,284,-1475,-0.3,23825,-10750,Y,5125,Y,1.72
09-12-2024 10:00,24670,68575,-0.65,17275,-56375,YES,-1425,Y,-6.99,24692,24670,09-12-2024 10:00,81.1,-77100,-0.05,31400,-87125,YES,84500,YES,-2.01,09-12-2024 10:00,297.45,-7775,-0.4,24175,-3700,N,-15825,YES,2.25
