last_traded_time,final_signal,result
02-06-2025 11:20,SELL,win
02-06-2025 12:30,BUY,exc_loss
02-06-2025 13:35,BUY,exc_loss
02-06-2025 13:45,SELL,exc_loss
02-06-2025 14:25,BUY,reverse
03-06-2025 09:40,SELL,im_loss
03-06-2025 11:10,SELL,exc_loss
04-06-2025 11:30,BUY,reverse
04-06-2025 14:30,BUY,open_win
10-06-2025 11:05,SELL,reverse
10-06-2025 14:00,SELL,win
11-06-2025 13:40,SELL,win
11-06-2025 14:30,SELL,reverse
13-06-2025 13:25,SELL,reverse
13-06-2025 13:45,SELL,exc_loss
20-06-2025 09:40,BUY,exc_loss
20-06-2025 13:25,BUY,exc_loss
20-06-2025 13:55,SELL,not_triggered
23-06-2025 09:40,SELL,exc_loss
23-06-2025 10:05,BUY,win
23-06-2025 12:45,SELL,not_triggered
23-06-2025 13:15,BUY,win
24-06-2025 09:50,BUY,win
25-06-2025 14:35,BUY,exc_loss
25-06-2025 14:50,BUY,reverse
25-06-2025 15:00,BUY,reverse
26-06-2025 11:45,BUY,win
26-06-2025 12:30,BUY,reverse
26-06-2025 13:15,BUY,exc_loss
26-06-2025 14:00,SELL,reverse
27-06-2025 09:30,BUY,reverse
27-06-2025 09:45,BUY,exc_loss
27-06-2025 10:10,BUY,exc_loss
27-06-2025 11:20,BUY,reverse
27-06-2025 12:30,SELL,reverse
30-06-2025 09:25,SELL,win
30-06-2025 10:55,SELL,im_loss
