last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low
31-07-2025 09:15:00,11.5,554100.0,623,483750.0,426600.0,7.900000000001455,9.099999999998545,57150.0,-4391.999999996275,116100.0,-225.0,N,34500.0,N,24677.19,24690.3,24701.8,24718.0,24625.1
31-07-2025 09:20:00,48.400000000001455,373350.0,762,367800.0,404700.0,45.29999999999927,47.0,-36900.0,-4522.79999999702,117450.0,34800.0,Y,27375.0,N,24680.61,24665.0,24713.4,24718.0,24655.1
31-07-2025 09:25:00,-25.0,306375.0,819,356625.0,397350.0,-25.5,-28.799999999999272,-40725.0,-4740.29999999702,125175.0,13425.0,N,41175.0,N,24681.44,24705.0,24680.0,24716.5,24680.0
31-07-2025 09:30:00,-0.19999999999708962,301050.0,773,378750.0,574650.0,3.099999999998545,-1.2000000000007276,-195900.0,-4211.599999997765,135000.0,-9225.0,YES,26550.0,N,24682.53,24699.6,24699.4,24716.5,24676.9
31-07-2025 09:35:00,-29.599999999998545,235125.0,641,401850.0,733200.0,-29.700000000000728,-28.799999999999272,-331350.0,-3721.10000000149,132900.0,525.0,N,29475.0,N,24682.94,24714.3,24684.7,24714.7,24676.9
31-07-2025 09:40:00,16.700000000000728,221850.0,590,362400.0,819300.0,17.200000000000728,19.799999999999272,-456900.0,-3423.099999997765,118575.0,27750.0,Y,1650.0,Y,24683.67,24680.0,24696.7,24705.0,24676.9
31-07-2025 09:45:00,-13.099999999998545,197850.0,576,282150.0,823200.0,-12.900000000001455,-13.0,-541050.0,-3255.199999999255,102750.0,17100.0,N,14700.0,N,24684.1,24698.1,24685.0,24702.0,24677.0
31-07-2025 09:50:00,-34.0,288075.0,674,270300.0,678075.0,-31.400000000001455,-31.099999999998545,-407775.0,-3852.2000000029802,106800.0,-38250.0,YES,12000.0,N,24681.64,24685.0,24651.0,24702.0,24646.0
31-07-2025 09:55:00,-30.599999999998545,299625.0,746,260250.0,635100.0,-29.899999999997817,-29.0,-374850.0,-3659.2999999970198,110025.0,-19575.0,N,-825.0,Y,24680.49,24700.0,24669.4,24700.0,24646.0
31-07-2025 10:00:00,-21.299999999999272,318000.0,779,285300.0,468000.0,-21.099999999998545,-21.200000000000728,-182700.0,-3828.5999999940395,112800.0,8775.0,Y,24975.0,YES,24679.49,24682.3,24661.0,24685.8,24646.0
31-07-2025 10:05:00,9.5,248850.0,746,297975.0,421875.0,13.30000000000291,11.899999999997817,-123900.0,-3000.9999999962747,106050.0,12750.0,N,17325.0,N,24678.78,24653.9,24663.4,24680.9,24649.0
31-07-2025 10:10:00,3.7000000000007276,214575.0,681,271425.0,339675.0,3.599999999998545,2.5,-68250.0,-2734.0,100200.0,34425.0,Y,-16050.0,Y,24678.32,24669.5,24673.2,24675.0,24651.7
31-07-2025 10:15:00,5.599999999998545,194325.0,623,234150.0,302475.0,2.0,2.2000000000007276,-68325.0,-2915.0,96225.0,-5175.0,YES,2775.0,N,24678.14,24660.4,24666.0,24681.8,24655.6
