last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume
15-07-2025 09:15,0.2,128175,164,99975,149700,-3.2,-4.9,-49725,-1531.6,40425,82725,N,113100,N,25198.09,25201.8,25202,25212,25182.9,15-07-2025 09:15,5.7,7025700,243,419700,348150,4.55,4.55,71550,-153.3,58650,-3608250,N,440550,N,123.6,129.3,132.25,120.4,,126.27,15-07-2025 09:15,-3.6,6394650,244,742950,459150,-2.3,-2.35,283800,-82.7,61500,-2593425,N,237750,N,71.7,68.1,76.1,63.45,70.64,15-07-2025 09:15,1752551100,11.98,12.03,11.73,11.98,0
15-07-2025 09:20,16.2,88500,167,200775,139050,12.1,12.2,61725,-1069.7,38625,-2850,YES,32775,N,25199.89,25197.4,25213.6,25215,25195,15-07-2025 09:20,2.25,6046650,342,601425,457725,3,2.95,143700,-158.95,65700,149025,Y,73875,N,129.6,131.85,134.3,123.05,,127.3,15-07-2025 09:20,-5.7,4959975,343,871050,734925,-6.45,-6.5,136125,-87.8,76650,2925,YES,176775,N,67.7,62,71.05,60.9,69.07,15-07-2025 09:20,1752551400,11.99,12.02,11.83,11.85,0
15-07-2025 09:25,0.4,63975,180,191400,114300,-0.1,-0.4,77100,-1254.1,40275,-10425,YES,6525,N,25200.41,25213,25213.4,25213.4,25190.6,15-07-2025 09:25,-1.35,4586400,360,621975,599100,-1.05,-1,22875,-157.7,68775,-11475,YES,176400,YES,131.2,129.85,131.2,120.95,,127.01,15-07-2025 09:25,-0.5,4373325,359,954300,855375,-0.3,-0.35,98925,-87.4,79125,89850,YES,192450,N,62.1,61.6,69.55,61.5,68.07,15-07-2025 09:25,1752551700,11.85,11.89,11.78,11.78,0
15-07-2025 09:30,-11,121350,173,145350,161100,-11.8,-11.1,-15750,-1294.3,48825,-14175,YES,18150,N,25199.89,25211,25200,25220,25186,15-07-2025 09:30,-9.2,7627425,360,675600,588300,-9.45,-9.45,87300,-153.8,67350,417000,Y,121575,N,129.6,120.4,135.15,114.25,,126,15-07-2025 09:30,1.25,6921825,360,967800,907725,1.45,1.45,60075,-90.35,76875,5475,N,42300,N,61.65,62.9,69.15,58.4,66.94,15-07-2025 09:30,1752552000,11.8,11.82,11.74,11.78,0
15-07-2025 09:35,-9.4,50475,153,72375,73950,-13.5,-15.6,-1575,-1279.1,33825,43725,Y,31800,N,25198.35,25197,25187.6,25199,25176.8,15-07-2025 09:35,-9.6,4588050,361,556575,443025,-10.3,-10.35,113550,-134.8,60525,112875,N,236775,YES,120,110.4,120.1,108.75,,124.04,15-07-2025 09:35,6.3,6319800,360,874200,848550,6.8,6.8,25650,-94.9,75300,126300,YES,61650,N,63.55,69.85,72.6,63.35,67.4,15-07-2025 09:35,1752552300,11.79,11.85,11.78,11.8,0
15-07-2025 09:40,-27.6,80325,171,80700,146250,-22.6,-20.5,-65550,-1493.4,38550,750,YES,16575,N,25194.2,25187.6,25160,25187.9,25155.7,15-07-2025 09:40,-8.8,6430800,361,583950,465075,-9.3,-9.4,118875,-120.25,69975,521775,Y,222975,N,110,101.2,111.35,97.9,,120.39,15-07-2025 09:40,11.6,11574375,361,805500,761175,12.05,12.05,44325,-104.4,75675,140625,N,-222075,YES,69.7,81.3,85,68.05,70.5,15-07-2025 09:40,1752552600,11.8,11.94,11.78,11.93,0
15-07-2025 09:45,8,47400,171,100050,151125,3,2.4,-51075,-1538.6,42750,21000,Y,-3600,Y,25191.95,25160,25168,25175.4,25152.1,15-07-2025 09:45,-1.45,6686925,360,626850,607050,-1.55,-1.55,19800,-120.3,66975,99825,N,72450,N,100.95,99.5,106.1,94.35,,117.41,15-07-2025 09:45,-2.9,8476125,360,706725,797850,-3.05,-3.15,-91125,-104.7,75900,-112725,Y,173175,Y,81.1,78.2,88.2,73.9,72.32,15-07-2025 09:45,1752552900,11.93,11.97,11.88,11.9,0
15-07-2025 09:50,0,45300,152,129375,118950,0.6,1.1,10425,-1747.6,42900,28950,N,58200,YES,25190.9,25165,25165,25185,25163.4,15-07-2025 09:50,-1.45,6363000,359,555975,603825,-2.05,-2.1,-47850,-130.1,66000,-1198275,YES,-2400,Y,100.25,98.8,109.65,97.7,,115.84,15-07-2025 09:50,-3.1,5076900,361,804750,826125,-2.3,-2.35,-21375,-94.3,74475,-15150,YES,-2325,YES,77.7,74.6,78.4,66.8,72.23,15-07-2025 09:50,1752553200,11.89,11.91,11.82,11.87,0
15-07-2025 09:55,-2.7,57750,155,100725,192600,-1.2,-2.5,-91875,-1829.2,50100,19500,N,9525,N,25189.09,25170.3,25167.6,25176.3,25160.6,15-07-2025 09:55,0.15,3516675,361,611175,660975,0.2,0.15,-49800,-120.45,67500,205050,Y,154575,YES,98.4,98.55,102.7,95.7,,114.74,15-07-2025 09:55,2.6,5515425,361,863400,828375,2.3,2.3,35025,-98.7,74850,96975,YES,76500,Y,74.65,77.25,79.55,72.4,72.6,15-07-2025 09:55,1752553500,11.86,11.9,11.85,11.89,0
15-07-2025 10:00,13.7,33750,145,179175,130200,14,13.6,48975,-1730.4,47700,17325,N,9000,N,25188.44,25167.6,25181.3,25184,25161.1,15-07-2025 10:00,7.35,3868725,330,617700,789375,7.35,7.4,-171675,-120.6,71625,72675,N,45675,N,98.8,106.15,107.35,97.9,,114,15-07-2025 10:00,-7.05,4079025,339,865575,907050,-6.95,-6.9,-41475,-96.65,73800,-97650,Y,148800,Y,77.05,70,79.25,67.65,72.61,15-07-2025 10:00,1752553800,11.89,11.9,11.84,11.86,0
15-07-2025 10:05,-0.3,37575,124,117600,142575,4,1.8,-24975,-1430.2,40200,12000,N,32250,YES,25188.27,25181.3,25181,25190,25175,15-07-2025 10:05,0.4,4440675,303,630225,979650,0.5,0.45,-349425,-125.7,66750,-40425,YES,-54750,Y,105.55,105.95,111,103.05,,113.58,15-07-2025 10:05,-0.1,2527575,303,783375,888150,0,0,-104775,-81.2,68475,33300,YES,-8850,YES,70.45,70.35,72.7,66.5,72.47,15-07-2025 10:05,1752554100,11.86,11.86,11.8,11.83,0
15-07-2025 10:10,3.5,33225,185,130200,117525,4.1,6.8,12675,-1656.9,36375,12150,N,7650,N,25188.15,25181,25184.5,25191.9,25180,15-07-2025 10:10,2.95,3473400,235,630675,712650,2.75,2.8,-81975,-127.85,68400,69225,Y,-4275,YES,106.55,109.5,111.75,105.05,,113.33,15-07-2025 10:10,-4.05,2867250,235,939825,987075,-4,-4,-47250,-78.85,74475,43575,N,129225,Y,69.75,65.7,71.1,64,72.24,15-07-2025 10:10,1752554400,11.84,11.85,11.78,11.8,0
15-07-2025 10:15,-10.7,69000,141,175950,98175,-8.8,-10.6,77775,-1677.7,46875,-3525,YES,32025,YES,25188.2,25190,25179.3,25195,25171.9,15-07-2025 10:15,-7.45,3861975,221,556875,654750,-7.2,-7.2,-97875,-123.8,61350,-129150,YES,95475,YES,109.3,101.85,111.9,100.2,,112.93,15-07-2025 10:15,4.65,3774300,208,912600,754050,4.3,4.4,158550,-79.75,78825,28950,N,-36150,YES,65.9,70.55,71.6,63.55,72.02,15-07-2025 10:15,1752554700,11.81,11.83,11.77,11.8,0
15-07-2025 10:20,-8,26025,97,92700,209925,-11,-10,-117225,-905.1,35475,-22950,YES,-1275,Y,25187.74,25176,25168,25181,25167.9,15-07-2025 10:20,-4.9,2948400,264,493500,686700,-5.25,-5.3,-193200,-109.95,62025,-40125,Y,47100,N,101.9,97,104.5,95.9,,112.39,15-07-2025 10:20,2.8,3475950,264,872025,775050,3,3.05,96975,-86.3,73950,16875,N,-65175,YES,70.6,73.4,74.4,68.5,72.01,15-07-2025 10:20,1752555000,11.81,11.81,11.76,11.78,0
15-07-2025 10:25,20,19050,75,67425,147525,18,18.6,-80100,-832.1,35175,9975,Y,-825,N,25187.55,25168,25188,25188.8,25167.4,15-07-2025 10:25,9.6,2928300,224,609450,1087800,9.75,9.75,-478350,-114.95,69375,149250,Y,-96900,Y,96.9,106.5,107.15,96.3,,112.03,15-07-2025 10:25,-8.7,3436575,217,769350,924225,-8.8,-8.8,-154875,-84.85,71775,-135075,Y,135075,Y,73.2,64.5,74,64.1,71.83,15-07-2025 10:25,1752555300,11.77,11.78,11.75,11.75,0
15-07-2025 10:30,17,111600,131,163125,191925,16.4,17,-28800,-738.3,35625,18900,N,-19650,Y,25188.74,25188,25205,25206,25185,15-07-2025 10:30,8.95,5597400,234,507225,878325,8.8,8.85,-371100,-127.55,67650,58425,N,-243150,Y,106,114.95,116.05,106,,112.06,15-07-2025 10:30,-5.75,4190850,229,1154325,984000,-5.85,-5.8,170325,-75.15,72300,3375,YES,57150,N,64.45,58.7,64.9,57.75,71.29,15-07-2025 10:30,1752555600,11.75,11.76,11.69,11.7,0
15-07-2025 10:35,14.7,70800,134,481800,168000,13,13.3,313800,-843.3,33525,62775,Y,-26475,Y,25190.26,25205,25219.7,25219.7,25201.8,15-07-2025 10:35,8.55,6200700,307,489900,589950,7.65,7.8,-100050,-132.9,65775,-63075,YES,-201525,YES,115.45,124,125.4,113.8,,112.59,15-07-2025 10:35,-6.1,6598800,298,868350,1896075,-5.85,-5.75,-1027725,-64.8,77175,-140250,Y,218625,Y,58.45,52.35,58.9,51.9,70.19,15-07-2025 10:35,1752555900,11.71,11.73,11.67,11.68,0
15-07-2025 10:40,2.3,121800,149,125250,141900,2.7,2.2,-16650,-1005.7,38700,-11475,YES,-86175,Y,25193.35,25219.7,25222,25227,25210.8,15-07-2025 10:40,2.75,4738425,252,573225,652425,1.95,1.9,-79200,-140.35,73050,-87600,YES,-23325,YES,124.25,127,129.9,120.65,,113.24,15-07-2025 10:40,-0.5,3069975,241,1302225,1101900,-0.3,-0.3,200325,-63.55,77625,94950,YES,68325,N,52.25,51.75,53.95,50.35,69.6,15-07-2025 10:40,1752556200,11.68,11.7,11.67,11.69,0
15-07-2025 10:45,6,52050,143,352500,98400,6.7,4.4,254100,-1005,49800,975,N,9000,YES,25194.54,25222,25228,25228,25217.3,15-07-2025 10:45,0.75,2815950,212,494325,572250,0.65,0.55,-77925,-138.9,66750,23100,Y,173100,YES,127.6,128.35,129,123,,113.64,15-07-2025 10:45,-1.15,2110350,207,1193625,1543650,-1.15,-1.15,-350025,-65.8,75300,30450,N,115275,Y,51.5,50.35,53,50.2,69.21,15-07-2025 10:45,1752556500,11.69,11.71,11.68,11.69,0
15-07-2025 10:50,24.6,161775,235,159225,168075,24.6,23.6,-8850,-1550,52275,12450,N,-35625,Y,25200.02,25226.5,25251.1,25257.2,25222.2,15-07-2025 10:50,17.35,8409000,308,393225,519675,17.5,17.45,-126450,-164.5,66675,1037700,Y,-695925,Y,128.25,145.6,150.85,126.55,,115.86,15-07-2025 10:50,-6.3,5587650,297,1453950,1380075,-6.25,-6.35,73875,-62.9,79275,-95775,Y,-41325,YES,50.25,43.95,51.1,42.65,67.93,15-07-2025 10:50,1752556800,11.7,11.75,11.68,11.74,0
15-07-2025 10:55,-0.8,74700,229,220200,122625,1.1,0,97575,-1288.7,50325,11475,N,88575,YES,25202.42,25255,25254.2,25256.3,25240.5,15-07-2025 10:55,-0.5,3122475,277,408375,400125,-0.6,-0.55,8250,-163.15,62700,-27300,YES,21075,YES,147.6,147.1,152.3,140.95,,116.76,15-07-2025 10:55,-0.25,2724525,275,1609725,1743525,-0.35,-0.3,-133800,-61.15,83250,116850,YES,89775,Y,43.5,43.25,45.25,42,67.3,15-07-2025 10:55,1752557100,11.73,11.75,11.72,11.74,0
15-07-2025 11:00,23,189750,275,220200,265125,23,23.3,-44925,-883.5,46275,10050,N,-9600,Y,25209.79,25255,25278,25281.1,25248.1,15-07-2025 11:00,20.35,5847375,277,379200,375975,20.1,20.2,3225,-189.5,64725,-91575,YES,-403575,Y,146.55,166.9,171.65,143.25,,119.05,15-07-2025 11:00,-4.8,5724150,266,1187475,1558200,-4.65,-4.7,-370725,-54.25,93750,-153375,Y,-4650,YES,42.95,38.15,44.25,37.45,65.87,15-07-2025 11:00,1752557400,11.74,11.82,11.7,11.8,0
