last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
2025-05-27 09:15:00,31.650000000000006,5423850.0,145,125550,141225,34.0,33.849999999999994,-15675,-220.75,51825,566775.0,N,163200.0,N,231.9,263.55,269.95,231.45,250.68
2025-05-27 09:20:00,56.64999999999998,4112775.0,165,104025,120000,57.05000000000001,57.35000000000002,-15975,-269.1499999999942,54750,-104925.0,Y,-102000.0,YES,266.1,322.75,324.3,266.1,271.34
2025-05-27 09:25:00,1.599999999999966,1386675.0,138,99750,102375,1.25,1.599999999999966,-2625,-259.3500000000058,50100,14625.0,YES,47025.0,Y,323.85,325.45,329.0,309.25,277.44
2025-05-27 09:30:00,-14.949999999999989,1867425.0,172,122775,111450,-12.899999999999977,-13.399999999999977,11325,-294.79999999998836,55725,-68175.0,Y,48450.0,N,325.95,311.0,343.25,291.2,282.93
2025-05-27 09:35:00,-11.649999999999977,828375.0,182,110250,91200,-11.399999999999977,-11.449999999999989,19050,-282.9499999999971,58125,-1500.0,YES,25200.0,N,309.7,298.05,321.25,290.05,284.2
2025-05-27 09:40:00,1.3999999999999773,825375.0,185,124125,112875,-1.349999999999966,-1.349999999999966,11250,-289.6000000000058,62475,20100.0,YES,6525.0,N,298.6,300.0,311.0,290.5,285.1
2025-05-27 09:45:00,23.850000000000023,1029450.0,191,181050,135975,23.899999999999977,23.599999999999966,45075,-284.94999999998254,53625,6900.0,N,-65925.0,YES,300.15,324.0,326.65,298.95,287.08
2025-05-27 09:50:00,-0.7999999999999545,748425.0,173,128775,113250,1.4500000000000455,1.3500000000000227,15525,-263.9000000000233,61500,2775.0,Y,11850.0,Y,324.65,323.85,333.05,314.3,288.72
2025-05-27 09:55:00,17.75,1037850.0,164,132975,109350,19.69999999999999,19.350000000000023,23625,-277.79999999998836,52800,29850.0,YES,-36825.0,YES,324.0,341.75,351.6,309.2,291.28
2025-05-27 10:00:00,-4.050000000000011,892875.0,156,101850,133875,-6.350000000000023,-5.850000000000023,-32025,-302.8499999999476,48750,17175.0,N,36225.0,Y,341.35,337.3,358.3,332.6,293.91
2025-05-27 10:05:00,-13.849999999999966,500775.0,167,90225,105000,-14.0,-14.150000000000034,-14775,-280.5000000000291,42375,-44100.0,Y,37425.0,N,337.2,323.35,339.65,318.05,294.82
