last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
29-08-2025 09:15,-6.3,20850,37,27825,9675,-0.8,-3,18150,-228.9,4800,-1875,N,-3075,N,24672.84,24656.5,24650.2,24656.8,24646,29-08-2025 09:15,-14.45,3049425,62,89775,74175,-16.25,-16.15,15600,-29.6,10575,338400,N,-225,N,151.6,137.15,151.6,132.95,153.58,29-08-2025 09:15,10.25,5693550,62,95400,98025,12.15,12.2,-2625,-20.65,9675,16950,N,94725,N,79.25,89.5,94.75,79.25,83.12
29-08-2025 09:20,31,230925,255,104700,164325,35.7,32,-59625,-1676.7,52425,-11325,YES,22725,YES,24671.05,24658,24689,24691.6,24640,29-08-2025 09:20,17.4,10484175,321,434025,548625,17.8,17.8,-114600,-165.75,58425,432150,Y,346275,YES,138.45,155.85,156,131.35,151.13,29-08-2025 09:20,-16.85,13082475,321,803025,788250,-17.05,-17.05,14775,-94.1,66300,293250,YES,604875,Y,87.9,71.05,97.2,70.75,82.68
29-08-2025 09:25,-18.6,78825,194,209100,179400,-18.8,-17,29700,-1948.9,60450,6825,N,27375,N,24671.71,24689,24670.4,24694.9,24666.7,29-08-2025 09:25,-7.75,5149725,304,497325,413100,-8.15,-8.25,84225,-166.95,60150,359100,N,392700,YES,155,147.25,158.5,144.95,150.94,29-08-2025 09:25,4.6,7478175,306,1100550,791625,4.9,4.9,308925,-93.35,68025,226650,N,170250,N,71.05,75.65,79.8,69.95,81.42
29-08-2025 09:30,-32.9,101475,197,128100,92400,-31.9,-32.3,35700,-1395.3,45225,-5475,YES,1125,Y,24669.49,24672.9,24640,24677.7,24640,29-08-2025 09:30,-22.55,7111875,295,614850,420225,-21.75,-21.7,194625,-145.65,57300,-250500,YES,188250,N,147.85,125.3,148.8,125.3,148.15,29-08-2025 09:30,17.9,15614775,296,891450,826800,17.3,17.4,64650,-103,68700,376950,YES,-127800,YES,75.2,93.1,93.1,74.65,82.6
29-08-2025 09:35,12.1,219975,226,460725,101250,15.7,18.4,359475,-1395.8,47550,9525,N,1425,N,24662.63,24643.1,24655.2,24666,24611,29-08-2025 09:35,7.15,12835050,300,518475,547350,7.4,7.4,-28875,-134.85,60075,416775,Y,126450,N,126,133.15,139.5,113.2,142.49,29-08-2025 09:35,-11.7,24692850,293,755250,1064700,-11.75,-11.85,-309450,-109.3,61125,-482700,Y,96300,Y,93,81.3,108.9,76.7,86.34
29-08-2025 09:40,-10,105675,171,261225,145125,-3.4,-7.4,116100,-1398.9,45825,-35475,YES,19650,N,24662.67,24660,24650,24673.1,24646,29-08-2025 09:40,-7.7,7912875,273,559575,680025,-7.35,-7.35,-120450,-145.9,64200,155850,N,265950,YES,133.15,125.45,141.35,124.1,141.33,29-08-2025 09:40,1.25,11124750,269,885750,815250,1.65,1.65,70500,-92.7,69750,366900,YES,399975,Y,81.35,82.6,84.7,73.3,85.46
29-08-2025 09:45,-27.1,83475,155,194400,90450,-30,-27.1,103950,-1386.1,40200,-4650,Y,18750,N,24660.78,24651.4,24624.3,24654.7,24620,29-08-2025 09:45,-11.75,6383325,259,754200,800850,-12.9,-12.85,-46650,-134.8,74850,-63450,YES,205725,N,124.6,112.85,126.8,112.25,139.2,29-08-2025 09:45,12.75,14562450,257,1000200,1111275,14.05,14.1,-111075,-109,76500,226200,N,-278025,YES,83.65,96.4,97.35,81.25,85.95
29-08-2025 09:50,14.5,48675,141,155925,132675,11.5,10.1,23250,-1216.3,41625,18600,Y,47175,YES,24659.63,24620,24634.5,24641.5,24620,29-08-2025 09:50,4.55,4622550,271,705675,782625,4.15,4.3,-76950,-127.35,65475,210000,Y,179025,N,113,117.55,121,112.15,137.75,29-08-2025 09:50,-5.55,9794925,257,1054575,851025,-5.25,-5.3,203550,-106,70275,-29025,Y,452850,Y,96.1,90.55,96.95,86,86.43
29-08-2025 09:55,-5,69225,136,201525,151800,-3.8,-4.7,49725,-1202.4,34725,5550,N,-4800,Y,24658.61,24637.8,24632.8,24651.6,24625.7,29-08-2025 09:55,-3.35,6246450,225,604650,649275,-3.75,-3.75,-44625,-125.9,62025,-43125,YES,143175,N,118.25,114.9,126.6,113.05,136.37,29-08-2025 09:55,1.9,9155400,242,932850,775575,2.4,2.4,157275,-100.45,69600,-53250,Y,-67500,YES,90.25,92.15,94.75,82.25,86.57
29-08-2025 10:00,-17.8,91125,141,851775,88050,-13.9,-14.8,763725,-1214,33750,-8325,YES,4950,N,24656.27,24632.8,24615,24633.5,24615,29-08-2025 10:00,-8.35,6622950,215,884100,626925,-8.7,-8.75,257175,-114.95,65850,-149025,YES,56550,N,115.2,106.85,116.85,104.1,134.33,29-08-2025 10:00,6.2,14026725,223,862575,1490100,6.55,6.7,-627525,-116.2,72825,81150,YES,-174900,YES,91.85,98.05,101,88.85,87.52
