last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume,nif_body,vix_body,,,,
28-03-2025 10:05,-40.05,61650,130,142650,85875,-40.75,-41.1,56775,-692.65,27075,20025,N,17175,N,23710.95,23711,23670.95,23713.45,23670,28-03-2025 10:05,-11.05,1608150,180,428550,377550,-10.65,-10.65,51000,-56.85,44025,-3975,YES,39150,N,70,58.95,70.2,58.95,71.61,28-03-2025 10:05,28.9,191475,168,98400,100425,27.6,27.8,-2025,-205.75,32250,12525,N,-16800,YES,265.05,293.95,295.7,264.8,275.16,28-03-2025 10:05,1743136500,12.85,12.88,12.82,12.87,0,40.05,0.02,,,0.071078498,-1
28-03-2025 10:10,2.8,52575,133,105225,73500,1.55,1.15,31725,-691.2,32625,15750,N,4575,N,23709.94,23672,23674.8,23684.45,23662.15,28-03-2025 10:10,1.1,1332075,181,528525,501525,1.55,1.55,27000,-56,49125,24825,Y,27825,N,59.1,60.2,62,56.9,70.99,28-03-2025 10:10,-2.55,185775,172,90600,81600,-2.9,-2.8,9000,-213.65,32025,-5850,Y,5700,Y,292.55,290,298.75,280.5,275.92,28-03-2025 10:10,1743136800,12.86,12.9,12.81,12.87,0,2.8,0.01,,,0.004969283,1
28-03-2025 10:15,17.65,67425,129,159450,58500,17.5,16.95,100950,-805.15,33375,20700,N,-150,Y,23708.93,23673.3,23690.95,23691,23670,28-03-2025 10:15,4.2,1016400,180,487650,556575,3.9,3.9,-68925,-55.6,52725,59025,Y,-32400,Y,60.05,64.25,64.25,59.1,70.64,28-03-2025 10:15,-17.65,178200,168,85125,99000,-18.6,-18.55,-13875,-222.05,33750,-3225,N,7725,N,291.3,273.65,292,271.9,276.22,28-03-2025 10:15,1743137100,12.86,12.91,12.8,12.8,0,17.65,0.06,,,0.031324232,1
28-03-2025 10:20,-7.9,51675,138,123075,77475,-9.25,-6.65,45600,-673.2,31275,-5925,YES,7575,N,23708.47,23690.9,23683,23699,23675,28-03-2025 10:20,-3.8,1122825,176,525000,478200,-3.75,-3.75,46800,-52.3,50250,-32250,YES,61050,YES,64.05,60.25,65.45,58.4,70.32,28-03-2025 10:20,10.55,124575,166,91575,101175,10.35,10.25,-9600,-215.25,40200,4350,N,-4950,YES,274,284.55,289.8,268.7,276.29,28-03-2025 10:20,1743137400,12.79,12.84,12.78,12.83,0,7.9,0.04,,,0.014020478,1
28-03-2025 10:25,25.85,43500,115,70950,104250,27.45,25.65,-33300,-665.9,26250,-6975,YES,-60375,Y,23708.24,23682.15,23708,23708,23677,28-03-2025 10:25,8.9,1435725,181,462675,426675,9.55,9.55,36000,-55.7,50550,61200,Y,-83925,Y,60.25,69.15,69.9,59.35,70.1,28-03-2025 10:25,-25.3,164325,166,76875,101475,-24.25,-24.35,-24600,-195.3,34575,-6675,Y,11550,N,284.55,259.25,288.9,258.45,276.06,28-03-2025 10:25,1743137700,12.84,12.87,12.8,12.87,0,25.85,0.03,,,0.045877133,-1
28-03-2025 10:30,73.25,192225,168,107025,204300,70.6,74.65,-97275,-586.75,34875,15750,Y,-76950,Y,23711.29,23707.65,23780.9,23781.95,23706.45,28-03-2025 10:30,25.95,5136000,180,351600,375900,25.6,25.65,-24300,-68.4,46950,64875,N,-213450,Y,69.2,95.15,95.4,68.4,71.86,28-03-2025 10:30,-49.05,543150,179,96300,110850,-47.85,-47.85,-14550,-178,37350,-18150,Y,23625,N,259.65,210.6,261.65,210.6,271.65,28-03-2025 10:30,1743138000,12.87,12.88,12.74,12.74,0,73.25,0.13,5.634615385,,0.13,1
28-03-2025 10:35,-4.75,108675,173,85350,143325,-1.65,-1.85,-57975,-586.35,33075,46875,Y,21375,YES,23713.97,23781.75,23777,23787.95,23760.05,28-03-2025 10:35,-1.45,3517800,181,346950,325425,-0.45,-0.5,21525,-77.8,41625,4350,N,107400,YES,94.15,92.7,98.9,87.25,73.82,28-03-2025 10:35,2.2,452250,178,118125,122325,0.95,0.9,-4200,-158.45,36825,34800,YES,16275,N,215,217.2,223.3,206.9,267.16,28-03-2025 10:35,1743138300,12.75,12.84,12.75,12.82,0,4.75,0.07,,,0.008430034,1
28-03-2025 10:40,-18.9,67950,146,211650,144150,-18,-16.75,67500,-659.2,30000,54075,N,-5625,Y,23715.43,23777,23758.1,23781.1,23756.6,28-03-2025 10:40,-4.95,1926375,180,353850,330975,-5.45,-5.4,22875,-74.15,44325,-13800,YES,77100,N,91.95,87,94.65,85.55,74.61,28-03-2025 10:40,6.8,270075,177,182850,159600,7.4,7.35,23250,-166.35,41850,-1125,Y,12675,N,218.2,225,228.55,215.2,265.11,28-03-2025 10:40,1743138600,12.83,12.88,12.8,12.83,0,18.9,0,,,0.033542662,-1
28-03-2025 10:45,25.8,81975,150,90750,113550,26.85,30,-22800,-1025.4,30525,3600,N,15450,YES,23717.43,23760,23785.8,23790,23760,28-03-2025 10:45,8.6,2267250,180,329175,332700,8.6,8.7,-3525,-71.15,46275,42750,Y,-33000,Y,86.9,95.5,97.5,86.9,75.6,28-03-2025 10:45,-17.8,274875,177,133500,163425,-16.95,-16.95,-29925,-161,41250,-13575,Y,19350,N,225.45,207.65,225.45,207.4,262.88,28-03-2025 10:45,1743138900,12.82,12.86,12.77,12.79,0,25.8,0.03,,,0.045788396,-1
28-03-2025 10:50,-18,50100,147,110325,129825,-14.2,-15.4,-19500,-838.5,30225,-4875,YES,24000,N,23718.68,23790,23772,23795,23772,28-03-2025 10:50,-7,2225175,180,322575,337125,-6.1,-6.15,-14550,-71.55,44475,-54300,YES,7575,YES,95.2,88.2,99.9,88.2,76.52,28-03-2025 10:50,10.05,296250,176,160425,161400,9.15,9.2,-975,-155,42600,13575,YES,-4725,YES,207.65,217.7,217.7,202.45,260.51,28-03-2025 10:50,1743139200,12.78,12.85,12.76,12.83,0,18,0.05,,,0.031945392,1
28-03-2025 10:55,0,27150,113,116625,51300,-1,-0.6,65325,-854.45,25125,-975,N,-15600,Y,23719.24,23772,23772,23785.6,23768.05,28-03-2025 10:55,1.2,1264725,180,392925,394500,1.05,1.05,-1575,-71.4,42525,48450,Y,39525,YES,88.8,90,94.45,87.5,76.91,28-03-2025 10:55,-2.55,234675,175,150750,150300,-1.4,-1.4,450,-155.75,37875,-4500,Y,12750,N,217.55,215,219.55,209.55,258.92,28-03-2025 10:55,1743139500,12.83,12.85,12.78,12.81,0,0,0.02,,,0,1
