last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,timestamp,cur_open,open,close,pre_prev_close,nifty_cur_open,nifty_prev_open,nifty_prev_close,nifty_pre_prev_close,ce_symbol,ce_cur_open,ce_prev_open,ce_prev_close,ce_pre_prev_close,pe_symbol,pe_cur_open,pe_prev_open,pe_prev_close,pe_pre_prev_close
19-08-2025 09:15,0,96975,137,90525,108300,4,6.4,-17775,-990.4,30450,-3750,N,37050,N,24954.58,24947.4,24947.4,24971.1,24942,19-08-2025 09:15,2.15,8032650,196,443400,347400,2.05,2,96000,-105.6,50700,198900,N,393825,N,103.05,105.2,118.7,101.35,109.12,19-08-2025 09:15,-3.7,7975950,193,484125,427200,-3.55,-3.65,56925,-82.4,52575,385950,N,495150,N,91.2,87.5,93.95,82,87.91,,,,,,,,,,,,,,,,,,,
19-08-2025 09:20,24.6,80850,171,142950,188850,23,23.3,-45900,-1490.1,47325,13725,N,68925,YES,24956.74,24950,24974.6,24975,24941.3,19-08-2025 09:20,12.5,7950225,253,575250,645450,12.7,12.65,-70200,-129.05,60450,270525,Y,49050,N,104.65,117.15,121.05,100.35,110.67,19-08-2025 09:20,-11.95,7812450,258,730950,588300,-12.2,-12.2,142650,-90.05,64800,2467500,YES,483750,N,87.8,75.85,89.8,74.1,84.77,19-08-2025 09:20,24927.95,24905.5,24927.9,24905.95,24970.6,24950,24974.6,24950.1,NIFTY2582124800CE,183.45,165.35,183.7,167.4,NIFTY2582125000PE,126.6,143.75,126.55,143.1
19-08-2025 09:25,-4.6,93075,175,209700,188550,-4.6,-4.4,21150,-1454.4,45675,45450,Y,14400,N,24960.86,24970.6,24966,24983,24960,19-08-2025 09:25,-3.9,5455875,226,618600,506400,-3.8,-3.75,112200,-128.3,61275,-83325,YES,300000,YES,117.15,113.25,124.4,109.35,111.95,19-08-2025 09:25,0.4,5495850,231,720150,839325,0.35,0.3,-119175,-84.1,66600,131175,N,188850,N,75.5,75.9,80,72,82.91,19-08-2025 09:25,24919.75,24927.95,24919.75,24927.9,24970,24970.6,24966,24974.6,NIFTY2582124800CE,182,183.45,178.8,183.7,NIFTY2582125000PE,126.75,126.6,127.3,126.55
19-08-2025 09:30,-14.4,57300,160,440625,169350,-12.2,-14,271275,-1169.1,49050,-5925,YES,94050,YES,24960.63,24970,24955.6,24976.4,24952,19-08-2025 09:30,-7.7,5615625,259,657375,562425,-7.55,-7.6,94950,-120.35,65925,-32925,Y,190125,N,113.85,106.15,117.15,102,111.11,19-08-2025 09:30,4.35,7336650,252,1021200,954225,4.7,4.75,66975,-92.65,65775,198675,YES,202425,N,75.05,79.4,82.9,73.45,81.93,19-08-2025 09:30,24907.65,24921.55,24907.65,24919.75,24955.6,24970,24955.6,24966,NIFTY2582124800CE,170.6,182,170.6,178.8,NIFTY2582125000PE,134,126.75,133.35,127.3
19-08-2025 09:35,-15.6,79875,187,341400,244800,-15.6,-15,96600,-1191.8,52425,17775,Y,9300,N,24957.93,24955.6,24940,24956.8,24939.1,19-08-2025 09:35,-9.45,4743525,248,711300,599250,-9.55,-9.5,112050,-108,61050,-50700,YES,169050,N,105.05,95.6,106,94.7,109.33,19-08-2025 09:35,5.15,7693875,249,862125,1069275,5.35,5.4,-207150,-99.65,64875,272175,YES,71325,N,80.1,85.25,86.8,79.55,82.39,19-08-2025 09:35,24892.35,24908.7,24892.35,24907.65,24940,24955.6,24942.9,24955.6,NIFTY2582124800CE,157.2,170.1,157.05,170.6,NIFTY2582125000PE,141.7,134,142.3,133.35
19-08-2025 09:40,-10,64500,153,126525,425850,-12,-12.9,-299325,-1254.5,42750,-1950,YES,-150,Y,24955.43,24940,24930,24952.7,24925.5,19-08-2025 09:40,-7.6,6354600,237,724800,774825,-7.55,-7.45,-50025,-103.85,66900,5250,Y,167850,N,95.95,88.35,101,87.15,106.92,19-08-2025 09:40,4.4,9460800,231,704475,1185525,4.65,4.65,-481050,-96.7,65925,42900,N,-185475,YES,85.1,89.5,91.7,79.1,83.09,19-08-2025 09:40,24880.65,24893.05,24880.25,24892.35,24928,24940,24930,24942.9,NIFTY2582124800CE,148.5,157.2,148.4,157.05,NIFTY2582125000PE,148.7,141.7,149,142.3
19-08-2025 09:45,17.8,67725,171,213525,161175,15.6,17.2,52350,-1428.3,50625,-32700,YES,23925,YES,24953.4,24928,24945.8,24949,24922.5,19-08-2025 09:45,4.7,5416275,224,752850,673500,4.3,4.3,79350,-97.9,65700,150075,Y,74325,N,89.1,93.8,96,86.05,104.99,19-08-2025 09:45,-6.05,7309650,233,798750,772575,-5.5,-5.45,26175,-95.9,68475,-82350,Y,286425,Y,89.25,83.2,93,81.65,83.71,19-08-2025 09:45,24894.35,24880.65,24894.35,24880.25,24944.2,24928,24945.8,24930,NIFTY2582124800CE,155.9,148.5,156.05,148.4,NIFTY2582125000PE,140.55,148.7,140.95,149
19-08-2025 09:50,15.9,41250,166,130350,112800,17.8,16.9,17550,-970,34950,16200,Y,-10425,Y,24953.9,24944.2,24960.1,24968.2,24942.9,19-08-2025 09:50,9.55,7735650,228,614925,743025,9.95,10,-128100,-116.55,60750,8775,N,-152850,Y,93.3,102.85,108.15,93.3,104.69,19-08-2025 09:50,-8.65,7284225,222,1061550,940950,-8.9,-8.85,120600,-81.8,62625,-53925,YES,241800,N,83.95,75.3,83.95,72,82.8,19-08-2025 09:50,24909.15,24894.55,24909.15,24894.35,24960.1,24944.2,24960.1,24945.8,NIFTY2582124800CE,168.55,155.9,168.6,156.05,NIFTY2582125000PE,128.85,140.55,128.8,140.95
19-08-2025 09:55,1,21600,124,94650,152925,-0.8,1,-58275,-1187.9,34950,-4500,YES,3075,N,24954.03,24962,24963,24965,24950.7,19-08-2025 09:55,-0.75,3886125,218,640425,666000,-1.05,-1,-25575,-111.3,62850,2175,YES,136575,YES,103.45,102.7,104.55,97.1,104.41,19-08-2025 09:55,-0.8,4822500,221,934050,1150800,-0.45,-0.5,-216750,-86.65,75750,48225,YES,174375,N,74.8,74,78.8,72.7,82.32,19-08-2025 09:55,24907.5,24909.6,24907.5,24909.15,24962,24960.1,24962,24960.1,NIFTY2582124800CE,167,168.55,167.65,168.6,NIFTY2582125000PE,128.65,128.85,128.15,128.8
19-08-2025 10:00,-10.9,33375,102,81525,151425,-8.1,-8,-69900,-1143,37725,-9375,YES,12675,N,24954.28,24963,24952.1,24965.9,24950.1,19-08-2025 10:00,-5.2,3803025,229,718125,773100,-4.5,-4.55,-54975,-111.75,71025,-70725,YES,73425,N,101.9,96.7,104.9,93.85,104.08,19-08-2025 10:00,1.25,3737400,233,1001100,1025550,0.55,0.5,-24450,-84,73950,31125,N,96150,N,74.65,75.9,78.2,73,81.97,19-08-2025 10:00,24901.9,24907.75,24901.9,24907.5,24952.1,24963,24953.1,24962,NIFTY2582124800CE,161.55,167,161.3,167.65,NIFTY2582125000PE,130.5,128.65,130.85,128.15
