last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
25-04-2025 09:15,7.4,1383975,96,7.15,7.15,15675,-77.4,23100,184200,N,48675,N,190.9,198.3,201.55,186.5,195.8
25-04-2025 09:20,-0.05,2416275,180,1.2,1.4,4875,-154.55,42600,-34500,Y,37500,N,199.5,199.45,212.5,185.95,197.49
25-04-2025 09:25,9.5,1983375,181,9.35,9.45,16350,-165.7,37500,75450,YES,2100,YES,197.8,207.3,217,191.3,199.29
25-04-2025 09:30,24.85,2186400,180,21.75,21.95,-6300,-173.3,41475,7125,N,-9900,YES,205.15,230,232.9,200.95,204.3
25-04-2025 09:35,16.75,1876275,176,16.8,17,-4125,-179.7,36075,-53475,Y,-19275,YES,229.65,246.4,248.6,223.2,209.95
25-04-2025 09:40,19.85,1578825,179,21.95,21.95,-3300,-209.5,36750,-13575,YES,-50175,YES,247.65,267.5,278.1,239.85,216.08
25-04-2025 09:45,27.3,1487775,180,28.2,28.3,-6075,-245.35,45450,17775,YES,-14625,Y,268.45,295.75,301.4,259.25,223.33
25-04-2025 09:50,21.45,1057425,180,25.15,25.1,8325,-246.2,38475,-10800,Y,-9300,N,298,319.45,322.3,292.2,229
25-04-2025 09:55,43,1127100,180,43.2,43.45,18750,-302.05,37650,-10275,N,-18450,YES,317.85,360.85,373.65,317.25,237.41
25-04-2025 10:00,100.9,799125,179,99.15,99.55,-10350,-381.55,36525,-29175,Y,-17850,N,360.85,461.75,469.1,360.85,245.67
25-04-2025 10:05,-9.9,382950,179,-9.65,-10.3,-16425,-457.5,38625,-7500,YES,24600,Y,466.4,456.5,482.6,417.1,250.21
25-04-2025 10:10,-40.45,259875,175,-42.7,-42.85,8625,-362.35,32700,-8925,Y,10875,N,457.15,416.7,457.15,409.75,252.77
25-04-2025 10:15,-9.55,249000,179,-9.7,-9.45,7725,-354.3,46875,-3900,N,1275,YES,416.05,406.5,434.25,400.35,255.04
25-04-2025 10:20,9.25,157800,173,7.7,7.6,16800,-348.8,40350,-5025,Y,450,YES,408.3,417.55,433.65,395,256.43
25-04-2025 10:25,69.1,221625,167,73.3,73.8,9825,-385.6,33900,-14475,Y,-30150,YES,416.6,485.7,493.3,410,258.85
25-04-2025 10:30,-3.75,192825,169,-1.25,-0.8,-2250,-427.4,34575,1425,N,7800,Y,486.8,483.05,508.5,457.7,261.21
25-04-2025 10:35,-21.15,74100,135,-22.35,-22.35,3075,-345.6,30225,-3300,Y,5925,N,483.05,461.9,483.05,452.9,262.03
25-04-2025 10:40,8.15,110625,141,4.7,5.15,-5175,-367.9,29550,2925,N,-1425,YES,461.9,470.05,479,439.95,263.17
25-04-2025 10:45,-13.5,57825,137,-12.85,-13.15,-225,-347.9,36225,-1200,Y,7200,N,470.05,456.55,477,443.4,263.77
25-04-2025 10:50,22.5,64875,129,20.45,20.55,2850,-365.8,36000,-4500,Y,3450,N,458.5,481,486,456.9,264.49
25-04-2025 10:55,2.05,103500,145,2.8,3.05,14250,-389.6,40050,-3300,N,-1425,YES,478.15,480.2,500.2,469,265.69
25-04-2025 11:00,31.45,110775,148,30.5,30.75,22950,-376.75,30525,3150,N,-8325,YES,480.2,511.65,514.25,478,267.06
25-04-2025 11:05,-23.65,108150,143,-23.55,-24.25,1650,-372.75,36300,-3375,Y,9600,N,511.65,488,512.3,474.2,268.33
25-04-2025 11:10,0.15,46275,130,-0.05,0.05,-1725,-348.45,33225,-1425,N,-1500,YES,488,488.15,507.15,480.45,268.87
25-04-2025 11:15,28.65,72750,110,25.85,26.35,3675,-349.6,28875,225,N,-16050,YES,488.15,516.8,528.9,484,269.79
25-04-2025 11:20,-4.8,61800,125,-5.25,-5.05,6450,-345.25,33375,-1125,Y,300,N,516.8,512,529.6,504,270.58
25-04-2025 11:25,-7.7,38100,90,-9.5,-9.35,22350,-333.3,30600,-1125,N,1875,N,512,504.3,522,498.05,271.05
25-04-2025 11:30,22,70050,114,22.45,22.15,19800,-300,32475,2475,N,-8025,YES,500,522,526.6,499.7,271.93
