last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,cur_open,prev_open,prev_close,pre_prev_close,nifty_cur_open,nifty_prev_open,nifty_prev_close,nifty_pre_prev_close,ce_symbol,ce_cur_open,ce_prev_open,ce_prev_close,ce_pre_prev_close,pe_symbol,pe_cur_open,pe_prev_open,pe_prev_close,pe_pre_prev_close
30-07-2025 09:15,30.7,32.9,27.9,-65925,-905.6,37200,71550,N,-31125,N,2.64,24814.1,24844.8,30-07-2025 09:15,10.2,10,9.9,-155925,-65.55,66375,609375,N,538650,N,43,53.2,55.95,41,2.77,30-07-2025 09:15,-19,-18.95,-19.15,158400,-118.85,53250,260700,N,285975,N,124.65,105.65,126.9,102.6,-5.93,,,,,,,,,,,,,,,,,,
30-07-2025 09:20,-17.3,-19.5,-18.5,84000,-1506.2,49500,18300,N,26325,YES,0.29,24844.8,24832,30-07-2025 09:20,-8.4,-7.5,-7.5,169050,-70.65,75150,31125,N,412500,N,99.45,86.7,55.6,43.75,-0.23,30-07-2025 09:20,8.4,6.65,6.7,69225,-142.35,61050,154950,N,305325,N,53.4,57.9,119.25,101.9,-1.23,24840.5,24862,24840.9,24862.45,24828.2,24844.8,24832,24846.7,NIFTY25JUL24800CE,87.2,99.45,86.7,100.2,NIFTY25JUL24800PE,57.6,53.4,57.9,53.05
30-07-2025 09:25,2.2,2.6,2.2,28125,-2038.9,47550,12525,N,17550,N,-2.59,24828.2,24830.4,30-07-2025 09:25,0.55,0.3,0.2,362625,-66.55,75675,46800,N,123975,N,87.2,88.5,44.85,39.35,-1.43,30-07-2025 09:25,-3.05,-2.3,-2.3,-45150,-146.6,59700,36150,N,131925,N,57.6,55.45,121.95,111.7,0.99,24832.65,24840.5,24833.2,24840.9,24830.4,24828.2,24830.4,24832,NIFTY25JUL24800CE,89.05,87.2,88.5,86.7,NIFTY25JUL24800PE,55.5,57.6,55.45,57.9
30-07-2025 09:30,38.1,38.5,39.3,18000,-2266.2,42450,43050,Y,23100,N,8.45,24830.4,24868.7,30-07-2025 09:30,17,17.45,17.5,195150,-78.8,84900,511800,Y,-260700,Y,44.7,62.15,64.35,44,2.71,30-07-2025 09:30,-20.45,-21.05,-21.2,-106950,-127.7,64350,-189600,Y,65325,N,111.7,90.45,112.8,88.25,-4.24,24867.1,24832.65,24867.45,24833.2,24875.2,24830.4,24868.7,24830.4,NIFTY25JUL24900CE,61.6,44.7,62.15,44.6,NIFTY25JUL24900PE,91,111.7,90.45,111.7
30-07-2025 09:35,-2.3,2.9,0.1,37950,-2312.3,45975,27675,N,22425,N,7.87,24875.2,24873,30-07-2025 09:35,-2.2,-2.5,-2.5,-37275,-80.6,83775,-99450,YES,548100,YES,61.6,58.6,67.1,55.9,3.4,30-07-2025 09:35,-2.85,-2.9,-2.95,14925,-104.9,67125,274725,YES,171825,Y,91,88.4,95.45,82.1,-3.98,24868.8,24867.1,24868.4,24867.45,24872.9,24875.2,24873,24868.7,NIFTY25JUL24900CE,58.85,61.6,58.6,62.15,NIFTY25JUL24900PE,88.3,91,88.4,90.45
30-07-2025 09:40,4,3.5,1.2,-51975,-1823,50100,-41625,YES,-7800,Y,2.54,24872.9,24875,30-07-2025 09:40,2.85,3.2,3.2,72750,-81.75,72075,304350,Y,230100,N,58.85,61.15,62.4,51.75,0.62,30-07-2025 09:40,-2.1,-2.55,-2.35,32325,-110.95,68250,103425,N,83400,N,88.3,86.45,95.7,84.3,-1.99,24876.65,24868.8,24877.2,24868.4,24875,24872.9,24875,24873,NIFTY25JUL24900CE,61.25,58.85,61.15,58.6,NIFTY25JUL24900PE,86.5,88.3,86.45,88.4
30-07-2025 09:45,-44.9,-41.9,-39.7,27000,-1274.5,52500,43650,Y,-13725,Y,0.32,24875,24830.1,30-07-2025 09:45,-16.55,-16.45,-16.45,349050,-73.05,82500,-534900,YES,398700,YES,116.85,88.65,61.2,44.6,-0.43,30-07-2025 09:45,28,27.8,27.9,-78300,-123.7,66375,41475,N,-272625,YES,41.35,58,115.55,86.4,-0.19,24832.9,24876.65,24832.45,24877.2,24830.4,24875,24830.1,24875,NIFTY25JUL24800CE,89.7,116.85,88.65,117.2,NIFTY25JUL24800PE,57.15,41.35,58,41.1
30-07-2025 09:50,-10.4,-12.7,-16.6,-128775,-1857.5,43500,9300,N,-12900,N,-2.57,24830.4,24820,30-07-2025 09:50,-3.2,-3.6,-3.65,539250,-60.7,83100,102000,Y,141000,N,89.7,82.65,45.85,40.75,-0.87,30-07-2025 09:50,10.2,11.35,11.35,-3225,-142.55,60225,-28200,Y,-140700,Y,57.15,64.85,127.15,111.55,1.83,24816.4,24832.9,24816.4,24832.45,24820,24830.4,24820,24830.1,NIFTY25JUL24800CE,83.2,89.7,82.65,88.65,NIFTY25JUL24800PE,64.85,57.15,64.85,58
30-07-2025 09:55,18.8,18.8,20,43200,-1780,48075,-7425,YES,-525,N,-0.62,24820,24836.9,30-07-2025 09:55,4.45,4.3,4.4,-108600,-66.65,75150,-19275,YES,13650,N,83.2,91.65,54.75,41.7,-0.41,30-07-2025 09:55,-16.9,-17.25,-17.25,-78825,-122.45,60825,-128625,Y,81075,Y,64.85,51.1,123.65,93.85,0.02,24839.8,24816.85,24839.35,24816.4,24836.9,24820,24836.9,24820,NIFTY25JUL24800CE,91.4,83.2,91.65,82.65,NIFTY25JUL24800PE,51.5,64.85,51.1,64.85
30-07-2025 10:00,-1.7,-1.8,-1.7,97050,-1358.3,43350,-14550,YES,-1950,Y,-0.89,24836.9,24835,30-07-2025 10:00,-0.65,-0.5,-0.5,118275,-59.3,73200,157575,Y,247650,YES,91.4,90.3,47.2,42,-0.35,30-07-2025 10:00,2.25,1.7,1.65,126750,-121.05,61575,62775,YES,68325,N,51.5,53.1,116.7,104,0.23,24839.75,24839.8,24839.75,24839.35,24835,24836.9,24835,24836.9,NIFTY25JUL24800CE,90.4,91.4,90.3,91.65,NIFTY25JUL24800PE,53.05,51.5,53.1,51.1
