last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close
05-02-2025 11:00,1.8,2.9,2.6,-7350,-297.4,16950,2850,N,8025,N,-0.02,23823.2,23825,05-02-2025 11:00,3.25,3.3,3.3,-269625,-50.35,58125,84825,N,15150,N,45.4,48.65,51.9,45.4,-0.25,05-02-2025 11:00,1,1.25,1.3,-9600,-100.95,45825,63225,N,23325,N,119.5,120.5,122.65,115,-0.01,05-02-2025 11:00,23755.75,23770.35,23755.75,23763.15
05-02-2025 11:05,-12.5,-14.55,-12.6,4200,-1194.55,28125,7650,N,1200,Y,-0.77,23825,23812.5,05-02-2025 11:05,-4.3,-4.4,-4.45,439050,-46.8,59175,230400,Y,38475,YES,48.65,44.35,48.85,42.25,-0.38,05-02-2025 11:05,7.35,7.15,7.15,-13275,-108.05,50700,-26850,Y,-74550,YES,120.25,127.6,132.4,120.25,0.31,05-02-2025 11:05,23764.1,23764.1,23728.45,23731.05
05-02-2025 11:10,-6.5,-4.65,-1.55,-16275,-1103.6,33750,4350,N,-2100,Y,-0.43,23812.5,23806,05-02-2025 11:10,0.9,1.2,1.1,-83025,-47.65,57675,44775,N,62475,YES,44.3,45.2,45.9,43.1,-0.19,05-02-2025 11:10,-0.3,-0.85,-1.05,26925,-106.15,47850,7350,YES,82350,Y,127.45,127.15,130.65,122.6,0.16,05-02-2025 11:10,23732.8,23739.25,23728.5,23733.1
05-02-2025 11:15,-15.55,-14.65,-15.95,13275,-1079.5,39975,-9675,YES,1275,N,-1.48,23806.35,23790.8,05-02-2025 11:15,-3.5,-3.6,-3.6,194850,-45.3,59475,-201900,YES,6375,N,45.35,41.85,47.6,41.55,-0.34,05-02-2025 11:15,11.3,11.5,11.5,-30600,-113.55,49350,-10275,Y,-296550,YES,126.9,138.2,144.6,123,0.7,05-02-2025 11:15,23732.4,23737.25,23714.5,23715.5
05-02-2025 11:20,26.2,25.8,26.5,25125,-1100.75,29700,17925,Y,1950,N,-0.59,23790.8,23817,05-02-2025 11:20,5.55,5.8,5.85,27450,-45.2,60000,153225,Y,-171975,Y,42,47.55,48.95,41.7,-0.3,05-02-2025 11:20,-19.95,-20.55,-20.4,-32550,-108.1,44700,-156825,Y,73050,Y,137.3,117.35,138.35,114.85,0.18,05-02-2025 11:20,23715.1,23749.55,23713.55,23748.9
05-02-2025 11:25,-1.65,-1.6,-6.6,5625,-757.75,25725,9900,N,12450,N,-0.1,23817,23815.35,05-02-2025 11:25,1.15,1.25,1.25,-873375,-50.75,64125,67200,N,70875,YES,47.7,48.85,50.1,45.1,-0.22,05-02-2025 11:25,3.6,3.9,3.75,-22050,-102.85,46125,143775,YES,45375,N,117.15,120.75,124,114.35,-0.02,05-02-2025 11:25,23748.9,23754.85,23745.45,23751.25
05-02-2025 11:30,0.9,1.1,-0.1,15975,-576.8,20475,2625,YES,-2175,Y,-0.05,23815.35,23816.25,05-02-2025 11:30,0.55,0.55,0.55,-217725,-45.2,58950,28575,N,44775,N,48.7,49.25,49.65,46.1,-0.11,05-02-2025 11:30,-0.1,0.05,0.1,36150,-104.8,49575,51975,N,7125,N,120.9,120.8,125.7,119.15,0.02,05-02-2025 11:30,23751.1,23752.45,23742.95,23750.05
05-02-2025 11:35,-1.25,-2.25,-3,14925,-391.5,20700,-1425,YES,3675,N,-0.05,23816.25,23815,05-02-2025 11:35,-2.9,-3.15,-3.15,-230250,-47.8,55950,-64875,YES,172650,YES,49.3,46.4,50.95,45,-0.14,05-02-2025 11:35,0.45,0.8,0.8,-77775,-96.9,43350,155025,YES,20250,N,120.8,121.25,124.5,117.25,0.01,05-02-2025 11:35,23749.65,23755.55,23749.65,23754.5
05-02-2025 11:40,-1.55,-0.55,-2.95,29250,-686.45,21750,-15825,YES,1275,Y,-0.17,23815,23813.45,05-02-2025 11:40,-1.65,-1.55,-1.65,-257100,-40.9,53100,1050,Y,69450,N,46.4,44.75,46.95,42.5,-0.19,05-02-2025 11:40,-0.1,-0.75,-0.85,37575,-95.8,46050,-187725,Y,-22125,YES,120.9,120.8,130.3,118.5,0.09,05-02-2025 11:40,23754.5,23754.5,23736.35,23744.05
05-02-2025 11:45,9.65,11.7,11.55,12150,-655.85,24900,-4425,N,1875,N,0.02,23813.45,23823.1,05-02-2025 11:45,3.35,3.2,3.25,-419625,-50.8,60675,26100,Y,-164700,Y,44.8,48.15,50.6,44.8,-0.16,05-02-2025 11:45,-7.15,-7.45,-7.45,-12000,-99.3,47475,71775,YES,73350,Y,120.1,112.95,120.85,107.8,-0.19,05-02-2025 11:45,23743.95,23759,23743.6,23750.35
