last_traded_time,ltp_x,bid_price_x,ask_price_x,bid_ask_diff_x,bid_ask_pr_diff_x,last_traded_qty_x,tot_buy_qty_x,tot_buy_sig_x,tot_sell_qty_x,tot_sell_sig_x,avg_trade_price_x,ltp_y,bid_price_y,ask_price_y,bid_ask_diff_y,bid_ask_pr_diff_y,last_traded_qty_y,tot_buy_qty_y,tot_buy_sig_y,tot_sell_qty_y,tot_sell_sig_y,avg_trade_price_y,ltp,bid_price,ask_price,bid_ask_diff,bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,final_signal
2025-06-13 09:15:00,64.70000000000073,60.29999999999927,61.099999999998545,19275,-1232.800000000745,42975,69600.0,N,-78600.0,N,0.6100000000005821,5.649999999999977,2.8999999999999773,2.599999999999966,-11700,-245.25,43425,-142050.0,N,123225.0,N,-7.939999999999998,-50.349999999999994,-50.55000000000001,-50.95000000000002,-20250,-167.70000000001164,45600,-373800.0,N,329475.0,N,-1.6299999999999955,no signal
2025-06-13 09:20:00,14.200000000000728,18.799999999999272,15.19999999999709,-85725,-2203.10000000149,58575,16725.0,N,61425.0,YES,7.9099999999998545,22.80000000000001,23.80000000000001,23.850000000000023,-33450,-289.29999999998836,50250,25650.0,Y,-53700.0,Y,3.419999999999959,2.1999999999999886,2.1999999999999886,2.25,59850,-157.99999999998545,58875,62025.0,YES,197850.0,N,-6.819999999999993,no signal
2025-06-13 09:25:00,5.80000000000291,6.400000000001455,10.0,-38025,-1751.8000000026077,50400,-66300.0,YES,56925.0,N,7.970000000001164,-3.5500000000000114,-1.3000000000000114,-1.5,-56025,-292.79999999998836,53550,455625.0,Y,61950.0,YES,5.149999999999977,-10.5,-11.199999999999989,-11.200000000000017,4875,-138.20000000001164,58350,6075.0,N,103875.0,N,-5.1699999999999875,no signal
2025-06-13 09:30:00,-57.0,-57.0,-60.599999999998545,-49350,-1308.1000000014901,51975,-2100.0,Y,49800.0,N,1.0499999999992724,-38.05000000000001,-37.60000000000002,-37.69999999999999,5250,-256.5,47775,-38550.0,YES,47250.0,N,-1.1899999999999977,21.05000000000001,20.849999999999994,20.900000000000006,84750,-143.80000000001746,62325,188175.0,YES,-64050.0,YES,-2.740000000000009,no signal
2025-06-13 09:35:00,48.29999999999927,46.099999999998545,49.60000000000218,-42750,-1334.1000000033528,47325,-1500.0,N,14400.0,N,0.5200000000004366,28.5,27.850000000000023,27.950000000000017,-12300,-284.29999999998836,51525,42375.0,Y,-29925.0,Y,-0.7099999999999795,-24.649999999999977,-25.0,-25.0,-21600,-155.4499999999971,65475,-98400.0,Y,244500.0,Y,-1.960000000000008,BUY
2025-06-13 09:40:00,-11.600000000002183,-9.399999999997817,-10.799999999999272,78675,-1853.5999999977648,45600,89925.0,Y,7575.0,N,1.639999999999418,-12.100000000000023,-12.550000000000011,-12.600000000000023,-4200,-272.3999999999942,51075,-26100.0,YES,54300.0,YES,0.029999999999972715,3.0999999999999943,3.25,3.25,57525,-140.04999999998836,59700,40950.0,YES,103800.0,N,-1.4599999999999795,no signal
2025-06-13 09:45:00,-4.299999999999272,-7.900000000001455,-4.80000000000291,27750,-1644.8000000026077,39600,6900.0,N,107100.0,YES,0.12000000000261934,-2.5,-2.9499999999999886,-2.8999999999999773,-22800,-250.34999999997672,47850,35475.0,Y,22200.0,N,-0.9499999999999886,1.0500000000000114,1.4499999999999886,1.5,13575,-146.04999999998836,57150,-136575.0,Y,2475.0,YES,-0.9699999999999989,no signal
2025-06-13 09:50:00,24.799999999999272,20.80000000000291,24.700000000000728,61650,-2000.2999999988824,42525,5925.0,N,-14100.0,Y,1.1999999999970896,20.5,19.69999999999999,19.75,-64200,-265.29999999998836,48525,5250.0,N,-49425.0,Y,0.37000000000000455,-8.25,-7.599999999999994,-7.600000000000023,9600,-137.20000000001164,54375,-52425.0,YES,93900.0,Y,-1.5199999999999818,no signal
2025-06-13 09:55:00,9.900000000001455,3.7000000000007276,0.09999999999854481,12300,-1669.5,49575,19125.0,N,-19200.0,Y,1.0200000000004366,2.0,2.75,2.599999999999966,-19875,-257.3999999999942,46125,29400.0,Y,-5025.0,YES,0.5400000000000205,0.8499999999999943,1.0999999999999943,1.1500000000000057,-19125,-135.35000000000582,55800,69675.0,YES,15075.0,N,-0.7099999999999795,no signal
2025-06-13 10:00:00,-22.0,-17.0,-18.30000000000291,-10350,-1844.300000000745,57000,-13350.0,YES,28050.0,YES,0.6399999999994179,-8.900000000000034,-9.25,-9.150000000000034,35400,-252.19999999998254,48450,3675.0,N,30225.0,YES,0.14999999999997726,5.550000000000011,5.25,5.25,-6150,-133.05000000001746,51150,25725.0,N,11625.0,N,-0.5700000000000216,no signal
