last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
2024-11-22 09:40:00,18.400000000000006,20.19999999999999,20.25,17075,-219.64999999999418,26350,51675.0,N,4600.0,N,218.2,236.6,259.3,218.2,1.490000000000009
2024-11-22 09:45:00,-8.200000000000017,-10.800000000000011,-10.700000000000017,725,-206.95000000001164,27700,-5425.0,YES,60700.0,YES,235.8,227.6,250.9,220.45,0.18999999999999773
2024-11-22 09:50:00,2.0999999999999943,-0.25,-0.19999999999998863,-2925,-178.05000000001746,24400,48850.0,Y,7225.0,N,228.35,230.45,230.45,204.95,-1.289999999999992
2024-11-22 09:55:00,23.05000000000001,22.849999999999994,23.099999999999994,19150,-214.85000000000582,27325,77450.0,Y,4850.0,N,229.85,252.9,253.5,227.35,0.6699999999999875
2024-11-22 10:00:00,58.150000000000006,57.75,57.75000000000003,-4850,-244.4499999999971,25425,-73000.0,YES,-165475.0,Y,253.85,312.0,313.9,244.05,4.650000000000006
2024-11-22 10:05:00,14.949999999999989,13.449999999999989,13.449999999999989,-11425,-289.5999999999767,22925,-33175.0,Y,-9200.0,YES,311.95,326.9,341.6,306.1,4.960000000000008
2024-11-22 10:10:00,-10.399999999999977,-10.75,-10.850000000000023,13950,-256.84999999999127,23825,6450.0,Y,41950.0,YES,327.65,317.25,333.0,314.15,1.210000000000008
2024-11-22 10:15:00,-2.0500000000000114,-1.8000000000000114,-2.0,-13425,-279.49999999998545,24000,-277450.0,YES,-13250.0,Y,319.2,317.15,329.7,308.7,0.8400000000000034
2024-11-22 10:20:00,-33.849999999999966,-32.30000000000001,-32.39999999999998,2775,-274.90000000000873,24025,-14125.0,Y,6450.0,N,317.95,284.1,326.0,281.25,1.1500000000000057
2024-11-22 10:25:00,11.199999999999989,11.849999999999966,11.699999999999989,-27750,-245.39999999999418,22325,6375.0,Y,-7375.0,Y,284.5,295.7,298.3,275.0,0.6699999999999875
2024-11-22 10:30:00,-3.650000000000034,-4.25,-4.0,-6075,-251.10000000000582,21225,-1125.0,YES,9500.0,N,295.6,291.95,309.7,285.05,0.6999999999999886
2024-11-22 10:35:00,9.0,8.550000000000011,8.449999999999989,14875,-250.3000000000029,25325,6975.0,N,6100.0,N,290.0,299.0,301.55,282.05,0.3499999999999943
2024-11-22 10:40:00,-22.099999999999966,-20.149999999999977,-20.44999999999999,-7050,-243.95000000001164,24625,-4600.0,YES,22725.0,N,299.45,277.35,303.15,266.0,0.6599999999999966
