last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
2025-04-25 10:25:00,-36.14999999999998,2201100.0,157,-36.30000000000001,-36.400000000000006,-11625,-96.05000000000291,32550,-96375.0,N,21375.0,N,164.95,128.8,164.95,127.85,191.78
2025-04-25 10:30:00,1.1500000000000057,1841100.0,180,0.700000000000017,0.799999999999983,-19725,-106.05000000000291,37125,59625.0,Y,53400.0,YES,131.15,132.3,142.35,122.35,186.91
2025-04-25 10:35:00,7.949999999999989,1242750.0,180,8.0,7.900000000000006,4875,-104.89999999999418,37875,41625.0,N,15375.0,N,132.0,139.95,145.0,130.95,184.35
2025-04-25 10:40:00,-3.0,1405050.0,180,-2.25,-2.25,-12450,-116.19999999999709,42150,-15375.0,YES,11700.0,N,140.1,137.1,146.65,130.45,181.86
2025-04-25 10:45:00,4.400000000000006,943350.0,175,4.550000000000011,4.449999999999989,23925,-106.25,41550,16500.0,Y,-11025.0,Y,136.35,140.75,147.9,132.7,180.35
2025-04-25 10:50:00,-9.949999999999989,1008525.0,180,-9.25,-9.400000000000006,70350,-105.45000000000437,39675,-14625.0,YES,57150.0,YES,141.35,131.4,141.35,127.9,178.63
2025-04-25 10:55:00,-5.6499999999999915,1282125.0,180,-5.550000000000011,-5.599999999999994,-8175,-98.25,43200,32775.0,Y,2250.0,Y,132.35,126.7,133.75,120.6,176.27
2025-04-25 11:00:00,-13.649999999999991,1485000.0,180,-14.199999999999989,-14.200000000000003,-19350,-87.34999999999127,45750,-32475.0,YES,20625.0,N,127.05,113.4,128.75,112.05,173.45
2025-04-25 11:05:00,8.299999999999997,1335375.0,180,7.849999999999994,7.849999999999994,22725,-89.25,40275,24450.0,Y,15450.0,N,112.8,121.1,125.75,112.1,171.16
2025-04-25 11:10:00,-2.8000000000000114,1208100.0,179,-3.450000000000003,-3.4000000000000057,-43650,-91.89999999999418,43725,32850.0,N,21000.0,N,121.4,118.6,124.2,111.2,169.12
