last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
2025-07-10 09:15:00,6.300000000000004,4.0,4.049999999999997,12600,-45.450000000004366,34275,2777175.0,N,132150.0,N,50.3,56.6,57.5,45.5,-1.3200000000000003
2025-07-10 09:20:00,12.949999999999996,12.850000000000001,12.900000000000006,14700,-96.20000000000437,61500,531450.0,N,245325.0,Y,56.9,69.85,72.6,56.7,6.150000000000006
2025-07-10 09:25:00,5.799999999999997,4.8999999999999915,4.849999999999994,-18075,-92.25,68925,171675.0,N,-194250.0,YES,70.0,75.8,76.2,57.55,1.5499999999999972
2025-07-10 09:30:00,-3.0999999999999943,-2.450000000000003,-2.3999999999999915,30225,-103.85000000000582,62775,-243450.0,Y,343500.0,Y,77.1,74.0,88.4,66.1,3.9000000000000057
2025-07-10 09:35:00,4.650000000000006,4.75,4.799999999999997,-17325,-101.20000000000437,66375,110475.0,YES,-76425.0,YES,74.6,79.25,86.4,64.3,1.4200000000000017
2025-07-10 09:40:00,-1.1000000000000085,-0.9500000000000028,-0.9500000000000028,-12600,-112.15000000000146,71550,20250.0,N,128625.0,Y,79.45,78.35,85.65,74.8,1.0799999999999983
2025-07-10 09:45:00,-11.75,-11.5,-11.450000000000003,-105600,-102.5,74250,54750.0,YES,224025.0,Y,78.5,66.75,81.0,66.0,0.269999999999996
2025-07-10 09:50:00,31.099999999999994,31.25,31.200000000000003,-99225,-118.15000000000146,75825,-417600.0,Y,-781350.0,YES,66.95,98.05,101.0,66.3,2.269999999999996
2025-07-10 09:55:00,-14.599999999999994,-14.799999999999997,-14.799999999999997,-31050,-128.60000000000582,61575,-270150.0,YES,234600.0,Y,98.8,84.2,105.65,83.15,1.9499999999999886
2025-07-10 10:00:00,6.75,6.599999999999994,6.650000000000006,450,-119.90000000000873,71625,80100.0,YES,-14475.0,YES,84.15,90.9,98.5,77.4,0.8700000000000045
2025-07-10 10:05:00,4.8500000000000085,3.299999999999997,3.5,54675,-126.39999999999418,75075,112725.0,YES,-13500.0,N,89.05,93.9,99.55,81.8,0.7600000000000051
2025-07-10 10:10:00,8.950000000000003,9.5,9.5,-13350,-139.34999999999854,64350,-365100.0,Y,-281925.0,YES,94.85,103.8,114.05,93.2,1.6799999999999926
