last_traded_time,ltp,tot_buy_qty,tot_sell_qty,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
17-04-2025 09:18,23410,227100,184050,17-04-2025 09:18,14.15,63563550,800550,149,29606025,183975
17-04-2025 09:18,23410,227325,184800,17-04-2025 09:18,13.3,63950925,822450,150.85,29612175,204675
17-04-2025 09:18,23406.2,228600,188850,17-04-2025 09:18,12.95,64251075,881475,152.15,29622675,198975
17-04-2025 09:18,23404.7,223800,188400,17-04-2025 09:18,14.85,64359900,885750,160.75,29637450,189750
17-04-2025 09:18,23388,213375,192225,17-04-2025 09:18,13.25,64281000,849900,172,29653125,153000
17-04-2025 09:19,23381.6,205200,194325,17-04-2025 09:19,11.7,64288125,927600,174.75,29969625,114825
17-04-2025 09:19,23386.9,209025,193050,17-04-2025 09:19,11.9,64255950,942675,178.25,29968350,121275
17-04-2025 09:19,23387.3,214200,182925,17-04-2025 09:19,11.9,64365525,997050,171.55,29938350,142725
17-04-2025 09:19,23390.1,218700,206025,17-04-2025 09:19,12.35,64623750,987000,172.8,29928975,153600
17-04-2025 09:19,23388,218700,197250,17-04-2025 09:19,12.4,64830525,1004400,170.65,29922525,159825
17-04-2025 09:19,23387,222300,208575,17-04-2025 09:19,12.3,64832625,1078425,169.8,29946450,169650
17-04-2025 09:20,23380.1,224925,217725,17-04-2025 09:20,11.55,61929075,1122300,172.5,29950125,168375
17-04-2025 09:20,23380,225600,218250,17-04-2025 09:20,11.5,62100675,1155075,175.7,29978025,163950
17-04-2025 09:20,23380,228150,212850,17-04-2025 09:20,11.3,62179350,1128600,177.2,30012975,176100
17-04-2025 09:20,23382,227100,210375,17-04-2025 09:20,11.35,62196825,1156875,172.2,30030975,184875
17-04-2025 09:20,23380,223650,214050,17-04-2025 09:20,11.9,62221875,1127925,175.05,30080175,189300
17-04-2025 09:20,23381.1,228825,219600,17-04-2025 09:20,11.4,62266650,1130850,175.6,30078075,197250
17-04-2025 09:21,23383.5,232575,210225,17-04-2025 09:21,11.55,62239350,1197450,172.85,30044400,183975
17-04-2025 09:21,23385,236400,203325,17-04-2025 09:21,12,62724150,1128975,170.15,30040125,199725
17-04-2025 09:21,23384,233625,216600,17-04-2025 09:21,12.1,62862525,1156200,175.25,30020550,199275
17-04-2025 09:21,23383.4,238275,216900,17-04-2025 09:21,11.8,62862750,1227375,175.55,30033075,181575
17-04-2025 09:21,23365,240225,214275,17-04-2025 09:21,11.35,62948250,1257600,192.8,30045075,188100
17-04-2025 09:21,23355,200700,210075,17-04-2025 09:21,10.3,62786700,1309875,200.55,30055500,98850
17-04-2025 09:22,23355.1,190950,215550,17-04-2025 09:22,10.4,62770350,1347225,205.5,30058725,92625
17-04-2025 09:22,23353.9,207900,216675,17-04-2025 09:22,10.2,62819100,1394475,207.55,30030450,191550
17-04-2025 09:22,23355,222075,217500,17-04-2025 09:22,10.1,62753025,1381950,200.55,30022575,198975
17-04-2025 09:22,23359,225150,215775,17-04-2025 09:22,10,62716350,1415325,203.25,30007275,197850
17-04-2025 09:22,23357.4,214650,220350,17-04-2025 09:22,9.6,62686725,1431375,203.65,30011175,127425
17-04-2025 09:22,23352.3,210750,223650,17-04-2025 09:22,8.95,62690025,1471650,210.65,29982375,127950
17-04-2025 09:23,23346.3,216375,225750,17-04-2025 09:23,8.7,62602800,1538475,209.35,29985900,109200
17-04-2025 09:23,23347.5,232425,209100,17-04-2025 09:23,8.85,62738475,1489425,207.95,29987250,121950
17-04-2025 09:23,23346.7,227025,222900,17-04-2025 09:23,9.2,62696625,1499625,212.3,29991600,117225
17-04-2025 09:23,23344.3,221250,226125,17-04-2025 09:23,8.95,62689875,1494825,214.5,29994300,117825
17-04-2025 09:23,23340,223350,223200,17-04-2025 09:23,8.6,62704200,1572675,213.95,30000825,122550
17-04-2025 09:23,23344.1,252750,223275,17-04-2025 09:23,8.7,62830125,1488600,213,29983875,127725
17-04-2025 09:24,23345.8,277350,229875,17-04-2025 09:24,8.55,62796300,1572300,209.2,29954175,133725
17-04-2025 09:24,23346.5,283200,220650,17-04-2025 09:24,8.55,62930475,1543575,208.35,29950425,139650
17-04-2025 09:24,23354.4,289650,217350,17-04-2025 09:24,8.8,63034800,1515300,202.65,29950050,145125
