last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,prev_open,high,low,prev_close
13-12-2024 09:15,-20.25,-19.75,-22,197225,-603.45,14825,-32575,N,70775,N,-5.75,24548.05,24527.8,13-12-2024 09:15,-4.2,-3.7,-3.75,-31250,-58.9,13650,47775,N,50200,N,124.9,120.7,127.35,120.4,-2.37,13-12-2024 09:15,16.05,15.75,15.8,-23825,-91.9,17375,25525,N,-18000,N,220.75,236.8,237.7,220.1,4.51,13-12-2024 09:15,24498.35,24520.8,24469.45,24470.45
13-12-2024 09:20,-46.35,-49.8,-53,-223500,-962.1,22825,26300,Y,142875,YES,-23.63,24522.35,24476,13-12-2024 09:20,-15.5,-15.75,-15.65,-72850,-84.3,28500,-19225,YES,58175,N,121.1,105.6,122.4,104.95,-5.7,13-12-2024 09:20,32.15,32.2,32.15,-32325,-169.55,29325,-26350,Y,-5075,N,237,269.15,270.9,233.1,16.32,13-12-2024 09:20,24470,24475.55,24419.05,24419.65
13-12-2024 09:25,0.9,-0.1,-0.15,-109150,-1023.15,21875,12525,N,-18725,Y,-11.37,24475,24475.9,13-12-2024 09:25,0.55,0.1,0.1,-12275,-86.4,22950,48200,Y,53575,N,105.75,106.3,112.35,103.05,-3.34,13-12-2024 09:25,6.1,6.9,7.2,-28300,-189.4,25550,-24025,N,20875,Y,269,275.1,283.65,260.25,7.61,13-12-2024 09:25,24418.85,24440.9,24405.9,24419.25
13-12-2024 09:30,-25.05,-25.05,-24.5,209000,-705.9,19750,-76950,YES,7875,YES,-15.18,24471.7,24446.65,13-12-2024 09:30,-16.2,-16.15,-16.2,83300,-82.05,29950,9250,N,59600,N,105.55,89.35,107.6,86.8,-5.15,13-12-2024 09:30,9.8,9.15,9.15,3700,-249.45,27150,4150,YES,17450,N,276.6,286.4,292.85,268,4.74,13-12-2024 09:30,24418.7,24426,24382.4,24391.85
13-12-2024 09:35,0.8,2,3.75,44900,-924.3,16275,21975,Y,97850,YES,-4.98,24446.3,24447.1,13-12-2024 09:35,0.15,0.1,0.2,-23100,-69.25,27475,27100,N,120750,YES,88,88.15,94.7,85.5,-3.88,13-12-2024 09:35,-2.65,-3.75,-3.7,13700,-223.95,22950,10875,N,-9850,YES,287.95,285.3,291,271.45,2.76,13-12-2024 09:35,24391.1,24408.9,24380,24389.15
13-12-2024 09:40,8.65,8.15,11.05,-625,-1082.1,17500,86975,Y,9925,N,-2.47,24448.45,24457.1,13-12-2024 09:40,0.9,1.95,1.95,-16200,-70.45,28525,22525,N,55600,N,88.05,88.95,93.9,87.35,-1.63,13-12-2024 09:40,-3.25,-5.55,-5.55,8475,-216.5,18875,450,Y,14475,Y,284.85,281.6,290.25,272.5,1.07,13-12-2024 09:40,24388.6,24407.25,24385,24397.85
13-12-2024 09:45,-11.35,-11.95,-7.75,67175,-1037.55,25300,9350,N,22375,N,-6.24,24457.35,24446,13-12-2024 09:45,-3.9,-3.75,-3.8,58350,-73.75,34300,15100,N,64050,N,88.95,85.05,88.95,78.8,-2.98,13-12-2024 09:45,3.9,3.7,3.75,825,-236.25,26950,9100,N,1475,YES,282,285.9,303.45,282,3.09,13-12-2024 09:45,24398.3,24398.3,24365.8,24389.8
13-12-2024 09:50,-15.95,-13,-15,47175,-863.15,13350,5875,N,8600,N,-2.19,24446,24430.05,13-12-2024 09:50,-4.6,-4.4,-4.35,-58925,-66.8,30900,-2750,YES,86700,YES,85,80.4,85.5,79,-1.64,13-12-2024 09:50,7.2,6.4,6.3,1525,-227.2,24250,7525,N,-5800,YES,286.1,293.3,298,281.9,1.32,13-12-2024 09:50,24388.7,24389.65,24369.1,24373.4
13-12-2024 09:55,10.65,6.7,6.05,-56850,-853.3,15175,12350,N,7850,N,-2.22,24430,24440.65,13-12-2024 09:55,-0.3,-0.45,-0.5,-71625,-67,26150,18725,Y,62150,N,80.25,79.95,84.6,78.9,-1.29,13-12-2024 09:55,-6.65,-5.75,-5.8,-38100,-230.2,24100,-1800,Y,4000,N,293.85,287.2,295,275.8,0.94,13-12-2024 09:55,24373.4,24395.15,24370.5,24380.65
13-12-2024 10:00,11.7,13.7,13.4,-141650,-601.6,16175,12150,N,-4225,Y,-1.34,24440.8,24452.5,13-12-2024 10:00,2.9,3.5,3.45,-88800,-73.15,35225,69425,Y,101850,YES,79.9,82.8,84.55,77,-1.14,13-12-2024 10:00,-9.35,-11.2,-11.3,-5550,-223.65,29600,-1725,N,10350,N,287.2,277.85,293.25,271.35,0.69,13-12-2024 10:00,24382.45,24399.9,24372.95,24395.85
