last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_ltp_diff,n_buy_diff,n_sell_diff,ce_ltp_diff,ce_buy_diff,ce_sell_diff,pe_ltp_diff,pe_buy_diff,pe_sell_diff,percentage
22-11-2024 09:40,-0.4854885897553105,-0.9127099799987449,0.5406743398782781,-0.5842068764804158,-0.3689437779447588,0.15664364854300258,0.6543521410101468,0.5655578514633494,0.07084886905437726,-20.0,112450,74875,-16.75,34575,3725,11.350000000000023,-1975,75500,48.21584526809317
22-11-2024 09:45,0.47131265738168626,-0.8238155914773435,-0.46959230784290396,0.6729200312526437,-0.8698212551782644,-0.4771782990017806,0.6406857484507691,-0.6494258165168114,-0.27865906911275384,-12.0,7025,-4625,-9.25,-4025,58825,5.650000000000006,22200,-6250,59.482341957943966
22-11-2024 09:50,0.5947270400051703,0.16454110398461655,-0.45414828665048307,0.5861102670818835,-0.3953878745515265,0.2854403105650488,0.8348832263783582,-0.831270945184541,-0.6225942509416962,4.5,-73725,57125,3.1999999999999886,44225,5075,-3.3000000000000114,-26025,575,52.99003672603694
22-11-2024 09:55,0.545666720320104,-0.6907130085136719,-0.19905332342980298,0.778866727631416,0.33853202228324397,0.7139539702029687,0.2375398511008905,-0.7196991076767519,-0.0012244403965841254,42.20000000000073,4025,-9450,22.200000000000017,71600,15000,-20.0,-7500,36025,46.94721301728259
22-11-2024 10:00,0.5933033181200066,-0.950862925565852,-0.49529044886647694,-0.7977422424995356,-0.9708130911083963,0.7761259434488974,0.7114295489661628,-0.9102481585541221,-0.5399617293636516,69.34999999999854,107000,-133850,58.44999999999999,-74100,-157850,-20.500000000000014,31875,47975,74.95308229436779
22-11-2024 10:05,0.611071334927773,0.3540589158857029,0.8231962462776096,-0.36588890049406764,-0.6928827627840125,-0.008977827527956317,0.21519198642417656,-0.49321498427797567,0.08646487906783357,22.799999999999272,22250,194950,18.75,-28850,-10975,-5.5,23800,30350,40.56608708519008
22-11-2024 10:10,-0.09641222906788875,-0.35914169097128784,0.4139275599108645,0.11148024008179237,-0.19422039339454925,0.8976104337908681,0.39970667947338695,-0.4536825326805763,0.39973637370748744,-6.349999999998545,11400,15350,-9.399999999999977,9775,38925,1.75,37250,36300,36.954645923096685
22-11-2024 10:15,0.14556358378423864,-0.42950053624129514,-0.14893668957939135,-0.029433044034104624,-0.1589930936596963,0.9493007029455335,0.5702922804965395,-0.19040373583722547,0.2506796174548205,-4.849999999998545,-2400,12075,-5.150000000000034,-276050,-12975,0.6500000000000057,12625,32175,31.923369822587166
22-11-2024 10:20,0.7775429378390886,-0.3092853705834151,-0.36299826246052813,0.8507640244506322,-0.6396791915828907,-0.3886847783182312,0.5412569959631024,-0.8200285980737958,-0.3799623265653259,-45.95000000000073,-6225,50,-35.69999999999999,-13625,6000,16.099999999999994,5300,-61025,56.335583175966775
22-11-2024 10:25,0.6552827494227772,-0.27498277444249697,-0.11061529891942669,0.7287177591134113,-0.1881817055744808,0.032594744301832845,0.5930008110644395,-0.7447965036994761,-0.2707683276251517,11.05000000000291,10225,13725,12.199999999999989,11025,-7375,-3.700000000000003,-21250,6725,39.988229712927705
22-11-2024 10:30,-0.0025786455262785057,-0.48293293899535317,-0.09831945238511144,0.5637833135909985,-0.8066345631031946,-0.33048790843983544,0.7443901089949339,-0.06618143817474746,0.43581821879625915,-12.0,1550,-8525,-4.650000000000034,-1250,10425,3.200000000000003,13100,19075,39.23473986674124
22-11-2024 10:35,0.5663564073555744,-0.6641818536279865,-0.4537768896934231,0.45299709588484927,-0.32149030433277975,0.29880286091891445,0.8755825036588122,-0.5370470668663914,-0.4034225175206037,11.950000000000728,1675,525,6.5,4800,4750,-3.8000000000000114,-3925,8075,50.818416665103726
22-11-2024 10:40,0.7947371847459228,-0.8917007365489401,-0.8235575299699076,0.9151830469041822,-0.35920315773775074,-0.17353576343372978,-0.33338490815046823,-0.872809957156444,0.5096812382962047,-38.0,-8700,11950,-23.849999999999966,-8750,128350,11.799999999999997,-26925,-60200,63.04215025492833
22-11-2024 10:45,0.48565510426215536,-0.30903480934964145,-0.246718629703396,0.6964507420449636,-0.7055081617125669,-0.1997163290284892,0.5779426899223816,-0.9455987762980496,-0.4654028646766557,-57.29999999999927,-2250,2225,-32.25,-7550,24900,28.25,34275,-103300,51.46697896664778
22-11-2024 10:50,0.39765994218369716,-0.4884508694499638,0.05271014424808434,0.6979059152783638,-0.6260397453840553,-0.7005645074128328,0.7298558882223851,-0.450978412609849,-0.34780004993013286,47.5,5925,-6200,25.0,26775,-15650,-18.69999999999999,-47550,45850,49.91072749688182
22-11-2024 10:55,0.05331171315439355,-0.45443118221910234,0.12804294721608475,0.32612469414451045,-0.7990324131389455,-0.23668224657102202,0.8674096562606542,-0.509036616425732,-0.19943997993466347,4.099999999998545,12325,525,0.10000000000002274,-5400,1650,-0.30000000000001137,7850,35225,39.705682767390094
22-11-2024 11:00,0.24779802911461443,-0.517237537271908,-0.035002750326786736,-0.12453506347383586,-0.6312432882006406,0.4691262615098062,0.7720670423647378,-0.5825595590089706,-0.6143906904325664,-15.799999999999272,750,6025,-6.449999999999989,1075,7675,3.3499999999999943,21000,-9125,44.37733579670963
22-11-2024 11:05,0.4316802180609437,-0.6625784921602241,-0.17357896822014288,0.3571861411864076,-0.4287528102962706,0.11847017282956593,0.6604930943941109,-0.5810253709393827,-0.4161242844898555,-11.44999999999709,500,3550,-6.699999999999989,-8700,-375,4.449999999999989,13675,-3850,42.5543283619656
22-11-2024 11:10,0.5407599141040172,-0.3211717730770414,0.13614412992029423,0.7423313593585994,-0.1786377151790666,-0.09860734362417437,0.8874284569104139,-0.509685844810033,-0.35120128711534143,11.299999999999272,6175,200,2.5,3375,2175,-4.900000000000006,-15325,69875,41.84408693443313
22-11-2024 11:15,0.6523412185182581,-0.41880008785532413,-0.25600219175083777,0.5472106730224116,-0.9383890378606357,-0.5995684235171191,0.7821617675764646,-0.6038883714886577,-0.7552512015099733,-4.400000000001455,2475,5700,-6.550000000000011,-775,9050,3.5,35650,-20125,61.70681081221869
22-11-2024 11:20,0.7133604547476241,-0.6492119897376764,-0.4373695825639442,0.8284514532409706,0.3563791332871012,0.20248730853916302,-0.07319720442951848,-0.7141411178971772,0.24588929412155938,3.5,-4375,400,-1.25,-4200,-1500,0.6999999999999886,3450,-24625,46.894305984052615
22-11-2024 11:25,0.18810881711504066,-0.4855671884749932,-0.12338470734171483,0.765268939873006,-0.0586574192678136,0.15979113325175812,0.24437553452606797,-0.6820537356581283,0.34218103523755083,10.599999999998545,625,-1800,6.399999999999977,7125,1525,-2.0999999999999943,15200,16625,33.882094563845264
22-11-2024 11:30,0.8108997253609288,-0.16345972882523851,-0.09806887950102453,-0.22346886399527324,-0.3084149267816726,0.35268288465827313,0.44988098948225974,-0.779243070276755,-0.45821186856140766,13.549999999999272,5425,775,2.3500000000000227,-1125,6925,-1.6000000000000227,-32300,91450,40.492565971587034
22-11-2024 11:35,0.6868376240316182,-0.8557841750915676,-0.4318418122519595,-0.44699425489036554,-0.9747074072795626,0.4645999166946627,0.9672832623809692,0.28624663158590075,0.26165575693095106,51.45000000000073,10475,-19925,32.19999999999999,-8450,-49550,-14.900000000000006,-66825,-35375,59.73278712375064
