last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
25-04-2025 09:25:00,98.79999999999563,94.80000000000291,110.59999999999854,-84960.0,-1634.199999999255,9450.0,6330.0,N,8130.0,N,-7.510000000002037,55182.4,55281.2
25-04-2025 09:30:00,-110.0,-112.0,-122.19999999999709,-14370.0,-3008.199999999255,15990.0,1470.0,YES,10350.0,N,-13.069999999999709,55280.0,55170.0
25-04-2025 09:35:00,-146.0,-138.40000000000146,-143.79999999999563,13980.0,-2212.60000000149,13950.0,-17610.0,YES,8340.0,N,-26.81999999999971,55178.8,55032.8
25-04-2025 09:40:00,-25.400000000001455,-25.19999999999709,-17.799999999995634,3060.0,-2956.0,17340.0,8040.0,Y,1650.0,Y,-40.150000000001455,55030.0,55004.6
25-04-2025 09:45:00,-89.59999999999854,-102.0,-104.19999999999709,15090.0,-2849.60000000149,17940.0,5610.0,N,4260.0,N,-47.91000000000349,55014.2,54924.6
25-04-2025 09:50:00,43.19999999999709,58.599999999998545,51.400000000001455,27210.0,-3321.800000000745,17250.0,10440.0,N,-8730.0,Y,-18.989999999997963,54920.8,54964.0
25-04-2025 09:55:00,-28.19999999999709,-28.80000000000291,-30.80000000000291,-52590.0,-2715.9999999962747,16980.0,4020.0,N,11190.0,N,-21.209999999999127,54964.0,54935.8
25-04-2025 10:00:00,-210.8000000000029,-203.40000000000146,-203.0,-186600.0,-2129.8000000044703,17940.0,-12750.0,YES,3180.0,N,-56.95999999999913,54937.4,54726.6
25-04-2025 10:05:00,115.80000000000291,110.0,112.80000000000291,10110.0,-3633.0000000037253,16320.0,29880.0,Y,-7800.0,Y,-23.56999999999971,54721.2,54837.0
25-04-2025 10:10:00,53.80000000000291,59.599999999998545,53.39999999999418,-83610.0,-2372.199999999255,15780.0,-6900.0,YES,-600.0,N,-11.760000000002037,54837.0,54890.8
25-04-2025 10:15:00,-30.80000000000291,-25.599999999998545,-24.0,-229830.0,-1825.0,14010.0,5940.0,N,-4470.0,Y,-23.669999999998254,54890.8,54860.0
25-04-2025 10:20:00,28.19999999999709,26.599999999998545,29.400000000001455,-170130.0,-2210.9999999962747,15960.0,6390.0,N,-14100.0,Y,-5.319999999999709,54860.0,54888.2
25-04-2025 10:25:00,-144.40000000000146,-139.0,-144.40000000000146,6270.0,-2337.60000000149,14430.0,6780.0,N,-690.0,N,-6.879999999997381,54886.6,54742.2
25-04-2025 10:30:00,-50.19999999999709,-51.0,-59.19999999999709,0.0,-2921.800000000745,17070.0,-9750.0,YES,18150.0,N,-14.150000000001455,54750.2,54700.0
25-04-2025 10:35:00,22.60000000000582,22.0,30.0,-6870.0,-2864.599999997765,12690.0,6840.0,N,3090.0,N,-5.059999999997672,54695.2,54717.8
25-04-2025 10:40:00,-37.599999999998545,-47.400000000001455,-43.0,2940.0,-2605.39999999851,14880.0,-5070.0,YES,6690.0,N,-7.1600000000034925,54723.0,54685.4
25-04-2025 10:45:00,29.400000000001455,29.19999999999709,31.0,15810.0,-2799.199999999255,12780.0,10950.0,N,-3510.0,Y,-6.970000000001164,54675.6,54705.0
25-04-2025 10:50:00,-45.0,-40.599999999998545,-46.400000000001455,4740.0,-1710.800000000745,12840.0,-2220.0,YES,540.0,N,-6.44999999999709,54705.0,54660.0
25-04-2025 10:55:00,-70.0,-67.0,-60.19999999999709,17160.0,-1811.0,12780.0,-4590.0,YES,3000.0,N,-12.069999999999709,54660.0,54590.0
25-04-2025 11:00:00,-8.19999999999709,0.7999999999956344,-8.19999999999709,-47220.0,-2102.199999999255,15270.0,630.0,N,-2370.0,Y,-9.919999999998254,54603.0,54594.8
25-04-2025 11:05:00,98.19999999999709,83.20000000000437,98.0,-121110.0,-2655.3999999947846,13410.0,3300.0,N,-6930.0,Y,-6.380000000004657,54594.8,54693.0
25-04-2025 11:10:00,-56.599999999998545,-39.0,-49.599999999998545,12930.0,-2470.0,11400.0,4170.0,N,-4050.0,N,-4.440000000002328,54693.0,54636.4
25-04-2025 11:15:00,-59.599999999998545,-65.19999999999709,-70.19999999999709,-3120.0,-2773.2000000029802,10950.0,-6960.0,YES,4350.0,N,-4.470000000001164,54636.4,54576.8
25-04-2025 11:20:00,7.799999999995634,0.0,4.400000000001455,223080.0,-2386.1999999955297,13110.0,-780.0,N,-2910.0,Y,-7.540000000000873,54576.8,54584.6
