last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
2024-11-12 09:25:00,7.900000000000006,8.25,8.350000000000023,-8725,-104.5,14000,4275.0,N,-75.0,N,173.45,181.35,183.55,168.3,1.4099999999999966
2024-11-12 09:30:00,-5.100000000000023,-6.050000000000011,-6.25,-35250,-160.30000000001746,22025,-9875.0,YES,-30500.0,Y,182.05,176.95,194.75,171.85,3.460000000000008
2024-11-12 09:35:00,38.25,38.599999999999994,39.0,-7350,-180.79999999998836,19225,4325.0,N,-31550.0,Y,176.95,215.2,222.2,174.1,7.47999999999999
2024-11-12 09:40:00,-6.25,-5.650000000000006,-5.699999999999989,-3875,-186.84999999999127,21800,8100.0,N,11775.0,YES,213.75,207.5,219.2,196.0,2.740000000000009
2024-11-12 09:45:00,2.0500000000000114,1.700000000000017,1.75,-12000,-191.44999999998254,20900,-4325.0,YES,-5750.0,Y,206.7,208.75,232.0,202.8,3.539999999999992
2024-11-12 09:50:00,11.950000000000017,10.349999999999994,10.400000000000006,-27600,-191.89999999999418,23425,14450.0,N,14300.0,YES,206.95,218.9,218.9,193.55,1.3899999999999864
2024-11-12 09:55:00,-73.55000000000001,-73.5,-73.6,4625,-188.20000000001164,19150,-39775.0,YES,10975.0,N,218.15,144.6,220.9,144.35,-1.1200000000000045
2024-11-12 10:00:00,57.05000000000001,56.5,56.5,8325,-170.89999999999418,20925,43525.0,Y,-18700.0,Y,140.2,197.25,209.2,139.25,-1.9499999999999886
2024-11-12 10:05:00,-12.950000000000017,-12.450000000000017,-12.450000000000017,17925,-182.14999999999418,22525,1000.0,YES,8650.0,YES,198.15,185.2,207.3,184.55,0.5
2024-11-12 10:10:00,4.599999999999994,5.449999999999989,5.449999999999989,8225,-161.39999999997963,23725,17625.0,N,-2400.0,Y,187.85,192.45,200.1,170.05,0.0800000000000125
2024-11-12 10:15:00,-13.149999999999977,-13.400000000000006,-13.049999999999983,-5950,-163.64999999999418,24250,200.0,YES,1875.0,N,192.45,179.3,195.35,168.45,-0.21999999999999886
