last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
14-05-2025 09:15,39.3,43.1,40,-84000,-1070.9,34125,183000,N,25050,N,8.4,24682,24721.3,21.8,22.75,22.7,-35700,-126.15,39750,340800,N,262275,N,0.68,-20.95,-20.45,-20.6,11625,-95.2,37050,111375,N,377925,N,-9.89,53.4,59.8,50.8,-2340,-2896.2,14460,3090,N,27030,N,-14.2,55096.6,55150
14-05-2025 09:20,28.8,30.9,33,-107625,-1190.9,51525,93000,N,-16200,Y,22.53,24721.3,24752,26.95,27,27.15,-13125,-196.5,55575,-60825,YES,-156075,Y,13.36,-6.75,-7.15,-7.15,-76500,-113.35,59700,230925,YES,437550,Y,-6.9,17.2,25.6,30.6,4650,-4146.2,18330,11190,N,2220,Y,-0.34,55153,55170.2
14-05-2025 09:25,23,20,22.6,-588750,-1251.8,46275,-62325,YES,13425,YES,15.14,24752,24769.5,5.6,5.4,5.35,-146100,-224.25,57075,-265275,YES,-162150,Y,8.63,-10,-9.8,-9.85,29400,-104.7,67650,-319575,Y,213750,N,-6,-2.2,0.2,-3.4,34740,-3026.2,17670,4770,N,-2850,Y,10.41,55182,55179.8
14-05-2025 09:30,-52.7,-52.7,-52.1,-104475,-1557.2,43800,12375,Y,-7800,Y,1.99,24770.6,24717.9,-37.9,-37.6,-37.6,-3075,-207.1,58350,-74700,Y,192975,YES,0.8,19.35,19.2,19.25,-130500,-116.7,63075,212700,YES,-307575,YES,-2.97,-158.8,-151.8,-145.8,20250,-4561.2,17490,-13020,YES,19290,YES,-14.49,55179.8,55021
14-05-2025 09:35,12.1,12.6,18.4,-91275,-1719.4,42975,-3225,YES,134625,YES,-0.06,24720.9,24731.8,0.8,0.2,0.15,22575,-196.55,63900,216675,Y,196275,N,-0.4,-8.55,-8.55,-8.55,-65550,-125.9,68250,90300,N,256950,Y,-1.04,6,18,6.8,6780,-3723,17760,16110,Y,5460,N,-14.3,55034,55040
14-05-2025 09:40,66.2,64,63.1,-462825,-1353.7,47325,-1575,N,-38100,Y,6.15,24731.8,24798,44.8,44.3,44.35,-30525,-220.9,66000,-65250,YES,-244275,Y,3.21,-25.7,-25.8,-25.8,122325,-98.8,70950,-151800,Y,332100,Y,-3.75,107.8,115.2,105.6,2850,-2788.8,15330,7590,N,840,Y,0.05,55040,55147.8
14-05-2025 09:45,-1,-3.8,-1.6,-82125,-1276.3,45075,-24525,YES,-30000,N,6.24,24795.8,24792,-2.25,-2.95,-2.85,18600,-226,60525,-31050,Y,-61950,YES,2.15,-0.65,-0.6,-0.7,-34725,-82.15,76125,102750,YES,174075,N,-2.54,-28.2,-21.8,-26.4,-6960,-2632.6,12330,-21360,YES,15330,N,0.33,55147.8,55119.6
14-05-2025 09:50,-30,-33,-31,10050,-1407.6,47775,20475,Y,-24750,N,0.91,24790,24757,-27.6,-27.95,-28.1,-39450,-202.85,58425,95550,Y,137700,YES,-0.08,9.3,9.95,10.05,1575,-103.85,69675,-4350,Y,-183900,YES,-2.46,-103.6,-85.6,-101.2,5670,-4140.4,15930,15570,Y,11760,N,-14.93,55128.2,55024.6
14-05-2025 09:55,22.3,22.3,19.3,-77775,-1215.4,37950,86775,Y,-525,YES,1.9,24757,24779.3,15.45,15.5,15.6,14925,-219.3,59025,-51225,YES,-7275,Y,0.86,-10,-10.3,-10.35,81150,-91.1,72525,178575,YES,250575,Y,-1.8,28.2,45.6,37.6,-55170,-3350.6,19290,12510,N,-14820,Y,-4.35,55027.4,55055.6
14-05-2025 10:00,5,0.6,0.1,-145950,-990.5,37800,6900,N,28575,YES,1.15,24780,24780.6,-4.3,-5,-5,46950,-210.2,62700,30150,Y,32700,YES,0.36,-1.5,-1.35,-1.35,-26700,-85.45,81225,-33525,Y,65175,N,-1.52,19,17.2,17.4,-7530,-2898.4,17040,-11520,YES,810,N,-1.31,55059.2,55078.2
