last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
10-01-2025 09:15,12.3,13.05,9.75,68025,-1066.15,18525,92150,N,71250,N,10.67,23619.95,23632.25,-0.8,0.1,-0.25,-19725,-122.6,40200,344550,N,172200,N,2.28,10-01-2025 09:15,-13.5,-11.95,-12.05,94425,-145.75,38100,332100,N,173100,N,-11.14
10-01-2025 09:20,7.6,3.8,6.35,-23500,-936.7,21425,26200,N,68925,N,7.05,23630.25,23637.85,5.05,6.25,6.4,27750,-139.75,39675,79725,N,240300,YES,5.08,10-01-2025 09:20,0.2,-0.9,-0.8,-29400,-149.9,39375,-451125,Y,122325,N,-4.74
10-01-2025 09:25,-43.95,-42.25,-39.55,-31425,-715.8,21000,-33350,YES,20350,N,-5.79,23637.85,23593.9,-17.35,-17.95,-17.8,26700,-124.25,41625,-87225,YES,132525,N,-2.85,10-01-2025 09:25,21.65,22.95,23,-48525,-155.05,43725,85950,YES,-88950,YES,4.42
10-01-2025 09:30,-55.15,-55.2,-53.5,-21325,-1084.75,19575,-25175,N,13100,N,-18.26,23595.15,23540,-16.5,-16.75,-16.65,20550,-114.05,46425,-25725,Y,90150,N,-4.78,10-01-2025 09:30,35.25,36.1,36.1,-19875,-188.95,43425,-88575,Y,-45075,Y,9.69
10-01-2025 09:35,-27.4,-24,-28.1,79500,-921.1,18975,66025,Y,119300,YES,-17.68,23545.1,23517.7,-5.35,-5.6,-5.6,33075,-89,40875,60825,Y,41700,N,-4.15,10-01-2025 09:35,17.6,17.05,17.1,-16500,-204.3,41625,-92175,Y,-28575,N,7.59
10-01-2025 09:40,20.65,16,19.85,6925,-1282.3,15625,22350,N,483350,YES,-6.78,23516.85,23537.5,6.15,6.1,6.2,27675,-102.55,41850,78825,N,37950,N,-2.83,10-01-2025 09:40,-15.65,-15.8,-15.75,-13425,-204.15,43800,-42075,YES,43200,Y,3.3
10-01-2025 09:45,-41.7,-39.9,-40.55,8100,-1021.9,16250,-10975,YES,104400,N,-9.77,23540.1,23498.4,-13.6,-13.7,-13.8,-54525,-96.25,45600,-76875,YES,30825,N,-2.88,10-01-2025 09:45,24.7,25.4,25.45,-12525,-221.7,42675,24525,YES,-36375,YES,3.77
10-01-2025 09:50,-2.25,-2.2,1.25,-19300,-1029.85,24275,25175,Y,20825,N,-6.61,23498.2,23495.95,-2.45,-2.25,-2.25,-44400,-91.6,47025,48900,Y,55350,YES,-2.43,10-01-2025 09:50,0.55,0.35,0.5,11400,-214.1,44700,-9975,Y,12975,Y,2.2
10-01-2025 09:55,-49,-45,-45.9,78275,-946.7,23825,-109750,YES,17425,N,-12.17,23495,23446,-11.3,-9.7,-9.6,55050,-91.55,47175,-28275,YES,91950,YES,-3.19,10-01-2025 09:55,34.7,30.45,30.55,-49575,-239.05,45000,-10800,Y,-71325,YES,3.91
10-01-2025 10:00,-11.45,-9.45,-9.35,-2700,-1239.25,17050,13425,Y,74025,YES,-9.25,23448.05,23436.6,-1.95,-1.4,-1.4,-46500,-87.85,41325,74400,Y,68925,N,-1.98,10-01-2025 10:00,8.1,6.25,6.3,-10350,-257.6,42525,-16875,Y,7200,Y,2.28
10-01-2025 10:05,39.55,35.95,36.9,41075,-828.15,19025,18300,N,19000,N,-6.51,23433.35,23472.9,7.75,8.05,8.05,-20175,-88.85,42975,115500,Y,-10200,Y,-2.31,10-01-2025 10:05,-23.45,-24.15,-24.35,2700,-279.55,38850,-25200,Y,18825,N,2.39
10-01-2025 10:10,1.2,4.6,6.05,10450,-1143,18450,30875,N,19575,N,-4.01,23474.7,23475.9,2.55,2.2,2.25,-86400,-89.55,44250,41625,N,-21375,Y,-1.55,10-01-2025 10:10,-6.15,-3.45,-3.4,28050,-250.3,44625,-7800,N,5325,N,1.66
10-01-2025 10:15,18.45,21.8,19.95,10100,-1018.15,17825,61750,Y,-10700,Y,-2.57,23475.9,23494.35,2.6,3.9,3.85,-70650,-89.2,41100,41025,N,-40575,Y,-1.37,10-01-2025 10:15,-14.15,-15.35,-15.8,-10575,-241.2,44475,-22725,Y,29925,Y,1.04
10-01-2025 10:20,20.65,23.3,28.95,-19450,-897.35,16925,68650,N,3325,N,-1.83,23494.35,23515,8,7.9,8.05,-14775,-89.15,42375,-53550,YES,-105075,Y,-1.29,10-01-2025 10:20,-19.75,-19.65,-19.75,1425,-207.8,41775,-10950,N,13350,N,1.02
10-01-2025 10:25,-35.4,-35.8,-37.25,-5800,-982.95,17425,-2775,YES,20025,N,-1.06,23515.4,23480,-11.25,-11.25,-11.25,33450,-90,46275,-20925,Y,46800,YES,-0.81,10-01-2025 10:25,23.85,24.7,24.5,24825,-204.6,43350,37275,YES,225,YES,0.94
10-01-2025 10:30,-8,-8,-9.85,-800,-893.55,17650,16650,N,6400,N,-0.85,23480,23472,-3.65,-3,-3.15,41550,-87.25,48825,-12900,N,47100,N,-0.79,10-01-2025 10:30,7.9,7.95,8.1,-32325,-214.3,42975,-2025,Y,-11175,YES,1.07
10-01-2025 10:35,2,4,3.95,-14075,-1073.95,19525,-6550,YES,-10175,Y,-1.14,23474,23476,1.45,1,1.15,45000,-89.5,50850,93675,Y,39300,N,-0.8,10-01-2025 10:35,-1.15,-1.6,-1.6,-16650,-230.4,47850,39525,YES,10950,Y,0.85
10-01-2025 10:40,43.15,39.3,42,-44350,-1080.4,14600,47325,Y,-10850,Y,-0.59,23476,23519.15,13.15,13.05,13.05,49650,-95.45,48225,-63900,YES,-63225,Y,-0.57,10-01-2025 10:40,-31.3,-30.6,-30.7,-5025,-216.15,41100,-38700,Y,-750,YES,0.62
10-01-2025 10:45,17.15,18.15,18.9,-46550,-1092,19725,-67675,YES,-3400,N,0.5,23515.3,23532.45,5.7,6.75,6.7,-28650,-97.8,41100,5025,Y,-137100,Y,-0.27,10-01-2025 10:45,-13.65,-16.1,-16.2,-12000,-186.2,42750,-19050,N,11925,N,0.33
10-01-2025 10:50,11.95,11.95,9.05,-122450,-1025.2,18350,45825,Y,-31300,Y,0.25,23532,23543.95,3.9,3.8,3.7,-7125,-108.85,44850,6225,N,28125,YES,-0.25,10-01-2025 10:50,-8.05,-7.1,-7.05,-10950,-187.9,44325,27750,YES,12600,N,0.17
10-01-2025 10:55,5.3,1.05,-0.9,44150,-1067.5,20150,19625,N,6300,YES,0.27,23540.1,23545.4,-2.05,-2.6,-2.7,-13575,-97.85,42150,25800,N,16875,N,-0.09,10-01-2025 10:55,-2.65,-1.2,-1.1,3900,-182.6,41175,12675,N,15525,N,0.05
10-01-2025 11:00,55.9,57.5,56.55,-20125,-1131.2,16025,29525,N,-34450,Y,2.88,23545.4,23601.3,24.05,24.15,24.15,-5775,-112.7,41025,61125,Y,-342825,Y,0.67,10-01-2025 11:00,-30,-29.95,-30.05,20325,-174.3,43725,-22275,Y,18450,N,-0.63
10-01-2025 11:05,12.6,11.7,12,56775,-911.5,20775,-10075,YES,39025,YES,6.3,23607.4,23620,6.75,6.85,6.95,6225,-132.6,42525,-50400,YES,78300,YES,1.89,10-01-2025 11:05,-9.75,-10.5,-10.5,-9600,-144.8,44775,81825,YES,39600,Y,-1.85
10-01-2025 11:10,24,23.65,21,-55250,-722.3,23200,8175,N,-44050,Y,4.62,23620,23644,11.2,11.05,11,-46500,-128.7,42525,150,Y,-116925,Y,1.29,10-01-2025 11:10,-14.6,-13.75,-13.7,16200,-150.7,38625,-58800,Y,69225,Y,-1.64
10-01-2025 11:15,30.3,24.7,28.3,-183325,-827.9,21100,375,YES,26725,YES,12.4,23644,23674.3,17.55,16.9,16.85,26925,-144.45,44400,-5175,YES,-15675,YES,4.26,10-01-2025 11:15,-7.65,-6.5,-6.6,-26025,-127.3,40650,129150,YES,101400,Y,-4.57
10-01-2025 11:20,-42,-45.45,-44.25,30300,-1040.65,19975,-45175,YES,42825,N,2.54,23671.7,23629.7,-25,-24.2,-24.25,-16800,-132.6,39825,-97050,YES,63075,YES,1.66,10-01-2025 11:20,17.95,17.5,17.45,-32250,-135.9,37575,25650,N,-57300,YES,-3.34
10-01-2025 11:25,10.75,10,11,18825,-1343.2,17175,5350,Y,-13475,Y,1.36,23626,23636.75,2.6,2.85,2.9,-64875,-122.9,39000,31950,Y,-9675,Y,0.63,10-01-2025 11:25,-8.95,-8.75,-8.5,-10125,-135,38925,-51600,Y,2250,Y,-1.62
10-01-2025 11:30,32.4,31.95,30,-69825,-989.95,17050,13825,N,11475,YES,2.83,23637.6,23670,14.7,15.45,15.35,-58725,-147.7,39975,-18300,YES,45000,YES,2.64,10-01-2025 11:30,-13.05,-13.2,-13.2,5475,-130.45,39450,35550,YES,71850,Y,-3.43
10-01-2025 11:35,-25,-28.3,-25.5,6150,-1191.2,15500,34500,Y,-29500,Y,1.14,23670,23645,-13.45,-14.2,-14.25,-16125,-140.1,40125,-37050,YES,63000,N,1.14,10-01-2025 11:35,9.3,9,9.25,47175,-125.2,40950,37500,N,2925,YES,-1.66
10-01-2025 11:40,-45.95,-45.05,-48.55,-20000,-1174,16525,48175,N,-20050,N,0.94,23640.05,23594.1,-26.55,-26.25,-26.3,-24975,-119.8,39750,-22575,N,22575,N,0.21,10-01-2025 11:40,28.1,28.15,28.25,-31500,-152.1,42225,-28950,Y,-46725,YES,-1.21
10-01-2025 11:45,10.2,9.65,10.75,-1775,-1330.1,22900,79600,Y,14250,YES,0.71,23594,23604.2,9.25,8.65,8.65,50850,-118.1,39825,72150,Y,24900,N,0.01,10-01-2025 11:45,-9.5,-8.6,-8.55,-8100,-162.95,39975,-34800,Y,20775,Y,-0.47
10-01-2025 11:50,-19.75,-10.95,-14.45,76500,-1054.05,18100,16625,N,18625,N,0.38,23608.75,23589,-9.45,-10.1,-10.15,41400,-107.15,45075,-26850,YES,98325,YES,-0.06,10-01-2025 11:50,3.7,4.2,4,-22725,-152.25,40650,24825,YES,15000,N,-0.21
10-01-2025 11:55,24.6,23,26.8,-37750,-1028.35,15400,6625,N,12100,N,0.38,23589,23613.6,9.35,9.2,9.25,-70875,-111.8,44175,66975,Y,-58425,Y,-0.1,10-01-2025 11:55,-11.5,-11.05,-11.15,5925,-154.1,38175,-19200,Y,14025,N,-0.38
10-01-2025 12:00,7.1,10.75,7.6,19375,-927.9,14600,28825,Y,-16400,Y,0.63,23613.6,23620.7,2.65,2.65,2.65,-3000,-124.8,47625,9675,N,18375,YES,0.1,10-01-2025 12:00,-4.25,-4.35,-4.35,-27750,-148,43650,58500,YES,9300,N,-0.45
10-01-2025 12:05,-37.65,-36,-35.75,49625,-1015.6,12850,53525,Y,2650,N,0.24,23620.75,23583.1,-17.5,-16.9,-16.9,-73800,-109.85,39450,-34350,YES,56850,YES,-0.14,10-01-2025 12:05,19.15,18.2,18.25,30150,-149.15,38475,-27900,Y,-29925,YES,-0.3
10-01-2025 12:10,15.6,14.55,14.25,-81475,-1180.4,18950,-10875,YES,88650,YES,0.22,23580.8,23596.4,8.15,8.8,9,-33150,-108.1,41850,49800,Y,-43950,Y,-0.48,10-01-2025 12:10,-7.45,-8.2,-8.3,-4200,-165,40275,-42675,Y,300,Y,-0.01
10-01-2025 12:15,33,39.4,33.6,-65175,-944.35,17525,2400,N,-7575,Y,1.18,23596.4,23629.4,16.65,17.3,17.45,4575,-110.95,34350,33225,N,-93900,Y,0.24,10-01-2025 12:15,-19.5,-19.9,-19.8,-1425,-124.4,36450,38400,YES,53850,Y,-0.82
10-01-2025 12:20,-38.45,-31.4,-30.4,1500,-1221,16950,19675,N,5575,N,0.5,23629.55,23591.1,-14.8,-14.5,-14.6,13050,-111.8,41625,-28650,YES,51750,YES,0.01,10-01-2025 12:20,15.4,14.8,14.8,-3000,-140.7,41175,12075,N,-31050,YES,-0.5
