last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2025-06-23 09:15:00,-14.900000000000006,-15.149999999999991,-15.100000000000009,-39075,-66.60000000000582,30300,85500.0,N,96150.0,N,-8.719999999999999
2025-06-23 09:20:00,-6.25,-4.25,-4.25,1500,-127.99999999998545,64500,84075.0,N,278700.0,YES,-7.539999999999992
2025-06-23 09:25:00,-9.75,-9.650000000000006,-9.700000000000003,151425,-121.84999999999854,69075,121800.0,Y,185250.0,N,-6.939999999999998
2025-06-23 09:30:00,-14.799999999999997,-14.849999999999994,-14.850000000000009,128100,-120.75000000001455,68325,-190275.0,YES,230325.0,YES,-5.180000000000007
2025-06-23 09:35:00,11.0,10.549999999999997,10.649999999999991,-34200,-115.30000000000291,68100,248925.0,Y,96975.0,N,-2.6299999999999955
2025-06-23 09:40:00,-6.700000000000003,-7.549999999999997,-7.700000000000003,126600,-110.30000000000291,70800,4575.0,N,169350.0,YES,-1.6800000000000068
2025-06-23 09:45:00,-2.950000000000003,-2.75,-2.75,-15375,-107.5,70650,52125.0,Y,127650.0,N,-2.5200000000000102
2025-06-23 09:50:00,-0.3999999999999915,-0.3499999999999943,-0.3499999999999943,-132225,-103.14999999999418,70050,-22050.0,YES,131025.0,N,-1.3299999999999983
2025-06-23 09:55:00,-3.200000000000003,-3.0999999999999943,-3.0999999999999943,-35025,-106.40000000000146,63150,2505825.0,Y,36375.0,N,-1.2600000000000051
2025-06-23 10:00:00,-5.650000000000006,-5.5,-5.450000000000003,-52800,-98.0,72900,22050.0,N,139650.0,YES,-1.3299999999999983
2025-06-23 10:05:00,6.1499999999999915,6.150000000000006,6.199999999999989,126300,-98.5,76125,114000.0,Y,-3825.0,Y,-1.0
2025-06-23 10:10:00,2.549999999999997,2.6499999999999915,2.6500000000000057,-41775,-102.65000000000873,83175,112800.0,N,-48000.0,Y,-0.6999999999999886
2025-06-23 10:15:00,2.3499999999999943,1.9500000000000028,2.0,-49350,-107.79999999999563,76425,50550.0,N,-15750.0,YES,-0.5500000000000114
2025-06-23 10:20:00,3.8499999999999943,3.75,3.700000000000003,-64725,-107.50000000000728,67950,61725.0,N,-43125.0,Y,-0.5699999999999932
2025-06-23 10:25:00,3.200000000000003,3.1500000000000057,3.1499999999999915,-54375,-98.75,60450,-17625.0,YES,-34950.0,N,-0.4299999999999926
2025-06-23 10:30:00,0.20000000000000284,0.6500000000000057,0.5999999999999943,41100,-117.74999999999272,73425,26400.0,Y,37500.0,YES,-0.20000000000000284
2025-06-23 10:35:00,2.25,2.8500000000000085,2.799999999999997,32925,-112.89999999999418,73950,-38025.0,YES,-123075.0,Y,-0.2600000000000051
2025-06-23 10:40:00,9.150000000000006,8.050000000000011,8.050000000000011,53175,-116.09999999999854,65100,48075.0,Y,-42600.0,YES,0.18999999999999773
2025-06-23 10:45:00,5.849999999999994,6.549999999999997,6.6499999999999915,1650,-135.64999999999418,69300,114450.0,Y,-145725.0,Y,1.0300000000000011
2025-06-23 10:50:00,-10.25,-10.899999999999991,-10.899999999999991,-119625,-131.90000000000146,69075,-2625.0,YES,129675.0,YES,0.37000000000000455
2025-06-23 10:55:00,2.700000000000003,3.200000000000003,3.1500000000000057,825,-126.25,67800,14475.0,N,18150.0,N,0.0899999999999892
2025-06-23 11:00:00,-1.0499999999999972,-1.6500000000000057,-1.7000000000000028,-1800,-131.25,65850,10650.0,N,22575.0,N,0.10999999999999943
2025-06-23 11:05:00,0.5499999999999972,0.45000000000000284,0.45000000000000284,-61350,-126.14999999999418,69000,-109575.0,YES,-5850.0,Y,0.04000000000000625
2025-06-23 11:10:00,6.199999999999989,6.199999999999989,6.199999999999989,90450,-124.69999999999709,74100,59175.0,Y,150.0,N,0.12999999999999545
2025-06-23 11:15:00,-1.6999999999999886,-1.8999999999999915,-1.9499999999999886,-43800,-127.70000000000437,65700,-56550.0,YES,66075.0,YES,0.30000000000001137
2025-06-23 11:20:00,7.650000000000006,7.950000000000003,7.900000000000006,96900,-128.45000000000437,69975,32175.0,Y,-234900.0,Y,0.3199999999999932
2025-06-23 11:25:00,-0.8000000000000114,-0.3499999999999943,-0.3999999999999915,27525,-139.64999999999418,68400,-56475.0,YES,145875.0,YES,0.6799999999999926
2025-06-23 11:30:00,2.8499999999999943,2.4000000000000057,2.4000000000000057,35550,-141.75,70800,24975.0,Y,-13725.0,Y,0.5100000000000051
2025-06-23 11:35:00,2.3499999999999943,2.4000000000000057,2.299999999999997,-66900,-136.34999999999127,67275,28650.0,N,-161925.0,Y,0.6599999999999966
2025-06-23 11:40:00,3.049999999999997,3.0,3.0,-67950,-140.15000000000873,65250,10875.0,N,27675.0,YES,0.7099999999999937
2025-06-23 11:45:00,-6.200000000000003,-6.150000000000006,-6.150000000000006,-61500,-137.8000000000029,67800,-155625.0,YES,-17250.0,Y,0.4099999999999966
2025-06-23 11:50:00,-10.700000000000003,-10.899999999999991,-10.899999999999991,-26775,-133.15000000000873,71850,40500.0,Y,31875.0,YES,0.1600000000000108
2025-06-23 11:55:00,3.25,3.0,3.049999999999997,-34500,-128.5,67125,-70350.0,YES,-43800.0,Y,0.03999999999999204
