last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,bid_price,ask_price,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,bid_price,ask_price,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,bid_price,ask_price
28-03-2025 09:15,23770.1,261225,137175,7350,225,23766,23767,28-03-2025 09:15,104.1,1416675,255600,525,375,103.8346154,104.0961538,28-03-2025 09:15,234.25,665175,50100,600,600,233.7916667,234.35
28-03-2025 09:15,23761,298800,150675,17100,450,23766.17857,23766.96429,28-03-2025 09:15,98.15,1423050,278850,300,450,102.7230769,102.9807692,28-03-2025 09:15,238.75,665850,53025,300,600,237.0416667,237.5083333
28-03-2025 09:16,23756,275100,153900,12525,450,23757.9,23760.625,28-03-2025 09:16,95.6,1409325,313575,675,1050,97.25,97.47272727,28-03-2025 09:16,243.9,668850,55125,750,450,241.1833333,241.6533333
28-03-2025 09:16,23758,284850,167325,11550,3525,23756.275,23757.26786,28-03-2025 09:16,96.45,1420275,294450,525,1575,96.68076923,96.90769231,28-03-2025 09:16,239.4,666225,57525,750,600,241.9807692,242.5423077
28-03-2025 09:16,23752.65,297600,167175,7875,2250,23757.22143,23758.83571,28-03-2025 09:16,94.35,1423050,310200,1725,23250,95.5,95.73,28-03-2025 09:16,243,667875,60225,300,750,239.725,240.25625
28-03-2025 09:16,23750.05,281700,169275,9450,2550,23751.25455,23752.63636,28-03-2025 09:16,92.15,1423500,309150,825,1650,93.8625,94.08333333,28-03-2025 09:16,245,675375,60300,525,600,243.15,243.65
28-03-2025 09:16,23751.65,291525,171900,18450,2100,23751,23751.26154,28-03-2025 09:16,93.25,1450725,313500,975,1125,92.43333333,92.66333333,28-03-2025 09:16,245.4,669675,59925,600,225,245.6227273,246.1136364
28-03-2025 09:16,23751.05,308475,171300,17475,600,23751.0375,23751.32083,28-03-2025 09:16,91.55,1465500,321075,900,1425,92.91666667,93.15,28-03-2025 09:16,246.95,665925,62550,300,375,244.5866667,245.1233333
28-03-2025 09:17,23752,318600,169650,9075,600,23751.08846,23751.57692,28-03-2025 09:17,93.3,1444950,318825,2325,900,92.47083333,92.66666667,28-03-2025 09:17,242.45,651600,62025,450,375,243.3230769,243.8461538
28-03-2025 09:17,23751.05,330075,174900,1200,750,23751.36923,23751.93077,28-03-2025 09:17,93.4,1469100,315975,1275,750,94.14615385,94.35,28-03-2025 09:17,245.65,650850,62850,675,600,243.2033333,243.6633333
28-03-2025 09:17,23750,327900,182550,33825,600,23750.69167,23750.81667,28-03-2025 09:17,92.7,1462575,305925,2025,2325,93.04583333,93.20833333,28-03-2025 09:17,248.4,653025,63525,300,825,248.2071429,248.7285714
28-03-2025 09:17,23750,284850,180225,7950,525,23750.02143,23750.60714,28-03-2025 09:17,93.4,1480500,306075,1725,1350,93.29615385,93.48461538,28-03-2025 09:17,247.25,651525,67725,375,675,247.8461538,248.3884615
28-03-2025 09:17,23756,285000,179325,1725,825,23751.16786,23751.71429,28-03-2025 09:17,96.5,1498125,306900,1125,1800,94.396875,94.590625,28-03-2025 09:17,243.15,651975,64950,525,525,244.29375,244.821875
28-03-2025 09:17,23752.45,276300,180225,825,1425,23752.79231,23753.95,28-03-2025 09:17,95,1498950,320175,1050,1650,95.52,95.7,28-03-2025 09:17,245.2,652350,66150,375,600,244.4846154,245.0153846
28-03-2025 09:18,23750.2,271275,181200,375,900,23750.51667,23751.55833,28-03-2025 09:18,92.45,1491600,319950,975,1050,93.559375,93.746875,28-03-2025 09:18,247.75,655125,66750,375,450,245.505,245.945
28-03-2025 09:18,23747.85,273075,183000,675,525,23747.4,23749.18846,28-03-2025 09:18,91.4,1634550,323550,750,1350,91.57692308,91.77307692,28-03-2025 09:18,249.7,658800,63975,375,600,248.8384615,249.3576923
28-03-2025 09:18,23748.8,277125,184275,900,600,23746.73182,23748.8,28-03-2025 09:18,94.6,1654950,322875,975,2850,92.69230769,92.90769231,28-03-2025 09:18,245.6,657675,64275,450,600,246.8785714,247.3857143
28-03-2025 09:18,23754.4,282000,181950,375,450,23750.0875,23753.81667,28-03-2025 09:18,95.1,1672575,328125,2475,1425,94.71818182,94.93636364,28-03-2025 09:18,244.4,658875,64350,375,525,245.4846154,246.0192308
28-03-2025 09:18,23761.9,286275,182850,375,300,23754.55385,23757.09231,28-03-2025 09:18,96.75,1682775,339675,1575,1650,95.40769231,95.62692308,28-03-2025 09:18,241.25,657225,66825,375,375,242.8333333,243.2416667
28-03-2025 09:18,23760.4,286725,185175,375,525,23758.26154,23759.88846,28-03-2025 09:18,95.55,1688100,338250,2025,1050,96.20714286,96.39285714,28-03-2025 09:18,241.4,654075,71700,525,600,241.2178571,241.7428571
28-03-2025 09:19,23761.1,294975,185100,900,450,23758.70455,23761.28182,28-03-2025 09:19,97.2,1690350,327075,600,2025,96.53333333,96.73333333,28-03-2025 09:19,242.75,653850,71625,600,375,241.1884615,241.6576923
