last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,
03-03-2025 09:15,22370,253650,-225,1950,35475,112875,N,101700,N,6.71,22348.1,22370,03-03-2025 09:15,113.15,5095200,750,-75,35250,286050,N,155475,N,1.34,03-03-2025 09:15,142.6,2609700,-750,-750,37200,203475,N,177525,N,-9.18,
03-03-2025 09:20,22325.95,287775,-75,-2775,42225,63225,N,-10650,Y,-5.12,22370,22325.95,03-03-2025 09:20,94.35,4952925,-150,0,40275,-3420150,YES,188250,YES,-3.31,03-03-2025 09:20,165.85,4512600,150,450,43875,-1973175,Y,-57375,YES,4.67,
03-03-2025 09:25,22320,209925,-75,-150,35025,40875,N,6525,N,-7.41,22328.4,22320,03-03-2025 09:25,90.65,4308975,-75,675,40575,89850,Y,62625,N,-3.85,03-03-2025 09:25,167.7,3303075,-75,225,41925,11025,YES,199425,Y,5,
03-03-2025 09:30,22316.6,122400,-375,225,31350,-30150,YES,50025,YES,-3.69,22321.25,22316.6,03-03-2025 09:30,89,3247725,1200,1425,41025,81525,N,125250,YES,-2.47,03-03-2025 09:30,167.5,1952325,1275,750,42600,8400,N,40800,N,1.79,
03-03-2025 09:35,22320,90900,-150,-225,28650,30525,Y,-4050,Y,-2.65,22316.6,22320,03-03-2025 09:35,89.3,2346900,450,1725,42075,50625,N,55425,N,-1.65,03-03-2025 09:35,167.8,1452000,150,0,39900,1725,Y,14175,N,1.21,
03-03-2025 09:40,22277.75,148050,15525,-1425,34200,45675,N,16650,YES,-3.72,22317.5,22277.75,03-03-2025 09:40,76.25,3397500,75,-2700,41400,-130275,YES,80700,YES,-1.96,03-03-2025 09:40,197.05,2364675,0,525,40050,-2700,Y,-152775,YES,2.05,
03-03-2025 09:45,22226.05,259200,-15375,1425,36450,47625,N,27525,N,-13.86,22275.4,22226.05,03-03-2025 09:45,61.4,5346975,900,-600,43125,-68625,Y,19950,N,-5.13,03-03-2025 09:45,235.3,2979675,150,600,39225,-82125,Y,-154950,YES,8.14,
03-03-2025 09:50,22200.1,216675,-675,-150,33900,31950,N,14475,N,-12.73,22226.6,22200.1,03-03-2025 09:50,52.8,3581925,1275,900,45600,39375,Y,18300,N,-3.64,03-03-2025 09:50,250.7,1237050,75,75,38925,7800,YES,-63825,Y,4.11,
03-03-2025 09:55,22206.35,134250,150,75,34725,68175,Y,54150,YES,-7.19,22200.95,22206.35,03-03-2025 09:55,53.2,2762175,375,975,41400,49575,N,90825,YES,-2.65,03-03-2025 09:55,244.4,699075,300,-75,36600,-27975,Y,30750,Y,2.17,
03-03-2025 10:00,22180,185325,825,150,34575,-49050,YES,18000,N,-10.61,22206.6,22180,03-03-2025 10:00,49.4,3369525,75,-1125,46575,1650,YES,-21825,Y,-3,03-03-2025 10:00,267.65,886800,-300,-150,36450,-29175,Y,-12075,YES,3.37,
03-03-2025 10:05,22166,162300,0,-375,47550,-12525,Y,-1350,Y,-8.54,22180,22166,03-03-2025 10:05,47.6,2172375,-3150,3225,45525,-3300,YES,73275,YES,-1.75,03-03-2025 10:05,275.6,495525,375,750,42825,-16800,N,-10575,N,1.95,
03-03-2025 10:10,22177.2,135600,75,-75,36450,47925,Y,97725,YES,-5.91,22165.05,22177.2,03-03-2025 10:10,49.2,1932375,150,2625,52800,33225,Y,3375,N,-1.33,03-03-2025 10:10,268,481500,375,1200,47700,-14100,N,24300,Y,1.69,
03-03-2025 10:15,22216.35,154050,525,450,33375,10275,N,22650,N,-5.05,22177.2,22216.35,03-03-2025 10:15,56,1809900,2025,-825,50700,119025,Y,-99150,Y,-1.05,03-03-2025 10:15,238.3,434100,-225,-225,45225,-15000,Y,8700,N,1.2,
03-03-2025 10:20,22195,177225,-225,-150,31425,-41775,YES,31800,N,-4.4,22214,22195,03-03-2025 10:20,50.7,2127300,-1200,675,53850,-84525,YES,85575,YES,-1.07,03-03-2025 10:20,254,623175,75,0,38175,17475,YES,14250,N,1.42,
03-03-2025 10:25,22240,137400,0,-150,36300,-58800,YES,-18900,Y,-1.96,22196.6,22240,03-03-2025 10:25,63.95,3224100,150,-675,50775,13800,Y,-154050,Y,-1.11,03-03-2025 10:25,219.75,563625,450,450,40425,-33525,Y,7275,N,1,
03-03-2025 10:30,22215,140700,-975,225,35400,3825,Y,65775,YES,-2.01,22242.85,22215,03-03-2025 10:30,53.85,2897400,-75,600,49125,29550,N,148950,YES,-0.98,03-03-2025 10:30,239.6,533550,0,600,39375,32775,YES,-6600,YES,0.84,
03-03-2025 10:35,22230.45,75075,150,-75,25500,15675,N,1725,Y,-1.03,22215,22230.45,03-03-2025 10:35,57.9,1613925,5175,-150,46275,17175,N,-9525,Y,-0.54,03-03-2025 10:35,229.85,364425,525,450,39975,-7875,Y,8175,N,0.65,
03-03-2025 10:40,22192.5,51375,-150,-225,27150,74550,Y,-31950,Y,-0.97,22230,22192.5,03-03-2025 10:40,48.35,2146650,300,-300,47475,-49350,YES,150075,YES,-0.84,03-03-2025 10:40,258.5,475725,150,-450,40500,19575,YES,-11325,YES,1.07,
03-03-2025 10:45,22223.75,46200,825,-75,29550,23625,N,-68775,Y,-0.74,22192.5,22223.75,03-03-2025 10:45,58.65,1897050,-675,975,52875,50400,Y,-105600,Y,-0.59,03-03-2025 10:45,228.25,389250,-225,75,39675,-6750,Y,22425,Y,0.69,
03-03-2025 10:50,22203,44100,150,225,28275,-22275,YES,12225,YES,-0.62,22223.75,22203,03-03-2025 10:50,50.7,1796775,-1650,600,48825,11175,N,31650,YES,-0.47,03-03-2025 10:50,248,312975,-300,75,42825,4875,N,-8550,YES,0.48,
03-03-2025 10:55,22194.7,42600,-900,150,29100,-16275,N,4350,N,-0.89,22203,22194.7,03-03-2025 10:55,48.25,1738575,225,2700,54000,15675,N,128925,YES,-0.65,03-03-2025 10:55,254.9,398850,225,375,39825,2325,Y,-10500,YES,0.89,
03-03-2025 11:00,22162.35,80025,-300,-300,32400,-22575,YES,72525,YES,-2,22194.05,22162.35,03-03-2025 11:00,43.35,1955850,225,675,49425,-87225,YES,63825,N,-0.77,03-03-2025 11:00,275.4,430350,75,-675,40050,-4125,Y,-22650,YES,1.08,
03-03-2025 11:05,22175.15,66975,150,0,31650,-21525,N,-3525,Y,-1.7,22163.45,22175.15,03-03-2025 11:05,43.5,2981400,1650,-3075,50850,41175,Y,34350,N,-1.17,03-03-2025 11:05,268.55,322200,0,0,37650,-4425,Y,-2100,Y,0.83,
03-03-2025 11:10,22175,86100,0,5550,32700,-9300,N,75300,YES,-2.37,22171,22175,03-03-2025 11:10,42.45,3412125,-1950,0,59850,-41625,YES,20625,N,-1.33,03-03-2025 11:10,271.8,422700,0,-75,37800,-1200,N,-10875,YES,1.22,
03-03-2025 11:15,22153.4,38775,300,225,31200,83025,Y,-124350,Y,-1.02,22172,22153.4,03-03-2025 11:15,39.15,2478300,2025,-2625,50700,-21150,Y,62925,YES,-0.93,03-03-2025 11:15,282.6,204225,0,-150,37275,7125,N,-6300,N,0.59,
03-03-2025 11:20,22171.5,53700,3300,150,29625,34200,N,1500,YES,-1.36,22154,22171.5,03-03-2025 11:20,41.9,2538150,1050,-1875,57225,57075,Y,-41775,Y,-0.93,03-03-2025 11:20,268.2,258375,-375,75,36225,-14775,Y,6525,N,0.72,
03-03-2025 11:25,22176.05,64350,75,0,26550,-2250,YES,-1725,Y,-1.29,22172,22176.05,03-03-2025 11:25,42.8,1594875,-2400,-4125,59400,-1650,YES,49725,YES,-0.48,03-03-2025 11:25,263.65,195075,-825,-150,34800,14100,YES,14025,N,0.43,
03-03-2025 11:30,22184.7,41775,0,-75,22800,-5850,YES,18675,YES,-0.77,22176,22184.7,03-03-2025 11:30,43.35,1302750,-300,-525,62175,17850,N,-53475,Y,-0.37,03-03-2025 11:30,260.55,150225,75,-150,34725,1275,Y,1950,YES,0.31,
03-03-2025 11:35,22163.25,43425,300,-75,28725,-16575,YES,-48975,Y,-0.97,22181,22163.25,03-03-2025 11:35,37.9,1687350,-75,-525,60375,-57300,YES,81375,YES,-0.54,03-03-2025 11:35,278.25,255300,0,300,36000,-225,Y,-10650,YES,0.62,
03-03-2025 11:40,22159.75,32850,0,-300,26925,-975,N,-12900,YES,-0.78,22163.25,22159.75,03-03-2025 11:40,38.1,1212975,3075,6450,62625,17775,Y,110550,YES,-0.39,03-03-2025 11:40,276.55,170400,150,150,42750,4650,N,6000,N,0.42,
03-03-2025 11:45,22175,80025,150,-75,34575,9225,N,-5550,N,-1.71,22154,22175,03-03-2025 11:45,42.3,1068675,2100,375,63375,22200,N,-126900,Y,-0.31,03-03-2025 11:45,261.3,229650,-825,-150,41250,-12375,Y,9450,N,0.5,
03-03-2025 11:50,22155.2,16200,-150,0,22350,-8100,YES,2100,N,-0.31,22176,22155.2,03-03-2025 11:50,37.5,983550,-4125,675,59625,-1500,YES,45300,YES,-0.29,03-03-2025 11:50,277.05,126375,0,0,36375,9375,YES,-7200,YES,0.28,
03-03-2025 11:55,22158.95,18825,75,0,23025,11925,Y,-12375,Y,-0.41,22155.2,22158.95,03-03-2025 11:55,38.35,1012650,-1200,525,61800,39900,Y,55050,N,-0.31,03-03-2025 11:55,279.4,204525,225,450,40125,1950,Y,-21150,YES,0.51,
03-03-2025 12:00,22163.85,57075,1350,150,24450,-18075,YES,58800,YES,-1.32,22158.95,22163.85,03-03-2025 12:00,37.85,2062800,-3150,1800,55800,-66225,YES,-8700,Y,-0.63,03-03-2025 12:00,274.6,239925,-75,0,33825,4950,N,-11550,N,0.61,
03-03-2025 12:05,22174.5,47925,-375,-375,24975,-4125,N,3150,N,-0.86,22163.85,22174.5,03-03-2025 12:05,40.4,1251825,3150,450,56175,14175,Y,-78825,Y,-0.34,03-03-2025 12:05,263.45,226125,225,675,42675,-4050,Y,6975,N,0.48,
03-03-2025 12:10,22203.9,73425,-1125,0,25875,18975,Y,-21450,Y,-0.96,22174.5,22203.9,03-03-2025 12:10,47.3,1908450,225,1575,57900,50775,Y,-171075,Y,-0.4,03-03-2025 12:10,243.25,209925,-75,75,40275,-16200,Y,10950,N,0.34,
03-03-2025 12:15,22206,78675,0,-75,31725,-4200,YES,1950,YES,-0.78,22203.65,22206,03-03-2025 12:15,46.4,2992800,-300,-1125,63300,-34350,YES,-11625,YES,-0.51,03-03-2025 12:15,240.45,318300,-75,-450,38550,-11025,N,9750,N,0.38,
03-03-2025 12:20,22214,70875,-75,-75,34425,24675,Y,1950,N,-0.39,22200,22214,03-03-2025 12:20,49.6,2623275,-1050,-825,51900,35925,Y,-38175,Y,-0.32,03-03-2025 12:20,229.35,381900,0,75,40650,5025,N,18000,N,0.31,
03-03-2025 12:25,22211,80325,-150,-750,31200,-22275,YES,90150,YES,-0.48,22216.3,22211,03-03-2025 12:25,47.5,1764375,-1500,0,50250,-3000,YES,115200,YES,-0.21,03-03-2025 12:25,235,388200,-150,75,43650,30750,YES,1275,YES,0.32,
03-03-2025 12:30,22247,93525,600,675,32025,8250,Y,-64125,Y,-0.17,22210.05,22247,03-03-2025 12:30,58.7,2762325,150,75,53325,64725,Y,-193425,Y,-0.2,03-03-2025 12:30,205.25,439050,75,450,36075,-28125,Y,4425,N,0.16,
03-03-2025 12:35,22230.2,75300,0,-225,32175,1275,YES,79425,YES,-0.02,22248.9,22230.2,03-03-2025 12:35,52.7,2597850,-1275,1050,66600,-44700,YES,101850,YES,-0.14,03-03-2025 12:35,220.85,478950,0,0,37950,17925,YES,8925,N,0.14,
03-03-2025 12:40,22234.05,40200,300,-675,10050,-9525,YES,-8625,Y,-0.07,22230.25,22234.05,03-03-2025 12:40,53.85,405975,1950,75,19050,13725,Y,-22125,Y,-0.02,03-03-2025 12:40,218.05,114675,-375,75,11625,-3375,Y,5100,N,0.04,
03-03-2025 12:45,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 12:45,0,0,0,0,0,0,YES,0,YES,0,03-03-2025 12:45,0,0,0,0,0,0,N,0,YES,0,
03-03-2025 12:50,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 12:50,0,0,0,0,0,0,N,0,N,0,03-03-2025 12:50,0,0,0,0,0,0,N,0,N,0,
03-03-2025 12:55,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 12:55,0,0,0,0,0,0,N,0,N,0,03-03-2025 12:55,0,0,0,0,0,0,N,0,N,0,
03-03-2025 13:00,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 13:00,0,0,0,0,0,0,N,0,N,0,03-03-2025 13:00,0,0,0,0,0,0,N,0,N,0,
03-03-2025 13:05,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 13:05,0,0,0,0,0,0,N,0,N,0,03-03-2025 13:05,0,0,0,0,0,0,N,0,N,0,
03-03-2025 13:10,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 13:10,0,0,0,0,0,0,N,0,N,0,03-03-2025 13:10,0,0,0,0,0,0,N,0,N,0,
03-03-2025 13:15,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 13:15,0,0,0,0,0,0,N,0,N,0,03-03-2025 13:15,0,0,0,0,0,0,N,0,N,0,
03-03-2025 13:20,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 13:20,0,0,0,0,0,0,N,0,N,0,03-03-2025 13:20,0,0,0,0,0,0,N,0,N,0,
03-03-2025 13:25,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 13:25,0,0,0,0,0,0,N,0,N,0,03-03-2025 13:25,0,0,0,0,0,0,N,0,N,0,
03-03-2025 13:30,22230.2,22575,0,-600,15900,1725,N,-300,Y,-0.05,22228.55,22230.2,03-03-2025 13:30,49.05,923475,-525,1125,21750,81675,Y,-24525,Y,-0.08,03-03-2025 13:30,219.65,253050,150,75,14700,-7575,Y,19275,N,0.1,
03-03-2025 13:35,22251,52725,150,450,35175,12000,N,3150,N,-0.01,22230.6,22251,03-03-2025 13:35,53.45,1786875,-825,1425,57975,-48975,YES,94125,YES,-0.11,03-03-2025 13:35,204.35,421575,675,-150,39150,29250,YES,25125,N,0.05,
03-03-2025 13:40,22257,22050,150,-375,24900,80925,Y,34050,YES,0.02,22251,22257,03-03-2025 13:40,55.7,1330050,-4875,1800,58125,12525,Y,-38775,Y,-0.08,03-03-2025 13:40,197.65,279525,-225,450,33300,-30750,Y,19125,N,0.02,
03-03-2025 13:45,22269.5,33900,1950,-750,29100,16050,N,22125,N,0.11,22258,22269.5,03-03-2025 13:45,57.65,1713825,375,-2100,55875,-16275,YES,30900,YES,-0.06,03-03-2025 13:45,193.7,392325,-300,75,39450,11400,YES,11700,N,-0.07,
03-03-2025 13:50,22269.7,42150,-1350,-225,33150,-4500,YES,-2475,Y,0.25,22271,22269.7,03-03-2025 13:50,57.9,2036100,2400,-3825,55500,-47700,YES,37950,N,0,03-03-2025 13:50,194.5,504450,-75,300,39600,-3150,Y,-2550,YES,-0.19,
03-03-2025 13:55,22239.45,52725,-150,525,30975,-9825,YES,-73200,Y,0.02,22269.7,22239.45,03-03-2025 13:55,49,2211225,0,3075,55875,-32925,N,67725,YES,-0.13,03-03-2025 13:55,217,560925,-75,-825,35925,27000,YES,-27375,YES,0.06,
03-03-2025 14:00,22242.05,46350,75,0,30000,-14550,YES,-12225,YES,-0.09,22234.2,22242.05,03-03-2025 14:00,50.3,1663650,3975,375,56625,72750,Y,-31650,Y,-0.14,03-03-2025 14:00,208.65,698775,825,1200,38475,-25350,Y,-18525,N,0.2,
03-03-2025 14:05,22222.4,80925,450,225,28425,-11625,N,0,N,-0.35,22242.05,22222.4,03-03-2025 14:05,44.25,2401125,-1725,-2100,68175,-69825,YES,75225,YES,-0.24,03-03-2025 14:05,224.8,675525,-75,-150,40050,-2475,YES,-19050,YES,0.29,
03-03-2025 14:10,22259.95,44700,75,-150,26550,-3975,N,44400,YES,0.03,22222.35,22259.95,03-03-2025 14:10,54.5,3477600,-1425,-2850,61425,65100,Y,-159600,Y,-0.25,03-03-2025 14:10,196.05,604800,375,0,40425,-1650,N,46575,Y,0.01,
03-03-2025 14:15,22245,29475,75,-150,29400,10650,N,-20325,Y,0.02,22259.95,22245,03-03-2025 14:15,48.45,2069625,2400,2175,60600,55875,N,68700,YES,-0.13,03-03-2025 14:15,209,380775,-150,-525,36225,21075,YES,-20250,YES,0,
03-03-2025 14:20,22258.5,32700,-75,975,32025,2175,YES,-40950,Y,0.08,22245,22258.5,03-03-2025 14:20,53.3,1800525,-900,-300,61950,-26325,YES,-27150,Y,-0.09,03-03-2025 14:20,196.45,329775,825,225,38625,6900,N,5700,Y,-0.04,
03-03-2025 14:25,22275.2,47100,75,-900,38325,-1800,YES,10125,YES,0.21,22258.5,22275.2,03-03-2025 14:25,60,2619675,1425,75,58425,31125,Y,-46725,Y,-0.03,03-03-2025 14:25,187.75,407700,-300,225,36675,14850,N,21825,N,-0.12,
03-03-2025 14:30,22267.9,14025,1050,300,18375,16725,N,-29100,Y,0.05,22277.3,22267.9,03-03-2025 14:30,55.65,1095600,-375,1425,32775,-65175,YES,56550,YES,-0.02,03-03-2025 14:30,195.2,247350,-75,0,21825,207075,YES,4950,N,-0.06,
03-03-2025 14:35,0,0,0,0,0,0,YES,0,YES,0,0,0,03-03-2025 14:35,0,0,0,0,0,0,Y,0,Y,0,03-03-2025 14:35,0,0,0,0,0,0,Y,0,YES,0,
03-03-2025 14:40,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 14:40,0,0,0,0,0,0,N,0,N,0,03-03-2025 14:40,0,0,0,0,0,0,N,0,N,0,
03-03-2025 14:45,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 14:45,0,0,0,0,0,0,N,0,N,0,03-03-2025 14:45,0,0,0,0,0,0,N,0,N,0,
03-03-2025 14:50,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 14:50,0,0,0,0,0,0,N,0,N,0,03-03-2025 14:50,0,0,0,0,0,0,N,0,N,0,
03-03-2025 14:55,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 14:55,0,0,0,0,0,0,N,0,N,0,03-03-2025 14:55,0,0,0,0,0,0,N,0,N,0,
03-03-2025 15:00,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 15:00,0,0,0,0,0,0,N,0,N,0,03-03-2025 15:00,0,0,0,0,0,0,N,0,N,0,
03-03-2025 15:05,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 15:05,0,0,0,0,0,0,N,0,N,0,03-03-2025 15:05,0,0,0,0,0,0,N,0,N,0,
03-03-2025 15:10,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 15:10,0,0,0,0,0,0,N,0,N,0,03-03-2025 15:10,0,0,0,0,0,0,N,0,N,0,
03-03-2025 15:15,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 15:15,0,0,0,0,0,0,N,0,N,0,03-03-2025 15:15,0,0,0,0,0,0,N,0,N,0,
03-03-2025 15:20,0,0,0,0,0,0,N,0,N,0,0,0,03-03-2025 15:20,0,0,0,0,0,0,N,0,N,0,03-03-2025 15:20,0,0,0,0,0,0,N,0,N,0,
03-03-2025 15:25,22267,0,0,0,75,0,N,0,N,0,22267,22267,03-03-2025 15:25,54,0,0,0,75,0,N,0,N,0,03-03-2025 15:25,192.45,0,0,0,75,0,N,0,N,0,
