last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val
26-03-2025 09:15,23692.85,128475,167025,75,525,98.55,4542525,564825,3150,750,110.55,4634550,187200,1425,675
26-03-2025 09:15,23684.95,126300,171375,1275,375,98.95,4575300,597975,450,1575,110.4,4625475,234150,1125,975
26-03-2025 09:15,23695,132000,159825,2625,375,100.3,4624050,570450,750,825,109.2,4808250,242250,675,975
26-03-2025 09:16,23709.1,133650,167925,4725,375,106.45,4682175,568125,450,1125,100.2,4718625,354525,1200,525
26-03-2025 09:16,23697.55,144075,175050,975,150,103,4687050,525150,1275,525,102.8,4709550,348675,825,1650
26-03-2025 09:16,23708,146400,167700,825,900,105.7,4724025,539775,900,675,97.4,4719900,376875,750,1575
26-03-2025 09:16,23710.4,140475,173775,750,300,104.1,4739175,584550,750,675,96.2,4683600,406875,1350,2100
26-03-2025 09:16,23719,141225,166350,600,225,107.25,4781775,597000,1200,5850,91.2,4690125,436050,975,9225
26-03-2025 09:16,23705.1,140250,174300,375,300,102.4,4775475,605775,225,1275,97.65,4738575,425250,825,1650
26-03-2025 09:17,23699.45,143625,171375,300,225,97.75,4727250,669525,750,750,101.65,4824150,421275,1425,825
26-03-2025 09:17,23690.25,147750,169800,1125,225,95.75,4701300,683550,525,525,104.25,4890675,432000,600,750
26-03-2025 09:17,23700,147450,176850,600,5100,98.7,4739325,688650,1050,900,100.75,4911975,439350,525,1125
26-03-2025 09:17,23706,148050,168675,900,300,103.7,4806825,687300,825,1650,94.35,4847025,473625,1125,1050
26-03-2025 09:17,23698.95,155625,174975,900,3000,102.4,4834200,795675,975,1200,95.95,4807350,492675,3375,1275
26-03-2025 09:17,23695.05,147375,175575,600,300,97.1,4830600,830925,900,1950,100.15,4876050,494850,825,2025
26-03-2025 09:18,23700,149475,175125,375,150,99.65,4802475,766800,1125,1650,99.85,4913325,526725,1425,2475
26-03-2025 09:18,23696.8,157725,173925,375,600,100.4,4862025,768600,1650,1575,98.7,4929075,543375,1200,1650
