last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
20-03-2025 09:15,23049.65,284025,-225,150,35475,17175,N,25350,N,2.31,23033.5,23049.65,20-03-2025 09:15,57.45,23569425,-900,75,40875,13148100,N,945675,N,-1.8,46.5,22072050,75,450,43125,9590400,N,982050,N,-10.54,50061.15,59010,0,90,13590,24990,N,22200,N,48.8
20-03-2025 09:20,23090,352125,450,-525,41025,8325,N,-14700,Y,10.44,23046.75,23090,20-03-2025 09:20,94.95,34760625,-525,-975,47400,1293675,N,-1074750,Y,7.64,36.4,25928025,0,1425,52200,2039775,N,904500,N,-5.24,50057.95,42540,-30,120,16380,-7950,YES,32130,N,-0.57
20-03-2025 09:25,23097.1,227400,-75,-225,38475,13050,N,92550,YES,6.13,23091.85,23097.1,20-03-2025 09:25,103.2,20502900,-150,825,44475,37200,N,144075,YES,5.68,30.25,23857575,3675,16500,56175,2660550,YES,654450,N,-3.56,50029.9,41400,-30,240,14580,3000,N,16890,N,-5.73
20-03-2025 09:30,23100,170700,150,1800,33600,9225,N,10725,N,5.1,23099,23100,20-03-2025 09:30,100.7,13641750,75,2400,46875,-174000,YES,387300,YES,3.41,26.65,16752450,-2100,1125,64875,82125,N,708075,Y,-2.51,50000,28260,0,600,13860,16650,N,2520,Y,-3.87
20-03-2025 09:35,23081.2,158775,-150,-1650,32100,22500,N,-6825,Y,2.83,23100,23081.2,20-03-2025 09:35,85.45,10731900,-375,75,43050,-562575,YES,463125,YES,1.74,33.2,19986150,75,-3375,69225,834525,YES,-173775,YES,-1.95,49896.9,48990,0,90,16500,-8520,YES,17910,N,-17.6
20-03-2025 09:40,23088.15,123600,225,-75,32100,9900,N,-2475,N,1.18,23082.85,23088.15,20-03-2025 09:40,88.9,10472850,-75,75,46425,451875,Y,261825,N,0.68,26.55,20978700,-750,4575,66675,-62025,Y,882975,Y,-1.55,49946.3,30000,-90,30,13710,4860,N,27060,N,-7.31
20-03-2025 09:45,23064,145725,0,-150,33525,30900,Y,-16875,Y,0.21,23089.5,23064,20-03-2025 09:45,68,12072600,300,525,47400,-144450,YES,429900,YES,-0.32,33.8,23472675,525,2250,71925,574725,YES,-145050,YES,-0.91,49855,24390,0,0,11160,-37650,YES,7800,N,-8.52
20-03-2025 09:50,23064.65,185325,300,375,49200,-10875,YES,-1950,N,-0.73,23064,23064.65,20-03-2025 09:50,65.3,16123275,0,900,55125,179550,Y,181350,N,-1.18,36.15,34107150,-2325,-1200,71850,204825,N,-482775,YES,-0.22,49869.55,23790,-30,0,12540,3360,Y,28050,YES,-8.37
20-03-2025 09:55,23055,58500,-300,750,29850,-12825,YES,13950,N,-0.2,23062.25,23055,20-03-2025 09:55,66.15,9231750,-1425,-1125,56700,305625,Y,235725,YES,-0.5,39.5,18017850,-900,1575,69000,232725,YES,182925,Y,-0.07,49845,16890,210,300,13860,-7200,YES,8160,N,-5.23
20-03-2025 10:00,23082,118725,825,-600,39150,6150,N,-12600,Y,-0.43,23060.2,23082,20-03-2025 10:00,81.6,13567575,-225,225,51525,-41175,YES,-659475,Y,-0.25,28.3,24742350,-2850,3750,68175,-521700,Y,519525,Y,-0.23,49939.95,37740,-90,30,13140,14790,Y,-6960,Y,-10.1
20-03-2025 10:05,23029.9,209025,0,225,47625,-5775,YES,675,N,-2.56,23082,23029.9,20-03-2025 10:05,50.8,24048450,300,-450,52875,165300,Y,757425,YES,-2.44,53.8,44277525,-5925,-900,64275,170400,YES,-2293125,YES,1.7,49893.8,14820,-150,-90,11490,15690,N,6840,N,-2.42
20-03-2025 10:10,23028,121425,225,1725,41625,-9825,YES,300,Y,-2.24,23029.9,23028,20-03-2025 10:10,50.25,16085475,-900,-675,54675,452475,Y,146100,N,-1.89,54.4,27094800,225,3150,54225,47175,N,72750,Y,1.62,49858.35,17250,0,30,13170,-390,YES,-6660,Y,-3.86
