last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
20-03-2025 10:15,23062.6,173325,-75,-1575,45150,48525,Y,-20625,Y,-1.14,23028,23062.6,20-03-2025 10:15,69.35,22851825,900,-1425,51675,8850,N,-676725,Y,-1.03,34.2,24145650,-150,2550,70800,-101400,Y,476925,Y,0.07,49921.95,27900,60,90,14520,6990,N,-11580,Y,-3.49
20-03-2025 10:20,23073,60675,0,-150,30675,2400,YES,17175,YES,0.16,23062.6,23073,20-03-2025 10:20,72.65,13376325,-825,-1050,49125,-662175,YES,57825,YES,0.15,29.9,18991875,2550,225,79650,-1640325,Y,669375,Y,-0.52,49895.05,14250,-30,-60,10830,-20910,YES,20220,YES,-1.05
20-03-2025 10:25,23077.85,57450,-300,3450,27750,3525,N,-1575,Y,0.29,23073,23077.85,20-03-2025 10:25,77.35,12136800,-150,750,52500,-1156200,YES,-199800,Y,0.27,27.4,14239725,-375,4875,81975,-1720350,Y,174750,N,-0.45,49927.8,6420,0,-30,8520,-7200,N,-14670,Y,-0.48
20-03-2025 10:30,23080,118725,0,-2625,31425,3300,N,-20625,Y,0.84,23078,23080,20-03-2025 10:30,81.95,10642200,-1125,-525,52875,-812925,Y,-238425,Y,0.38,26.45,17691975,0,7875,93900,-1749525,Y,301125,Y,-0.65,49930,6270,0,0,8760,-1560,N,26640,YES,-0.29
20-03-2025 10:35,23079.6,93600,825,-300,31575,1950,YES,-16125,N,0.55,23080,23079.6,20-03-2025 10:35,79.25,4440675,75,600,51075,174975,Y,118950,YES,0.11,29.3,9973350,-8625,-600,79500,117225,YES,-364125,YES,-0.26,49924,3600,-90,0,9090,-720,N,3420,N,-0.22
20-03-2025 10:40,23071,28050,-1275,0,27900,-1425,YES,75,N,0.11,23079.6,23071,20-03-2025 10:40,78.1,4860375,375,-75,50775,102975,N,5250,N,0.12,31.8,12456825,4200,-5175,84300,227700,YES,-26700,Y,-0.28,49911.65,5910,-90,30,8340,14940,N,-9510,Y,-0.38
20-03-2025 10:45,23075.8,31950,-1125,0,27825,3375,N,10125,N,0.07,23072,23075.8,20-03-2025 10:45,75.5,6707925,-1200,0,51075,887775,Y,82425,YES,0.06,29.7,14611500,9600,-3900,83925,137700,N,72975,Y,-0.24,49932.35,6750,0,30,11190,-22050,YES,5610,N,-0.46
20-03-2025 10:50,23067.35,24300,0,-150,23850,75,YES,-5625,Y,0,23075.8,23067.35,20-03-2025 10:50,70.55,6051000,-1125,-225,52575,429300,N,236250,YES,-0.04,35.95,15079200,-3825,-5625,87150,551325,YES,-499050,YES,-0.11,49900.85,2400,30,-60,7410,2580,Y,7110,N,-0.19
20-03-2025 10:55,23077.6,31500,-225,1350,25950,3075,N,-10125,Y,0.13,23067.35,23077.6,20-03-2025 10:55,81,7259025,300,600,53625,94800,N,-429825,Y,0.17,28.05,12371250,4725,6975,76500,1849275,YES,428100,Y,-0.21,49927.05,2400,-60,30,7620,1410,YES,11010,N,-0.14
20-03-2025 11:00,23075,20925,-225,-975,23625,-2250,YES,35100,YES,0.1,23080,23075,20-03-2025 11:00,76.45,5872200,-150,750,52275,-38325,YES,52425,YES,0.13,26.45,8934450,450,-7800,71925,675450,N,253425,N,-0.2,49916.3,2580,30,-210,9150,6240,N,1440,Y,-0.14
20-03-2025 11:05,23074.2,16800,150,75,27600,5850,N,-3525,Y,0.07,23075,23074.2,20-03-2025 11:05,74.4,4176825,1050,-750,48525,297975,Y,54900,N,0.07,26.45,9292125,4500,2925,95625,-755550,Y,142500,N,-0.24,49926,2220,780,0,7320,-690,YES,510,Y,-0.06
20-03-2025 11:10,23099,93225,-300,-150,23925,9225,N,-34875,Y,0.92,23074.2,23099,20-03-2025 11:10,92.6,9854850,-975,-1125,52575,127725,N,-790725,Y,0.52,20.2,14559450,5700,-7500,83325,363900,YES,228000,Y,-0.45,49964.25,11040,-750,-60,8970,-7410,YES,-6930,Y,0.21
20-03-2025 11:15,23093.95,43425,150,450,25275,9825,N,30450,YES,0.41,23099,23093.95,20-03-2025 11:15,85.45,5445075,0,375,47775,-95025,YES,273825,YES,0.28,21.2,10812000,375,-11325,92100,673275,YES,9225,N,-0.37,49925,11730,30,-60,9660,-3330,N,2070,N,0.37
20-03-2025 11:20,23090.55,32325,75,-750,26700,5925,N,-19650,Y,0.21,23093.75,23090.55,20-03-2025 11:20,83.4,6482475,0,675,44700,-26475,Y,132900,N,0.14,20.7,12415650,9450,-5025,82800,255675,N,175575,Y,-0.33,49918,9120,0,60,8160,7410,N,-9360,Y,-0.63
20-03-2025 11:25,23091.05,16500,75,0,21300,14925,N,-450,N,0.11,23090.55,23091.05,20-03-2025 11:25,80.55,4641975,-1575,-75,54600,-26475,N,189450,YES,0.08,18.75,10589175,12600,-3150,94050,236850,N,233700,Y,-0.31,49910,4650,-30,90,8610,11760,N,-540,N,-0.38
20-03-2025 11:30,23085.1,28050,450,-1350,27900,-2100,YES,7650,N,0.2,23091.05,23085.1,20-03-2025 11:30,72.85,4390800,-900,-2025,57600,-53700,YES,83925,N,0.06,20.35,11170200,19725,-3375,83925,441375,YES,-93000,YES,-0.37,49892,9510,-30,-90,10140,8340,N,-9120,Y,-0.77
20-03-2025 11:35,23095,20850,-450,-150,21825,4125,N,-150,Y,0.16,23085.1,23095,20-03-2025 11:35,77.3,4404075,750,-2250,60150,-201375,YES,1950,Y,0.05,16.5,11449350,9975,22725,102375,-51825,Y,315300,Y,-0.38,49905.25,3150,240,-30,7260,2880,YES,14670,YES,-0.26
20-03-2025 11:40,23095.1,31500,150,600,25500,525,YES,-3750,Y,0.26,23091.1,23095.1,20-03-2025 11:40,78.5,3308925,-675,525,60450,182700,Y,40500,YES,0.03,17.2,7474950,-12300,7950,88425,-141150,Y,122250,N,-0.23,49900.15,2010,-150,0,7500,-660,YES,-1980,Y,-0.15
20-03-2025 11:45,23094.35,63675,1650,0,29475,-5700,YES,9150,N,0.58,23095.1,23094.35,20-03-2025 11:45,72.35,4116750,-1275,300,55875,-159600,YES,-20850,Y,0.05,17.85,8011575,225,9300,91650,256575,YES,33300,N,-0.26,49886,2070,60,-30,6510,2880,N,3180,N,-0.17
20-03-2025 11:50,23100,35625,-1050,75,29175,9450,N,-6375,Y,0.3,23093.25,23100,20-03-2025 11:50,77.65,5276100,525,3975,55950,-133500,Y,84675,YES,0.01,14.2,10245225,-11250,4650,90150,-446400,Y,134175,Y,-0.34,49905,4410,60,-180,11460,11220,N,-900,Y,-0.38
20-03-2025 11:55,23100.1,84150,-225,-75,34425,-1725,YES,3450,N,0.85,23100,23100.1,20-03-2025 11:55,75,5522025,150,-1425,51225,79125,Y,21375,N,0.09,13.45,10678800,4800,33900,110775,325425,YES,-72375,YES,-0.4,49906.5,2730,-180,30,10500,-21900,YES,-1650,Y,-0.15
20-03-2025 12:00,23102.05,40725,150,-300,29625,-1200,N,-11775,Y,0.39,23097.9,23102.05,20-03-2025 12:00,80.7,5423850,-2025,0,49650,-86925,YES,-212550,Y,0.11,12,10510875,21825,-17550,92025,810225,YES,-246600,YES,-0.4,49912.8,1020,0,30,6090,-11670,N,-10380,Y,-0.06
20-03-2025 12:05,23102.95,33300,150,225,26325,-1350,YES,9675,YES,0.3,23102.15,23102.95,20-03-2025 12:05,79.7,3247875,900,2475,57075,109875,Y,141900,YES,0.05,12.7,6116100,-19125,-13200,93600,949125,YES,106575,Y,-0.21,49897.05,1170,-30,-30,6930,540,N,-300,N,-0.08
20-03-2025 12:10,23104.8,47400,-75,0,32775,7125,N,-6450,Y,0.42,23103,23104.8,20-03-2025 12:10,81.5,3436800,-825,2025,62175,-62625,YES,-126750,Y,0.05,11.1,7949175,-8550,27375,99450,1187325,YES,102525,N,-0.29,49914.1,2100,-210,150,6930,1350,N,-6840,Y,-0.14
20-03-2025 12:15,23115.35,72300,225,-1500,32175,-8400,YES,-16950,Y,0.79,23104.8,23115.35,20-03-2025 12:15,87.5,5812800,-525,-450,52350,4950,Y,-158175,Y,0.16,8.75,11316150,10575,7800,102525,-590325,Y,66900,N,-0.42,49921.25,3150,30,-150,7050,-13500,YES,-3270,N,-0.13
20-03-2025 12:20,23107,52425,-225,1050,35550,-1800,N,40800,YES,0.56,23116,23107,20-03-2025 12:20,81.5,3311925,-1200,0,47400,-57300,YES,143025,YES,0.08,9.9,7819875,-4500,-11850,110550,338625,YES,-281175,YES,-0.28,49909.75,8790,270,0,8040,9960,Y,5850,N,-0.5
20-03-2025 12:25,23110,35700,-150,8400,34350,825,N,13800,N,0.36,23107,23110,20-03-2025 12:25,85.15,3091875,525,-450,56775,-77175,YES,-38475,Y,0.06,8.85,6786225,49950,7425,95775,-14700,Y,307875,Y,-0.24,49903.05,1560,30,-30,7680,360,YES,-1830,Y,-0.12
20-03-2025 12:30,23110.25,51525,-300,-6150,27000,1350,N,2775,Y,0.51,23110,23110.25,20-03-2025 12:30,85.95,3512175,825,150,56550,-29700,Y,-39375,Y,0.09,8.95,8239050,-32925,-12375,110925,87600,YES,-63675,YES,-0.3,49908.6,4050,0,-60,9630,-6210,YES,-5220,Y,-0.27
20-03-2025 12:35,23119,42075,300,0,29700,14250,N,-13275,Y,0.48,23111.75,23119,20-03-2025 12:35,88.95,3847500,-450,-1650,58050,90075,Y,-78150,Y,0.13,7.5,9040425,65775,-16950,116325,-100275,Y,196575,Y,-0.33,49947.5,5010,-240,1260,7050,-2250,N,1080,N,-0.05
20-03-2025 12:40,23126.5,99975,-150,75,29175,9000,N,-11400,N,1.24,23119,23126.5,20-03-2025 12:40,93.7,4359675,-1425,225,55050,-188400,YES,-133500,Y,0.17,8.35,8213400,16575,-25875,99225,204150,YES,-356325,YES,-0.29,49945,3390,0,-1020,8820,-11130,YES,1080,N,-0.03
20-03-2025 12:45,23137.05,118575,0,-225,46725,22725,N,45525,YES,1.75,23122.35,23137.05,20-03-2025 12:45,107.05,9756975,-600,-825,52125,-1768425,YES,-497175,Y,0.67,7.55,14532900,-33000,-23025,91725,-1459650,Y,-30075,Y,-0.49,49955,4440,60,-60,7110,-4980,N,-7770,Y,0.07
20-03-2025 12:50,23138.1,80400,0,-75,38025,-9900,YES,32475,N,1.22,23137.1,23138.1,20-03-2025 12:50,104,4025700,225,-675,47175,141675,Y,256500,YES,0.3,6.15,12045750,-69375,66000,110025,511500,YES,-294825,YES,-0.42,49950,6090,4680,0,8430,420,N,8490,N,0.25
20-03-2025 12:55,23139.5,63000,75,150,27675,19350,Y,-900,Y,0.92,23138.1,23139.5,20-03-2025 12:55,108.4,2794200,-1200,375,52275,-255825,YES,-21900,Y,0.19,5.6,9379350,23475,-15525,120975,369150,N,9375,Y,-0.33,49961,4290,-4710,90,12840,4620,N,2130,Y,0.09
20-03-2025 13:00,23127.05,57000,225,150,30075,-13725,YES,28350,YES,0.74,23138,23127.05,20-03-2025 13:00,102.05,2806950,-1950,-1425,51975,-206775,Y,66075,YES,0.18,6.9,10126500,-525,31725,120975,169650,N,-140175,YES,-0.34,49930.9,6210,0,-90,9570,-5910,YES,5310,N,0.04
20-03-2025 13:05,23143,68850,-150,-300,30150,9150,Y,-21900,Y,0.96,23127,23143,20-03-2025 13:05,115.55,5083500,300,-675,58575,294600,Y,-399225,Y,0.42,5.2,10833150,-23250,-30900,117300,-303600,Y,463725,Y,-0.36,49975.15,8520,-30,840,9810,810,N,-4020,Y,0.36
20-03-2025 13:10,23177,224925,675,-525,42300,3750,N,-61950,Y,4.29,23142.15,23177,20-03-2025 13:10,154.1,8057625,-75,-450,48000,-852375,YES,-152475,YES,1.14,5.05,22151550,129975,-51225,116400,311850,YES,-732300,YES,-0.73,50006.85,23790,-90,-840,10800,-3300,YES,-35310,Y,2.23
20-03-2025 13:15,23189,181275,75,75,40275,9750,N,-89925,Y,3.8,23176,23189,20-03-2025 13:15,165.35,3804900,-75,225,43500,-290775,Y,-53850,YES,0.67,4.8,13532700,-28425,137100,114525,-802575,Y,-141900,Y,-0.42,50040,13110,150,150,10170,-240,N,7470,YES,1.36
20-03-2025 13:20,23198,258900,300,675,51525,-10125,YES,-52725,YES,5.66,23189.05,23198,20-03-2025 13:20,178,4725900,150,-225,49800,-996000,YES,-6000,YES,1.03,5.3,13804125,-51600,-114675,113775,-236250,YES,-521325,YES,-0.41,50057,33630,150,0,12120,18930,N,-5100,Y,5.68
20-03-2025 13:25,23198,141525,-1050,450,48750,-9450,N,40650,YES,2.76,23198,23198,20-03-2025 13:25,177.3,2239275,150,-225,48150,-97425,Y,64800,YES,0.49,3,15018825,2850,141675,128025,-251325,Y,879075,Y,-0.46,50054.8,24330,-360,-90,15660,7680,N,30540,YES,3
20-03-2025 13:30,23203.5,70575,150,-450,34875,-14475,YES,9075,N,1.4,23196.45,23203.5,20-03-2025 13:30,182.4,1768275,150,-3975,49800,-172800,YES,-16425,Y,0.4,2.85,11071125,-3750,235725,123900,1334025,YES,-373500,YES,-0.34,50062.05,22740,180,-30,15360,-11250,YES,9510,N,3.2
20-03-2025 13:35,23211.9,59400,-225,375,30150,2100,N,10350,N,1.26,23203.5,23211.9,20-03-2025 13:35,191.45,1803000,0,750,46050,-671250,YES,-16800,Y,0.44,2.3,10697625,-123000,122700,141225,-358050,Y,130200,Y,-0.33,50072.25,21750,-60,-30,12090,-60,N,13890,N,3.25
20-03-2025 13:40,23209,56850,75,225,36450,-5100,YES,450,Y,1.19,23211.9,23209,20-03-2025 13:40,191.2,1661250,0,-300,48900,-387150,Y,-22650,Y,0.41,2.2,6672225,-94425,139950,106350,-136950,YES,32550,N,-0.2,50092,23910,300,60,13950,570,N,-10410,Y,3.99
20-03-2025 13:45,23205,49350,-750,75,37500,-4875,N,-16875,Y,0.96,23209,23205,20-03-2025 13:45,189,989100,300,150,53475,-526050,YES,300,YES,0.23,2.45,8757750,83625,10950,155400,711225,YES,-282825,YES,-0.26,50111.7,11220,0,0,10830,5700,N,7470,N,1.87
20-03-2025 13:50,23216.05,82500,-600,0,41025,-3450,N,-52425,Y,1.77,23205,23216.05,20-03-2025 13:50,198.35,1496175,-375,-675,50400,-441450,Y,-30600,Y,0.39,1.8,9846075,95025,-18000,119850,-991875,Y,419925,Y,-0.28,50150,34680,0,-60,13230,9540,N,-1530,Y,7.42
20-03-2025 13:55,23215,54000,75,-300,33000,36000,Y,1800,YES,1.08,23215,23215,20-03-2025 13:55,203.3,1090575,-750,150,47475,-227250,Y,-33225,Y,0.29,1.55,8526825,156675,187275,141300,214950,YES,57450,N,-0.25,50159.85,17070,-30,630,10890,-18450,YES,150,N,3.56
20-03-2025 14:00,23222.95,71325,0,0,29175,2925,YES,37875,YES,1.47,23215.2,23222.95,20-03-2025 14:00,208.4,834075,-75,750,46950,-106500,Y,5175,YES,0.23,1.6,8420100,-329775,-122400,125325,382350,YES,-673875,YES,-0.24,50148.5,13890,0,-600,10410,-2040,N,-420,Y,2.76
20-03-2025 14:05,23212,82275,0,525,34800,-21975,YES,-225,Y,1.71,23222.95,23212,20-03-2025 14:05,198.3,1284000,1500,1575,47175,-368775,YES,5100,N,0.35,1.7,7693050,-14700,-17250,134100,434025,YES,-529500,Y,-0.21,50108.3,23010,0,0,11010,300,N,-2310,Y,3.92
20-03-2025 14:10,23208.05,87675,75,-450,34950,3300,Y,-17700,Y,1.57,23212,23208.05,20-03-2025 14:10,197.7,854025,-600,-300,42075,-34050,Y,38175,YES,0.22,1.7,8207550,21675,-44775,128700,-314850,Y,454125,Y,-0.22,50092.35,13830,210,180,9510,1290,N,-24420,Y,1.79
20-03-2025 14:15,23205.5,81825,150,-975,32175,4425,N,3900,YES,1.3,23208.05,23205.5,20-03-2025 14:15,192.3,1339050,75,0,46875,-547650,YES,7050,N,0.31,1.35,8808975,98250,130350,145200,-2325150,Y,843975,Y,-0.24,50096.4,14520,210,-180,9630,2190,N,-8730,N,1.5
20-03-2025 14:20,23222.65,81975,375,-75,29100,6750,N,-3300,Y,1.42,23205.5,23222.65,20-03-2025 14:20,207.95,1093350,75,300,58650,-1465950,YES,-39075,Y,0.28,0.9,12083850,-21150,130050,152700,-1492500,YES,-506100,YES,-0.32,50147.6,11190,420,0,8640,1680,YES,-15600,Y,1.52
20-03-2025 14:25,23228,78150,150,375,35025,-26850,YES,3675,N,1.51,23222.9,23228,20-03-2025 14:25,215.6,1542150,-150,-450,54075,-901350,Y,-21675,N,0.44,0.95,9449475,32925,-26850,129000,532575,YES,-285000,Y,-0.25,50158,13650,0,3210,14100,-3720,YES,-3450,N,2.28
20-03-2025 14:30,23228.2,46650,75,-75,29100,675,Y,15975,N,0.9,23228,23228.2,20-03-2025 14:30,215.8,833550,-75,-150,48225,-2449275,YES,51900,YES,0.24,0.6,7132650,404400,-13500,100200,-2318250,Y,546525,Y,-0.18,50148.8,28500,210,-3180,11610,5070,N,-9150,Y,4.89
20-03-2025 14:35,23223.85,61125,-150,1425,31425,-22575,YES,18450,N,1.09,23227,23223.85,20-03-2025 14:35,212,1136250,-225,-300,56025,-1335525,Y,13350,N,0.31,1,9427725,-331200,207525,105825,2319750,YES,-1281825,YES,-0.24,50135,21000,-30,-90,9330,9390,N,3120,N,3.26
20-03-2025 14:40,23211.4,64350,0,-1650,36300,3675,Y,-6750,Y,1.08,23223.85,23211.4,20-03-2025 14:40,204.8,769275,-1050,0,48975,-1066575,Y,5475,N,0.21,0.85,9203025,66600,-204975,116925,-1019325,Y,317550,Y,-0.23,50130.2,7830,-150,210,13530,5610,N,-7560,Y,1.05
20-03-2025 14:45,23213.35,91725,-1350,-600,36075,31500,Y,-3300,N,1.39,23210,23213.35,20-03-2025 14:45,207.45,629625,-1575,0,46650,-790800,Y,-16125,Y,0.16,0.75,8803425,108150,-138150,124800,-1018050,N,331125,N,-0.21,50142.65,9630,90,-210,11910,17460,N,-4170,N,1.37
20-03-2025 14:50,23223.25,92250,-675,150,46875,2400,YES,0,N,1.47,23213.3,23223.25,20-03-2025 14:50,212.3,702225,450,75,54000,-1532400,YES,75,N,0.19,0.5,7456875,92775,233025,124275,-2968725,Y,236700,N,-0.18,50150,6600,-210,450,13800,6270,N,-15780,Y,0.93
20-03-2025 14:55,23216,82425,0,-150,27825,-2400,YES,-825,Y,1.29,23223.2,23216,20-03-2025 14:55,208.4,440700,-525,-1500,53175,-1498875,Y,-44625,Y,0.12,0.55,6662550,174000,150975,129600,405300,YES,-628125,YES,-0.16,50133.95,6930,0,-420,8250,-3630,YES,5760,YES,0.89
20-03-2025 15:00,23205.35,172875,75,-750,48075,7125,N,16125,N,2.32,23218,23205.35,20-03-2025 15:00,198.3,901575,225,-225,49575,-4002000,YES,7125,YES,0.23,0.3,10820175,1905600,513675,114900,-1013025,Y,1862850,Y,-0.25,50113.1,9480,0,0,12060,3120,N,-16230,Y,1.1
20-03-2025 15:05,23209.05,198075,-600,150,50100,9000,N,-14025,Y,2.44,23205.65,23209.05,20-03-2025 15:05,200.25,1106100,0,375,60300,-1644075,Y,25425,N,0.27,0.15,4059600,2855400,148425,111300,-9028425,Y,589425,N,-0.1,50120.85,12000,0,0,11370,450,YES,90,N,1.26
20-03-2025 15:10,23195,287850,375,0,38475,-14325,YES,9150,YES,3.03,23209.15,23195,20-03-2025 15:10,190.85,896775,-750,-75,49950,-1446075,Y,-25350,Y,0.21,0.15,3129450,-3374700,363000,113625,-3793200,YES,-184725,YES,-0.07,50083.6,14580,30,0,12210,-1980,YES,330,N,1.38
20-03-2025 15:15,23199,193050,-150,-675,50175,27600,Y,-7125,Y,1.82,23195,23199,20-03-2025 15:15,193.35,768525,3225,75,62925,-419625,Y,-25950,Y,0.18,0.15,3998700,3201375,140850,111075,-9129750,Y,306750,Y,-0.1,50085,17010,-180,-30,12360,6450,N,-1290,Y,1.31
20-03-2025 15:20,23197.1,225450,-600,-75,55425,-10350,YES,9225,N,2.04,23198.2,23197.1,20-03-2025 15:20,192.2,655200,1725,375,67050,-989925,YES,-37275,Y,0.15,0.15,3697500,-4854750,-1010775,120600,-5852025,YES,-1145550,YES,-0.08,50078.95,15450,-30,2280,11370,-19170,YES,-14520,Y,1
20-03-2025 15:25,23191,299550,-300,0,40125,-154725,YES,-71250,Y,2.42,23197.1,23191,20-03-2025 15:25,191.15,777075,-4650,4875,63750,-14599425,YES,-77850,Y,0.18,0.15,4768575,-322050,-330075,147300,-12577650,Y,-2492475,YES,-0.11,50075,27810,-120,-2040,13260,-33660,YES,-24750,Y,1.85
