last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
03-03-2025 09:50:00,48245.65,1860.0,240.0,-240.0,1800.0,25770.0,N,-19770.0,N,-1.1000000000058208,48244.45,48245.65
03-03-2025 09:55:00,48235.7,20760.0,-300.0,30.0,13380.0,-3210.0,YES,30330.0,YES,-11.779999999998836,48260.0,48235.7
03-03-2025 10:00:00,48169.25,66300.0,-60.0,-60.0,16590.0,-12000.0,YES,810.0,Y,-42.09000000000378,48240.95,48169.25
03-03-2025 10:05:00,48156.7,22050.0,0.0,180.0,13320.0,22710.0,Y,-21660.0,Y,-11.539999999993597,48161.5,48156.7
03-03-2025 10:10:00,48179.6,33690.0,120.0,270.0,14820.0,1740.0,YES,10260.0,YES,-14.559999999997672,48156.7,48179.6
03-03-2025 10:15:00,48296.2,28110.0,180.0,-180.0,12630.0,-1260.0,YES,-1260.0,Y,-7.209999999999127,48188.2,48296.2
03-03-2025 10:20:00,48233.45,26910.0,-120.0,-30.0,12540.0,30510.0,Y,-11730.0,Y,-5.720000000001164,48304.95,48233.45
03-03-2025 10:25:00,48339.4,29400.0,-30.0,60.0,11460.0,-23190.0,YES,4140.0,N,-4.5,48233.45,48339.4
03-03-2025 10:30:00,48253.05,16350.0,0.0,240.0,9450.0,2190.0,Y,9780.0,N,-2.1599999999962165,48330.0,48253.05
03-03-2025 10:35:00,48301.75,13800.0,30.0,30.0,9510.0,-28980.0,YES,9420.0,N,-2.4800000000032014,48253.05,48301.75
03-03-2025 10:40:00,48233.7,14010.0,-60.0,-90.0,10230.0,21480.0,Y,2070.0,Y,-2.6999999999970896,48301.75,48233.7
03-03-2025 10:45:00,48315.0,11490.0,0.0,-30.0,9780.0,10200.0,N,9480.0,N,-1.6699999999982538,48233.7,48315.0
03-03-2025 10:50:00,48290.0,7140.0,0.0,-30.0,8490.0,-2130.0,YES,1980.0,Y,-0.6699999999982538,48315.0,48290.0
03-03-2025 10:55:00,48250.0,8010.0,30.0,-60.0,8310.0,7830.0,N,-810.0,Y,-1.3800000000046566,48298.8,48250.0
03-03-2025 11:00:00,48181.0,13920.0,180.0,-30.0,10530.0,-33420.0,YES,39270.0,YES,-3.040000000000873,48250.0,48181.0
03-03-2025 11:05:00,48194.7,9990.0,-60.0,-60.0,8940.0,-4260.0,Y,4740.0,N,-2.290000000000873,48181.0,48194.7
03-03-2025 11:10:00,48224.95,14010.0,-60.0,0.0,9840.0,2040.0,N,17760.0,N,-3.610000000000582,48194.7,48224.95
03-03-2025 11:15:00,48167.8,6870.0,0.0,30.0,7470.0,-3960.0,YES,5040.0,N,-1.639999999999418,48210.35,48167.8
03-03-2025 11:20:00,48193.9,10770.0,0.0,-90.0,10260.0,5880.0,N,11220.0,N,-3.0,48170.55,48193.9
03-03-2025 11:25:00,48189.95,7050.0,0.0,30.0,8640.0,5940.0,N,17190.0,N,-1.4899999999979627,48193.9,48189.95
03-03-2025 11:30:00,48245.25,9750.0,540.0,-90.0,10170.0,-5160.0,YES,15510.0,N,-1.7099999999991269,48189.95,48245.25
03-03-2025 11:35:00,48186.6,6330.0,-600.0,-30.0,9600.0,-11190.0,YES,12870.0,N,-1.1900000000023283,48235.0,48186.6
03-03-2025 11:40:00,48195.4,4800.0,0.0,-120.0,8940.0,31020.0,Y,1140.0,Y,-0.930000000000291,48199.85,48195.4
03-03-2025 11:45:00,48241.0,4140.0,210.0,90.0,9330.0,4050.0,N,10050.0,N,-0.6600000000034925,48195.4,48241.0
03-03-2025 11:50:00,48205.15,3120.0,-210.0,0.0,7620.0,-10050.0,YES,2670.0,Y,-0.47000000000116415,48241.0,48205.15
03-03-2025 11:55:00,48190.0,4260.0,210.0,0.0,6930.0,300.0,N,-2340.0,Y,-0.8799999999973807,48205.15,48190.0
03-03-2025 12:00:00,48217.55,4440.0,30.0,-30.0,7860.0,3480.0,N,3720.0,N,-0.9499999999970896,48190.0,48217.55
