last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
16-12-2024 10:05,23.9,59950,-75,-1600,23.15,22,17175,22750,N,-41500,Y,-0.21,23154.95,23150,9.95,2230000,-725,925,10.5,10.5,28175,115375,Y,-3725,Y,-0.36,-14.6,1178800,-650,325,-14.95,-15.05,26350,223550,YES,16825,N,0.04,46.2,13545,195,-15,60,55.7,5820,-4365,YES,5130,N,2.41
16-12-2024 10:10,-28.5,40725,-325,0,-27.5,-22,14000,7675,N,7925,YES,-0.21,23150,23126.9,-10.35,2113475,175,950,-10.5,-10.35,29125,-69975,YES,110000,YES,-0.33,18.15,1189025,-250,225,17.8,17.75,28600,46750,N,-5350,YES,0.34,-74.25,16365,-60,0,-74.7,-65.9,8295,7515,N,14640,N,1.24
16-12-2024 10:15,-26.4,177800,-175,-75,-28.45,-33.2,16400,-52000,YES,-13875,Y,-4.68,23125.25,23158,-8.7,2926375,400,-950,-9.1,-9.3,27375,-41025,Y,45150,N,-1.13,24.65,2145000,0,-25,25.1,25.25,25275,-64200,Y,-98525,YES,2.57,-80.7,39630,-120,0,-81.7,-85.9,9555,-13155,YES,-22470,Y,-2.4
16-12-2024 10:20,-5.65,49200,800,50,-0.8,-5.55,10075,26975,Y,12425,YES,-1.26,23158,23163.25,-1.1,1293075,-250,-825,-1.1,-1.25,25050,56275,Y,57875,N,-0.47,4.4,823275,175,75,4.25,4.3,22425,8125,YES,24900,Y,1.07,-6.65,13065,0,-210,-1.5,-3.95,5745,16350,Y,-105,YES,-0.96
16-12-2024 10:25,-32.15,122725,-225,675,-28.4,-27.6,13825,-27875,YES,2875,Y,-4.1,23164.65,23118.45,-7.4,2220625,-200,-100,-7.45,-7.45,27025,-118625,YES,31075,N,-1.01,20,1382775,-100,-150,19.45,19.55,21550,400,Y,-70250,YES,2.36,-67.1,36600,420,135,-73,-67.1,6975,-12735,YES,1680,N,-5.81
16-12-2024 10:30,18,106875,-2100,-350,18.15,17.95,18550,-21025,N,-6425,Y,-3.45,23118.45,23111.1,7.55,1557050,275,900,7.95,7.95,36150,69450,Y,-22600,Y,-0.6,-10.85,881825,-150,-1000,-11.65,-11.4,27100,-35050,Y,13350,Y,1.6,65,21225,-285,30,64,61.7,7590,5340,N,-2025,Y,-3.58
16-12-2024 10:35,20.25,73000,25,-150,23,23.7,18650,8100,Y,350,N,-1.16,23111.1,23022,7.65,2217675,-1100,200,7.95,7.95,28625,750,YES,-8425,N,-0.43,-13.95,827225,-25,-725,-14.25,-14.25,26425,-8150,YES,5725,N,0.94,36.05,12450,0,-135,37.05,39.65,7605,5025,N,4965,N,-0.64
16-12-2024 10:40,-29.5,76100,75,-400,-29.5,-24.3,20500,26475,N,4700,N,-1.32,23025,22998.15,-9.05,1499025,-200,125,-9.25,-9.35,29425,-22925,YES,58275,YES,-0.32,15.3,584550,275,2250,15.6,15.35,29350,14125,YES,-11550,YES,0.67,-56,14595,15,180,-58.5,-61.3,12330,8445,N,-7905,Y,-0.52
16-12-2024 10:45,0.7,26050,-950,400,1.2,-0.65,17525,2625,YES,14200,N,-0.55,22998.3,22973.25,-0.9,897900,-125,850,-0.9,-0.9,27375,15650,Y,34100,N,-0.22,2,442550,-125,125,2,1.95,30325,6775,N,4475,N,0.57,1.25,3465,30,-45,-7.9,-5.45,4470,2175,YES,1890,N,-0.3
16-12-2024 10:50,-7.35,34950,225,-325,-8.35,-6.65,11450,-1650,YES,1950,Y,-0.7,22975.95,22988,-0.85,1239175,425,600,-0.7,-0.7,31450,775,YES,675,Y,-0.3,2.9,600275,-25,-25,3.75,3.9,24100,-11800,Y,-13175,YES,0.75,-31.65,7725,75,30,-16.7,-18.7,5280,-9480,YES,1080,Y,-0.9
16-12-2024 10:55,-3.75,42875,25,-175,-3.3,-7.35,13900,5850,N,10450,N,-1.13,22987,22986.4,-0.95,965875,-475,525,-0.45,-0.55,33575,46550,Y,9475,N,-0.26,9.35,614975,200,150,9.35,9.6,23200,2475,N,8575,Y,0.94,-20.85,8595,-120,90,-13.3,-23.35,6630,11040,Y,-3015,Y,-1.46
16-12-2024 11:00,11.45,40950,25,175,7,8.3,15275,18425,N,-875,Y,-0.96,22990.65,22943.65,4.55,1099650,-350,300,4.8,4.9,35550,21000,N,-19225,Y,-0.25,-5.4,588925,-100,-250,-5.6,-5.75,26350,-9150,Y,550,YES,0.9,35,8775,150,-105,39.5,33.4,6975,960,YES,2745,N,-1.35
16-12-2024 11:05,5.65,59050,50,-50,11.9,7.65,13750,-22500,YES,3700,N,-1.14,22943.4,22922.95,1.15,1422250,225,-900,1.75,1.75,37850,18275,N,-31825,Y,-0.23,-5.6,479800,-50,275,-6.75,-6.65,25675,-6925,N,3700,N,0.63,32.9,12225,210,45,36.3,35.35,6525,-2295,YES,-3180,Y,-1.04
16-12-2024 11:10,-45.8,164075,25,75,-43.85,-40.9,12525,-49700,YES,10225,N,-4.84,22920,22967.95,-12.05,2000175,550,-875,-11.3,-11.3,30050,-189025,YES,72725,YES,-0.51,32.1,710450,75,100,30.85,31.15,26675,32175,YES,-82475,YES,1.24,-102.55,33630,0,-105,-94.65,-87.05,6285,-10635,YES,-2205,N,-6.35
16-12-2024 11:15,16.75,84325,525,325,19.3,20.45,13400,27525,Y,18000,N,-2.36,22962.3,22936.8,6.85,1774225,-1000,700,6.65,6.65,27100,126850,Y,38350,N,-0.49,-15.35,789175,250,-475,-14.85,-15.15,25125,-41325,Y,27100,Y,1.6,44.65,46650,0,60,32.7,29.7,8085,7290,N,18960,YES,-9.64
16-12-2024 11:20,13.6,42525,-50,1275,13.15,10.15,15800,-6525,YES,9125,N,-0.84,22933.95,22940,3.05,1225250,550,725,2.95,3,31550,11325,N,16650,N,-0.24,-2.4,390925,300,-50,-2.6,-2.6,25900,5175,YES,2725,YES,0.6,19.95,8640,180,45,19,20,7695,1860,YES,1095,Y,-0.99
16-12-2024 11:25,-12,94450,450,-75,-12.75,-12.2,18750,-2350,N,-2800,Y,-1.99,22938.6,22932.15,-3.4,915325,75,-200,-3.55,-3.5,27875,114600,Y,59850,YES,-0.17,7.65,345150,650,250,7,7.25,23350,-1750,Y,7775,N,0.56,-32.55,8025,-75,-75,-31.6,-26.4,6255,17475,N,17910,N,-0.83
16-12-2024 11:30,7.55,23500,-200,-50,6,7.55,12850,9975,N,23075,YES,-0.43,22931,22953.85,3.15,946750,150,75,3.2,3.2,30600,-3150,YES,-60625,Y,-0.16,-4.4,302850,400,-75,-4.45,-4.4,31175,-7850,Y,-225,YES,0.47,18.95,7365,30,15,11.4,6.1,6180,3870,N,-6540,Y,-0.9
16-12-2024 11:35,10.5,34325,-250,0,13,11.5,14375,1975,YES,2425,Y,-0.4,22950.1,22927.45,5.95,1517600,0,700,5.6,5.6,27475,17025,Y,-30375,YES,-0.1,-7.9,369200,75,-100,-7.3,-7.35,26225,-6875,N,575,N,0.43,22.85,15000,-15,105,13,10.1,5325,2235,YES,4800,N,-1.33
16-12-2024 11:40,-21.1,50950,150,475,-18.5,-18.65,22125,16225,N,-9025,Y,-0.73,22931.35,22977.15,-4.15,1085325,8625,700,-4.55,-4.65,35925,5775,N,34000,YES,-0.08,6.4,241850,-25,325,7.2,7,26975,17525,YES,375,YES,0.31,-27.5,8400,-3645,-90,-20.1,-27.9,5400,-5880,YES,45,Y,-0.88
16-12-2024 11:45,21.5,50725,50,25,17.75,20.95,15325,17375,N,2725,N,-0.88,22977.15,22964.6,5.6,975850,550,-350,5.55,5.6,34775,9025,N,-16600,Y,-0.1,-11.55,249975,-350,25,-11.75,-11.9,27350,-15425,Y,17650,N,0.33,38.6,9285,15,30,39.75,42.1,6180,2370,N,9840,N,-1.07
16-12-2024 11:50,-9.4,131575,-50,-100,-13.55,-11.65,23925,-1350,YES,23000,YES,-0.99,22964.6,22971.95,-5.9,1169925,1700,-100,-5.7,-5.7,25800,-27050,YES,-6750,N,-0.08,9.15,285750,-250,175,8.6,8.6,26700,23075,YES,-5350,YES,0.34,-11,5910,-105,-45,-13.95,-12.75,5145,-4395,YES,9585,N,-0.41
16-12-2024 11:55,-14.95,40275,100,0,-11,-12.65,17050,-4500,YES,-9275,Y,-0.73,22970,22993.2,-1.7,1164925,-1200,150,-1.35,-1.35,30275,75700,Y,57650,YES,-0.17,8.15,340250,275,-100,7.95,7.95,29775,-12175,Y,-6925,YES,0.52,-17.6,7095,0,-30,-25,-30.25,7575,240,N,630,Y,-0.85
16-12-2024 12:00,0.55,46900,375,200,3,0.55,13275,20775,Y,-6775,N,-0.87,22994.35,22927,-0.15,1061375,1200,825,0.15,0.25,28500,93525,N,12525,N,-0.19,-3.45,334775,50,-225,-4.35,-4.25,22175,-11525,N,-1075,N,0.56,-6.3,15090,0,90,-9.65,-4.75,5835,-6255,YES,-795,Y,-2.05
16-12-2024 12:05,-15.35,25250,-550,1350,-14.9,-13,11825,-4825,YES,31200,YES,-0.49,22930.15,22898.7,-5.75,1224550,-20950,150,-5.2,-5.15,40350,-124000,YES,47850,YES,-0.23,12.45,220750,150,-275,11.15,11.25,23725,16825,YES,-5575,YES,0.36,-46.6,25935,-90,300,-30.25,-31.7,6810,-5760,N,3000,N,-3.71
16-12-2024 12:10,-3.75,32775,-1350,-200,-4,-4.9,15200,14250,N,-13950,Y,-0.68,22906.1,22912.35,0.6,792450,0,-2025,1,0.9,31450,75,Y,-3325,Y,-0.16,0.8,270250,-325,1075,0.7,0.75,28350,4850,N,-5550,N,0.47,-7.7,16575,0,-30,4.1,0.45,6345,12870,N,885,Y,-2.38
16-12-2024 12:15,13.4,40575,-650,-25,12.1,11,15875,30000,N,2425,N,-0.85,22912.3,22895,3.75,974725,375,0,3.9,3.95,30750,67850,Y,-25900,Y,-0.18,-5.95,362400,-200,-125,-5.8,-5.9,21625,-21525,Y,19100,Y,0.65,22.75,5955,60,-15,22.75,14.2,5340,7905,N,90,Y,-0.85
16-12-2024 12:20,-3.35,25350,175,75,-1.6,-2.3,14700,5375,N,-11075,Y,-0.46,22895,22907.1,1,757625,675,-150,0.7,0.75,33225,14700,N,5350,YES,-0.12,-2,189500,-1300,75,-2.3,-2.3,27850,7825,YES,23550,N,0.32,3.95,7995,15,15,3.95,12.5,6030,7740,N,5535,N,-0.9
16-12-2024 12:25,-2.8,23550,3400,0,-6,-3.75,12200,-5350,YES,10625,YES,-0.38,22910,22927.1,-3,995950,-1625,550,-2.5,-2.55,33025,-56400,YES,45575,YES,-0.14,7.75,276950,-650,675,8.4,8.4,31850,3825,N,-15550,YES,0.44,-12.5,6270,-75,105,-12.95,-14.75,5955,-2400,YES,15,Y,-0.71
16-12-2024 12:30,28.95,48550,-3525,75,23.3,21.85,15550,3200,N,-55350,Y,-0.95,22922.45,22918.6,8.6,911325,-650,5850,8.2,8.1,31975,88550,Y,-105950,Y,-0.13,-21.7,303325,300,350,-20.85,-20.8,30750,-27350,Y,6425,Y,0.5,50,11445,-1275,30,50.15,42.85,7380,2070,N,1395,N,-1.53
16-12-2024 12:35,-7.85,45800,0,25,-5.8,-7.3,16200,1450,YES,3200,YES,-0.45,22918.05,22940,-0.5,1911225,-1600,-175,-0.4,-0.45,34075,-40225,YES,8250,YES,-0.08,1.45,323075,200,-175,2.2,1.95,28850,30225,YES,7700,N,0.37,-2.65,14355,0,-30,1.75,5.55,7965,-10350,YES,9480,N,-0.7
16-12-2024 12:40,7.75,16625,0,-150,6.25,7.1,10825,2025,N,-750,Y,-0.17,22938.6,22911.5,2.3,916075,-725,-600,2.35,2.2,32600,60075,Y,22775,N,-0.04,-5.1,151000,700,-50,-4.65,-4.65,26400,2225,Y,400,YES,0.18,13,15465,-15,60,8,9.65,9120,-2415,N,5265,N,-0.59
16-12-2024 12:45,11.35,37975,0,550,12.25,11.35,13525,-52275,YES,-7325,Y,-0.27,22911.5,22895.75,4.1,1674550,775,-225,4.45,4.55,28500,7875,N,-79250,Y,-0.03,-5.9,299475,-350,350,-6.1,-6.1,29050,-5575,Y,-5850,YES,0.3,10,12720,0,-4440,14,14.95,5355,-6375,YES,-8190,Y,-0.38
16-12-2024 12:50,-7.2,15100,-25,-575,-4.2,-6.4,10700,-36275,N,6950,N,-0.13,22899.95,22902.05,-5.25,1286425,75,-400,-5.55,-5.65,28050,-18400,YES,55875,YES,-0.06,0.85,185825,-125,0,1.25,1.1,25300,1625,N,7325,N,0.2,-14.5,7290,0,240,-10,-10.35,5865,-1470,N,4620,N,-0.36
16-12-2024 12:55,-8.8,12325,725,425,-9.85,-9.45,10225,8575,Y,-3350,Y,-0.14,22901.6,22879.75,-3.05,1043425,-400,575,-4.2,-4.2,27400,-4625,N,33075,N,-0.12,2.75,181950,-175,200,2.5,2.5,26250,4150,N,-6550,YES,0.2,-3.05,2580,15,0,-16.65,-17.2,4560,-4320,YES,-10965,Y,-0.14
16-12-2024 13:00,17,20175,-50,50,14.65,16.25,10500,3500,N,-2375,N,-0.13,22874.75,22866,4.4,959775,500,125,3.9,4,37600,-975,N,8575,N,-0.06,-13.75,223525,400,-525,-13.5,-13.6,30425,-7100,Y,7075,N,0.18,47.55,14955,-60,-135,51,41.1,7320,-3525,N,8025,N,-0.23
16-12-2024 13:05,8.8,46675,75,-50,10.45,8.8,19900,-7975,YES,-6625,Y,-0.14,22867,22869,3.6,1488850,-1575,-75,3.3,3.25,31800,10950,N,-34975,Y,-0.03,-0.7,295300,-625,1200,-0.8,-0.9,36250,-850,N,-4225,YES,0.18,31.55,25470,-15,-105,23.65,26.05,13515,8955,N,1890,Y,0.62
16-12-2024 13:10,-3.75,32450,-100,150,-3.8,-0.7,14175,-2025,N,3950,N,-0.15,22869,22885,-0.5,1040525,450,275,-0.35,-0.2,29825,6825,N,3175,YES,-0.04,-2.05,174750,200,-150,-2.8,-2.7,31775,-18800,Y,2400,N,0.13,0.4,7440,90,-60,4.35,0.4,6015,-1725,YES,1290,Y,0.23
16-12-2024 13:15,19.95,52000,-50,775,16.3,14.2,12900,-5275,YES,-16950,Y,-0.02,22885,22912.9,5.4,1999725,125,250,4.7,4.8,31925,-39350,YES,-87350,Y,0.04,-11.85,394975,-850,300,-11.2,-11.35,28950,-41125,Y,15850,N,0.16,47.95,37050,-75,690,46.45,45.05,8865,-9885,YES,-4260,Y,2.31
16-12-2024 13:20,-28.95,69250,-50,-3175,-25.85,-27.95,18850,-7175,YES,23775,YES,0.03,22915,22913,-12.2,2131325,600,575,-12.55,-12.45,31975,-105800,YES,131550,YES,0.01,19.35,531300,425,-50,19,19.4,27450,108275,YES,-21875,YES,0.17,-38.5,30600,45,-600,-35.2,-24.35,8310,-6060,N,-2160,N,2.62
16-12-2024 13:25,-2.25,40250,-75,250,-4.9,-1.75,15900,22575,Y,4825,N,-0.29,22913,22916,-0.15,1319025,-225,1375,-0.4,-0.4,30925,33400,Y,-17000,Y,-0.12,1.1,313450,-50,175,0.6,0.65,24425,825,Y,7300,Y,0.24,11.1,9645,-75,0,-3,8.2,6465,-11370,YES,17490,N,0.33
16-12-2024 13:30,2,21550,-475,200,1.3,-1.4,17550,-4375,YES,4725,N,-0.13,22916,22924.7,-0.45,772475,-1975,1225,0,-0.2,35750,53700,Y,27775,YES,-0.07,-3.65,190125,450,25,-2.6,-2.6,24075,6500,N,8575,N,0.12,2.3,8235,105,0,13.2,7.35,6435,2265,N,1575,Y,0.45
16-12-2024 13:35,9,22300,100,0,7.85,8,15275,15275,N,7850,N,-0.14,22918.85,22885,1.15,606575,-500,500,0.6,0.6,40675,13250,N,22850,N,-0.05,-6.75,259875,100,150,-6.95,-6.95,34950,-7825,Y,6000,N,0.16,20.45,8055,90,-195,20.35,23,7590,6210,N,-6045,Y,0.5
16-12-2024 13:40,4,21950,75,100,3.65,4,12875,3025,N,14450,N,-0.04,22885,22887,-0.25,1142575,1225,1125,-0.2,-0.15,33975,-13650,YES,15325,N,-0.08,-1.55,310625,-500,-25,-0.25,-0.3,24150,1900,N,-10525,YES,0.11,0.1,17970,105,-60,-4.75,-9,6630,-1290,YES,1545,N,1.42
16-12-2024 13:45,-21.45,32950,325,-50,-22.4,-22,12975,750,YES,-10675,Y,-0.19,22887,22868.55,-7.05,1568875,-525,1725,-7.65,-7.6,33325,-107400,YES,58100,YES,-0.23,12.65,261600,-50,300,14.05,14.15,32900,19925,N,-10100,N,0.18,-33.5,13080,-90,-225,-40.55,-36.8,12600,420,N,390,Y,0.84
16-12-2024 13:50,28,22625,325,-100,28.3,29.75,15175,-5275,YES,6800,N,-0.07,22867.8,22867,7.6,1153875,-1575,875,7.15,7.15,31125,36550,Y,-54875,Y,-0.11,-16.65,252275,1350,175,-16.05,-16,24700,-3800,Y,10450,Y,0.11,49.5,4110,-15,0,46.15,45,4530,-165,YES,-1785,Y,0.26
16-12-2024 13:55,1.05,69850,-300,175,-3.15,-1.8,25525,-4475,N,25,Y,-0.09,22867,22874,-1.95,1093325,1650,-825,-1.75,-1.75,43650,-36525,YES,34975,YES,-0.09,-3.7,295925,275,-175,-4.3,-4.35,26950,-10975,Y,-8325,YES,0.08,-3.6,6945,120,-720,-22.7,-13,6750,1140,N,2040,N,0.48
16-12-2024 14:00,10.2,31400,-150,750,14.05,11.4,10675,46100,Y,1625,N,0.03,22874.45,22861.4,4.1,1602675,-800,-1375,4.35,4.3,27375,38900,Y,-34375,Y,-0.08,-10.15,348250,-450,-275,-9.15,-9.35,21550,4225,N,-2325,N,0.01,40.2,27525,0,-60,57.25,47.95,6765,3255,N,-20235,Y,2.68
16-12-2024 14:05,12.2,31950,275,-925,10,10.45,12000,2600,YES,-7375,Y,0.08,22860.05,22871.85,1.3,1005175,-1700,-1525,1.2,1.05,36500,18425,N,2800,YES,-0.05,-4.3,236150,75,-75,-4.45,-4.5,22975,-1325,Y,6225,N,0,-2.45,12090,-60,-150,-3.55,-9.95,6435,570,YES,2460,YES,1.14
16-12-2024 14:10,-22.55,82925,100,-450,-26.3,-26.05,16575,-9525,YES,42675,YES,0.18,22868.8,22885,-8.75,2244575,700,125,-8.85,-8.75,30600,-16500,YES,50250,YES,-0.14,20.25,605775,-75,-1075,20.45,20.4,30125,22475,YES,-18725,YES,0.07,-39.65,10440,765,-30,-50.3,-50,10980,-5430,YES,3675,N,0.77
16-12-2024 14:15,-7.55,17200,-200,-25,-3.8,-6.8,11625,5450,N,11975,N,-0.03,22887.45,22930,-1.4,875100,325,-850,-0.95,-1,30400,3975,Y,28900,N,-0.09,-0.1,232250,-50,0,0.15,0.05,28625,-7100,Y,9125,Y,0.07,-18.7,8415,0,0,-1.95,3.3,11190,-1425,N,915,Y,0.58
16-12-2024 14:20,-7.5,57425,75,-25,-8.25,-9.5,16175,8300,N,17375,N,-0.17,22932,22913.25,-3,1336225,-1325,19475,-3.1,-3.2,35300,-49400,YES,72675,YES,-0.17,5.2,293450,50,-200,5.45,5.3,25550,2550,N,6125,N,0.1,-11.65,11625,-15,45,-21.2,-23.3,8820,-165,N,-195,Y,0.56
16-12-2024 14:25,-1.3,24300,75,-150,-1.2,-1,11350,-875,YES,8700,N,-0.11,22917,22943.15,-1.35,869675,-150,1150,-2.05,-2.05,25725,3725,Y,3200,N,-0.12,1.35,314900,25,-125,1.8,1.85,19525,-3925,Y,14175,N,0.14,-35,8070,675,0,-27.8,-27.1,6465,-4275,YES,3135,N,0.25
16-12-2024 14:30,10.75,10075,0,-25,15.3,9.75,10150,-1700,YES,14675,N,-0.02,22944.2,22982,4.15,956025,1075,2075,4.45,4.5,34925,12625,N,-38775,Y,-0.11,-11.9,237425,150,0,-12.95,-12.85,23675,-2525,N,10500,N,0.06,65,4800,60,165,55.65,63,5490,1695,N,270,Y,0.2
16-12-2024 14:35,14.25,32325,200,700,13,13,14475,-20100,YES,-2075,Y,0.03,22978.8,22983,4,1229475,-750,-450,4.1,4.1,29400,19550,N,-27150,N,-0.08,-10.6,375875,175,0,-11.1,-11.2,26375,-1575,N,-9000,YES,0,48.35,10110,-30,495,48.95,49,8610,10320,N,-1845,Y,0.88
16-12-2024 14:40,12,50575,475,-450,13,11.9,13225,7875,Y,-14350,Y,0.12,22983,23043.7,3.2,1521625,-725,-775,3.05,3.1,34400,-36100,YES,-80100,Y,-0.09,-8,388375,-300,-50,-7.95,-8.05,31450,-4075,Y,3950,N,-0.04,39,24750,-15,-480,39.45,38,7680,330,YES,-6930,Y,2.7
16-12-2024 14:45,-4.4,30550,-225,-625,-5,-4.5,12975,-5175,YES,25600,YES,0.09,23045.45,23032.45,-2.8,1148025,-2425,-1375,-3,-3.05,29400,-16350,N,86175,YES,-0.06,5.95,322000,50,25,5.35,5.4,25925,16075,YES,10875,N,-0.06,-20.7,12495,75,-480,-26.25,-20.7,7545,-3600,YES,615,N,1.45
16-12-2024 14:50,-15.9,26050,-75,0,-14.8,-10.95,10950,-3150,N,19150,N,0.04,23028.3,23029,-3.85,1149625,-675,1100,-4.35,-4.3,34275,-49525,YES,-27225,Y,-0.08,3.9,298675,75,-125,4.8,4.75,23775,1500,Y,-20550,YES,-0.03,-33.55,10140,0,-15,-27,-31,6390,-1515,N,-2670,Y,1
16-12-2024 14:55,16.3,27400,350,200,14.35,13,10825,4300,N,1900,Y,0.07,23028.3,23029.15,5.1,956375,-25,100,4.45,4.5,32675,16350,Y,-55400,Y,-0.05,-7.1,283175,-1800,150,-6.75,-6.8,27625,3825,N,8125,Y,-0.04,16.35,8655,-105,90,15.75,28.2,6075,-1215,N,9510,N,0.87
16-12-2024 15:00,-8,91375,175,-275,-7,-4.25,13950,1200,YES,-6225,Y,0.39,23030,23000,-3.3,2625050,-500,0,-4.1,-4.15,31300,-18275,YES,-3325,YES,-0.12,5.7,678475,75,-300,6,5.95,25950,-10550,Y,-14000,YES,-0.15,-9.35,13005,195,-30,-1.95,-13.95,5655,2130,N,-13305,Y,1.17
16-12-2024 15:05,-13.75,58225,625,200,-14.55,-13.65,17875,-5675,YES,575,N,-0.05,23000,22991.55,-1.55,1841175,2125,550,-1.75,-1.6,34100,-21725,YES,-21700,Y,-0.18,11.95,578200,100,-25,12.2,12.35,26425,-725,N,-20075,YES,0.07,-55.65,16005,-15,-180,-55.85,-52,6795,-2505,YES,3660,N,0.84
16-12-2024 15:10,-6.5,48075,-425,-50,-5,-4.7,13900,2325,N,12975,N,-0.07,22991.55,23006.7,-3.2,984550,-125,0,-3.3,-3.3,31050,-116975,YES,44325,YES,-0.08,3.3,302075,200,-175,3.85,3.9,26500,2350,N,-9325,N,0.06,-18.9,21885,-30,0,2.35,-6.9,6855,-3180,YES,-7170,Y,0.92
