last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
16-12-2024 09:15,16.5,126625,25,125,14.5,16.8,16100,73400,N,22450,N,-3.19,23191.15,23174,10.15,2354450,-50,50,10.45,10.45,18150,179800,N,51200,N,1.63,-3.65,1749525,-75,125,-3.8,-3.85,15000,-20350,N,53575,N,4.35,43,39495,0,210,32.35,37.85,5970,20730,N,11925,N,-3.91
16-12-2024 09:20,-22.6,139850,0,275,-24.45,-26.95,20200,-11600,YES,36375,N,-2.9,23169.35,23176.95,-8.55,2796950,-1000,525,-8.7,-8.65,25025,-1766750,YES,127075,YES,1.03,14.15,2452700,-200,-50,14.6,14.7,24050,-702100,Y,66075,N,4.61,-72.5,40335,-45,0,-78.6,-77.35,8325,6750,N,17355,N,-16.05
16-12-2024 09:25,-18.9,127150,775,-350,-22.05,-19.45,16550,1175,N,-11525,Y,-4.3,23176.95,23116.95,-3.6,2706400,225,-775,-4.65,-4.7,30775,31600,Y,112250,N,-0.94,19.15,2115275,-150,-175,20.25,20.3,24025,-14900,YES,-98175,YES,4.12,10.25,29625,-120,30,12.15,22.7,7380,14940,N,-5025,Y,0.16
16-12-2024 09:30,-4.95,133600,500,-50,-9.05,-11.95,11975,17875,N,22600,YES,-6.77,23114.55,23107.5,4.25,2462550,150,175,4.05,4.05,23375,19400,N,35075,N,-1.3,13.8,2092175,275,700,15.25,15.5,20250,-12825,N,10500,Y,6.4,37.9,17925,-15,0,28.55,35.35,7305,4110,N,7200,N,-1.81
16-12-2024 09:35,-2.9,164925,-725,425,-0.45,0.5,17275,-73875,YES,4550,N,-6.42,23107.5,23137.9,0.95,2177825,-25,25,1.05,0.9,27050,-42825,YES,41350,N,-0.09,3.85,1319150,575,250,3.6,3.85,22925,-38850,Y,-2375,YES,3.79,31.6,31500,0,-30,26.85,27.75,9915,-2940,YES,4215,N,6.18
16-12-2024 09:40,57.8,132175,25,0,53.95,56.05,16025,10275,Y,96475,YES,1.83,23137.9,23119.1,21.45,4801525,-550,-75,22.65,22.65,24100,124175,Y,-111975,Y,3.58,-36.95,1489325,50,125,-36.35,-36.45,19775,-15775,YES,71100,Y,0.77,178.65,94725,0,60,179,183.85,10890,3570,N,8415,N,46.88
16-12-2024 09:45,5.9,94275,-75,-75,10.95,10.3,14425,185025,Y,15100,N,3.24,23119.1,23130,6.55,5129650,-25,-150,5.9,5.85,24475,-11875,YES,126700,YES,4.44,-8,1644200,-275,-125,-7.7,-7.75,21675,13275,YES,13175,N,-1.31,-0.65,50370,0,0,11.05,4.65,8070,2370,YES,13380,N,22.39
16-12-2024 09:50,-4.8,62475,0,175,-4.45,-4.65,13125,-4100,YES,11275,N,2.2,23133,23098.15,-10.3,4090725,925,-175,-9.85,-9.85,23350,-133300,YES,197450,YES,2.42,-2.75,1543225,-200,-75,-2.85,-3,22550,178025,YES,15200,N,-1.68,-15.15,34770,-30,0,-8.8,-10.95,11295,-7965,YES,14070,N,13.29
16-12-2024 09:55,-36,53000,0,0,-32.8,-30.85,11350,-3900,N,-4225,Y,0.35,23098.15,23133.2,-12.85,4043375,25,200,-13.45,-13.4,27750,-93525,Y,55600,N,0.18,18.15,2025400,-150,0,18.2,18.3,19550,-775,Y,-15875,YES,-0.45,-43.3,25050,60,-60,-43.3,-43.75,7020,-2160,N,11010,N,5.68
16-12-2024 10:00,-4.75,73350,25,2075,-5.1,-7.65,18375,17875,Y,58525,YES,-0.83,23133.2,23155,-2.15,2873575,-50,250,-2.45,-2.5,25100,21850,Y,48950,N,-0.85,0.6,1631700,250,0,1.6,1.6,23700,155550,YES,38500,Y,0.66,-1.6,20370,-15,-105,-10.65,-5,7335,11115,N,2655,Y,1.83
