last_traded_time,ltp,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2025-02-07 09:15:00,233.15,16650,-0.3499999999999943,29475,154875.0,N,18075.0,N,6.360000000000014
2025-02-07 09:20:00,240.15,675,0.05000000000001137,37575,12225.0,N,33675.0,N,7.159999999999997
2025-02-07 09:25:00,235.65,13275,-0.09999999999999432,40875,-9000.0,Y,21075.0,N,2.280000000000001
2025-02-07 09:30:00,233.75,37875,0.14999999999997726,38775,-15150.0,Y,23250.0,N,0.8299999999999841
2025-02-07 09:35:00,222.55,-58575,0.19999999999998863,40275,-2100.0,N,18600.0,N,-0.09999999999999432
2025-02-07 09:40:00,219.1,-525,-0.15000000000000568,42975,45375.0,YES,10650.0,N,-1.1800000000000068
2025-02-07 09:45:00,229.15,-975,0.09999999999999432,40050,-14025.0,Y,16950.0,N,-0.12000000000000455
2025-02-07 09:50:00,217.8,19125,0.0,37200,-5400.0,N,25950.0,N,-0.28000000000000114
2025-02-07 09:55:00,211.6,14475,0.10000000000002274,38625,-26175.0,Y,10575.0,N,-0.8000000000000114
2025-02-07 10:00:00,235.1,9825,0.14999999999997726,39975,20550.0,YES,-43650.0,YES,-0.1799999999999784
2025-02-07 10:05:00,183.85,24075,-0.15000000000000568,41100,-57900.0,Y,15450.0,Y,-2.8600000000000136
2025-02-07 10:10:00,202.35,-9975,-0.15000000000000568,37875,48000.0,YES,26400.0,N,-4.180000000000007
2025-02-07 10:15:00,236.25,41025,-0.09999999999999432,37725,4575.0,N,-77025.0,YES,0.9099999999999966
2025-02-07 10:20:00,247.75,-27450,2.842170943040401e-14,41925,4125.0,N,36750.0,Y,1.1200000000000045
2025-02-07 10:25:00,236.65,14925,-0.20000000000004547,38625,-6450.0,Y,-21300.0,YES,1.740000000000009
2025-02-07 10:30:00,241.9,-13425,0.09999999999999432,36375,3975.0,N,10950.0,Y,0.46000000000000796
2025-02-07 10:35:00,220.0,3000,-0.0999999999999659,39450,-16875.0,Y,13425.0,N,0.28999999999999204
2025-02-07 10:40:00,213.45,-31950,0.0,38025,25950.0,YES,17175.0,N,-0.22999999999998977
2025-02-07 10:45:00,223.0,21150,-0.15000000000000568,38775,20250.0,N,-12825.0,YES,-0.11000000000001364
2025-02-07 10:50:00,205.1,13575,0.04999999999998295,40650,-16575.0,Y,16200.0,Y,-0.18000000000000682
2025-02-07 10:55:00,189.35,-16950,0.09999999999999432,42000,15150.0,YES,20775.0,N,-0.9699999999999989
2025-02-07 11:00:00,182.45,15375,0.0,43500,22500.0,N,50850.0,Y,-2.0200000000000102
2025-02-07 11:05:00,180.8,-16200,0.14999999999997726,47100,-14025.0,Y,17250.0,N,-1.460000000000008
2025-02-07 11:10:00,182.25,31800,-0.04999999999998295,41775,14325.0,YES,20025.0,N,-1.0900000000000034
2025-02-07 11:15:00,162.9,-8175,0.09999999999999432,41925,-17625.0,Y,23625.0,N,-2.2099999999999795
2025-02-07 11:20:00,148.1,8175,0.10000000000002274,37350,-1800.0,N,55725.0,Y,-3.819999999999993
2025-02-07 11:25:00,142.85,9900,0.0,40125,83400.0,YES,83850.0,Y,-5.090000000000003
2025-02-07 11:30:00,147.25,38625,-0.09999999999999432,45825,139425.0,YES,32625.0,N,-5.8700000000000045
2025-02-07 11:35:00,156.3,-136275,0.0,43275,48750.0,N,-25575.0,YES,-3.410000000000025
2025-02-07 11:40:00,148.0,-61350,0.05000000000001137,39600,-129300.0,Y,17325.0,Y,-2.539999999999992
2025-02-07 11:45:00,162.2,70875,0.0,34050,84975.0,YES,-40050.0,YES,-1.8899999999999864
2025-02-07 11:50:00,167.3,30525,0.0,37800,33300.0,N,11475.0,Y,-1.539999999999992
2025-02-07 11:55:00,169.45,-47475,0.20000000000001705,39825,-54375.0,Y,36675.0,Y,-0.9399999999999977
2025-02-07 12:00:00,181.85,-52350,2.842170943040401e-14,37350,53625.0,YES,-92625.0,YES,-0.6899999999999977
2025-02-07 12:05:00,193.3,-17925,0.0,45150,-82500.0,Y,-39000.0,Y,-0.09999999999999432
2025-02-07 12:10:00,224.0,8775,-0.15000000000000568,49800,-45375.0,YES,-78075.0,YES,1.079999999999984
2025-02-07 12:15:00,218.2,-35250,0.19999999999998863,49125,-10125.0,YES,17775.0,Y,0.7199999999999989
2025-02-07 12:20:00,214.9,-7950,-0.15000000000000568,49200,7500.0,N,13125.0,N,0.47999999999998977
2025-02-07 12:25:00,198.0,-64050,-0.0999999999999659,42675,-32850.0,Y,-16500.0,YES,0.28000000000000114
2025-02-07 12:30:00,197.15,32850,-0.04999999999998295,53475,22350.0,YES,-13125.0,N,0.03999999999999204
2025-02-07 12:35:00,208.4,103275,-0.05000000000001137,50775,32775.0,N,11775.0,Y,0.15000000000000568
2025-02-07 12:40:00,205.55,-23775,0.0,42675,-26475.0,Y,4950.0,N,0.28999999999999204
2025-02-07 12:45:00,210.0,18750,0.05000000000001137,53100,-11250.0,N,-9825.0,YES,0.13000000000002387
2025-02-07 12:50:00,222.2,20925,-0.09999999999999432,47325,23925.0,YES,-16575.0,YES,0.3299999999999841
2025-02-07 12:55:00,216.7,-21375,0.15000000000000568,48600,-3900.0,Y,14925.0,Y,0.28000000000000114
2025-02-07 13:00:00,201.2,-37500,0.25,47775,-18675.0,Y,24975.0,N,0.18000000000000682
2025-02-07 13:05:00,210.7,59400,0.05000000000001137,44775,9300.0,YES,6150.0,N,0.14000000000001478
2025-02-07 13:10:00,219.0,51825,-0.0999999999999659,50025,-7425.0,Y,-38550.0,YES,0.3499999999999943
