last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_buy_diff,n_sell_diff,ce_buy_diff,ce_sell_diff,pe_buy_diff,pe_sell_diff,n_bid_diff,n_ask_diff,ce_bid_diff,ce_ask_diff,pe_bid_diff,pe_ask_diff,percentage
02-01-2025 09:15,-0.44133982028169083,-0.5659732041076089,0.03364638905372959,-0.2583209706422824,-0.36330343519478914,0.8767361613734057,0.45371344418872234,-0.21014722572240246,0.6770295374293511,-4050,33500,2347500,250500,3895725,9450,75.0,-100.0,525.0,75.0,-600.0,-225.0,43.113446533266476
02-01-2025 09:20,0.3915039270820144,0.31724677900108633,0.9320481807395946,0.2621793173272326,-0.0580040325237212,0.36585071776751144,0.08744964716020467,-0.22717255037510442,-0.8627002154042221,87325,27475,321225,80925,-104850,53175,-50.0,300.0,-18900.0,75.0,-825.0,0.0,38.93505963756325
02-01-2025 09:25,0.09674607872715699,-0.36726420056098746,0.6451540162224022,0.3534180112915455,-0.4220058347889759,0.529828150901896,0.35615979889456867,-0.6408842628299359,-0.21851362025541515,28625,8950,57900,99975,34725,-13500,400.0,-400.0,1275.0,525.0,-375.0,600.0,40.33304416080982
02-01-2025 09:30,0.9378065926019342,0.4606329142177359,0.5662397738900888,0.6456051554423475,0.011420712246301982,-0.08350512767551017,0.7879448478463242,-0.90766405447401,-0.7042680159448357,25400,7775,134550,31875,-19875,64725,-325.0,-400.0,4500.0,-1125.0,-1200.0,75.0,56.723191048212094
02-01-2025 09:35,0.518051804855192,-0.5697958475096827,0.3011660671949737,0.4466503644961858,-0.7797676886352748,-0.059430701665865844,0.2966558472526873,-0.6795270301034534,0.3800930940770606,17750,5500,39825,-54150,12075,25200,850.0,1300.0,-2175.0,-525.0,-75.0,-825.0,44.79042717544861
02-01-2025 09:40,0.5065728539928911,-0.2947633551640526,0.3689162374844987,0.18671736392743032,-0.6460869266441431,-0.405521172853741,0.11922110081683061,-0.8394242351163799,0.3435297038779672,11800,15450,59775,63900,53775,60000,-125.0,225.0,-675.0,75.0,600.0,600.0,41.230588331977046
02-01-2025 09:45,-0.756963286477556,-0.8658538865439083,0.8444139104039028,0.7185752043573361,-0.9300246104384794,-0.6443044585152069,0.38234297016728946,-0.20991292668653272,0.18296739100094495,163250,15200,5550,109425,34050,17175,150.0,150.0,900.0,5175.0,225.0,525.0,61.50398493990175
02-01-2025 09:50,-0.0928546602433005,-0.7822578647060321,0.25931702462572787,0.5821628390404291,-0.8590448816909093,-0.4660408807362998,0.7858017418453435,-0.8616644936163269,-0.6667993284047926,2475,375,67125,-21975,-36150,-28200,-250.0,0.0,1050.0,-1050.0,-75.0,225.0,59.510485721212916
02-01-2025 09:55,-0.06776705241715786,-0.7138456599201216,0.3065273344541354,0.38475588166394326,-0.6431100789743128,0.2008970866055445,0.8340598967287692,0.49236531387787036,0.7600172027269736,11375,12650,131100,-7650,185400,42000,300.0,-225.0,1425.0,225.0,-300.0,-450.0,48.926061192986985
02-01-2025 10:00,0.6845362916466519,0.26207985194220706,0.6817384042019841,0.7924899470849087,0.5949308251336597,0.7963955943004074,-0.006875542423766466,-0.4890001340205924,0.6141505755612432,15375,9525,157575,81375,22125,55500,100.0,350.0,1875.0,600.0,5250.0,0.0,54.6910796257269
02-01-2025 10:05,0.4800656231241734,-0.3876152293442723,-0.4060138379358767,0.7269046527939135,-0.4558571497114646,-0.6739879126640654,-0.28264666165569824,-0.50797364567876,0.7787183515251872,-3225,8975,-138975,127350,76575,32100,-225.0,900.0,-1425.0,450.0,1500.0,75.0,52.21981182703791
02-01-2025 10:10,0.34365287850631265,-0.28362757507363595,-0.117723489546323,0.6994440799787991,-0.3158338822147038,0.387702128268515,0.5685825537089165,-0.6831309457965391,-0.3321690075895839,5550,37200,-88575,-227325,14175,46875,150.0,400.0,-525.0,1050.0,0.0,2925.0,41.46518378537032
02-01-2025 10:15,0.6576197418154993,0.1406042817403074,0.5314093061062726,-0.04658629716094076,0.07243462259657651,-0.7557167714502697,-0.3818864770103512,-0.8643610612165774,0.7117524764009883,13975,10000,-146775,99975,115050,114975,150.0,475.0,-900.0,-2925.0,-600.0,-225.0,46.248567061086476
02-01-2025 10:20,0.5281721618733903,-0.08470451611429078,0.212192630652522,0.8395826767723217,-0.3083089723694005,-0.20456990506850814,0.5585833468800316,-0.6357331801711498,-0.21334754939862124,2225,247125,52125,-123900,-112425,86400,-2625.0,825.0,-1275.0,-750.0,1425.0,-1650.0,39.83549932555819
02-01-2025 10:25,0.5033062521281371,-0.6149817666249217,-0.629514213764855,0.09868505026254376,-0.13880496007108903,0.40950976957440804,0.06102938879562516,-0.30242815243056476,0.8357119366277072,-8850,18925,35175,159675,211875,106125,375.0,475.0,-28650.0,1500.0,0.0,225.0,39.93301655866502
02-01-2025 10:30,0.4572649964337646,-0.2110461491941395,0.27135893397423,0.7673901850317838,-0.23653834401962814,-0.08041794844764162,0.7747667172846685,-0.11531278042490452,0.04480145355389832,225,12275,-53025,104700,121800,-43650,1250.0,-2575.0,450.0,1200.0,975.0,1125.0,32.87663898182955
02-01-2025 10:35,0.24694662362208003,-0.025659645943521936,0.3311451661463999,0.7295927028210627,0.28298008819111076,0.4592368327792265,0.16813304386620415,-0.7424040302534458,0.22670592091197336,5325,-14250,-185625,-294000,-165225,-52650,-1125.0,-175.0,-675.0,-1500.0,-825.0,-11775.0,35.69782282816694
02-01-2025 10:40,-0.1774516567480986,0.32943917974572584,-0.03845141589776663,0.6407492261632245,-0.19966538816750676,0.09920698115278934,-0.6477291695380673,-0.8426804360386052,0.8774703535681729,1500,44300,91125,56250,203175,151800,-100.0,1875.0,900.0,-375.0,-150.0,1125.0,42.809375633555085
