2025-03-28 09:20:00 - Sell
2025-03-28 10:15:00 - Buy
2025-03-28 10:30:00 - Buy
2025-03-28 10:50:00 - Sell
2025-03-28 11:10:00 - Sell
2025-03-28 12:10:00 - Sell
2025-03-28 13:55:00 - Sell
2025-03-28 14:30:00 - Sell

2025-03-27 09:45:00 - Sell
2025-03-27 11:30:00 - Buy

2025-03-26 10:20:00 - Sell
2025-03-26 11:35:00 - Sell
2025-03-26 12:30:00 - Buy
2025-03-26 12:35:00 - Sell
2025-03-26 13:20:00 - Buy
2025-03-26 14:35:00 - Buy

2025-03-25 09:25:00 - Buy
2025-03-25 10:10:00 - Sell
2025-03-25 11:20:00 - Sell
2025-03-25 11:35:00 - Sell
2025-03-25 11:50:00 - Buy
2025-03-25 12:10:00 - Sell
2025-03-25 13:40:00 - Sell
2025-03-25 13:45:00 - Buy
2025-03-25 14:30:00 - Buy
2025-03-25 14:45:00 - Buy
2025-03-25 14:50:00 - Sell

02-01-2025 - No trades

2025-01-06 09:40:00 - Buy
2025-01-06 10:40:00 - Sell
2025-01-06 13:25:00 - Buy
2025-01-06 14:10:00 - Sell

2024-12-10 11:35:00 - Sell
2024-12-10 14:15:00 - Buy

2024-12-17 10:05:00 - Buy
2024-12-17 11:25:00 - Sell
2024-12-17 12:20:00 - Buy
2024-12-17 13:25:00 - Sell
2024-12-17 14:45:00 - Buy

2024-11-11 09:50:00 - Sell
2024-11-11 10:10:00 - Sell
2024-11-11 11:10:00 - Buy
2024-11-11 11:40:00 - Buy
2024-11-11 14:10:00 - Sell
2024-11-11 14:30:00 - Buy

2024-11-18 10:00:00 - Buy
2024-11-18 10:45:00 - Sell
2024-11-18 12:50:00 - Sell
2024-11-18 13:15:00 - Sell
2024-11-18 13:35:00 - Buy
