last_traded_time,bid_ask_diff,bid_ask_pr_diff,last_traded_time,bid_ask_diff,bid_ask_pr_diff,last_traded_time,bid_ask_diff,bid_ask_pr_diff
26-03-2025 09:15,-49500,1.4,26-03-2025 09:15,3075,0.05,26-03-2025 09:15,-36675,-0.1
26-03-2025 09:20,19800,-0.3,26-03-2025 09:20,8325,0.05,26-03-2025 09:20,63000,0.05
26-03-2025 09:25,825,3.1,26-03-2025 09:25,6300,0.1,26-03-2025 09:25,-37950,-0.1
26-03-2025 09:30,24525,2.05,26-03-2025 09:30,9525,-0.05,26-03-2025 09:30,27000,-0.05
26-03-2025 09:35,10500,0.95,26-03-2025 09:35,14700,-0.05,26-03-2025 09:35,40275,-0.05
26-03-2025 09:40,9075,-0.55,26-03-2025 09:40,3600,0,26-03-2025 09:40,-50775,-0.05
26-03-2025 09:45,375,3.8,26-03-2025 09:45,4800,-0.15,26-03-2025 09:45,53625,-0.1
26-03-2025 09:50,-4725,1.7,26-03-2025 09:50,4425,-0.05,26-03-2025 09:50,-39675,-0.1
26-03-2025 09:55,-17625,-2.35,26-03-2025 09:55,6525,0,26-03-2025 09:55,-20850,0.1
26-03-2025 10:00,15000,2.35,26-03-2025 10:00,2625,-0.1,26-03-2025 10:00,-63825,0
26-03-2025 10:05,56700,3.5,26-03-2025 10:05,4350,0,26-03-2025 10:05,-34050,-0.05
26-03-2025 10:10,121875,4.35,26-03-2025 10:10,5850,0.05,26-03-2025 10:10,62400,0
26-03-2025 10:15,15750,2.1,26-03-2025 10:15,2475,-0.1,26-03-2025 10:15,-62175,-1.42E-14
26-03-2025 10:20,22950,-0.85,26-03-2025 10:20,41625,1.42E-14,26-03-2025 10:20,5400,-0.1
26-03-2025 10:25,16200,3.8,26-03-2025 10:25,3300,0.05,26-03-2025 10:25,-23325,-0.05
26-03-2025 10:30,25050,1.1,26-03-2025 10:30,7950,0,26-03-2025 10:30,14850,-1.42E-14
26-03-2025 10:35,72900,-1.4,26-03-2025 10:35,7725,-0.1,26-03-2025 10:35,-46200,-0.05
26-03-2025 10:40,12225,-0.8,26-03-2025 10:40,2700,-0.05,26-03-2025 10:40,-42225,-0.05
26-03-2025 10:45,19725,-0.55,26-03-2025 10:45,4500,-1.42E-14,26-03-2025 10:45,150975,-0.05
26-03-2025 10:50,8475,3.55,26-03-2025 10:50,3150,-0.05,26-03-2025 10:50,-15525,-0.05
26-03-2025 10:55,-12600,0.7,26-03-2025 10:55,19350,-0.1,26-03-2025 10:55,22425,0
26-03-2025 11:00,53100,-0.85,26-03-2025 11:00,9300,0.05,26-03-2025 11:00,-48075,-0.1
26-03-2025 11:05,-3600,3.25,26-03-2025 11:05,4275,0.05,26-03-2025 11:05,18150,0
26-03-2025 11:10,-16500,5,26-03-2025 11:10,3225,-0.05,26-03-2025 11:10,-12750,-0.1
26-03-2025 11:15,64425,-0.4,26-03-2025 11:15,24225,-0.05,26-03-2025 11:15,6375,-0.1
26-03-2025 11:20,65550,2.25,26-03-2025 11:20,20100,-0.05,26-03-2025 11:20,-55200,-0.05
26-03-2025 11:25,39675,2.5,26-03-2025 11:25,7950,-0.1,26-03-2025 11:25,-30000,1.42E-14
26-03-2025 11:30,115500,0.1,26-03-2025 11:30,29775,1.42E-14,26-03-2025 11:30,-55500,0
26-03-2025 11:35,56925,-2.4,26-03-2025 11:35,17100,-0.1,26-03-2025 11:35,-120225,-0.05
26-03-2025 11:40,-6450,-2.75,26-03-2025 11:40,10650,-0.05,26-03-2025 11:40,-39900,0.05
26-03-2025 11:45,5925,-2.25,26-03-2025 11:45,4725,0.05,26-03-2025 11:45,16425,0
