last_traded_time,bid_ask_diff,bid_ask_pr_diff,bid_ask_diff,bid_ask_pr_diff,bid_ask_diff,bid_ask_pr_diff
25-03-2025 09:15,-131100,0.6,11925,0.05,9375,0.05
25-03-2025 09:20,-40950,-1.3,2100,0.05,-21225,-0.05
25-03-2025 09:25,67500,-5.45,21975,0,-25650,-0.05
25-03-2025 09:30,-56025,-2.1,23400,0.1,-31200,0.15
25-03-2025 09:35,-43575,0.6,15600,0.05,23250,0
25-03-2025 09:40,-9675,1.4,5775,-0.05,-35775,-0.05
25-03-2025 09:45,-49650,1.9,34725,-0.3,-43350,-0.1
25-03-2025 09:50,-43800,-0.15,7050,-0.1,-40275,0
25-03-2025 09:55,-96750,0.05,37200,-0.3,-17475,-0.1
25-03-2025 10:00,36150,-1.35,1950,-2.84E-14,-114600,-0.05
25-03-2025 10:05,10575,-0.4,21150,-0.1,-65250,-0.15
25-03-2025 10:10,-111300,-2.7,13500,-0.05,-195375,-0.15
25-03-2025 10:15,-20400,-2.15,2925,-0.05,-27375,-0.05
25-03-2025 10:20,-37125,1.4,10725,-0.15,3900,-0.15
25-03-2025 10:25,-14550,-0.25,3975,0,86550,-0.1
25-03-2025 10:30,-38100,-1.35,2100,-0.05,-100875,-0.1
25-03-2025 10:35,92625,-3.75,5550,-0.05,7125,-0.1
25-03-2025 10:40,57375,-6.05,2250,-0.05,-32850,0
25-03-2025 10:45,-26625,2.05,18300,-0.05,4725,-0.05
25-03-2025 10:50,74100,-1.45,3750,0.05,9900,-0.15
25-03-2025 10:55,63450,-0.9,2925,-0.1,22275,-0.15
25-03-2025 11:00,128925,-3.3,2325,0,-37875,0.1
25-03-2025 11:05,27525,-1.35,11775,0,-28275,-0.1
25-03-2025 11:10,20700,0.45,2550,-0.05,31575,-0.2
25-03-2025 11:15,64425,0.55,7800,-0.05,18075,-0.05
25-03-2025 11:20,38025,-1.4,28725,-0.1,13425,-0.1
25-03-2025 11:25,8625,-2.85,10350,0,-16125,-0.05
25-03-2025 11:30,101925,4.95,2550,0.05,-21150,-0.1
25-03-2025 11:35,95550,-1,1875,0.1,33225,-0.15
25-03-2025 11:40,53325,0.1,4275,-0.05,-67800,-0.05
25-03-2025 11:45,-17175,1.1,2850,-1.42E-14,-9825,-0.1
25-03-2025 11:50,-22575,-2.05,3150,-0.05,-19800,0.05
25-03-2025 11:55,-75600,2.2,4275,-0.05,13275,-0.2
25-03-2025 12:00,-4275,1.2,5025,0,44025,0
25-03-2025 12:05,-34875,-1.05,4050,-0.05,12225,-0.2
25-03-2025 12:10,6225,1.35,28575,-0.05,65475,-0.1
25-03-2025 12:15,31350,0.55,10275,0.05,-34875,-0.15
25-03-2025 12:20,1125,-4,3600,0.05,-19425,0.1
25-03-2025 12:25,45600,-4,2550,-0.05,-20250,-0.15
25-03-2025 12:30,67725,2,4725,1.42E-14,-6375,-0.05
25-03-2025 12:35,46200,0.2,4725,-0.05,-30000,-0.05
25-03-2025 12:40,51825,-3.7,9750,-1.42E-14,-40650,0
25-03-2025 12:45,9675,0.6,6075,1.42E-14,-33225,0
25-03-2025 12:50,19650,-4.25,15000,0,-375,-0.05
25-03-2025 12:55,-115350,-2.35,11925,1.42E-14,3450,0.15
25-03-2025 13:00,40125,-0.3,3975,0.1,5025,0.05
25-03-2025 13:05,17925,-2.4,2025,0.05,-94050,-0.1
25-03-2025 13:10,36525,-3.65,3750,-0.05,-39900,0
25-03-2025 13:15,110850,-4.15,13125,0,5475,0
25-03-2025 13:20,-9375,-0.4,5850,0.05,-16275,-0.15
25-03-2025 13:25,7125,0.4,2700,-1.42E-14,16950,-0.05
25-03-2025 13:30,10500,0.15,3225,-1.42E-14,-38025,-0.05
25-03-2025 13:35,-238050,2.55,2850,-1.42E-14,-25350,0
25-03-2025 13:40,82200,4.6,8775,0,10050,0.1
25-03-2025 13:45,-104550,2.45,6375,0,9900,-1.42E-14
25-03-2025 13:50,341850,2.45,3000,-0.05,-34800,-1.42E-14
25-03-2025 13:55,39375,-2.45,14325,-0.05,11925,0.2
25-03-2025 14:00,20475,-1.9,4350,0.05,-43350,0.1
25-03-2025 14:05,-15075,-1.35,2850,1.42E-14,27600,-1.42E-14
25-03-2025 14:10,-78000,1.25,13125,-0.05,-40650,0.15
25-03-2025 14:15,26250,-0.05,14025,-0.05,-38400,0
25-03-2025 14:20,-19200,3.1,21525,-1.42E-14,-9225,0
25-03-2025 14:25,-84300,-2.4,2625,1.42E-14,35250,0.05
25-03-2025 14:30,-42525,-0.35,6600,0.15,34125,-0.05
25-03-2025 14:35,-35325,-1.75,10875,0,-32475,0.15
25-03-2025 14:40,-37050,-0.75,13950,-0.15,-17700,0.15
25-03-2025 14:45,-29100,2.1,11175,-1.42E-14,975,-0.1
25-03-2025 14:50,-8550,-2.6,8775,0,-39300,-0.25
25-03-2025 14:55,-89550,-2.15,2925,-1.42E-14,-72225,-0.1
25-03-2025 15:00,-85125,-1.1,3000,-1.42E-14,49575,0
25-03-2025 15:05,-1200,-2.65,3075,-0.05,-31650,-0.1
25-03-2025 15:10,-40125,-1.05,42675,0.15,-45375,-0.15
25-03-2025 15:15,217575,-1.95,14475,0,-91425,0.05
25-03-2025 15:20,371475,-3.85,40350,1.42E-14,-159675,-0.15
25-03-2025 15:25,165075,1.5,13725,-0.05,-4275,-0.25
