last_traded_time,bid_ask_diff,bid_ask_pr_diff
2025-01-06 09:15:00,15300,-0.15000000000000568
2025-01-06 09:20:00,1800,-0.2499999999999858
2025-01-06 09:25:00,5250,-1.4210854715202004e-14
2025-01-06 09:30:00,3075,-0.04999999999999716
2025-01-06 09:35:00,4575,0.0
2025-01-06 09:40:00,3075,0.0
2025-01-06 09:45:00,3750,-1.4210854715202004e-14
2025-01-06 09:50:00,1875,0.0
2025-01-06 09:55:00,23025,-0.04999999999999716
2025-01-06 10:00:00,2550,-0.04999999999999716
2025-01-06 10:05:00,3150,0.0
2025-01-06 10:10:00,1650,0.15000000000000568
2025-01-06 10:15:00,1875,-0.0999999999999801
2025-01-06 10:20:00,8250,-1.4210854715202004e-14
2025-01-06 10:25:00,12450,0.0
2025-01-06 10:30:00,4050,-0.04999999999999716
2025-01-06 10:35:00,2325,1.4210854715202004e-14
2025-01-06 10:40:00,17100,0.05000000000001137
2025-01-06 10:45:00,3450,0.10000000000000853
2025-01-06 10:50:00,2400,-7.105427357601002e-15
2025-01-06 10:55:00,3300,0.04999999999999716
2025-01-06 11:00:00,2700,-7.105427357601002e-15
2025-01-06 11:05:00,3975,0.04999999999999716
2025-01-06 11:10:00,16425,0.05000000000000426
2025-01-06 11:15:00,5625,0.0
2025-01-06 11:20:00,9375,0.0
2025-01-06 11:25:00,6975,-0.04999999999999716
2025-01-06 11:30:00,13500,-0.05000000000000426
2025-01-06 11:35:00,4275,0.0
2025-01-06 11:40:00,11325,0.0
2025-01-06 11:45:00,3750,-0.05000000000000426
2025-01-06 11:50:00,3225,-7.105427357601002e-15
2025-01-06 11:55:00,4500,0.0
2025-01-06 12:00:00,8850,0.0
2025-01-06 12:05:00,3900,0.0
2025-01-06 12:10:00,4350,-0.10000000000000853
2025-01-06 12:15:00,7725,-0.04999999999999716
2025-01-06 12:20:00,3825,-0.05000000000000426
2025-01-06 12:25:00,3450,7.105427357601002e-15
2025-01-06 12:30:00,5925,7.105427357601002e-15
2025-01-06 12:35:00,4050,0.0
2025-01-06 12:40:00,4275,-0.04999999999999716
2025-01-06 12:45:00,4275,0.0
2025-01-06 12:50:00,3825,-0.05000000000000426
2025-01-06 12:55:00,3375,-0.04999999999999716
2025-01-06 13:00:00,5325,-0.05000000000000426
2025-01-06 13:05:00,4200,0.04999999999999716
2025-01-06 13:10:00,4275,-0.04999999999999716
2025-01-06 13:15:00,4500,0.0
2025-01-06 13:20:00,10575,0.0
2025-01-06 13:25:00,6225,7.105427357601002e-15
2025-01-06 13:30:00,5550,0.0
2025-01-06 13:35:00,43200,-0.05000000000000426
2025-01-06 13:40:00,21525,-0.10000000000000142
2025-01-06 13:45:00,7425,0.0
2025-01-06 13:50:00,5850,-0.04999999999999716
2025-01-06 13:55:00,4725,0.05000000000000426
2025-01-06 14:00:00,5400,0.04999999999999716
2025-01-06 14:05:00,6750,-7.105427357601002e-15
2025-01-06 14:10:00,10725,0.04999999999999716
2025-01-06 14:15:00,10725,-0.04999999999999716
2025-01-06 14:20:00,23550,0.0
2025-01-06 14:25:00,15600,0.04999999999999716
2025-01-06 14:30:00,10500,0.0
2025-01-06 14:35:00,32550,0.04999999999999716
2025-01-06 14:40:00,32550,0.05000000000000426
2025-01-06 14:45:00,32625,-0.04999999999999716
2025-01-06 14:50:00,8625,0.04999999999999716
2025-01-06 14:55:00,7500,0.0
2025-01-06 15:00:00,4050,0.0
2025-01-06 15:05:00,4650,0.0
2025-01-06 15:10:00,5700,0.0
2025-01-06 15:15:00,7200,-0.05000000000000426
2025-01-06 15:20:00,9900,0.04999999999999716
2025-01-06 15:25:00,6075,0.04999999999999716
