last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
11-02-2025 09:15,23413.55,8475,-0.55,38400,51300,N,161325,N,-14.54,23423.65,23413.55,11-02-2025 09:15,84.55,49500,0.05,40050,238575,N,191400,N,-3.29,11-02-2025 09:15,225.65,4125,-0.15,33600,44025,N,40950,N,13.61
11-02-2025 09:20,23382.05,6525,-0.45,37950,117825,Y,35475,N,-7.35,23413.55,23382.05,11-02-2025 09:20,77.2,-17925,-0.05,46425,-2922375,YES,145950,N,-1.32,11-02-2025 09:20,245.45,6675,0,45075,-1453875,Y,-2850,YES,7.83
11-02-2025 09:25,23385.8,-10650,1.35,36225,27375,N,8625,N,-10.48,23382.05,23385.8,11-02-2025 09:25,72.75,20550,-0.05,45150,-37275,Y,124800,N,-4.9,11-02-2025 09:25,236.35,2250,-0.05,43200,-22875,YES,134925,Y,5.77
11-02-2025 09:30,23385,4350,-0.35,37500,-1950,YES,46500,YES,-2.92,23385.8,23385,11-02-2025 09:30,67.15,-12675,0.05,48000,37650,Y,172725,YES,-2.44,11-02-2025 09:30,233.15,2475,0,39675,550575,YES,43050,N,0.89
11-02-2025 09:35,23401.8,28050,0.05,38775,-19725,YES,143025,YES,0.04,23385,23401.8,11-02-2025 09:35,71.7,-33150,-0.05,42150,9300,N,23175,N,-0.95,11-02-2025 09:35,223.1,-300,0,38175,113925,N,33900,N,-1.04
11-02-2025 09:40,23410.6,54150,-0.5,31800,-61875,YES,25800,N,0.53,23401.8,23410.6,11-02-2025 09:40,71.65,-33900,0.1,47175,103350,Y,61050,YES,-0.51,11-02-2025 09:40,215.55,41025,0.05,41775,-18600,Y,7275,N,-1.37
11-02-2025 09:45,23375.8,46875,-1.05,32100,-41025,Y,20025,N,-1.17,23407.5,23375.8,11-02-2025 09:45,62.25,47625,-0.05,44775,-28725,YES,55350,N,-1.33,11-02-2025 09:45,238.65,-38175,-0.1,40050,27375,YES,-11700,YES,0.07
11-02-2025 09:50,23361.2,40950,-4.25,34200,-43125,YES,10950,N,-4.39,23375.55,23361.2,11-02-2025 09:50,56.4,67875,0.05,43800,55125,Y,65925,N,-1.93,11-02-2025 09:50,245,-8850,0,38175,-14925,Y,9900,Y,1.85
11-02-2025 09:55,23365.25,21375,-0.2,43950,3975,Y,3600,N,-3.42,23360.5,23365.25,11-02-2025 09:55,52.8,11325,0.1,50400,37875,N,-22275,Y,-2.16,11-02-2025 09:55,240.75,-14250,0.05,37875,-3975,N,5250,N,1.35
11-02-2025 10:00,23355.1,-29550,0.65,36900,-64500,YES,23550,N,-1.54,23366.75,23355.1,11-02-2025 10:00,49.75,80400,0,48450,-50775,YES,101250,YES,-1.17,11-02-2025 10:00,250.55,-6225,-0.05,39075,35250,YES,-5550,YES,0.94
