last_traded_time,bid_ask_diff,bid_ask_pr_diff,bid_ask_diff,bid_ask_pr_diff,bid_ask_diff,bid_ask_pr_diff
10-12-2024 09:15,-50700,-1.65,28500,-0.1,11075,-0.25
10-12-2024 09:20,5325,5.2,12850,-1.42E-14,15950,0.1
10-12-2024 09:25,-17725,0.95,6100,0.05,-63550,-0.2
10-12-2024 09:30,-17750,2.7,8050,-0.05,-39700,0.2
10-12-2024 09:35,-86925,-0.8,7900,-0.05,-5300,-0.15
10-12-2024 09:40,25025,2.7,30100,1.42E-14,2625,-0.05
10-12-2024 09:45,5700,-0.8,19650,-0.1,3700,0.15
10-12-2024 09:50,59850,2.9,31175,-0.05,-1025,0
10-12-2024 09:55,-700,1.05,12400,-0.1,-18950,0.1
10-12-2024 10:00,30525,0.15,15950,0,-29675,-0.15
10-12-2024 10:05,40550,-0.45,19375,-0.05,3200,0.3
10-12-2024 10:10,38225,2.9,4825,0,4500,0.05
10-12-2024 10:15,61750,-1.45,4325,0,-121200,-0.15
10-12-2024 10:20,12525,-3.3,3075,0.05,25000,-0.2
10-12-2024 10:25,-28125,0,13500,0.1,28825,0
10-12-2024 10:30,-15675,-4.85,34050,0,-9475,-2.84E-14
10-12-2024 10:35,29525,0.2,6400,-0.05,-142650,0.05
10-12-2024 10:40,-150,-1.25,5975,-0.05,-20075,-0.05
10-12-2024 10:45,-10550,2,13975,0.1,-23850,-0.2
10-12-2024 10:50,26050,2.85,11550,0,18025,2.84E-14
10-12-2024 10:55,-118425,1.2,13625,-0.05,-133950,0.1
10-12-2024 11:00,-29300,1.25,39475,-0.05,-79425,-0.05
10-12-2024 11:05,-27000,-0.55,13800,0.1,31675,-0.1
10-12-2024 11:10,-18725,1.7,9800,-0.15,-2475,-0.05
10-12-2024 11:15,-53900,2.75,7275,0,27000,0.05
10-12-2024 11:20,72775,-0.75,10100,0,-90050,-0.15
10-12-2024 11:25,22725,1.8,7025,0,-74200,0.05
10-12-2024 11:30,5400,0.8,2675,-0.15,-56750,0.3
10-12-2024 11:35,61200,0.45,7375,-0.05,-136125,0.05
10-12-2024 11:40,-53875,4.15,17850,0.05,146325,-0.05
10-12-2024 11:45,-9075,3.15,19000,0,-71700,-0.3
10-12-2024 11:50,-991275,-0.75,7050,0.2,-96350,-0.1
10-12-2024 11:55,39950,0.55,13125,-0.1,-3075,0.05
10-12-2024 12:00,-41525,-1.05,8425,0.05,39450,0.05
10-12-2024 12:05,-21350,2.35,30775,0.1,24200,0.15
10-12-2024 12:10,5500,0.55,32450,-0.1,-71550,0.05
10-12-2024 12:15,63300,2.3,2375,0.05,-18600,0
10-12-2024 12:20,41350,-2.9,9475,-0.05,-40700,0.05
10-12-2024 12:25,-32150,1.6,4425,-0.05,-2550,0
10-12-2024 12:30,3575,-3.35,16700,0.1,-12325,0.05
10-12-2024 12:35,-6050,-1.25,20225,-0.05,48950,-0.2
10-12-2024 12:40,75175,2.3,3825,-7.11E-15,-2750,-0.05
10-12-2024 12:45,-33775,0.55,28675,1.42E-14,1975,0.15
10-12-2024 12:50,-40775,-0.15,3850,-0.05,7700,0.4
10-12-2024 12:55,-25325,2.4,6150,0.05,22975,0.05
10-12-2024 13:00,-6825,1.65,14950,-0.05,-12450,-0.1
10-12-2024 13:05,37975,-1.7,4800,0,-60175,-0.05
10-12-2024 13:10,11075,0.9,9150,-0.05,3325,-0.05
10-12-2024 13:15,74400,-0.7,10375,-0.05,-44050,-0.2
10-12-2024 13:20,5825,3.6,5600,-0.05,4450,0.05
10-12-2024 13:25,-36600,2.75,12000,-0.05,-60525,0
10-12-2024 13:30,-9725,3.75,3675,0.05,-32050,0
10-12-2024 13:35,-28725,0,3350,-0.05,-72450,-0.05
10-12-2024 13:40,-1233600,-1.7,10950,-0.05,-3475,-0.25
10-12-2024 13:45,-160550,2.95,21050,-0.15,-11525,-0.1
10-12-2024 13:50,-19275,1.95,3500,0.05,-10800,2.84E-14
10-12-2024 13:55,46950,-1.5,3725,-0.05,-4625,0
10-12-2024 14:00,7025,2.85,3925,7.11E-15,-21350,0.05
10-12-2024 14:05,-17575,2.3,9150,0,-65000,0
10-12-2024 14:10,-30075,1,5875,-7.11E-15,-41225,-2.84E-14
10-12-2024 14:15,168025,-0.35,22800,0.05,-25825,0
10-12-2024 14:20,51075,-2.8,6475,-0.05,-56925,-0.05
10-12-2024 14:25,-19650,1,5450,-0.05,38875,0.4
10-12-2024 14:30,-42275,0.75,12325,7.11E-15,22800,-0.15
10-12-2024 14:35,-98725,-0.9,8150,-0.05,23175,-0.1
10-12-2024 14:40,11475,1.35,14425,0,-34425,0.05
10-12-2024 14:45,-35775,1.1,27600,-0.05,10850,-0.15
10-12-2024 14:50,-48900,-2.45,16200,-7.11E-15,4950,-0.1
10-12-2024 14:55,-15775,-2.2,5550,7.11E-15,-23650,-0.2
10-12-2024 15:00,-43950,1.65,20625,-0.15,42575,2.84E-14
10-12-2024 15:05,5391375,0.3,15625,-0.05,-6500,0.2
10-12-2024 15:10,96375,-1.55,33350,0.15,-16500,0.05
10-12-2024 15:15,173000,-1,4475,1.42E-14,-97200,-0.1
10-12-2024 15:20,-43825,-3.7,12875,0.05,-48750,0.1
10-12-2024 15:25,-4325,0.05,104225,-0.05,-187725,0.05
