last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
21-01-2025 14:05,23265.7,40900,0,150,14750,-20475,YES,52125,YES,-0.13,23295,23265.7,-15.15,1979025,-675,-750,-14.75,-14.85,41475,-67350,YES,120300,YES,-0.33,21.25,432975,225,-75,19.05,19.2,47775,18675,YES,-24825,YES,0.21,-45,6180,-45,-30,-49.35,-53.3,4995,3480,N,-1575,N,-0.61
21-01-2025 14:10,23242.3,34800,-150,25,13600,25550,Y,10675,N,-0.19,23262.05,23242.3,-5.7,1941300,-1200,750,-5.4,-5.45,47175,-57300,N,70875,N,-0.41,17.1,287700,525,225,15.9,16.15,48075,1350,Y,-3075,Y,0.16,-56.7,4170,0,15,-52.3,-61.6,4695,10605,N,-7965,Y,-0.53
21-01-2025 14:15,23218,89350,200,200,21125,6900,N,-15800,Y,-0.85,23242.65,23218,-0.55,1579275,-450,-825,-0.5,-0.55,44850,63675,Y,23475,N,-0.35,18.7,427575,-150,-300,17.95,18,53100,-5700,Y,-9075,YES,0.37,-36.7,13515,45,0,-32.85,-25.15,6405,4350,N,-16230,Y,-2.18
21-01-2025 14:20,23208.05,65575,0,-75,13525,-8550,YES,8350,YES,-0.72,23218,23208.05,-1.45,1372575,300,150,-1.45,-1.45,43650,14925,N,25500,N,-0.3,7.55,323850,-375,450,8.05,8.1,51600,-9300,Y,-5700,N,0.31,7.95,7830,0,0,6.6,9,5640,765,YES,2625,N,-1.2
21-01-2025 14:25,23216.55,55900,-25,25,14600,-10525,YES,73800,YES,-0.64,23208.7,23216.55,-0.15,1393725,525,0,0.55,0.55,43725,-9525,YES,11550,N,-0.31,-6.35,306900,-300,-300,-9.25,-9.25,46275,-7725,N,4575,N,0.31,25.6,6690,30,45,10.35,16.6,5175,-32745,YES,11850,N,-0.95
21-01-2025 14:30,23168.7,155850,-75,75,15975,-19325,YES,-1725,Y,-2.09,23213,23168.7,-9.95,2536125,-1575,600,-9.65,-9.75,48900,-285750,YES,15750,N,-0.62,38,502725,-75,-75,34.35,34.55,46500,7800,N,-18375,YES,0.52,-85,25545,-45,15,-73.55,-68.5,6690,5250,Y,-8565,Y,-4
21-01-2025 14:35,23120,357050,0,-125,16750,60200,Y,117925,YES,-6.62,23168.4,23120,-5.75,3231900,375,1725,-5.9,-5.8,52425,-6750,Y,62400,YES,-0.91,34.45,458775,150,-75,32.6,32.8,38775,-14325,Y,-2850,N,0.75,-33.1,37485,0,-15,-28.35,-19.8,8385,20115,N,1065,N,-7.03
21-01-2025 14:40,23080.25,467225,-75,25,24525,-2275,YES,110750,N,-11.28,23118.3,23080.25,-5,3507000,975,75,-5.35,-5.4,63225,-6900,YES,47250,N,-1.1,41.25,406050,-825,-75,43.05,43.05,40800,1125,N,-225,N,0.89,-97.7,112800,-30,0,-109.25,-109.55,9630,-15615,YES,585,Y,-25.27
21-01-2025 14:45,23090,62075,-850,0,6250,20375,Y,-17150,Y,-1.4,23080.25,23090,0.7,742800,-2925,675,0.85,0.8,24375,30375,Y,24225,N,-0.23,-12.4,61275,300,-75,-9.95,-10.05,11625,-3600,Y,-1350,YES,0.14,7.45,10695,0,45,16.3,17.3,4815,-17655,YES,615,N,-2.35
21-01-2025 14:50,23079.8,119950,125,50,16725,16050,N,88975,YES,-2.59,23070.25,23079.8,-3.75,2318025,825,-1050,-3.75,-3.75,56775,-51600,YES,-41100,Y,-0.75,-2.75,140625,-225,-825,-4,-3.9,27450,-13275,Y,2625,N,0.3,-12.3,16350,-45,15,-20.15,-18.55,4755,-1515,N,21315,YES,-3.01
21-01-2025 14:55,23085.6,93325,25,-25,16250,-25,YES,12800,N,-1.84,23077.8,23085.6,-0.1,2043825,-225,5925,-0.2,-0.15,70800,33900,Y,55200,YES,-0.65,-9.35,170325,-750,150,-7.8,-7.65,34200,3975,N,-1500,YES,0.33,1.35,22365,45,15,8.85,12.05,10320,3720,N,-2505,Y,-4.23
