last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
06-02-2025 09:15,23797.05,61575,2.5,31650,96600,N,82125,N,-0.09,23804.8,23797.05,06-02-2025 09:15,34.25,9000,-0.1,58425,6352950,N,531750,N,-2.45,06-02-2025 09:15,-825,-0.1,36375,4857525,N,93900,N,-2.27
06-02-2025 09:20,23778.8,73725,-0.25,33525,32625,N,375,Y,-6.13,23797.05,23778.8,06-02-2025 09:20,32.4,112650,3.55E-15,60300,1439700,N,404025,N,-1.21,06-02-2025 09:20,-8025,-0.2,40275,984750,N,225,YES,8.33
06-02-2025 09:25,23770,41925,0.45,31050,23625,N,9525,N,-5.13,23778,23770,06-02-2025 09:25,32.7,16275,7.11E-15,66150,410700,N,135150,N,-0.01,06-02-2025 09:25,-22275,0,40125,-9825,Y,120900,Y,4.65
06-02-2025 09:30,23737.95,18225,1.6,34575,13350,N,-12825,Y,-11.24,23770,23737.95,06-02-2025 09:30,27.7,65700,0,64125,-258600,YES,345300,YES,-0.67,06-02-2025 09:30,-45750,-0.2,43200,11700,YES,-141600,YES,8.37
06-02-2025 09:35,23740.35,47550,0.85,37800,33225,N,1350,N,-6.68,23738.75,23740.35,06-02-2025 09:35,24.3,43275,0.05,68025,-87000,Y,51000,N,-0.8,06-02-2025 09:35,3300,2.84E-14,48600,-56475,Y,18300,Y,3.97
06-02-2025 09:40,23740,-19950,-0.05,34275,27075,N,48150,YES,-4.16,23737,23740,06-02-2025 09:40,21.35,15225,0.05,64575,-18300,Y,95400,YES,-1.18,06-02-2025 09:40,65850,-0.2,47475,-120075,Y,63975,Y,3.79
06-02-2025 09:45,23739.95,26850,1.4,31500,-2100,YES,-1875,Y,-1.33,23740,23739.95,06-02-2025 09:45,23.25,12075,3.55E-15,67500,298725,Y,183000,YES,-0.7,06-02-2025 09:45,41775,-0.05,52200,-22500,YES,4425,N,1.21
06-02-2025 09:50,23732.85,47775,3.9,29325,11400,N,-975,N,-2.9,23738.6,23732.85,06-02-2025 09:50,17.6,12975,3.55E-15,69900,-135675,YES,167400,N,-1.18,06-02-2025 09:50,5325,0.05,44775,-23475,Y,300,YES,2.7
06-02-2025 09:55,23725,41175,-1.4,33525,91200,Y,-9525,Y,-4.84,23731,23725,06-02-2025 09:55,13.25,44625,-1.78E-15,72300,40650,Y,-38400,Y,-1.79,06-02-2025 09:55,-40650,0.1,49275,26400,YES,-44100,YES,2.85
06-02-2025 10:00,23734.9,-42450,2.45,29100,11325,N,58425,YES,-2.31,23725,23734.9,06-02-2025 10:00,13.15,57750,-1.78E-15,77925,256050,Y,54825,YES,-1.76,06-02-2025 10:00,-20700,0.05,49275,-45225,Y,31725,Y,1.44
06-02-2025 10:05,23715.25,13425,2.55,30900,11700,N,15525,N,-1.45,23732.8,23715.25,06-02-2025 10:05,11.85,19875,1.78E-15,80400,-8325,YES,62550,N,-1.01,06-02-2025 10:05,46050,-0.1,50400,-37650,N,-53550,YES,1.17
06-02-2025 10:10,23712.35,-130125,2.4,28125,3600,N,16050,N,-3.12,23716.7,23712.35,06-02-2025 10:10,10,21675,0,79800,-10500,YES,356550,YES,-0.97,06-02-2025 10:10,23550,-0.05,54300,750,YES,15675,Y,1.54
06-02-2025 10:15,23717.45,42075,4.05,26925,42000,Y,38400,YES,-1.21,23710.9,23717.45,06-02-2025 10:15,10.6,38025,-0.05,85575,385950,Y,-43275,Y,-0.54,06-02-2025 10:15,14475,0.05,55875,-11925,Y,22050,N,0.68
06-02-2025 10:20,23734,2100,-2.3,26475,-9975,YES,-6825,Y,-0.84,23722,23734,06-02-2025 10:20,12.35,20400,0.05,86100,-78675,YES,-130350,Y,-0.61,06-02-2025 10:20,23550,0.05,52500,-29100,Y,36525,N,0.56
06-02-2025 10:25,23715.6,2250,-3.05,27825,-13350,YES,5250,N,-0.81,23730,23715.6,06-02-2025 10:25,10.05,15975,0.05,79200,-106725,YES,270975,YES,-0.46,06-02-2025 10:25,95100,0,55125,36375,YES,-18600,YES,0.48
06-02-2025 10:30,23722.5,-3750,-2.35,26325,9375,Y,19350,N,-0.64,23715.6,23722.5,06-02-2025 10:30,8.25,25650,8.88E-16,101325,-111525,YES,132825,N,-0.66,06-02-2025 10:30,59250,-0.3,53175,-16950,Y,-1425,N,0.58
06-02-2025 10:35,23735,20625,-3.05,26400,11925,N,4875,N,-0.43,23722.5,23735,06-02-2025 10:35,9.9,61350,1.78E-15,90525,19875,Y,-36975,Y,-0.5,06-02-2025 10:35,68625,-0.2,50175,-7200,N,25575,Y,0.3
06-02-2025 10:40,23733.75,-79125,1.7,25575,-7275,YES,-600,Y,-0.37,23735,23733.75,06-02-2025 10:40,8.3,29700,-0.05,106725,-131325,YES,120225,YES,-0.53,06-02-2025 10:40,54900,0.05,53400,-8025,Y,7500,N,0.18
06-02-2025 10:45,23719,21375,0,25725,51600,Y,-5100,Y,-0.26,23733.7,23719,06-02-2025 10:45,6.6,40200,-8.88E-16,106500,64800,Y,378375,YES,-0.76,06-02-2025 10:45,36900,0.05,54300,-10500,Y,-38925,YES,0.38
06-02-2025 10:50,23721,-5475,-2.1,20475,4575,N,17625,YES,-0.23,23719,23721,06-02-2025 10:50,5.8,149250,-8.88E-16,107025,-45075,YES,-125250,Y,-0.56,06-02-2025 10:50,-3075,-0.05,50475,-21225,Y,14325,Y,0.29
06-02-2025 10:55,23727,-10350,0.6,23475,8025,N,16725,N,-0.19,23721,23727,06-02-2025 10:55,6.05,47250,0,92550,268950,Y,-82125,YES,-0.33,06-02-2025 10:55,600,0.05,44550,13275,YES,10875,N,0.13
06-02-2025 11:00,0,0,,0,0,YES,0,Y,0,0,0,06-02-2025 11:00,0,,,0,0,YES,0,YES,0,06-02-2025 11:00,0,,0,0,Y,0,YES,0
06-02-2025 11:05,0,0,,0,0,N,0,N,0,0,0,06-02-2025 11:05,0,,,0,0,N,0,N,0,06-02-2025 11:05,0,,0,0,N,0,N,0
06-02-2025 11:10,0,0,,0,0,N,0,N,0,0,0,06-02-2025 11:10,0,,,0,0,N,0,N,0,06-02-2025 11:10,0,,0,0,N,0,N,0
06-02-2025 11:15,0,0,,0,0,N,0,N,0,0,0,06-02-2025 11:15,0,,,0,0,N,0,N,0,06-02-2025 11:15,0,,0,0,N,0,N,0
06-02-2025 11:20,0,0,,0,0,N,0,N,0,0,0,06-02-2025 11:20,0,,,0,0,N,0,N,0,06-02-2025 11:20,0,,0,0,N,0,N,0
06-02-2025 11:25,23693.9,85800,0.3,21075,-525,YES,150,N,-0.51,23695,23693.9,06-02-2025 11:25,4.5,91575,0,102150,295125,Y,-151875,Y,-0.16,06-02-2025 11:25,13875,-0.25,41250,-18600,Y,9375,N,0.32
06-02-2025 11:30,23697,-14550,0.4,28050,3600,N,5025,N,-0.78,23689.1,23697,06-02-2025 11:30,4.6,86100,0,130725,40575,N,-31500,YES,-0.21,06-02-2025 11:30,51000,0.1,47475,7875,YES,-3975,YES,0.58
06-02-2025 11:35,23698,-201525,4.3,35850,-750,YES,1875,Y,-0.7,23693.25,23698,06-02-2025 11:35,4.6,89175,0,135750,-228825,YES,186525,YES,-0.2,06-02-2025 11:35,5475,-0.05,48975,1125,Y,-2250,N,0.3
06-02-2025 11:40,23698.85,-39825,-2.4,27975,2325,N,375,Y,-0.4,23698,23698.85,06-02-2025 11:40,4.75,92625,8.88E-16,138600,293700,Y,44250,N,-0.14,06-02-2025 11:40,66675,-0.2,56925,300,Y,-4200,YES,0.21
06-02-2025 11:45,23702,19725,-2.55,29550,3075,N,2925,N,-0.66,23698.85,23702,06-02-2025 11:45,4.7,101175,0,127125,-422625,YES,28800,N,-0.23,06-02-2025 11:45,81300,-0.15,65325,5850,N,-9975,YES,0.4
06-02-2025 11:50,23695,122325,-0.7,25050,-2325,YES,-600,Y,-0.38,23702,23695,06-02-2025 11:50,4.15,105750,0,138300,308250,Y,56475,YES,-0.28,06-02-2025 11:50,7800,-0.1,105375,-6075,Y,-1950,N,0.38
06-02-2025 11:55,23698.95,-15300,1.05,24000,8250,N,4275,N,-0.38,23695,23698.95,06-02-2025 11:55,4.05,116625,4.44E-16,130575,-15900,YES,61350,N,-0.15,06-02-2025 11:55,69900,0.15,78750,-9375,Y,9900,N,0.19
