last_traded_time,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2025-03-05 09:15:00,41700,0.04999999999999716,37575,378900.0,N,176025.0,N,-15.759999999999991
2025-03-05 09:20:00,19875,0.09999999999999432,38850,-1398675.0,Y,219975.0,Y,-16.62999999999998
2025-03-05 09:25:00,171525,-0.09999999999999432,51300,259650.0,YES,325350.0,Y,-14.959999999999994
2025-03-05 09:30:00,364650,-0.04999999999999716,39975,418575.0,YES,337950.0,N,-7.0800000000000125
2025-03-05 09:35:00,-373800,0.0,47925,38175.0,N,250725.0,N,-4.190000000000012
2025-03-05 09:40:00,-84825,-0.04999999999999716,42825,-90450.0,Y,297375.0,Y,-3.8499999999999943
2025-03-05 09:45:00,-170100,0.05000000000000426,53475,87600.0,YES,213225.0,N,-3.1299999999999955
2025-03-05 09:50:00,-38025,-0.04999999999999716,49500,107700.0,YES,50475.0,N,-1.519999999999996
2025-03-05 09:55:00,192825,0.04999999999999005,48975,171975.0,YES,51075.0,N,-1.6700000000000017
2025-03-05 10:00:00,-79275,-7.105427357601002e-15,48750,106875.0,N,-3300.0,YES,-0.9299999999999926
2025-03-05 10:05:00,-12300,0.0,45375,-86625.0,Y,70275.0,Y,-0.8199999999999932
2025-03-05 10:10:00,-66900,-1.4210854715202004e-14,52275,304950.0,YES,80925.0,N,-0.519999999999996
2025-03-05 10:15:00,33975,0.04999999999999716,51675,110700.0,N,-95625.0,YES,-0.35999999999999943
2025-03-05 10:20:00,24300,-0.10000000000000853,57075,-171525.0,Y,130725.0,Y,-0.4099999999999966
2025-03-05 10:25:00,207375,-0.05000000000000426,49425,-233250.0,Y,184050.0,Y,-0.5100000000000051
2025-03-05 10:30:00,128100,-0.04999999999999005,48150,-150750.0,YES,108900.0,N,-0.8399999999999892
2025-03-05 10:35:00,36225,-0.04999999999999716,53925,33000.0,YES,21075.0,N,-0.9500000000000028
2025-03-05 10:40:00,59400,-0.10000000000000142,54150,-83325.0,Y,58425.0,Y,-0.5600000000000023
2025-03-05 10:45:00,-209100,0.05000000000000426,55500,100725.0,YES,-57750.0,YES,-0.769999999999996
2025-03-05 10:50:00,9300,0.04999999999999716,54825,-68250.0,Y,132900.0,Y,-0.4300000000000068
2025-03-05 10:55:00,-91650,-0.04999999999999716,50625,255525.0,YES,74025.0,N,-0.3500000000000085
2025-03-05 11:00:00,-182700,-0.04999999999999716,47475,-86025.0,Y,96225.0,Y,-0.5799999999999983
2025-03-05 11:05:00,-76350,-0.04999999999999716,56850,7500.0,YES,-42675.0,YES,-0.3499999999999943
2025-03-05 11:10:00,267075,-0.05000000000000426,50175,29475.0,YES,112350.0,Y,-0.27000000000001023
2025-03-05 11:15:00,-110400,-0.04999999999999716,48675,-110475.0,Y,22725.0,N,-0.4899999999999949
2025-03-05 11:20:00,252900,0.0,53550,141525.0,YES,-72375.0,YES,-0.28000000000000114
2025-03-05 11:25:00,-92550,0.05000000000000426,48600,-216075.0,Y,123075.0,Y,-0.4000000000000057
2025-03-05 11:30:00,-4725,0.0,51975,-174675.0,YES,51450.0,N,-0.6200000000000045
2025-03-05 11:35:00,-1103325,0.0,65475,-213900.0,Y,-163575.0,YES,-1.5999999999999943
2025-03-05 11:40:00,205125,0.05000000000000426,63900,86475.0,YES,73350.0,Y,-0.9099999999999966
2025-03-05 11:45:00,-108075,0.049999999999993605,64125,114825.0,YES,-87300.0,YES,-1.0300000000000011
2025-03-05 11:50:00,-569475,-0.05000000000000426,53475,851475.0,YES,-102975.0,YES,-1.0499999999999972
2025-03-05 11:55:00,48750,0.0,60750,36675.0,N,49350.0,Y,-0.6500000000000057
2025-03-05 12:00:00,413775,0.0,64575,227925.0,YES,-1725.0,YES,-0.37999999999999545
2025-03-05 12:05:00,376575,0.0,66975,-5550.0,Y,44475.0,Y,-0.3300000000000054
2025-03-05 12:10:00,169500,0.0,54750,162600.0,YES,-7875.0,YES,-0.2700000000000031
2025-03-05 12:15:00,116325,0.0,58200,-25500.0,Y,-56250.0,YES,-0.28999999999999915
2025-03-05 12:20:00,29625,0.0,55200,-72900.0,Y,76650.0,Y,-0.3500000000000014
2025-03-05 12:25:00,392325,7.105427357601002e-15,56025,-59700.0,N,27975.0,N,-0.3400000000000034
2025-03-05 12:30:00,363450,-7.105427357601002e-15,68550,913575.0,YES,-24300.0,YES,-0.7899999999999991
2025-03-05 12:35:00,195375,0.0,69075,-23250.0,Y,30450.0,Y,-0.490000000000002
2025-03-05 12:40:00,-121650,-3.552713678800501e-15,79050,228150.0,YES,-161325.0,YES,-0.490000000000002
2025-03-05 12:45:00,244350,0.04999999999999716,71850,18075.0,N,102900.0,Y,-0.46999999999999886
2025-03-05 12:50:00,217200,-3.552713678800501e-15,82650,223575.0,YES,46800.0,N,-0.3400000000000034
2025-03-05 12:55:00,60075,-3.552713678800501e-15,67350,-141825.0,Y,-54150.0,YES,-0.509999999999998
2025-03-05 13:00:00,281700,0.09999999999999787,79275,-29475.0,YES,44100.0,Y,-0.4000000000000057
2025-03-05 13:05:00,-65625,0.0,60375,-136425.0,Y,-174450.0,YES,-0.6999999999999957
2025-03-05 13:10:00,-191250,-3.552713678800501e-15,64200,150450.0,YES,168900.0,Y,-0.38000000000000256
2025-03-05 13:15:00,-31050,-3.552713678800501e-15,71625,94125.0,N,-23325.0,YES,-0.3400000000000034
2025-03-05 13:20:00,-222075,0.05000000000000071,70050,158025.0,YES,91050.0,Y,-0.269999999999996
2025-03-05 13:25:00,48225,0.05000000000000426,64500,-89850.0,Y,75600.0,N,-0.22000000000000597
2025-03-05 13:30:00,89550,0.05000000000000426,56775,38325.0,YES,-274200.0,YES,-0.519999999999996
2025-03-05 13:35:00,78525,0.05000000000000071,58275,111000.0,YES,-143925.0,Y,-0.3299999999999983
2025-03-05 13:40:00,52650,0.0,61500,-103200.0,Y,-185850.0,YES,-0.6199999999999974
2025-03-05 13:45:00,-43875,-0.04999999999999716,60825,60450.0,YES,129675.0,Y,-0.3299999999999983
2025-03-05 13:50:00,-53100,0.05000000000000426,64125,39375.0,N,32775.0,N,-0.3500000000000014
2025-03-05 13:55:00,-232275,-3.552713678800501e-15,69075,-95625.0,Y,68475.0,Y,-0.3199999999999932
2025-03-05 14:00:00,178275,-0.05000000000000426,59850,-124875.0,Y,83550.0,N,-0.3200000000000003
2025-03-05 14:05:00,37500,-0.05000000000000071,63450,45225.0,YES,24300.0,N,-0.20000000000000284
2025-03-05 14:10:00,139725,0.049999999999993605,57300,64800.0,N,-8025.0,YES,-0.1700000000000017
2025-03-05 14:15:00,-104400,7.105427357601002e-15,64575,-23700.0,Y,-349425.0,YES,-0.30999999999999517
2025-03-05 14:20:00,-15525,-0.04999999999999716,66300,56850.0,YES,133500.0,Y,-0.28000000000000114
2025-03-05 14:25:00,257625,7.105427357601002e-15,65700,31275.0,N,32850.0,N,-0.2600000000000051
2025-03-05 14:30:00,-88500,7.105427357601002e-15,57675,8550.0,N,-28800.0,YES,-0.1599999999999966
2025-03-05 14:35:00,11250,-0.10000000000000497,60825,16650.0,N,112425.0,Y,-0.25
2025-03-05 14:40:00,68175,3.552713678800501e-15,71325,-184050.0,Y,51225.0,N,-0.28999999999999915
2025-03-05 14:45:00,-332400,0.04999999999999716,68100,60000.0,YES,-36300.0,YES,-0.25
2025-03-05 14:50:00,-220050,0.05000000000000071,67875,-136500.0,Y,16275.0,Y,-0.20000000000000284
2025-03-05 14:55:00,-270075,0.0,58950,115725.0,YES,-73800.0,YES,-0.14999999999999858
2025-03-05 15:00:00,-76275,-3.552713678800501e-15,57600,51075.0,N,-21750.0,Y,-0.1699999999999946
2025-03-05 15:05:00,-86775,-3.552713678800501e-15,69150,-212550.0,Y,-65250.0,YES,-0.1600000000000037
2025-03-05 15:10:00,-425850,0.0,62850,-43200.0,YES,-230325.0,YES,-0.18999999999999773
2025-03-05 15:15:00,-5025,-0.05000000000000426,65850,-11625.0,YES,56250.0,Y,-0.21000000000000085
2025-03-05 15:20:00,-115200,0.0,57075,-69675.0,Y,-274950.0,YES,-0.19000000000000483
2025-03-05 15:25:00,536700,0.0,57300,-2637525.0,Y,-381675.0,YES,-0.21999999999999886
