last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
18-10-2024 09:45,24775,180825,150,0,16200,10900,N,-11800,Y,6.66,24725.35,24775,179.5,974750,-300,-200,7075,-16500,N,19075,N,2.42,145,285750,50,175,4050,-3750,N,4800,N,-1.04
18-10-2024 09:50,24713.95,104650,-25,-175,15925,-11550,YES,10025,YES,3.3,24777,24713.95,146.85,1965625,-125,-400,21025,-106575,YES,117550,YES,2.52,175.25,1736575,-25,-25,22450,65975,YES,-62025,YES,-4.31
18-10-2024 09:55,24722.55,85550,-75,25,16700,-38625,YES,39575,YES,0.68,24710.1,24722.55,149.95,1750900,550,150,22575,54125,Y,44050,N,-0.46,171.4,1869375,275,350,23600,-4975,Y,73550,Y,-1.44
18-10-2024 10:00,24733.5,55475,-50,25,15700,31875,Y,-2600,Y,0.59,24722.2,24733.5,151,752350,-50,-775,28975,26925,N,2675,Y,-0.24,163.5,872775,-200,125,22900,-28325,Y,22675,N,-0.67
18-10-2024 10:05,24748.5,48825,-200,-150,14075,-6100,YES,575,N,0.79,24727.55,24748.5,158.2,861825,-25,425,27400,21600,N,-2300,Y,-0.04,154.8,842775,-250,-50,24725,10875,YES,29975,N,-0.98
18-10-2024 10:10,24757.05,43850,-25,0,12625,4550,N,10575,N,1.12,24748.5,24757.05,164.1,1395400,50,475,24775,38375,N,-2275,N,0.67,148.5,838700,-200,250,22275,7975,N,5450,N,-1.4
18-10-2024 10:15,24760,67600,-150,25,14325,7825,N,-5025,Y,2.1,24761.35,24760,165.1,1396350,0,-75,23325,-13625,YES,-12325,Y,1.03,149.4,1057175,150,150,27150,102075,YES,17700,N,-1.94
18-10-2024 10:20,24769,52450,-100,25,14400,1225,YES,2600,N,1.46,24760,24769,168.1,985200,-175,650,27675,4875,N,16750,YES,0.65,145.2,855275,-125,200,26825,12700,N,45175,Y,-1.36
18-10-2024 10:25,24780.7,70300,150,-50,12250,9925,N,800,Y,2.3,24763.7,24780.7,176.9,1602850,-725,425,23625,35350,Y,-3900,Y,1.36,135.2,1057350,-175,-200,27425,-29925,Y,1350,YES,-1.9
18-10-2024 10:30,24835,180850,-50,-75,18625,-8075,YES,-30525,Y,7.95,24781.2,24835,210.8,3235625,-275,-125,25475,21950,N,-137425,Y,5.35,117.95,2163875,125,-25,25350,-67700,Y,24375,Y,-4.88
18-10-2024 10:35,24805.4,87250,-275,275,16075,5175,N,21725,YES,3.53,24835,24805.4,194.2,1289900,300,250,24300,-64125,YES,84100,YES,1.96,128.7,1218350,550,75,25600,55975,YES,-4925,YES,-2.32
18-10-2024 10:40,24824.65,78825,275,-1050,16050,8675,N,8425,N,3.14,24803.9,24824.65,203.85,1304500,125,-200,26775,10400,Y,-24575,Y,1.99,123.35,845525,-225,500,27425,-50,Y,2725,N,-1.54
18-10-2024 10:45,24835,98150,150,250,13425,10925,N,-13200,Y,4.19,24825,24835,214,1307250,450,-400,22725,8950,N,-11575,N,2.15,117.65,923475,-1250,-425,26625,-7375,Y,36150,Y,-1.75
18-10-2024 10:50,24808,82675,150,2125,18925,-17000,YES,17250,YES,2.8,24839.25,24808,198.3,1019450,-125,-225,23400,-38000,YES,73000,YES,1.22,128.05,942875,-250,50,26300,48825,YES,-15900,YES,-1.38
18-10-2024 10:55,24808.45,51925,-50,0,13050,8000,Y,-1950,Y,1.38,24806.4,24808.45,197,888025,275,100,27200,-4800,Y,28950,N,0.77,128.5,1319850,-325,-275,27425,-23150,Y,-9725,N,-1.51
18-10-2024 11:00,24787.65,35900,-200,-1000,16150,-48325,YES,13550,N,0.87,24808.45,24787.65,183.45,739175,-50,-100,27075,-20425,YES,20975,N,0.49,137.1,1089300,-100,175,28225,50525,YES,-11175,YES,-1.09
18-10-2024 11:05,24794.35,44350,75,575,12575,15225,Y,10675,N,0.92,24785.5,24794.35,184.05,633925,-50,-175,23675,31775,Y,4275,N,0.3,136.25,1140850,-225,425,25925,31200,N,89175,Y,-0.92
18-10-2024 11:10,24813.85,50875,0,-75,16000,-8750,YES,-24600,Y,1.19,24794,24813.85,193.55,915050,50,50,25250,12450,N,-10275,Y,0.54,126.15,1341850,400,50,28200,-46375,Y,46000,N,-1.18
18-10-2024 11:15,24785.8,26250,125,50,12275,-2050,N,-800,YES,0.55,24814,24785.8,179.25,820700,275,550,23925,-21600,YES,31150,YES,0.31,135.6,1134750,-925,325,30400,49100,YES,-3175,YES,-0.88
18-10-2024 11:20,24792.45,27700,-150,25,10625,22500,Y,-3225,Y,0.48,24785,24792.45,185.2,606050,1325,-25,25125,10825,Y,2300,Y,0.18,131.85,1142775,-350,-1250,29750,2925,Y,34850,Y,-0.75
18-10-2024 11:25,24815.1,22325,0,1425,9375,-2875,YES,725,N,0.52,24798.7,24815.1,194.6,773525,-525,-25,24775,162025,Y,-76550,Y,0.38,119.5,1202150,625,-25,36750,-66050,Y,25250,N,-1.06
18-10-2024 11:30,24833.65,34000,225,525,14875,13900,N,-7600,Y,0.92,24815.1,24833.65,204.05,923100,-1325,100,24175,50125,N,-44150,YES,0.6,112.9,815850,-850,-7275,28875,-36450,YES,25075,N,-0.8
18-10-2024 11:35,24875,167575,25,-225,19000,5175,N,-65650,Y,6.15,24833.55,24875,229.1,1997050,-275,175,26425,-8825,YES,-100675,Y,2.01,98.95,1591900,1025,-1100,24900,-35200,N,-4225,YES,-1.9
18-10-2024 11:40,24889.3,171375,0,-125,21250,-20900,YES,14725,YES,7.22,24877,24889.3,236.2,1543625,-50,-25,21825,-199775,YES,-1200,YES,2.33,95.5,1394475,650,550,31225,63850,YES,-25025,YES,-2.01
18-10-2024 11:45,24874.8,107950,75,25,18150,17200,Y,30675,N,4,24888,24874.8,228.6,654625,200,-700,22575,-12600,Y,13100,N,0.86,99.65,847450,700,275,28675,-39725,Y,15000,Y,-1.1
18-10-2024 11:50,24879,42050,-125,0,15325,13500,N,9500,N,1.35,24874.8,24879,228.25,498100,-150,-225,22225,18425,Y,6925,N,0.57,97.7,758050,-350,125,28550,-1375,YES,20225,N,-0.91
18-10-2024 11:55,24883.1,30650,0,975,12200,1875,YES,13775,N,1.06,24879,24883.1,231.8,481975,-325,-25,24200,30050,N,9350,N,0.58,93.8,561550,900,-175,30125,38475,YES,20825,N,-0.72
18-10-2024 12:00,24893,60150,350,525,14250,46925,Y,-12350,Y,2.28,24883.1,24893,236.15,680300,-100,-450,26775,725,YES,-12450,Y,0.88,92.6,848700,900,125,35250,-19950,Y,-10675,YES,-1.11
18-10-2024 12:05,24909.05,93125,50,50,18950,3200,N,-11875,N,3.68,24892,24909.05,239.05,785525,200,50,25800,-66925,YES,-8750,N,1.11,88.1,957375,725,-1950,29650,-35600,Y,11675,Y,-1.3
