last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
22-11-2024 09:40,23490,82750,300,400,15250,112175,N,71900,N,0.32,23510,23490,22-11-2024 09:40,236.6,1425125,100,-50,26350,51675,N,4600,N,1.49,22-11-2024 09:40,149.3,2164675,275,175,28050,12425,N,110325,N,-0.23
22-11-2024 09:45,23472.3,103350,-50,175,21525,16775,N,-13225,Y,-0.76,23488,23472.3,22-11-2024 09:45,227.6,1211650,50,100,27700,-5425,YES,60700,YES,0.19,22-11-2024 09:45,156.55,2069400,-25,-50,24575,-18475,Y,2475,YES,1.08
22-11-2024 09:50,23475,247400,100,-300,21875,-66125,YES,67500,YES,-5.7,23472.3,23475,22-11-2024 09:50,230.45,1490325,275,125,24400,48850,Y,7225,N,-1.29,22-11-2024 09:50,154,3011500,150,475,21500,-21525,Y,-875,YES,3.53
22-11-2024 09:55,23519.7,104500,75,-650,15350,1775,Y,5500,N,-0.04,23475.6,23519.7,22-11-2024 09:55,252.9,1650575,-325,-50,27325,77450,Y,4850,N,0.67,22-11-2024 09:55,135.95,1778475,-75,25,24925,-20850,N,37700,Y,-0.12
22-11-2024 10:00,23594,408575,125,-75,24275,110375,Y,-126725,Y,11.71,23519.5,23594,22-11-2024 10:00,312,2066625,525,-150,25425,-73000,YES,-165475,Y,4.65,22-11-2024 10:00,113.8,2092275,500,-125,28875,30675,YES,53525,N,-2.22
22-11-2024 10:05,23615.1,325875,-150,75,21600,26150,N,203400,YES,12.88,23598.35,23615.1,22-11-2024 10:05,326.9,1303050,350,-75,22925,-33175,Y,-9200,YES,4.96,22-11-2024 10:05,109.8,1618700,-400,25,24425,31975,N,32275,N,-2.5
22-11-2024 10:10,23611.7,130825,25,50,17850,12350,N,3275,N,4.11,23617.3,23611.7,22-11-2024 10:10,317.25,353100,50,-25,23825,6450,Y,41950,YES,1.21,22-11-2024 10:10,111.3,984325,25,-700,29150,42025,N,26100,N,-1.27
22-11-2024 10:15,23605.45,68600,0,-50,17875,-2400,YES,13850,N,2.05,23613.5,23605.45,22-11-2024 10:15,317.15,256325,25,-550,24000,-277450,YES,-13250,Y,0.84,22-11-2024 10:15,110.2,541325,-125,1000,25150,15350,N,34525,N,-0.7
22-11-2024 10:20,23564,122925,0,225,15575,-29350,YES,10350,N,2.44,23610,23564,22-11-2024 10:20,284.1,504775,-500,575,24025,-14125,Y,6450,N,1.15,22-11-2024 10:20,124.1,1221200,-425,125,25400,10750,N,-67450,YES,-1.1
22-11-2024 10:25,23575.65,117450,-75,375,22350,14875,Y,7625,N,1.36,23562.95,23575.65,22-11-2024 10:25,295.7,396400,-175,-75,22325,6375,Y,-7375,Y,0.67,22-11-2024 10:25,120.85,1287350,25,-25,28650,-21750,Y,5000,Y,-0.69
22-11-2024 10:30,23568.75,53550,50,550,13600,10325,N,-3550,Y,0.78,23579.35,23568.75,22-11-2024 10:30,291.95,344725,0,100,21225,-1125,YES,9500,N,0.7,22-11-2024 10:30,123.75,746875,750,0,28000,14650,YES,22125,N,-0.47
22-11-2024 10:35,23583,29975,-75,-125,14825,18175,N,-3000,N,0.38,23568.75,23583,22-11-2024 10:35,299,186325,-175,-25,25325,6975,N,6100,N,0.35,22-11-2024 10:35,119.35,440050,800,175,25575,3025,N,11675,N,-0.26
22-11-2024 10:40,23546.7,55475,0,50,15225,-6700,YES,-17650,Y,0.38,23582.2,23546.7,22-11-2024 10:40,277.35,496650,-125,-50,24625,-4600,YES,22725,N,0.66,22-11-2024 10:40,131.1,879400,-100,-175,29525,-27300,Y,-58550,YES,-0.27
22-11-2024 10:45,23493,161525,325,-175,17300,-3250,N,-9750,N,-1.23,23550,23493,22-11-2024 10:45,248.05,783200,175,0,23025,-6025,YES,19950,N,0.23,22-11-2024 10:45,159.6,2173200,350,550,26050,40450,YES,-101150,YES,0.93
22-11-2024 10:50,23540.15,94050,25,-325,20975,9225,N,-33100,Y,-0.51,23492.95,23540.15,22-11-2024 10:50,274,521825,800,-250,24500,31950,Y,-16625,Y,0.23,22-11-2024 10:50,140.8,1245875,450,600,25650,-48500,Y,47525,Y,0.45
22-11-2024 10:55,23548,57500,50,-250,11750,12100,N,19125,YES,0.14,23540.15,23548,22-11-2024 10:55,282,381875,-125,200,21400,-9050,YES,2800,N,0.41,22-11-2024 10:55,135,906275,150,50,24875,9175,YES,31375,N,-0.05
