last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_ltp_diff,n_buy_diff,n_sell_diff,ce_ltp_diff,ce_buy_diff,ce_sell_diff,pe_ltp_diff,pe_buy_diff,pe_sell_diff,percentage
26-03-2025 09:15,0.34218903924928123,0.2687378156366057,0.769559554781353,0.25754556668084694,-0.14210896096532943,0.7788125100052827,-0.47888845887702103,-0.7778068864041806,0.8214057534682933,22.150000000001455,31200.0,22200.0,6.950000000000003,1154775.0,290550.0,-20.099999999999994,1008300.0,486750.0,51.522828289646604
26-03-2025 09:20,0.8175565872392503,0.6530855152340427,0.8517434945179873,-0.8716593795454647,0.19120872433760286,-0.24798787411219167,0.759397643229455,-0.882096843280526,-0.7730811435783584,42.75,57825.0,39600.0,20.200000000000003,-2732475.0,520575.0,-25.200000000000003,-3410250.0,748875.0,67.19796894527643
26-03-2025 09:25,0.7756767835036847,0.6088117135046537,0.8649425515579493,-0.8011296837032675,0.30990071966627897,-0.5165296493780364,0.7163257406328009,-0.8383610539666757,-0.7881319322426444,15.150000000001455,62550.0,43050.0,5.950000000000003,-3057150.0,765000.0,-11.149999999999991,-3448575.0,638325.0,69.10899809062214
26-03-2025 09:30,-0.3591696905963262,-0.5767213613224655,0.5521058296773511,0.09348761149962091,-0.7887369005648516,-0.14481284192500962,0.1542948834797093,-0.09016269431445892,-0.006003831183700461,-29.549999999999272,34200.0,35625.0,-15.25,-3927225.0,811125.0,14.200000000000003,-2804100.0,449625.0,30.727729384038817
26-03-2025 09:35,-0.516878393023436,-0.7345724529997762,0.5367380031191323,0.47847569087850894,-0.9323732813614443,-0.23338868416422234,0.6993670363830321,-0.12488264829294639,0.23596348355188862,-62.349999999998545,28725.0,19050.0,-37.25,-36300.0,741225.0,24.650000000000006,223425.0,190350.0,49.918218597493194
26-03-2025 09:40,-0.44077152137700576,-0.7108366815742329,0.6066866589710399,-0.5099928656878492,-0.8812009785942129,0.7805755568264647,0.8219943628829056,0.18839493699184717,0.4851379179714062,-35.400000000001455,12375.0,22575.0,-24.349999999999994,304050.0,664575.0,10.300000000000011,264675.0,418125.0,60.284349787521826
26-03-2025 09:45,0.16894120073565505,-0.5278112689061616,0.20769766387133437,0.539396538910173,-0.8414124998707888,-0.16795040923487575,0.6203038871410086,-0.49700745456272716,0.09136363557113213,-11.0,15750.0,8550.0,-9.549999999999997,2475.0,293175.0,0.5,-111000.0,-51600.0,40.68760620893173
26-03-2025 09:50,0.5154572148380252,-0.3655218347774185,0.0665635882049742,0.8319393458028461,-0.6766149920592874,-0.391138211937641,0.5444525711465257,-0.5976219735522742,0.15253173479042254,-4.599999999998545,13725.0,9000.0,-6.75,-5175.0,382350.0,-0.9000000000000057,975.0,-62475.0,46.020460745660166
26-03-2025 09:55,0.7021935313261288,-0.8442201906466783,-0.4350461374033236,0.900736895715204,-0.7460635145709215,-0.5236154018381407,0.7573253990675792,-0.8565638554973319,-0.4425647486762538,28.5,12675.0,-10725.0,8.900000000000006,290775.0,-12675.0,-19.60000000000001,-158100.0,236400.0,68.98144083046179
26-03-2025 10:00,0.4278627601505576,-0.8388396714690564,-0.2830338181356413,0.785010813987219,-0.7464996360088035,-0.37734558717530065,0.6785257791889125,-0.837946305268111,-0.3130740928453464,11.299999999999272,15000.0,1575.0,2.3499999999999943,211875.0,249600.0,-10.200000000000003,62475.0,427500.0,58.75709404698832
26-03-2025 10:05,-0.12671346679056839,-0.6260412102682431,0.43257757030467325,0.12633011900400778,-0.7928476402630336,0.2486318713295503,0.666933432043359,-0.36470525398105264,0.2182001659399085,18.799999999999272,8550.0,-9900.0,6.6499999999999915,202350.0,101850.0,-12.5,-44700.0,260550.0,40.03311922138218
26-03-2025 10:10,0.4837796237242276,-0.06435062259188473,0.35695427711851074,0.42473717116430376,-0.5775044013852353,0.08375909455168928,0.05998752192475731,-0.7898760677741641,0.2859667435987403,1.8499999999985448,14250.0,5175.0,0.25,77700.0,71550.0,-3.6500000000000057,166650.0,149250.0,34.74350582037237
