last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_buy_diff,n_sell_diff,ce_buy_diff,ce_sell_diff,pe_buy_diff,pe_sell_diff,n_bid_diff,n_ask_diff,ce_bid_diff,ce_ask_diff,pe_bid_diff,pe_ask_diff,percentage
06-01-2025 09:15,-0.7821723002024322,-0.773146937513428,0.9318492736950287,-0.595967040665288,-0.8039065036979118,0.6268218195630653,0.40771930219992375,0.3177345093096264,0.8933041970675105,38025,267000,92700,177525,29325,63000,100.0,-1075.0,450.0,-300.0,-2025.0,-75.0,68.14024315460237
06-01-2025 09:20,0.9322088709048822,0.3399209155932072,0.5401268144928177,-0.035722253001103564,-0.2106326727575604,-0.003802418654440816,0.11247981054649002,-0.8830663910791702,-0.10236530312494711,37350,21625,-2001150,-13950,-1349775,56925,-675.0,2400.0,525.0,14025.0,-300.0,0.0,35.114727223940214
06-01-2025 09:25,0.7127861120463206,-0.3879904178009684,0.04691370158304736,0.9030469309186241,-0.5788506464456942,-0.561836934384135,0.6640345533739244,-0.6941873385518069,-0.04810437940722945,775,3925,-174300,220425,76350,-30900,125.0,925.0,300.0,-225.0,0.0,-225.0,51.086122383463895
06-01-2025 09:30,0.24905334728358638,-0.40359218102030786,0.3298450264262956,0.7699803705394489,-0.7825129430634034,-0.3138403847559056,0.72304633131644,-0.7495349480624683,-0.2811282756837725,4600,12250,-60000,236700,7875,-33375,100.0,550.0,150.0,1425.0,225.0,0.0,51.1392645350181
06-01-2025 09:35,0.7797369632962003,-0.0043067813374045635,-0.39692026164770133,0.1832651152733456,0.6740868508877738,0.2793146811792966,-0.6324974234601842,-0.7308705668621046,0.4597667508889091,-106825,128725,148350,16425,-77100,-32850,-225.0,-1100.0,-225.0,-75.0,375.0,-675.0,46.008504387032445
06-01-2025 09:40,0.6059246937764073,-0.8607026029799577,-0.5352576209733702,0.7329494696323351,-0.7665347500758614,-0.7584540025959073,0.8013469713133052,-0.44384747499717686,-0.5828617335508925,34675,-4525,47250,-20700,-9075,25125,-50.0,175.0,-375.0,150.0,0.0,375.0,67.64310355439126
06-01-2025 09:45,0.9211909068981824,-0.8442683001914025,-0.7317862076754924,0.6575372952126057,-0.5021700846436413,-0.1476141523927275,0.715609908722579,-0.8801317998168412,-0.7193062404107912,48775,-7200,99900,-3750,-14325,39375,125.0,-100.0,-1200.0,525.0,-75.0,825.0,67.99572106626958
06-01-2025 09:50,0.19311443164024683,-0.10902134446890076,0.4081767519225404,0.3175619842400136,-0.3200802088712173,0.46925652055780487,0.5323641655548845,-0.4665293158929957,0.026665885226690843,2825,16700,94050,48525,15225,16650,50.0,-25.0,825.0,-375.0,-75.0,-75.0,31.586340093058833
06-01-2025 09:55,0.49405539220500855,-0.2507467947855271,0.25758082264225396,0.28359399530724666,0.05183193153570124,0.12339178857222383,0.05960910553502815,-0.5544760104742924,-0.15793281993441521,9950,5275,-96975,-41625,3000,-6600,-100.0,-850.0,75.0,225.0,-75.0,75.0,24.81354067768552
06-01-2025 10:00,0.5068957641475642,-0.033548519571231096,0.4655494627054317,0.433307353485227,-0.09350088364953235,0.2780154568868239,0.22517040308879568,-0.13721707078535325,0.7340251527504429,9600,8150,94350,9750,16875,11475,-325.0,875.0,2625.0,150.0,-75.0,450.0,32.30255630078224
06-01-2025 10:05,0.297755608373261,-0.8375045451309635,-0.21445422158983132,-0.2789843269083237,-0.6532140833319068,0.09750844811014016,0.8084381237360596,-0.8881599993035202,-0.6535179331529418,-3025,-114425,-57075,-20400,-15525,22275,-150.0,1150.0,225.0,0.0,450.0,-750.0,52.550414329299414
06-01-2025 10:10,0.08390834690144192,-0.21261935369377863,0.19758608296085708,0.6714003840443825,-0.3222930755063811,0.009464034056069362,0.6531989029370195,-0.6923755448217405,-0.5883632562689012,18175,-1150,29400,115875,14100,7575,-200.0,300.0,-225.0,-75.0,1125.0,-1050.0,38.12454423545079
06-01-2025 10:15,0.20168034915000008,-0.269312201136634,-0.29814776911087026,0.759713154655186,-0.5023903199659413,-0.08466426626797736,0.7521488287682089,-0.25571302685899616,-0.02950436773742432,-1650,54550,-55500,-69450,22575,12300,-300.0,-1250.0,75.0,450.0,75.0,1425.0,35.0363809294582
06-01-2025 10:20,-0.07397693427338338,-0.13449332713326073,-0.14391449675446666,0.7379060448354656,-0.9050720942848526,-0.575080359566498,-0.36297082735019975,-0.7657274244791797,-0.043027779858393136,5000,-3050,-122250,55350,-15975,-36600,-25.0,275.0,-7650.0,525.0,150.0,-3675.0,41.57965876150777
06-01-2025 10:25,0.6599534132552796,-0.7082818980508307,-0.7000735057758543,0.44153406990042493,-0.8399154162936873,-0.02958421113718539,0.7014308308956883,-0.4486878779516981,-0.2537692784298318,-21150,11825,-11250,68475,6975,-21000,525.0,-600.0,225.0,1050.0,-675.0,-450.0,53.14700557433868
06-01-2025 10:30,-0.35287535325695646,-0.0928409412269207,-0.07761144810376866,-0.5408056377846797,-0.6125786200268533,0.38366011197067557,-0.6382972683724473,-0.8241084557392501,0.5169221659421698,15950,-700,123225,18600,-14850,-13875,1200.0,475.0,1425.0,1650.0,-75.0,0.0,44.88555558248579
