last_traded_time,bid_ask_diff,bid_ask_pr_diff
2024-11-11 09:15:00,12500,0.04999999999998295
2024-11-11 09:20:00,-12800,-0.05000000000001137
2024-11-11 09:25:00,-8200,-0.10000000000002274
2024-11-11 09:30:00,14175,0.2499999999999858
2024-11-11 09:35:00,-7375,0.0
2024-11-11 09:40:00,36525,0.04999999999999716
2024-11-11 09:45:00,-34875,0.10000000000000853
2024-11-11 09:50:00,23925,0.0
2024-11-11 09:55:00,-45375,-0.14999999999999147
2024-11-11 10:00:00,1950,-0.04999999999999716
2024-11-11 10:05:00,4600,-0.04999999999999716
2024-11-11 10:10:00,-5100,-0.04999999999999716
2024-11-11 10:15:00,150,0.04999999999999716
2024-11-11 10:20:00,-60475,-0.05000000000001137
2024-11-11 10:25:00,-52025,0.0
2024-11-11 10:30:00,25075,0.0
2024-11-11 10:35:00,-56325,-0.05000000000000426
2024-11-11 10:40:00,-14825,-0.04999999999999716
2024-11-11 10:45:00,-36100,-0.04999999999999716
2024-11-11 10:50:00,-100,0.04999999999998295
2024-11-11 10:55:00,39300,7.105427357601002e-15
2024-11-11 11:00:00,-43425,-0.10000000000000853
2024-11-11 11:05:00,24500,0.04999999999999716
2024-11-11 11:10:00,-39400,-0.04999999999999716
2024-11-11 11:15:00,-106950,0.05000000000000426
2024-11-11 11:20:00,-54075,-0.04999999999999716
2024-11-11 11:25:00,-80700,7.105427357601002e-15
2024-11-11 11:30:00,-1625,-0.05000000000000426
2024-11-11 11:35:00,74775,-0.04999999999999716
2024-11-11 11:40:00,-101550,0.05000000000000426
2024-11-11 11:45:00,-114500,0.0
2024-11-11 11:50:00,-15950,-0.04999999999999716
2024-11-11 11:55:00,9650,0.0
2024-11-11 12:00:00,-13350,0.04999999999999716
2024-11-11 12:05:00,-34375,-0.05000000000000426
2024-11-11 12:10:00,3000,0.04999999999999716
2024-11-11 12:15:00,35000,0.0
2024-11-11 12:20:00,84775,-0.04999999999999716
2024-11-11 12:25:00,23325,-0.15000000000000568
2024-11-11 12:30:00,46800,-0.10000000000000853
2024-11-11 12:35:00,27000,0.0
2024-11-11 12:40:00,42750,-0.05000000000000426
2024-11-11 12:45:00,25650,-0.09999999999998721
2024-11-11 12:50:00,-1175,0.0
2024-11-11 12:55:00,35425,0.0
2024-11-11 13:00:00,32575,-0.09999999999999432
2024-11-11 13:05:00,-6125,0.0
2024-11-11 13:10:00,-62775,0.05000000000001137
2024-11-11 13:15:00,-6025,-0.09999999999999432
2024-11-11 13:20:00,-2000,0.0
2024-11-11 13:25:00,-750,0.10000000000000853
2024-11-11 13:30:00,-16350,-0.04999999999999716
2024-11-11 13:35:00,13350,-0.04999999999998295
2024-11-11 13:40:00,-46525,0.0
2024-11-11 13:45:00,-32225,0.0
2024-11-11 13:50:00,-24575,-0.04999999999999716
2024-11-11 13:55:00,41050,-0.10000000000000853
2024-11-11 14:00:00,-8575,-0.09999999999999432
2024-11-11 14:05:00,-9750,-0.09999999999999432
2024-11-11 14:10:00,-48500,0.0
2024-11-11 14:15:00,-63250,0.0
2024-11-11 14:20:00,-3075,-0.04999999999999716
2024-11-11 14:25:00,-38850,0.09999999999999432
2024-11-11 14:30:00,9800,0.04999999999999716
2024-11-11 14:35:00,-8950,-0.05000000000001137
2024-11-11 14:40:00,-49975,-0.04999999999999716
2024-11-11 14:45:00,-31925,-1.4210854715202004e-14
2024-11-11 14:50:00,-31525,-0.04999999999999716
2024-11-11 14:55:00,-38800,-0.0999999999999801
2024-11-11 15:00:00,1750,-0.04999999999999716
2024-11-11 15:05:00,-29650,-0.15000000000000568
2024-11-11 15:10:00,30750,-1.4210854715202004e-14
