last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2025-02-04 09:15:00,56.3,-67650,0.20000000000000284,39375,86475.0,N,127575.0,N,2.6199999999999974
2025-02-04 09:20:00,72.5,57450,-0.04999999999999716,46950,-2470050.0,YES,-33900.0,Y,6.109999999999999
2025-02-04 09:25:00,75.0,-72825,-0.09999999999999432,39825,36975.0,Y,118500.0,YES,3.6199999999999974
2025-02-04 09:30:00,83.2,10350,-0.05000000000001137,45150,80025.0,Y,-99675.0,Y,2.8599999999999994
2025-02-04 09:35:00,112.3,54825,-0.04999999999999716,41625,-2925.0,YES,-81975.0,N,8.040000000000006
2025-02-04 09:40:00,123.0,-28200,0.04999999999999716,43875,-15075.0,YES,99975.0,YES,7.030000000000001
2025-02-04 09:45:00,117.35,29925,0.09999999999999432,46350,13575.0,Y,153000.0,YES,4.0
2025-02-04 09:50:00,116.95,23400,0.04999999999999716,45000,-99375.0,YES,30375.0,N,2.3100000000000023
2025-02-04 09:55:00,115.25,97500,0.10000000000000853,44925,116475.0,Y,81675.0,YES,1.269999999999996
2025-02-04 10:00:00,109.65,12000,-0.15000000000000568,41475,-67950.0,YES,24075.0,N,1.6099999999999994
2025-02-04 10:05:00,107.05,-7725,0.09999999999999432,42075,68550.0,Y,61500.0,YES,0.7900000000000063
2025-02-04 10:10:00,103.0,-38175,-0.04999999999999716,43725,-105450.0,YES,23400.0,N,1.1800000000000068
2025-02-04 10:15:00,108.25,20550,-0.15000000000000568,39300,123150.0,Y,60300.0,YES,0.6700000000000017
2025-02-04 10:20:00,106.45,-46200,-0.05000000000001137,39075,-3000.0,YES,84900.0,YES,0.45000000000000284
2025-02-04 10:25:00,101.75,109650,0.10000000000000853,38700,-92025.0,YES,36450.0,N,0.3499999999999943
2025-02-04 10:30:00,100.5,-9525,0.09999999999999432,41475,60375.0,Y,44325.0,N,0.3100000000000023
2025-02-04 10:35:00,88.25,39150,-0.05000000000001137,41175,-77775.0,YES,78450.0,YES,-0.06999999999999318
2025-02-04 10:40:00,93.35,2325,-1.4210854715202004e-14,39375,119475.0,Y,39675.0,N,-0.18000000000000682
2025-02-04 10:45:00,90.15,25800,-0.04999999999999716,41550,-4275.0,YES,135375.0,YES,-0.10999999999999943
2025-02-04 10:50:00,86.75,-82875,0.0,46650,13125.0,N,-26325.0,Y,-0.269999999999996
2025-02-04 10:55:00,87.6,-43125,-0.04999999999999716,44325,-18225.0,YES,59850.0,YES,-0.1700000000000017
2025-02-04 11:00:00,89.45,-70875,-0.04999999999999716,43800,48975.0,Y,41025.0,N,-0.23000000000000398
2025-02-04 11:05:00,92.55,-87225,0.0,47625,19425.0,N,32025.0,N,-0.0799999999999983
2025-02-04 11:10:00,95.9,-1050,0.0,42750,10425.0,N,-106050.0,Y,-0.05999999999998806
2025-02-04 11:15:00,94.75,-35250,-0.15000000000000568,39075,-10725.0,YES,77775.0,YES,0.029999999999986926
2025-02-04 11:20:00,102.45,-36375,-0.04999999999999716,42525,42525.0,Y,-133950.0,Y,0.22000000000001307
2025-02-04 11:25:00,99.3,-61050,0.09999999999999432,39675,-79875.0,YES,-20100.0,YES,0.1699999999999875
2025-02-04 11:30:00,100.65,-41400,0.14999999999999147,45750,-21900.0,Y,-69450.0,Y,0.1600000000000108
2025-02-04 11:35:00,104.15,-8325,-0.15000000000000568,44400,71175.0,Y,-11550.0,YES,0.14999999999999147
2025-02-04 11:40:00,96.9,-90225,0.04999999999998295,38325,-105750.0,YES,67725.0,YES,0.09999999999999432
2025-02-04 11:45:00,127.4,-191400,-0.19999999999998863,46650,48675.0,Y,-666150.0,Y,0.4300000000000068
2025-02-04 11:50:00,117.7,22125,0.04999999999998295,38550,-7050.0,YES,168825.0,YES,2.1099999999999994
2025-02-04 11:55:00,103.65,30750,0.04999999999999716,41925,-25650.0,YES,92700.0,N,0.3100000000000023
2025-02-04 12:00:00,104.7,-52875,-0.04999999999999716,44550,29475.0,Y,42975.0,N,0.04000000000000625
2025-02-04 12:05:00,103.0,-49800,-0.09999999999999432,41475,78525.0,Y,103425.0,YES,0.12999999999999545
2025-02-04 12:10:00,114.4,-85275,0.0,38625,30150.0,N,-110250.0,Y,0.29000000000000625
2025-02-04 12:15:00,126.45,29925,0.0,38550,49050.0,N,-179325.0,Y,0.6400000000000006
2025-02-04 12:20:00,0.0,0,,0,0.0,YES,0.0,YES,0.0
2025-02-04 12:25:00,0.0,0,,0,0.0,N,0.0,N,0.0
2025-02-04 12:30:00,132.0,6975,-0.20000000000000284,16650,-43950.0,YES,47775.0,YES,0.20000000000000284
2025-02-04 12:35:00,128.7,-9600,-2.842170943040401e-14,39825,-90150.0,YES,-61125.0,Y,0.8499999999999943
2025-02-04 12:40:00,132.55,-24750,-0.15000000000000568,40500,69300.0,Y,60000.0,YES,0.5699999999999932
2025-02-04 12:45:00,137.0,20400,-2.842170943040401e-14,38175,31125.0,N,2700.0,Y,0.5200000000000102
2025-02-04 12:50:00,137.1,-37350,-0.15000000000000568,38175,19425.0,N,-99300.0,Y,0.9400000000000119
2025-02-04 12:55:00,138.35,19125,0.05000000000001137,36300,-14625.0,YES,51150.0,YES,0.5099999999999909
2025-02-04 13:00:00,125.8,-30450,-0.09999999999999432,39450,-144375.0,YES,98550.0,YES,0.5499999999999972
2025-02-04 13:05:00,136.85,35325,1.4210854715202004e-14,40800,106725.0,Y,-76425.0,Y,0.5
2025-02-04 13:10:00,146.9,-65025,0.04999999999998295,39900,64350.0,N,-5100.0,YES,1.0899999999999892
2025-02-04 13:15:00,140.6,-46575,0.05000000000001137,42900,-85950.0,YES,-78375.0,Y,0.6700000000000017
2025-02-04 13:20:00,144.3,-10575,0.0,39000,44325.0,Y,-67725.0,N,0.8200000000000074
2025-02-04 13:25:00,148.0,39600,0.04999999999998295,40950,9150.0,N,-12000.0,YES,0.269999999999996
2025-02-04 13:30:00,172.5,41625,0.0,41100,-16200.0,YES,-239100.0,Y,0.5499999999999972
2025-02-04 13:35:00,170.15,-19200,-0.05000000000001137,38850,-31500.0,YES,99900.0,YES,1.1299999999999955
2025-02-04 13:40:00,152.85,-10275,-0.10000000000002274,40950,-58050.0,YES,54225.0,N,0.5700000000000074
2025-02-04 13:45:00,172.0,-27900,-0.05000000000001137,38250,42375.0,Y,-34050.0,Y,0.5300000000000011
2025-02-04 13:50:00,170.0,26850,0.0,41250,-29175.0,YES,-3975.0,YES,0.6499999999999915
2025-02-04 13:55:00,160.15,-20400,-0.09999999999999432,38025,-21375.0,N,15450.0,N,0.4000000000000057
2025-02-04 14:00:00,149.4,-21450,-0.04999999999998295,37725,-60150.0,YES,40725.0,YES,0.3299999999999983
2025-02-04 14:05:00,152.05,-4200,-0.09999999999999432,41625,31950.0,Y,17850.0,N,0.4200000000000017
2025-02-04 14:10:00,116.8,-4875,-0.04999999999999716,41175,23400.0,N,19350.0,N,0.30999999999998806
2025-02-04 14:15:00,116.0,-26175,-0.09999999999999432,43200,111450.0,Y,118650.0,YES,0.12999999999999545
2025-02-04 14:20:00,110.0,-17100,0.05000000000001137,49050,-111075.0,YES,43425.0,N,-0.009999999999990905
2025-02-04 14:25:00,111.75,18225,-0.20000000000000284,43725,191025.0,Y,24375.0,N,-0.01999999999999602
2025-02-04 14:30:00,128.1,-12525,0.0999999999999801,43500,-156225.0,YES,-48375.0,Y,0.2599999999999909
2025-02-04 14:35:00,153.25,35700,-0.04999999999999716,42300,42675.0,Y,-112950.0,Y,0.519999999999996
2025-02-04 14:40:00,149.45,62550,-0.15000000000000568,40050,-66300.0,YES,21975.0,YES,0.5800000000000125
2025-02-04 14:45:00,151.45,-53625,0.04999999999998295,41700,-26175.0,Y,1200.0,Y,0.38000000000000966
