last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
01-04-2025 10:00,23593.25,9675,-0.3,39750,12300,N,12825,N,0.08,23603.3,23593.25,01-04-2025 10:00,54.2,1575,7.11E-15,24225,41100,N,-6150,N,-0.45,01-04-2025 10:00,169.1,8625,-0.05,10650,18825,N,14550,N,0.23
01-04-2025 10:05,23583,-13500,0.5,66900,-2250,YES,25425,N,-0.01,23593.25,23583,01-04-2025 10:05,49.85,-3600,0.1,46800,5775,N,82500,YES,-0.52,01-04-2025 10:05,175,22800,-0.2,39375,20850,N,20850,N,0.95
01-04-2025 10:10,23575,-42975,-1.35,71550,-48375,YES,2550,Y,-0.38,23583,23575,01-04-2025 10:10,44.9,3075,-0.1,49725,-1575,YES,93375,N,-0.71,01-04-2025 10:10,179.95,-35550,-0.05,38025,-6975,Y,-3375,YES,1.1
01-04-2025 10:15,23610,97350,3,59100,42750,Y,-18675,Y,-0.11,23575,23610,01-04-2025 10:15,54.4,70650,0,49125,135975,Y,-53550,Y,-0.56,01-04-2025 10:15,154.65,55350,-0.1,41400,-35700,Y,46350,Y,0.35
01-04-2025 10:20,23511,516375,-3,56100,-111375,YES,18150,YES,-3.55,23608.2,23511,01-04-2025 10:20,30.75,-57675,-0.05,52125,-243750,YES,61050,YES,-1.68,01-04-2025 10:20,237.05,-38400,-0.1,39450,-21375,N,-240525,YES,3.2
01-04-2025 10:25,23454.8,97875,-2.25,39975,-40275,Y,60525,YES,-21.55,23510.25,23454.8,01-04-2025 10:25,22.6,-103650,-0.05,67425,2657475,Y,179100,YES,-3.28,01-04-2025 10:25,286.05,-10350,0,50700,-46725,Y,-14850,Y,6.22
01-04-2025 10:30,23443.1,63000,1.05,36000,-13950,Y,14850,N,-11.76,23452.1,23443.1,01-04-2025 10:30,21.35,250575,-0.05,61200,135525,N,106575,N,-2.67,01-04-2025 10:30,299.15,8850,-0.3,46500,-56925,Y,-6075,N,3.72
01-04-2025 10:35,23466,22350,-0.05,34800,17850,Y,-2550,Y,-5.93,23443.1,23466,01-04-2025 10:35,24.2,517425,0,56550,53775,N,-29475,Y,-1.15,01-04-2025 10:35,269.45,6450,-0.1,38925,-12675,YES,2100,N,1.95
01-04-2025 10:40,23472.4,81000,1.95,38775,10500,N,15300,N,-3.09,23466.15,23472.4,01-04-2025 10:40,25.1,80325,0.05,55350,66375,N,67425,YES,-0.82,01-04-2025 10:40,270.4,9450,-0.05,36000,-40875,Y,2175,N,0.82
01-04-2025 10:45,23458.1,51975,-0.7,33900,42450,Y,5550,N,-1.93,23472.4,23458.1,01-04-2025 10:45,23.5,113100,-0.05,62475,-67275,YES,88125,YES,-0.76,01-04-2025 10:45,283.3,-2100,0.05,41325,-4575,YES,-10575,YES,1.03
01-04-2025 10:50,23457.7,32250,1.55,40650,7275,N,825,Y,-3.09,23458.1,23457.7,01-04-2025 10:50,23.6,93450,-0.05,62325,63450,Y,-1050,Y,-0.57,01-04-2025 10:50,286.6,24450,-5.68E-14,40125,-1800,N,13800,Y,1.06
01-04-2025 10:55,23403.55,150450,2.25,40650,-50400,YES,15300,N,-10.66,23457.7,23403.55,01-04-2025 10:55,18,184875,0.05,59475,-327450,YES,154800,YES,-1.7,01-04-2025 10:55,343.3,4350,-0.35,37950,-13800,Y,-40950,YES,3.3
01-04-2025 11:00,23384.15,16950,0.8,40200,-25500,Y,16050,N,-6.36,23403.55,23384.15,01-04-2025 11:00,16.15,-773025,0.05,62700,-675,Y,107325,N,-0.73,01-04-2025 11:00,354.95,5100,0.05,41850,-8325,N,4875,Y,1.29
01-04-2025 11:05,23382,232500,1.85,35175,5025,Y,525,Y,-4.37,23384.15,23382,01-04-2025 11:05,16.55,2257575,1.78E-15,77325,90375,Y,-136200,Y,-1.62,01-04-2025 11:05,359.9,10425,0.1,36750,-4575,N,7125,N,1.02
01-04-2025 11:10,23378.9,94500,1.8,40050,3900,N,15375,N,-4.06,23382,23378.9,01-04-2025 11:10,15.75,855000,-0.05,69300,-69975,YES,91050,YES,-0.5,01-04-2025 11:10,359,-14700,-0.05,35700,-10500,Y,-11775,YES,0.98
01-04-2025 11:15,23391,22575,-1.25,34650,15450,N,3975,N,-2.05,23377.1,23391,01-04-2025 11:15,16.4,-533250,0,72825,42825,Y,64800,N,-0.42,01-04-2025 11:15,344.85,-12975,0.25,39000,1500,N,5100,N,0.57
01-04-2025 11:20,23401.1,43125,-0.9,28875,1800,YES,2550,Y,-1.78,23390,23401.1,01-04-2025 11:20,17.1,-246825,-3.55E-15,65775,40650,N,94050,YES,-0.23,01-04-2025 11:20,337.5,-18225,0.3,34650,13275,N,15975,N,0.45
