last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val
25-03-2025 09:15,23770,161625,232275,300,300,125.6,4241400,202875,900,1050,152.35,768300,90300,525,675
25-03-2025 09:15,23772.55,165150,229425,450,1500,125.8,4257075,209475,750,525,148.3,768750,103125,600,750
25-03-2025 09:16,23765.95,151275,208050,375,25050,125.65,4257225,237750,450,975,155.4,780075,102450,750,900
25-03-2025 09:16,23767.85,165600,211875,450,3300,127.55,4341075,234525,750,450,154.6,789975,102075,375,450
25-03-2025 09:16,23762.85,164025,210975,525,1200,126.5,4341000,272775,525,525,158.5,798525,101550,675,750
25-03-2025 09:16,23754.45,166275,203100,375,750,120.1,4330200,328950,825,450,161.1,807525,101925,600,675
25-03-2025 09:16,23750.05,160350,210750,1725,750,118.15,4123125,387375,1200,675,163.25,819750,108225,525,450
25-03-2025 09:16,23745,158325,213825,2025,525,114.6,4118775,400800,1575,1125,166.95,826725,103425,1425,1200
25-03-2025 09:17,23745,154725,215325,750,1725,116.15,4100250,397575,2175,3225,166.15,839550,123900,525,525
25-03-2025 09:17,23749.9,159675,204975,1050,900,117.9,4151550,403500,900,1350,167,826575,130425,525,825
25-03-2025 09:17,23753,169050,196200,975,1125,121.05,4203075,389775,1575,900,164,818550,129900,450,1125
25-03-2025 09:17,23750.2,168600,193950,600,1800,120.9,4206000,400725,1050,1500,165.8,811350,129825,225,1575
25-03-2025 09:17,23749.65,166125,204150,525,675,120.35,4220550,413325,2850,750,165.5,822525,134475,825,675
25-03-2025 09:17,23751.1,172350,201975,375,1125,119.85,4218000,434175,1350,1425,163.25,823050,143325,1575,1050
25-03-2025 09:18,23753.8,171900,199500,750,750,121.05,4275225,455100,975,750,164.2,820500,143400,750,600
25-03-2025 09:18,23745.65,167550,202875,375,900,118.95,4250175,473100,600,600,168.15,834150,138750,975,300
25-03-2025 09:18,23748.75,167325,204225,450,1800,119.6,4208025,481725,1800,825,166.05,839700,128925,450,975
25-03-2025 09:18,23747.15,170625,204975,375,675,120.3,4226100,478125,900,1200,168.5,841725,128925,2775,750
25-03-2025 09:18,23743.85,171900,204300,450,825,119.8,4514625,487050,825,975,170.4,1020975,127200,1425,375
25-03-2025 09:18,23746.4,168675,201675,675,225,119.4,4536225,491700,1350,1125,167.3,1016325,140475,1800,900
25-03-2025 09:19,23743.3,158625,203550,1500,1275,117.85,4531425,517275,1275,8250,171,1009500,144300,450,900
25-03-2025 09:19,23743.4,157275,202275,75,375,118.3,4515675,518925,1050,1875,171,1011750,141075,525,600
25-03-2025 09:19,23741.5,161850,206100,75,375,118,4540650,523050,2100,1200,172.25,1009425,145125,1350,600
25-03-2025 09:19,23738.25,161400,208875,525,750,117.85,4540500,529275,1050,1425,174.1,1019775,141675,600,525
25-03-2025 09:19,23737.35,159600,209475,300,1200,117.8,4549125,529575,1950,900,175.6,1008525,141225,1125,975
25-03-2025 09:19,23733.5,157125,208875,75,450,117.05,4556100,534750,12300,1050,177.95,1007925,137400,1500,450
25-03-2025 09:20,23731.5,162900,215175,450,600,116.85,3410775,550050,2025,1800,181.45,525150,105450,375,825
25-03-2025 09:20,23730.1,157875,203550,1200,525,115.2,964575,545250,1425,2100,181.45,520650,115200,450,1050
25-03-2025 09:20,23730,160275,196875,750,1200,116,970575,560325,1800,975,182.65,523275,125400,450,1350
25-03-2025 09:20,23730.2,163200,200100,150,1125,115.75,976125,569925,975,675,180.7,522975,137025,750,825
25-03-2025 09:20,23729.45,163200,198525,225,750,116.2,988050,568950,1425,1575,181.85,515850,138675,975,1125
25-03-2025 09:20,23725.3,154575,202275,75,675,114.2,981300,578550,525,2175,188.4,517500,134475,525,750
25-03-2025 09:21,23720,156375,203100,5475,600,111.65,959250,597675,750,975,189,516600,123075,825,600
25-03-2025 09:21,23717.05,156675,202875,750,825,111.8,955575,597975,1725,750,191,521850,127725,450,1200
25-03-2025 09:21,23717.05,156975,198675,750,600,112.6,979275,590475,1425,1500,191.35,522075,123525,1500,1950
25-03-2025 09:21,23714.7,147750,197775,975,825,112.35,990375,602250,1200,675,196.5,537750,104550,750,975
25-03-2025 09:21,23720,157725,198825,450,2850,116.5,1027500,609150,1350,10425,190.7,529875,110925,750,900
25-03-2025 09:21,23717,161625,202200,300,2175,114.15,1037550,588375,1125,1500,193.95,507450,120975,825,525
25-03-2025 09:22,23711,162075,198525,1050,600,112.75,1001625,630750,1275,1350,196.8,516450,119025,525,750
25-03-2025 09:22,23710,160500,208275,300,1800,112.45,992850,636750,1800,1500,198.25,518625,104250,825,825
25-03-2025 09:22,23716.4,172050,201600,375,1500,112.75,1003650,637875,1200,900,195.3,515250,110700,1125,450
25-03-2025 09:22,23720.8,172725,203025,300,1725,114.65,1027125,645225,1350,900,192.95,509625,120675,1275,525
25-03-2025 09:22,23724.75,170550,197025,525,375,117.45,1040025,631875,600,1650,188.1,488250,127050,750,375
25-03-2025 09:22,23722.95,177825,196275,450,2475,116.45,1062300,612075,975,600,191.4,478425,126975,900,375
25-03-2025 09:23,23721.55,173475,197700,1275,525,117.95,1035075,602175,1350,1275,190.35,486750,130875,525,1650
25-03-2025 09:23,23717.3,174075,195900,150,450,117.35,1043025,618600,1275,900,194.35,497250,135450,600,1050
25-03-2025 09:23,23719.65,176625,198075,375,225,117.45,1076025,629325,1350,1575,193.05,501075,137475,1275,825
25-03-2025 09:23,23716.85,176175,200175,225,225,116.55,1075875,625050,1500,1050,195,499725,139500,225,750
25-03-2025 09:23,23719.7,178800,200925,225,450,116.3,1091250,641025,2325,1050,196.05,497850,142125,525,525
25-03-2025 09:23,23720.95,178275,201150,225,675,116,1090800,649200,1725,2025,196.65,499350,148650,450,300
25-03-2025 09:24,23706,174075,204225,150,225,112.3,1035525,666075,975,1875,203,528150,134925,300,825
25-03-2025 09:24,23701,174675,204825,750,300,111.15,1022475,673875,750,1050,208.65,528825,119175,375,525
25-03-2025 09:24,23698.85,177375,205650,1575,825,110.4,996900,671625,1050,825,208.85,522150,116550,375,1275
25-03-2025 09:24,23706.55,174675,202125,450,450,112.6,935400,667425,1500,1575,204.3,493425,131625,450,600
25-03-2025 09:24,23704.85,180825,209700,4950,750,110.8,959400,685275,1800,1800,206.15,489825,133200,1050,1125
25-03-2025 09:24,23695.8,169200,213600,2175,1800,106.7,956550,706500,975,2850,210.75,496425,130275,825,675
25-03-2025 09:25,23702.45,181125,208500,3300,1200,108.2,902775,705675,600,1125,206.05,488775,140325,525,1275
25-03-2025 09:25,23697.25,178050,213225,900,1350,108.3,924300,712500,2250,525,205.35,494925,141900,525,1050
25-03-2025 09:25,23695,177075,213825,225,975,105.8,928200,723450,825,1725,206.65,495150,143625,450,525
25-03-2025 09:25,23697.5,183600,212850,975,750,104.2,856725,731475,22800,900,203.35,492600,150525,600,1950
