last_traded_time,ltp,vol_traded_today,bid_size,ask_size,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
04-02-2025 09:15,23563.2,333600,122025,189675,-67650,3.95,32325,61350,N,15225,N,6,23547.1,23563.2,56.3,3802575,440400,508050,3600,0.2,39375,86475,N,127575,N,2.62,155.2,1102725,202050,168600,33450,-0.2,36750,140775,N,62250,N,-5.8
04-02-2025 09:20,23587.65,275625,96300,152925,-56625,2,41325,81975,Y,-71850,Y,7.09,23562.95,23587.65,72.5,5130750,572475,515025,4500,-0.05,46950,-2470050,YES,-33900,Y,6.11,149.5,1253400,261450,232650,28800,0.05,41400,63225,N,90225,Y,-4.27
04-02-2025 09:25,23574.45,209625,174750,126600,48150,0.6,37200,22575,N,219375,YES,3.93,23586.45,23574.45,75,3310875,455700,528525,3900,-0.1,39825,36975,Y,118500,YES,3.62,156.8,1301025,294900,313500,-18600,0.05,40125,29400,N,25725,N,0.32
04-02-2025 09:30,23570.75,244650,152325,193050,-40725,-1.65,31425,17025,N,11400,N,0.21,23574.45,23570.75,83.2,3653775,510150,499800,4275,-0.05,45150,80025,Y,-99675,Y,2.86,167.25,1685175,326025,279750,46275,-0.05,47025,-24600,Y,-44475,YES,4.18
04-02-2025 09:35,23619.25,348075,151575,166425,-14850,0.9,33075,37050,Y,-20100,Y,7.32,23571.45,23619.25,112.3,5650050,435075,380250,16950,-0.05,41625,-2925,YES,-81975,N,8.04,153.7,1580400,309075,277425,31650,0.05,50700,36600,YES,63375,Y,0.14
04-02-2025 09:40,23632,213000,124650,179775,-55125,-1.35,39225,45450,N,29025,YES,6.39,23619.05,23632,123,4492725,291675,319875,2400,0.05,43875,-15075,YES,99975,YES,7.03,149.2,1543425,313650,194400,119250,-0.35,45825,128475,YES,91275,Y,-0.82
04-02-2025 09:45,23631.25,168375,148125,119100,29025,0.9,36900,6300,N,155400,YES,4.28,23633,23631.25,117.35,3505650,311850,281925,4125,0.1,46350,13575,Y,153000,YES,4,150.45,2239050,260700,236625,24075,-0.05,45075,47475,N,90825,N,-1.17
04-02-2025 09:50,23627.75,68025,118950,75000,43950,0.65,31950,75,YES,6000,N,1.38,23630.35,23627.75,116.95,2589525,314475,291075,6375,0.05,45000,-99375,YES,30375,N,2.31,150.85,1793700,246450,217575,28875,-0.15,43125,27900,N,7200,N,-0.44
04-02-2025 09:55,23624,84675,79650,110850,-31200,-0.5,35025,17250,N,12750,N,1.34,23627.95,23624,115.25,1681950,422775,325275,14700,0.1,44925,116475,Y,81675,YES,1.27,151.6,1274400,279750,303825,-24075,0.15,44625,50025,YES,57150,Y,-0.19
04-02-2025 10:00,23613.1,100650,94725,175650,-80925,1.95,36750,-2100,YES,111825,YES,1.34,23625.15,23613.1,109.65,2852775,383550,371550,16875,-0.15,41475,-67950,YES,24075,N,1.61,155.7,2292525,236850,232050,4800,-0.05,40950,-62400,Y,-48600,YES,-0.16
04-02-2025 10:05,23608,73575,118575,111225,7350,2.2,33000,-11100,YES,6975,N,0.61,23617.35,23608,107.05,1894800,290325,298050,3075,0.1,42075,68550,Y,61500,YES,0.79,160.55,1699500,257400,341475,-84075,-0.2,41850,8100,YES,7800,Y,0.43
04-02-2025 10:10,23587.25,77025,62100,125250,-63150,1.05,29100,-25875,YES,-47925,Y,0.25,23608,23587.25,103,3272025,321525,359700,8775,-0.05,43725,-105450,YES,23400,N,1.18,177.45,2350425,222450,191775,30675,-0.35,42000,-18450,Y,-189825,YES,1.64
04-02-2025 10:15,23599.65,102150,195525,113325,82200,-2.2,32925,25650,Y,-3150,YES,0.14,23586.65,23599.65,108.25,2506875,254850,234300,5850,-0.15,39300,123150,Y,60300,YES,0.67,170.9,2060475,240825,229875,10950,0,41775,-30150,Y,2925,Y,1.87
04-02-2025 10:20,23590,36975,96975,136200,-39225,-0.15,31200,101100,Y,6300,N,0.13,23596.75,23590,106.45,1472100,285750,331950,6300,-0.05,39075,-3000,YES,84900,YES,0.45,177.15,850275,247275,262575,-15300,0,40800,16050,YES,-6750,YES,0.5
04-02-2025 10:25,23574.75,134925,109500,136200,-26700,-0.7,31650,-25425,YES,-8625,Y,-0.8,23590.65,23574.75,101.75,2107950,337200,227550,9375,0.1,38700,-92025,YES,36450,N,0.35,193.7,1571250,190275,197475,-7200,-0.45,40650,-41025,Y,-102825,YES,1.81
04-02-2025 10:30,23559.6,120750,113400,145050,-31650,1.5,35250,15750,Y,4200,N,-0.68,23574.15,23559.6,100.5,1817325,280875,290400,2325,0.1,41475,60375,Y,44325,N,0.31,205.35,1344300,184200,147975,36225,0.3,40200,-25650,N,-10950,Y,1.82
04-02-2025 10:35,23502.6,341175,161025,104625,56400,-2.4,42675,97650,Y,-14775,Y,-6.55,23553.8,23502.6,88.25,3907950,317550,278400,15900,-0.05,41175,-77775,YES,78450,YES,-0.07,246.15,1905975,110025,134775,-24750,-0.15,38250,-23025,N,-27675,YES,4.11
04-02-2025 10:40,23525.5,206475,106275,150675,-44400,-1.85,36300,21600,N,144600,YES,-4.21,23505.9,23525.5,93.35,2659350,301425,299100,2100,-1.42E-14,39375,119475,Y,39675,N,-0.18,229.5,1027425,100575,100125,450,0.05,37500,-64800,Y,8025,Y,2.51
04-02-2025 10:45,23522.9,151575,106875,620625,-513750,1,34650,6450,N,-150,Y,-2.02,23525.5,23522.9,90.15,2268075,380925,355125,11625,-0.05,41550,-4275,YES,135375,YES,-0.11,223.8,705375,109725,102525,7200,0.15,39450,-450,YES,9600,N,1.2
04-02-2025 10:50,23513.2,77325,117300,151800,-34500,-2.55,30600,3150,N,-121950,Y,-1.34,23522.9,23513.2,86.75,1980750,328500,411375,2850,0,46650,13125,N,-26325,Y,-0.27,239,642300,76425,119100,-42675,0.05,38625,-6900,Y,4200,N,1.29
04-02-2025 10:55,23532.25,43050,79425,76050,3375,-0.6,30525,26550,Y,-14325,YES,-0.59,23515,23532.25,87.6,1638525,334425,377550,3750,-0.05,44325,-18225,YES,59850,YES,-0.17,215,472050,109575,96600,12975,0,39975,-1350,N,10950,N,0.81
04-02-2025 11:00,23550,84375,86325,94650,-8325,-1.85,34875,300,YES,-34575,Y,-0.66,23532.25,23550,89.45,2835825,345150,416025,4575,-0.05,43800,48975,Y,41025,N,-0.23,199.25,712275,97950,142425,-44475,-0.05,38400,-8250,Y,27450,N,0.76
04-02-2025 11:05,23567,89250,205725,90375,115350,-0.4,35250,99975,Y,-13425,YES,-0.27,23551.9,23567,92.55,2160225,348150,435375,3000,0,47625,19425,N,32025,N,-0.08,190.45,539625,141300,169950,-28650,-0.05,44700,20700,YES,14175,N,0.3
04-02-2025 11:10,23577,70500,245700,83175,162525,1.65,31500,150,YES,-116475,Y,-0.13,23566,23577,95.9,2007975,349725,350775,2475,0,42750,10425,N,-106050,Y,-0.06,180,719175,142950,137625,5325,0.05,37650,-17925,Y,8850,N,0.35
04-02-2025 11:15,23585,68025,109500,107250,2250,3.85,29325,-2100,YES,22950,YES,0.13,23578,23585,94.75,2492250,312750,348000,3600,-0.15,39075,-10725,YES,77775,YES,0.03,172.2,792750,153900,180825,-26925,-0.1,40125,36225,YES,34650,Y,0.06
04-02-2025 11:20,23613.35,249750,139500,141600,-2100,1.45,44100,7650,N,-41100,Y,1.73,23585,23613.35,102.45,3613500,305250,341625,5325,-0.05,42525,42525,Y,-133950,Y,0.22,156.75,1409175,179475,164100,15375,-0.1,39525,1800,Y,49650,N,-0.61
04-02-2025 11:25,23594,91350,96600,94125,2475,0.55,38025,3525,N,23175,YES,0.53,23613.35,23594,99.3,2067600,305025,366075,11925,0.1,39675,-79875,YES,-20100,YES,0.17,164.85,836100,178350,167775,10575,-0.1,38325,56700,YES,10575,N,-0.26
04-02-2025 11:30,23605,81675,51975,121050,-69075,0.85,32775,30450,Y,600,Y,0.56,23594,23605,100.65,1734300,309675,351075,5400,0.15,45750,-21900,Y,-69450,Y,0.16,159.05,694875,213975,177975,36000,-0.15,38325,9525,N,31800,Y,-0.26
04-02-2025 11:35,23618.25,82050,126675,160425,-33750,3.2,28350,-9000,YES,57300,YES,0.63,23605.05,23618.25,104.15,1597050,376125,384450,14925,-0.15,44400,71175,Y,-11550,YES,0.15,150.35,927525,201900,179025,22875,0.15,39300,-10725,Y,92925,Y,-0.44
04-02-2025 11:40,23596.2,102750,331275,198600,132675,0.2,35775,-2775,N,10575,N,0.8,23618.25,23596.2,96.9,2203425,304725,394950,17925,0.05,38325,-105750,YES,67725,YES,0.1,159.5,1173825,211050,200400,10650,-0.05,39750,76950,YES,41850,N,-0.53
04-02-2025 11:45,23640,70500,90075,96600,-6525,2.8,29025,13500,N,-61275,Y,0.62,23596.2,23640,127.4,2722950,337050,528450,2325,-0.2,46650,48675,Y,-666150,Y,0.43,142.85,1041075,236250,248775,-12525,0.15,39450,-103875,Y,600,YES,-0.44
04-02-2025 11:50,23622.4,280425,127275,117450,9825,3.45,39225,4575,N,-88950,Y,3.91,23647.95,23622.4,117.7,6858825,253725,231600,5025,0.05,38550,-7050,YES,168825,YES,2.11,153.4,4191150,197400,193875,3525,-0.1,39900,107850,YES,-21750,YES,-2.51
04-02-2025 11:55,23606.1,83925,75225,90900,-15675,1.75,33675,-3825,YES,27375,YES,0.56,23623,23606.1,103.65,2548575,337875,307125,19725,0.05,41925,-25650,YES,92700,N,0.31,157.7,1490025,197925,199950,-2025,-0.05,40650,41325,N,26775,Y,-0.33
