last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
21-10-2024 10:00,24850,181625,525,25,20475,4875,N,-39750,Y,-4.14,24783,24850,52.8,2895800,25,825,30975,82325,Y,-77225,Y,-1.78,250.2,288600,50,-550,14300,-3800,N,-1025,N,1.3
21-10-2024 10:05,24880,248750,-325,0,23475,24550,N,24100,YES,2.43,24856,24880,59.6,4785575,425,-550,30750,-62850,YES,-238050,Y,0.06,224,770775,150,350,28400,10675,N,18325,N,0.62
21-10-2024 10:10,24853.85,118250,-200,-2550,19325,20025,N,17425,N,-1.42,24879.4,24853.85,53.8,2653875,-125,-100,31700,20350,Y,133325,YES,-0.82,248.4,786775,0,325,30200,-7925,Y,2375,YES,2.51
21-10-2024 10:15,24827.7,66175,75,-100,14375,32050,N,22200,N,-0.74,24850.6,24827.7,48,1613275,-525,-975,31650,3675,N,287325,YES,-0.47,265.1,181050,225,150,24925,-825,N,16475,N,0.59
21-10-2024 10:20,24855,52225,-225,225,13575,-19550,YES,26325,N,-0.34,24832.2,24855,53.2,1652500,-75,150,28375,59650,Y,-143850,Y,-0.41,248.35,274375,250,-725,27825,-475,N,7925,N,0.81
21-10-2024 10:25,24848.85,33800,-25,175,13700,-35925,YES,2225,Y,-0.22,24853.55,24848.85,48.8,1504975,375,325,26700,-17900,YES,57200,YES,-0.34,256.75,204775,-75,350,36775,875,N,-10700,YES,0.56
21-10-2024 10:30,24816.3,44700,150,1750,12300,23900,Y,-35900,Y,-0.62,24846.85,24816.3,44.2,1287550,-950,50,24075,-83025,YES,59725,N,-0.41,276.35,229575,150,-375,31750,950,N,-4925,N,0.78
21-10-2024 10:35,24853.2,29575,0,175,14300,14575,N,4775,YES,-0.26,24816.85,24853.2,50.7,824175,-1075,12575,26625,169475,Y,13675,N,-0.23,251.6,220675,-25,-175,25575,-4175,Y,12350,N,0.64
21-10-2024 10:40,24851.15,28650,-75,125,15050,10200,N,3675,N,-0.2,24854.25,24851.15,50.3,910675,-150,-875,31900,22625,N,-3675,Y,-0.23,249.25,185075,175,375,29325,3300,N,9350,N,0.48
21-10-2024 10:45,24852,15525,-75,-100,11850,-1300,YES,-1800,Y,-0.06,24851.15,24852,48.7,1014550,1100,250,28750,-53100,YES,3000,N,-0.23,252,237500,1100,-700,32825,4400,N,3550,N,0.46
