last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
12-12-2024 09:15,24739.75,101100,50,0,18950,90250,N,52725,N,5.59,24713.05,24739.75,21.6,13876800,5450,425,38025,11035650,N,872275,N,-5.79,86.8,4087500,150,0,20400,7085550,N,299350,N,-9.47
12-12-2024 09:20,24740.95,47550,900,-600,16250,32575,N,15700,N,2.05,24738.7,24740.95,21.45,10403025,3325,-850,45775,1468675,N,664275,N,-0.3,82,4078975,-150,-2075,25875,635925,N,172175,N,-3.74
12-12-2024 09:25,24746.95,45425,-700,-150,15775,-575,YES,7800,N,2.64,24736.6,24746.95,26.75,14013575,-1575,-3675,47225,167000,N,148300,N,0.89,77.35,4321775,-125,-875,29075,-280225,Y,123225,N,-3.54
12-12-2024 09:30,24757,50800,50,1150,15025,7625,N,26950,N,4.07,24746.95,24757,33.55,20967550,3200,3100,50050,2037300,Y,114975,N,3.28,71.5,6767350,-50,2275,37000,581200,YES,126675,N,-4.9
12-12-2024 09:35,24750,45125,400,-1350,14250,7500,N,7300,N,2.57,24757,24750,29.75,20594875,-1025,-2325,58550,618550,N,206275,YES,2.75,75.05,6371000,-1775,-1250,30300,139750,N,-24750,YES,-1.96
12-12-2024 09:40,24740,65600,-475,-225,20350,2775,YES,11075,N,0.1,24747.7,24740,23.3,14746575,3200,1775,57250,188900,N,666600,YES,-0.4,78.4,7430550,375,575,31700,160850,YES,135050,Y,-0.17
12-12-2024 09:45,24725,83550,10825,-275,22850,7300,N,11325,N,-3.02,24740,24725,20.95,15621750,8700,7475,63475,-39825,YES,281925,N,-1.04,93.45,10550225,-250,50,30425,-121250,Y,-395025,YES,2.96
12-12-2024 09:50,24728,48550,-6950,-75,14275,3975,N,10100,N,-1.05,24728,24728,21.3,8834775,1650,-1350,62650,-41750,YES,635725,YES,-0.4,90.9,4481225,650,-75,28375,26575,YES,167500,Y,0.84
12-12-2024 09:55,24719.45,42950,-75,150,17100,12925,N,1975,Y,-1.22,24726,24719.45,19.85,6137375,4300,950,65575,-230475,YES,357450,N,-0.32,98.65,4357925,-775,425,30475,-2575,Y,-73400,YES,1.05
12-12-2024 10:00,24729.6,48325,200,150,19775,6775,N,3550,N,-1,24718.7,24729.6,21.8,5851925,-250,-9650,62100,182575,Y,-76725,Y,-0.24,96.4,4399775,-11225,-850,27350,40325,YES,65225,Y,1.02
12-12-2024 10:05,24701.8,86275,375,525,15475,-18825,YES,8150,N,-3.26,24728,24701.8,18.9,7320075,-5650,5025,67025,-290950,YES,262850,YES,-0.34,107,5411200,-375,650,28750,66750,YES,-144100,YES,1.57
12-12-2024 10:10,24701.2,44450,50,-25,14600,7625,Y,5275,N,-1.73,24701.75,24701.2,20.65,7876925,-300,-9375,57675,354725,Y,-219850,Y,-0.27,114.65,5625925,-25,350,24925,-155700,Y,9600,Y,2.16
12-12-2024 10:15,24712.6,60650,-450,-75,14225,6325,N,-425,Y,-2.37,24701.2,24712.6,21.4,6207025,1550,500,78900,112650,N,73000,YES,-0.19,108.05,3853500,675,-275,28350,-21125,YES,116250,Y,1.32
12-12-2024 10:20,24703.05,14275,0,100,12300,18550,N,575,N,-0.38,24712.6,24703.05,20.75,3663825,8150,5800,63550,-77625,YES,112850,YES,-0.12,114.65,2045725,50,725,29875,103850,YES,-89175,YES,0.56
12-12-2024 10:25,24695.65,27400,-50,-50,11250,-225,YES,-25,Y,-0.87,24703.1,24695.65,20.85,3313350,75,-9250,56125,77575,Y,35450,N,-0.1,117.45,2581700,-400,-25,25950,-61525,Y,-27475,Y,0.87
