last_traded_time,bid_ask_diff,bid_ask_pr_diff
2024-12-10 09:15:00,11075,-0.25
2024-12-10 09:20:00,15950,0.0999999999999659
2024-12-10 09:25:00,-63550,-0.20000000000001705
2024-12-10 09:30:00,-39700,0.20000000000001705
2024-12-10 09:35:00,-5300,-0.15000000000000568
2024-12-10 09:40:00,2625,-0.04999999999998295
2024-12-10 09:45:00,3700,0.15000000000000568
2024-12-10 09:50:00,-1025,0.0
2024-12-10 09:55:00,-18950,0.10000000000002274
2024-12-10 10:00:00,-29675,-0.15000000000000568
2024-12-10 10:05:00,3200,0.29999999999998295
2024-12-10 10:10:00,4500,0.05000000000001137
2024-12-10 10:15:00,-121200,-0.14999999999997726
2024-12-10 10:20:00,25000,-0.20000000000001705
2024-12-10 10:25:00,28825,0.0
2024-12-10 10:30:00,-9475,-2.842170943040401e-14
2024-12-10 10:35:00,-142650,0.04999999999998295
2024-12-10 10:40:00,-20075,-0.05000000000003979
2024-12-10 10:45:00,-23850,-0.19999999999998863
2024-12-10 10:50:00,18025,2.842170943040401e-14
2024-12-10 10:55:00,-133950,0.09999999999999432
2024-12-10 11:00:00,-79425,-0.04999999999998295
2024-12-10 11:05:00,31675,-0.09999999999999432
2024-12-10 11:10:00,-2475,-0.04999999999998295
2024-12-10 11:15:00,27000,0.05000000000001137
2024-12-10 11:20:00,-90050,-0.14999999999997726
2024-12-10 11:25:00,-74200,0.04999999999998295
2024-12-10 11:30:00,-56750,0.29999999999998295
2024-12-10 11:35:00,-136125,0.05000000000001137
2024-12-10 11:40:00,146325,-0.04999999999998295
2024-12-10 11:45:00,-71700,-0.30000000000001137
2024-12-10 11:50:00,-96350,-0.09999999999999432
2024-12-10 11:55:00,-3075,0.04999999999998295
2024-12-10 12:00:00,39450,0.04999999999998295
2024-12-10 12:05:00,24200,0.15000000000000568
2024-12-10 12:10:00,-71550,0.05000000000001137
2024-12-10 12:15:00,-18600,0.0
2024-12-10 12:20:00,-40700,0.05000000000001137
2024-12-10 12:25:00,-2550,0.0
2024-12-10 12:30:00,-12325,0.05000000000001137
2024-12-10 12:35:00,48950,-0.20000000000001705
2024-12-10 12:40:00,-2750,-0.05000000000001137
2024-12-10 12:45:00,1975,0.15000000000000568
2024-12-10 12:50:00,7700,0.4000000000000057
2024-12-10 12:55:00,22975,0.05000000000001137
2024-12-10 13:00:00,-12450,-0.09999999999999432
2024-12-10 13:05:00,-60175,-0.04999999999998295
2024-12-10 13:10:00,3325,-0.04999999999998295
2024-12-10 13:15:00,-44050,-0.20000000000001705
2024-12-10 13:20:00,4450,0.05000000000001137
2024-12-10 13:25:00,-60525,0.0
2024-12-10 13:30:00,-32050,0.0
2024-12-10 13:35:00,-72450,-0.05000000000001137
2024-12-10 13:40:00,-3475,-0.25
2024-12-10 13:45:00,-11525,-0.09999999999999432
2024-12-10 13:50:00,-10800,2.842170943040401e-14
2024-12-10 13:55:00,-4625,0.0
2024-12-10 14:00:00,-21350,0.05000000000001137
2024-12-10 14:05:00,-65000,0.0
2024-12-10 14:10:00,-41225,-2.842170943040401e-14
2024-12-10 14:15:00,-25825,0.0
2024-12-10 14:20:00,-56925,-0.05000000000001137
2024-12-10 14:25:00,38875,0.4000000000000057
2024-12-10 14:30:00,22800,-0.15000000000000568
2024-12-10 14:35:00,23175,-0.10000000000002274
2024-12-10 14:40:00,-34425,0.04999999999998295
2024-12-10 14:45:00,10850,-0.15000000000000568
2024-12-10 14:50:00,4950,-0.09999999999999432
2024-12-10 14:55:00,-23650,-0.20000000000001705
2024-12-10 15:00:00,42575,2.842170943040401e-14
2024-12-10 15:05:00,-6500,0.19999999999998863
2024-12-10 15:10:00,-16500,0.05000000000001137
2024-12-10 15:15:00,-97200,-0.10000000000002274
2024-12-10 15:20:00,-48750,0.09999999999999432
2024-12-10 15:25:00,-187725,0.05000000000001137
