last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2025-02-18 11:25:00,223.65,377400.0,-1500.0,600.0,38025,-14025.0,N,13800.0,N,0.28999999999999204
2025-02-18 11:30:00,152.35,49088775.0,1275.0,675.0,95100,145050.0,YES,283200.0,Y,-51.509999999999934
2025-02-18 11:35:00,222.0,411300.0,0.0,-750.0,93675,19875.0,N,-10725.0,YES,0.17000000000010118
2025-02-18 11:40:00,144.4,1245075.0,750.0,1425.0,82800,-40275.0,Y,31275.0,Y,0.040000000000020464
2025-02-18 11:45:00,137.75,3086100.0,75.0,2250.0,48825,68100.0,YES,53700.0,Y,-0.410000000000025
2025-02-18 11:50:00,149.9,2159625.0,75.0,0.0,45600,19425.0,N,-36900.0,YES,-0.04999999999998295
2025-02-18 11:55:00,160.6,2215350.0,-375.0,750.0,45675,17325.0,N,-63600.0,YES,0.09000000000000341
2025-02-18 12:00:00,166.0,1590825.0,-150.0,-150.0,42825,-23325.0,Y,21600.0,Y,0.1699999999999875
2025-02-18 12:05:00,147.7,1199700.0,0.0,825.0,39225,-55275.0,Y,60300.0,Y,0.11000000000001364
2025-02-18 12:10:00,144.0,956025.0,450.0,0.0,44175,75750.0,YES,8925.0,N,-0.020000000000010232
2025-02-18 12:15:00,135.3,1220325.0,150.0,-75.0,38100,-55875.0,Y,44175.0,Y,-0.07999999999998408
2025-02-18 12:20:00,148.0,1269375.0,2475.0,75.0,51525,97875.0,YES,-13725.0,YES,-0.06999999999999318
2025-02-18 12:25:00,133.6,1357500.0,450.0,0.0,47475,-34800.0,Y,72225.0,Y,-0.12000000000000455
2025-02-18 12:30:00,121.85,2103375.0,150.0,-1050.0,42150,-20550.0,N,52425.0,N,-0.4099999999999966
2025-02-18 12:35:00,121.95,3082725.0,-975.0,450.0,43050,24300.0,YES,81225.0,Y,-0.7300000000000182
2025-02-18 12:40:00,127.5,1940850.0,0.0,75.0,44925,52950.0,YES,-12675.0,YES,-0.37000000000000455
2025-02-18 12:45:00,128.3,1400475.0,1950.0,1575.0,42375,-11850.0,Y,3825.0,N,-0.25
2025-02-18 12:50:00,140.3,3251850.0,-525.0,825.0,44250,-34575.0,Y,-85425.0,YES,-0.20999999999997954
2025-02-18 12:55:00,144.6,2688825.0,1425.0,-975.0,40950,-33150.0,N,-62175.0,Y,0.030000000000001137
2025-02-18 13:00:00,136.3,1607475.0,-300.0,-375.0,40200,-7500.0,YES,55350.0,Y,-0.12000000000000455
2025-02-18 13:05:00,130.0,880950.0,-225.0,375.0,41325,7425.0,N,61725.0,N,-0.09999999999999432
2025-02-18 13:10:00,130.0,1205625.0,-300.0,1275.0,41775,15525.0,N,6075.0,N,-0.12000000000000455
2025-02-18 13:15:00,127.35,1245525.0,1500.0,-375.0,39675,27450.0,N,13725.0,N,-0.18999999999999773
2025-02-18 13:20:00,123.25,1050075.0,-375.0,-750.0,41775,39900.0,N,48750.0,Y,-0.1599999999999966
2025-02-18 13:25:00,118.85,1328025.0,-525.0,825.0,42525,-32250.0,Y,15975.0,N,-0.25
2025-02-18 13:30:00,115.0,1889250.0,0.0,-1200.0,38700,-64425.0,Y,53250.0,Y,-0.3800000000000239
2025-02-18 13:35:00,170.45,1182750.0,-675.0,525.0,47250,32550.0,YES,-300.0,YES,-0.6099999999999852
2025-02-18 13:40:00,102.95,2696850.0,975.0,1350.0,43650,-98850.0,Y,85050.0,Y,-0.7099999999999795
2025-02-18 13:45:00,161.7,1106775.0,150.0,0.0,43425,41700.0,YES,20775.0,N,-0.6999999999999886
2025-02-18 13:50:00,152.65,595050.0,75.0,-75.0,43500,5325.0,N,18375.0,N,-0.37000000000000455
2025-02-18 13:55:00,164.3,862800.0,-375.0,-525.0,46425,33375.0,YES,-30375.0,YES,-0.4900000000000091
2025-02-18 14:00:00,174.4,844650.0,225.0,-1125.0,44550,1575.0,Y,-54750.0,YES,-0.4199999999999875
