last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
07-02-2025 09:15,23675.1,21450,-2.05,27000,39825,N,257175,N,-9.77,23696,23675.1,07-02-2025 09:15,158.2,-63900,0.05,34425,193500,N,80925,N,-4.65,07-02-2025 09:15,233.15,16650,-0.35,29475,154875,N,18075,N,6.36
07-02-2025 09:20,23660,47550,-3.15,41850,57000,N,247425,N,-13.02,23668.5,23660,07-02-2025 09:20,154.2,-67575,0.1,40725,56325,N,58725,N,-3.67,07-02-2025 09:20,240.15,675,0.05,37575,12225,N,33675,N,7.16
07-02-2025 09:25,23671.4,-16200,3.7,29100,8775,N,13200,N,-2.2,23660,23671.4,07-02-2025 09:25,155.6,51900,-0.05,42900,19050,N,70050,N,-1.26,07-02-2025 09:25,235.65,13275,-0.1,40875,-9000,Y,21075,N,2.28
07-02-2025 09:30,23671,-31575,3.1,38100,24975,N,-182550,Y,-1,23671.4,23671,07-02-2025 09:30,155.3,-37800,2.84E-14,42975,18825,N,41175,N,-0.76,07-02-2025 09:30,233.75,37875,0.15,38775,-15150,Y,23250,N,0.83
07-02-2025 09:35,23687.2,-6375,1.15,25500,23550,N,-14700,YES,-0.05,23674.3,23687.2,07-02-2025 09:35,157.4,-73275,0,44325,39975,Y,7125,N,-0.41,07-02-2025 09:35,222.55,-58575,0.2,40275,-2100,N,18600,N,-0.1
07-02-2025 09:40,23687.7,-6075,-0.6,27675,-37425,YES,15825,YES,0.97,23687.2,23687.7,07-02-2025 09:40,155.55,9225,0.1,44925,25800,N,89475,YES,-0.37,07-02-2025 09:40,219.1,-525,-0.15,42975,45375,YES,10650,N,-1.18
07-02-2025 09:45,23670,-7575,-1.9,33075,16050,Y,19275,N,-0.72,23687.6,23670,07-02-2025 09:45,147.7,65175,0,38475,-14400,YES,22875,N,-1.78,07-02-2025 09:45,229.15,-975,0.1,40050,-14025,Y,16950,N,-0.12
07-02-2025 09:50,23683.95,-9975,-2.55,30975,24450,N,12150,N,-0.15,23670,23683.95,07-02-2025 09:50,154.65,-23400,-0.1,39750,29700,Y,16725,N,-0.39,07-02-2025 09:50,217.8,19125,0,37200,-5400,N,25950,N,-0.28
07-02-2025 09:55,23692.75,-27375,2.75,31425,1125,YES,31350,N,0.45,23683.95,23692.75,07-02-2025 09:55,157.4,25125,-0.15,39975,10950,N,18900,N,-0.15,07-02-2025 09:55,211.6,14475,0.1,38625,-26175,Y,10575,N,-0.8
07-02-2025 10:00,23651.9,-7800,0.4,31650,10500,N,21075,N,-1.35,23693.8,23651.9,07-02-2025 10:00,140.1,-9825,0,40050,-61950,YES,61275,YES,-1.26,07-02-2025 10:00,235.1,9825,0.15,39975,20550,YES,-43650,YES,-0.18
