last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2024-10-24 09:30:00,135.1,5688950.0,300.0,-100.0,22225,97300.0,N,-68325.0,N,4.590000000000003
2024-10-24 09:35:00,160.4,5730125.0,50.0,-600.0,24500,-369450.0,Y,-132350.0,YES,6.849999999999994
2024-10-24 09:40:00,163.05,3806925.0,-50.0,175.0,27300,-483950.0,Y,-137375.0,YES,5.109999999999999
2024-10-24 09:45:00,165.55,2080375.0,75.0,-100.0,27500,36925.0,YES,34750.0,Y,2.0
2024-10-24 09:50:00,146.55,1990150.0,1100.0,475.0,35000,-43075.0,Y,-12600.0,YES,1.3599999999999994
2024-10-24 09:55:00,119.6,2963475.0,375.0,-975.0,36375,-7350.0,YES,18675.0,Y,0.3100000000000023
2024-10-24 10:00:00,110.7,4052300.0,825.0,-75.0,29950,100250.0,YES,108825.0,Y,-0.8900000000000006
2024-10-24 10:05:00,88.7,3997500.0,-800.0,-400.0,36100,-31500.0,Y,63575.0,N,-1.9599999999999937
2024-10-24 10:10:00,84.35,4719925.0,75.0,1175.0,35900,235200.0,YES,73450.0,N,-2.690000000000012
2024-10-24 10:15:00,94.6,4894700.0,-825.0,-1525.0,36575,89150.0,N,47750.0,N,-2.1700000000000017
2024-10-24 10:20:00,93.3,3149750.0,-875.0,25.0,32550,-1455050.0,Y,76800.0,Y,-1.0900000000000034
2024-10-24 10:25:00,88.7,3337700.0,2200.0,-925.0,41350,-14725.0,YES,151375.0,Y,-1.2199999999999989
2024-10-24 10:30:00,84.2,3506225.0,1150.0,450.0,36100,-50825.0,Y,67100.0,N,-1.2999999999999972
2024-10-24 10:35:00,82.6,3560000.0,675.0,800.0,35000,43875.0,YES,76900.0,N,-1.1400000000000006
2024-10-24 10:40:00,87.25,2689425.0,425.0,-400.0,28025,135100.0,YES,-77200.0,YES,-1.0
2024-10-24 10:45:00,90.05,3000225.0,-150.0,750.0,35275,-63925.0,Y,-67275.0,N,-0.8100000000000023
2024-10-24 10:50:00,82.95,2499525.0,-1325.0,-150.0,42250,-42300.0,YES,14700.0,Y,-0.6700000000000017
2024-10-24 10:55:00,96.65,2902500.0,75.0,25.0,39750,147400.0,YES,-72850.0,YES,-0.6099999999999994
2024-10-24 11:00:00,93.65,2919500.0,-450.0,125.0,37150,-29350.0,Y,63275.0,Y,-0.44000000000001194
2024-10-24 11:05:00,103.35,3419675.0,-375.0,825.0,38750,67450.0,YES,-137000.0,YES,-0.3399999999999892
2024-10-24 11:10:00,102.2,2122050.0,-275.0,1075.0,42225,15725.0,N,28950.0,Y,-0.15000000000000568
2024-10-24 11:15:00,102.3,2078175.0,-1250.0,725.0,45900,-13900.0,Y,-3050.0,YES,-0.12999999999999545
2024-10-24 11:20:00,100.85,1970775.0,25.0,-750.0,39675,-56950.0,Y,-263625.0,YES,-0.18999999999999773
2024-10-24 11:25:00,101.5,1738775.0,-450.0,900.0,34875,-39325.0,N,-25825.0,Y,-0.1599999999999966
2024-10-24 11:30:00,97.95,1320475.0,2975.0,1075.0,37075,83925.0,YES,-16350.0,N,-0.13000000000000966
2024-10-24 11:35:00,97.75,1341750.0,1625.0,675.0,39900,-63800.0,Y,28075.0,Y,-0.14000000000000057
2024-10-24 11:40:00,99.65,1175475.0,0.0,1225.0,39650,11775.0,YES,-20975.0,YES,-0.09999999999999432
2024-10-24 11:45:00,102.4,1389100.0,-1325.0,-100.0,37250,-2125.0,Y,-26775.0,YES,-0.06999999999999318
2024-10-24 11:50:00,106.1,1499700.0,700.0,375.0,36250,-1375.0,N,-33025.0,YES,-0.04000000000000625
2024-10-24 11:55:00,103.35,1107400.0,650.0,-500.0,42225,-48450.0,Y,27125.0,Y,-0.01999999999999602
2024-10-24 12:00:00,100.1,1027475.0,275.0,675.0,30025,-8850.0,YES,37125.0,N,-0.04000000000000625
2024-10-24 12:05:00,104.95,1093625.0,-125.0,50.0,42700,78125.0,YES,-19675.0,YES,-0.04999999999999716
2024-10-24 12:10:00,104.45,751900.0,225.0,-900.0,36700,27125.0,N,7600.0,Y,-0.030000000000001137
2024-10-24 12:15:00,100.0,1228600.0,25.0,-75.0,34650,-78075.0,Y,-16900.0,YES,-0.04999999999999716
2024-10-24 12:20:00,103.45,963100.0,1100.0,-1375.0,42300,30425.0,YES,-19375.0,YES,-0.04999999999999716
2024-10-24 12:25:00,103.65,694650.0,100.0,1550.0,36300,30650.0,N,20975.0,Y,-0.030000000000001137
2024-10-24 12:30:00,97.7,917325.0,1150.0,550.0,34950,-82725.0,Y,16350.0,N,-0.060000000000002274
2024-10-24 12:35:00,97.2,1463025.0,1250.0,-1600.0,36775,50450.0,YES,-17950.0,YES,-0.15000000000000568
2024-10-24 12:40:00,97.0,1051325.0,150.0,225.0,45450,-2525.0,Y,7700.0,Y,-0.0799999999999983
2024-10-24 12:45:00,100.1,1003725.0,-1050.0,3425.0,48525,-49825.0,Y,-19000.0,YES,-0.06999999999999318
2024-10-24 12:50:00,106.9,1653525.0,275.0,500.0,39275,34725.0,YES,-67200.0,YES,-0.05000000000001137
2024-10-24 12:55:00,103.95,1050500.0,-1175.0,-2625.0,39850,-35525.0,Y,55975.0,Y,-0.029999999999986926
2024-10-24 13:00:00,100.85,897425.0,-25.0,-1350.0,43575,-24725.0,N,33625.0,N,-0.04000000000000625
2024-10-24 13:05:00,99.95,957000.0,525.0,-2225.0,41800,-2325.0,YES,14825.0,N,-0.04999999999999716
2024-10-24 13:10:00,101.4,1079500.0,350.0,650.0,38450,-38600.0,Y,-11025.0,YES,-0.03999999999999204
2024-10-24 13:15:00,97.8,982700.0,700.0,1875.0,37725,-42550.0,Y,4475.0,N,-0.060000000000002274
2024-10-24 13:20:00,99.0,593150.0,-2125.0,125.0,36400,8150.0,YES,5500.0,N,-0.04000000000000625
2024-10-24 13:25:00,99.6,517125.0,1775.0,-100.0,40550,-43650.0,Y,-26950.0,YES,-0.030000000000001137
2024-10-24 13:30:00,101.3,931250.0,1025.0,-950.0,39200,16275.0,YES,30300.0,Y,-0.03999999999999204
2024-10-24 13:35:00,100.3,1274800.0,2025.0,-3050.0,37875,-277525.0,Y,-42025.0,YES,-0.04000000000000625
2024-10-24 13:40:00,102.15,676400.0,75.0,-2250.0,44275,5075.0,YES,-15200.0,Y,-0.030000000000001137
2024-10-24 13:45:00,98.15,799650.0,-1300.0,-450.0,47950,-197825.0,Y,7525.0,Y,-0.03999999999999204
2024-10-24 13:50:00,99.2,860450.0,-450.0,-1800.0,37225,18300.0,YES,15100.0,N,-0.05000000000001137
2024-10-24 13:55:00,101.5,921000.0,-475.0,-675.0,41400,-227850.0,Y,-48975.0,YES,-0.03999999999999204
2024-10-24 14:00:00,106.85,1267700.0,875.0,-25.0,34275,8800.0,YES,-73850.0,YES,-0.030000000000001137
2024-10-24 14:05:00,103.55,846875.0,100.0,1950.0,38300,-59475.0,Y,62325.0,Y,-0.010000000000005116
2024-10-24 14:10:00,103.7,659025.0,675.0,-850.0,37800,24275.0,YES,-14475.0,YES,-0.01999999999999602
