last_traded_time,bid_ask_diff,bid_ask_pr_diff
2025-01-06 09:15:00,-675,0.09999999999999432
2025-01-06 09:20:00,1650,-0.15000000000000568
2025-01-06 09:25:00,-70275,-0.05000000000001137
2025-01-06 09:30:00,-15150,-0.20000000000001705
2025-01-06 09:35:00,-5400,-2.842170943040401e-14
2025-01-06 09:40:00,-2175,-0.04999999999998295
2025-01-06 09:45:00,-37650,-0.09999999999999432
2025-01-06 09:50:00,-24075,-0.3499999999999943
2025-01-06 09:55:00,-27000,-0.30000000000001137
2025-01-06 10:00:00,-32700,-0.05000000000001137
2025-01-06 10:05:00,-53250,0.05000000000001137
2025-01-06 10:10:00,-51825,-0.05000000000001137
2025-01-06 10:15:00,-64200,0.05000000000001137
2025-01-06 10:20:00,-29475,-0.29999999999998295
2025-01-06 10:25:00,6075,-0.14999999999997726
2025-01-06 10:30:00,26850,-2.842170943040401e-14
2025-01-06 10:35:00,-4650,-0.4500000000000455
2025-01-06 10:40:00,23475,-0.1500000000000341
2025-01-06 10:45:00,5550,-0.30000000000001137
2025-01-06 10:50:00,-975,-0.25
2025-01-06 10:55:00,-12225,-0.049999999999954525
2025-01-06 11:00:00,-17025,0.5000000000000568
2025-01-06 11:05:00,4500,-0.3499999999999659
2025-01-06 11:10:00,-1575,-0.4000000000000341
2025-01-06 11:15:00,-1350,-0.25000000000005684
2025-01-06 11:20:00,6825,0.19999999999998863
2025-01-06 11:25:00,-2100,-0.05000000000001137
2025-01-06 11:30:00,-12150,0.1500000000000341
2025-01-06 11:35:00,5400,-0.4500000000000455
2025-01-06 11:40:00,-13650,-0.8000000000000114
2025-01-06 11:45:00,-8325,-0.4000000000000341
2025-01-06 11:50:00,14850,0.39999999999997726
2025-01-06 11:55:00,-9825,0.0
2025-01-06 12:00:00,-6825,0.049999999999954525
2025-01-06 12:05:00,10800,-0.049999999999954525
2025-01-06 12:10:00,-13050,-0.25000000000005684
2025-01-06 12:15:00,40875,-0.30000000000001137
2025-01-06 12:20:00,-30375,-5.684341886080802e-14
2025-01-06 12:25:00,15300,-0.3499999999999659
2025-01-06 12:30:00,1650,-0.4000000000000341
2025-01-06 12:35:00,-18825,-0.1999999999999318
2025-01-06 12:40:00,7875,0.0999999999999659
2025-01-06 12:45:00,29325,-0.6000000000000796
2025-01-06 12:50:00,9450,0.0
2025-01-06 12:55:00,-10200,0.44999999999998863
2025-01-06 13:00:00,5775,0.9500000000000455
2025-01-06 13:05:00,13500,0.0
2025-01-06 13:10:00,6600,0.25
2025-01-06 13:15:00,-12450,0.05000000000001137
2025-01-06 13:20:00,375,0.5500000000000114
2025-01-06 13:25:00,5850,-0.25000000000005684
2025-01-06 13:30:00,-34725,0.10000000000002274
2025-01-06 13:35:00,18300,-0.25
2025-01-06 13:40:00,2025,0.19999999999998863
2025-01-06 13:45:00,-20475,0.20000000000004547
2025-01-06 13:50:00,-6525,-0.1999999999999318
2025-01-06 13:55:00,-9000,0.25
2025-01-06 14:00:00,8025,0.30000000000001137
2025-01-06 14:05:00,21000,0.3999999999999204
2025-01-06 14:10:00,7575,0.14999999999997726
2025-01-06 14:15:00,8400,-0.24999999999994316
2025-01-06 14:20:00,22200,-0.6000000000000796
2025-01-06 14:25:00,21525,-0.2500000000001137
2025-01-06 14:30:00,25650,-0.1999999999999318
2025-01-06 14:35:00,1875,0.14999999999997726
2025-01-06 14:40:00,27675,-0.1999999999999318
2025-01-06 14:45:00,-3600,0.39999999999997726
2025-01-06 14:50:00,-18675,-1.1000000000000227
2025-01-06 14:55:00,-8475,0.6500000000000341
2025-01-06 15:00:00,-11400,0.6499999999999773
2025-01-06 15:05:00,-5250,-0.05000000000006821
2025-01-06 15:10:00,1125,-0.39999999999997726
2025-01-06 15:15:00,-3975,-0.6999999999999318
2025-01-06 15:20:00,30750,-0.4000000000000341
2025-01-06 15:25:00,19200,0.35000000000002274
