last_traded_time,bid_ask_diff,bid_ask_pr_diff
2024-11-11 09:15:00,8050,0.05000000000001137
2024-11-11 09:20:00,775,1.4210854715202004e-14
2024-11-11 09:25:00,1450,-0.05000000000001137
2024-11-11 09:30:00,1150,-0.15000000000000568
2024-11-11 09:35:00,1775,0.0
2024-11-11 09:40:00,1700,-0.09999999999999432
2024-11-11 09:45:00,1875,-0.15000000000000568
2024-11-11 09:50:00,2350,-0.30000000000001137
2024-11-11 09:55:00,1475,0.0
2024-11-11 10:00:00,1475,0.0
2024-11-11 10:05:00,800,-0.24999999999997158
2024-11-11 10:10:00,3575,0.14999999999997726
2024-11-11 10:15:00,1100,0.0
2024-11-11 10:20:00,4675,-0.04999999999998295
2024-11-11 10:25:00,3850,0.0
2024-11-11 10:30:00,1725,-0.09999999999999432
2024-11-11 10:35:00,2975,-0.2500000000000284
2024-11-11 10:40:00,4625,0.0
2024-11-11 10:45:00,3325,-0.04999999999998295
2024-11-11 10:50:00,2025,-0.14999999999997726
2024-11-11 10:55:00,3100,-0.15000000000000568
2024-11-11 11:00:00,1450,-0.15000000000000568
2024-11-11 11:05:00,2100,-0.20000000000001705
2024-11-11 11:10:00,9000,-0.14999999999997726
2024-11-11 11:15:00,1625,0.0
2024-11-11 11:20:00,1550,0.1500000000000341
2024-11-11 11:25:00,4350,0.0999999999999659
2024-11-11 11:30:00,1525,0.10000000000002274
2024-11-11 11:35:00,6000,0.0
2024-11-11 11:40:00,1575,-0.5
2024-11-11 11:45:00,4925,0.25
2024-11-11 11:50:00,1950,0.05000000000003979
2024-11-11 11:55:00,2025,-0.05000000000001137
2024-11-11 12:00:00,5800,-0.4000000000000341
2024-11-11 12:05:00,7150,-0.19999999999998863
2024-11-11 12:10:00,1450,-0.04999999999998295
2024-11-11 12:15:00,1400,-0.05000000000001137
2024-11-11 12:20:00,1000,0.09999999999999432
2024-11-11 12:25:00,3975,-0.19999999999998863
2024-11-11 12:30:00,1825,-0.09999999999999432
2024-11-11 12:35:00,1275,0.04999999999998295
2024-11-11 12:40:00,2800,0.05000000000001137
2024-11-11 12:45:00,3850,0.05000000000001137
2024-11-11 12:50:00,775,0.05000000000001137
2024-11-11 12:55:00,3625,0.0
2024-11-11 13:00:00,1725,0.09999999999999432
2024-11-11 13:05:00,4800,-0.14999999999997726
2024-11-11 13:10:00,475,0.0
2024-11-11 13:15:00,2650,0.05000000000001137
2024-11-11 13:20:00,1025,0.25
2024-11-11 13:25:00,1775,-0.04999999999998295
2024-11-11 13:30:00,725,-0.14999999999997726
2024-11-11 13:35:00,2400,-0.10000000000002274
2024-11-11 13:40:00,1550,-0.09999999999999432
2024-11-11 13:45:00,1100,0.04999999999998295
2024-11-11 13:50:00,1700,0.0
2024-11-11 13:55:00,8125,0.05000000000001137
2024-11-11 14:00:00,1275,2.842170943040401e-14
2024-11-11 14:05:00,4525,-0.09999999999999432
2024-11-11 14:10:00,2800,0.09999999999999432
2024-11-11 14:15:00,1375,-0.15000000000000568
2024-11-11 14:20:00,4850,-0.14999999999997726
2024-11-11 14:25:00,4375,-0.19999999999998863
2024-11-11 14:30:00,11000,0.09999999999999432
2024-11-11 14:35:00,7050,0.0
2024-11-11 14:40:00,1375,2.842170943040401e-14
2024-11-11 14:45:00,4475,0.0
2024-11-11 14:50:00,2725,-0.04999999999998295
2024-11-11 14:55:00,6250,-0.25
2024-11-11 15:00:00,1750,2.842170943040401e-14
2024-11-11 15:05:00,1675,2.842170943040401e-14
2024-11-11 15:10:00,10675,0.1500000000000341
