last_traded_time,ltp,tot_buy_qty,tot_sell_qty
24-10-2024 09:49:30,24413.0,180850,287900
24-10-2024 09:49:40,24411.75,176200,288550
24-10-2024 09:49:50,24407.15,176675,288850
24-10-2024 09:50:00,24409.0,177925,289250
24-10-2024 09:50:10,24414.95,179550,288225
24-10-2024 09:50:20,24410.4,179650,289725
24-10-2024 09:50:30,24414.85,180525,289375
24-10-2024 09:50:40,24414.95,181550,290275
24-10-2024 09:50:50,24415.3,178050,290350
24-10-2024 09:51:00,24407.35,177750,293200
24-10-2024 09:51:10,24404.6,182775,291150
24-10-2024 09:51:20,24411.6,186200,289000
24-10-2024 09:51:30,24410.0,187675,290125
24-10-2024 09:51:40,24415.0,187800,288975
24-10-2024 09:51:50,24410.0,187575,289100
24-10-2024 09:52:00,24412.95,184150,291175
24-10-2024 09:52:10,24410.0,187725,289375
24-10-2024 09:52:20,24407.4,188250,290025
24-10-2024 09:52:30,24415.0,187175,291050
24-10-2024 09:52:40,24414.8,192850,289250
24-10-2024 09:52:50,24414.55,189550,289550
24-10-2024 09:53:00,24419.7,191300,289550
24-10-2024 09:53:10,24420.0,192725,290375
24-10-2024 09:53:20,24433.7,193175,287575
24-10-2024 09:53:30,24433.15,191650,286650
24-10-2024 09:53:40,24432.8,192400,289600
24-10-2024 09:53:50,24427.7,188425,290275
24-10-2024 09:54:00,24427.4,191875,291975
24-10-2024 09:54:10,24430.0,198575,286975
24-10-2024 09:54:20,24432.75,198000,291650
24-10-2024 09:54:30,24428.3,200250,293900
24-10-2024 09:54:40,24428.0,199900,294950
24-10-2024 09:54:50,24430.0,201750,294850
24-10-2024 09:55:00,24431.55,202025,295875
24-10-2024 09:55:10,24433.0,203500,294125
24-10-2024 09:55:20,24433.0,204625,294700
24-10-2024 09:55:30,24434.85,204650,293825
24-10-2024 09:55:40,24430.0,200800,296625
24-10-2024 09:55:50,24435.35,204850,295475
24-10-2024 09:56:00,24438.35,201000,296825
24-10-2024 09:56:10,24439.95,195825,291525
24-10-2024 09:56:20,24443.4,202075,291250
24-10-2024 09:56:30,24443.45,200775,290350
24-10-2024 09:56:40,24441.75,196775,295250
24-10-2024 09:56:50,24444.0,200200,291125
24-10-2024 09:57:00,24453.0,201150,289975
24-10-2024 09:57:10,24450.0,198450,292500
24-10-2024 09:57:20,24446.0,196600,294925
24-10-2024 09:57:30,24440.0,196400,293025
24-10-2024 09:57:40,24441.35,195525,294050
24-10-2024 09:57:50,24436.35,197525,297175
24-10-2024 09:58:00,24442.0,199200,320675
24-10-2024 09:58:10,24447.85,201000,320700
24-10-2024 09:58:20,24445.7,201750,322150
24-10-2024 09:58:30,24445.95,201400,319100
24-10-2024 09:58:40,24450.1,202175,316100
24-10-2024 09:58:50,24448.7,201050,318125
24-10-2024 09:59:00,24449.15,202125,317150
24-10-2024 09:59:10,24455.0,207675,316300
24-10-2024 09:59:20,24453.45,205050,319150
24-10-2024 09:59:30,24451.5,202925,320175
24-10-2024 09:59:40,24456.65,206675,321175
24-10-2024 09:59:50,24457.05,208225,323375
24-10-2024 10:00:00,24456.95,203375,319075
24-10-2024 10:00:10,24460.1,207725,317175
24-10-2024 10:00:20,24458.15,206275,317925
24-10-2024 10:00:30,24455.0,205975,320275
24-10-2024 10:00:40,24456.9,205375,318650
24-10-2024 10:00:50,24460.0,208325,319325
24-10-2024 10:01:00,24460.0,208275,320500
24-10-2024 10:01:10,24460.0,208675,319900
24-10-2024 10:01:20,24457.05,208300,318375
24-10-2024 10:01:30,24464.0,209825,316825
24-10-2024 10:01:40,24461.2,207200,316575
24-10-2024 10:01:50,24472.0,209025,316225
24-10-2024 10:02:00,24474.95,208425,312300
24-10-2024 10:02:10,24474.0,208125,310625
24-10-2024 10:02:20,24466.15,203725,314100
24-10-2024 10:02:30,24465.05,208625,320575
24-10-2024 10:02:40,24468.0,207075,322725
24-10-2024 10:02:50,24464.7,208150,324175
24-10-2024 10:03:00,24461.2,207825,326050
24-10-2024 10:03:10,24452.6,208800,324775
24-10-2024 10:03:20,24452.0,208800,328050
24-10-2024 10:03:30,24450.0,208750,327300
24-10-2024 10:03:40,24450.5,208775,327750
24-10-2024 10:03:50,24450.0,207625,330500
24-10-2024 10:04:00,24454.75,208300,331350
24-10-2024 10:04:10,24455.65,212525,328175
24-10-2024 10:04:20,24460.0,211725,323775
24-10-2024 10:04:30,24465.0,212525,324100
24-10-2024 10:04:40,24464.7,211925,327700
24-10-2024 10:04:50,24462.0,209275,326550
24-10-2024 10:05:00,24461.75,211750,324850
24-10-2024 10:05:10,24462.85,212350,331625
24-10-2024 10:05:20,24465.1,212400,333225
24-10-2024 10:05:30,24461.1,210850,332225
24-10-2024 10:05:40,24466.45,213125,328350
24-10-2024 10:05:50,24465.0,214475,331725
24-10-2024 10:06:00,24465.0,214300,328900
24-10-2024 10:06:10,24461.15,212875,333375
24-10-2024 10:06:20,24464.35,211025,337075
24-10-2024 10:06:30,24467.0,212625,333975
24-10-2024 10:06:40,24467.75,212700,332100
24-10-2024 10:06:50,24465.1,212350,335300
24-10-2024 10:07:00,24468.0,214125,329350
24-10-2024 10:07:10,24467.95,213300,331150
24-10-2024 10:07:20,24465.5,213950,333025
24-10-2024 10:07:30,24464.55,213275,336975
24-10-2024 10:07:40,24472.0,214250,332800
24-10-2024 10:07:50,24474.8,213200,331950
24-10-2024 10:08:00,24474.75,214125,332800
24-10-2024 10:08:10,24465.0,211300,335200
24-10-2024 10:08:20,24468.95,213900,333200
24-10-2024 10:08:30,24485.9,218100,328925
24-10-2024 10:08:40,24488.8,215675,325500
24-10-2024 10:08:50,24489.3,217700,326300
24-10-2024 10:09:00,24497.7,216975,294300
24-10-2024 10:09:10,24496.15,217125,293375
24-10-2024 10:09:20,24497.0,215575,292175
24-10-2024 10:09:30,24497.25,216000,294000
24-10-2024 10:09:40,24496.95,222275,293225
24-10-2024 10:09:50,24495.95,223325,296900
24-10-2024 10:10:00,24499.2,223150,292975
24-10-2024 10:10:10,24492.65,220700,295700
24-10-2024 10:10:20,24493.9,216475,295450
24-10-2024 10:10:30,24492.7,218825,295625
24-10-2024 10:10:40,24495.35,208075,298300
24-10-2024 10:10:50,24493.0,209675,299425
24-10-2024 10:11:00,24495.0,212325,297600
24-10-2024 10:11:10,24492.05,212175,298550
24-10-2024 10:11:20,24489.0,207050,302875
24-10-2024 10:11:30,24483.15,210450,300075
24-10-2024 10:11:40,24480.25,208600,306750
24-10-2024 10:11:50,24481.55,208800,308775
24-10-2024 10:12:00,24483.8,209675,304800
24-10-2024 10:12:10,24485.65,210475,306075
24-10-2024 10:12:20,24488.1,211425,306350
24-10-2024 10:12:30,24490.0,213625,305100
24-10-2024 10:12:40,24495.35,212425,304350
24-10-2024 10:12:50,24490.5,211025,304375
24-10-2024 10:13:00,24496.0,213500,305225
24-10-2024 10:13:10,24499.45,209600,299550
24-10-2024 10:13:20,24490.2,210175,305225
24-10-2024 10:13:30,24499.0,213050,303275
24-10-2024 10:13:40,24497.0,213600,305300
24-10-2024 10:13:50,24493.8,211675,307225
24-10-2024 10:14:00,24499.3,215300,302950
24-10-2024 10:14:10,24502.95,212450,298000
24-10-2024 10:14:20,24496.15,209400,304175
24-10-2024 10:14:30,24498.25,207225,302950
24-10-2024 10:14:40,24498.65,210575,303425
24-10-2024 10:14:50,24495.85,211075,300200
24-10-2024 10:15:00,24499.7,211050,300725
24-10-2024 10:15:10,24498.4,208000,305925
24-10-2024 10:15:20,24500.0,211925,301950
24-10-2024 10:15:30,24506.5,210850,304475
24-10-2024 10:15:40,24494.65,203375,307125
24-10-2024 10:15:50,24500.0,209875,303500
24-10-2024 10:16:00,24497.0,209750,302425
24-10-2024 10:16:10,24495.95,208950,304525
24-10-2024 10:16:20,24492.0,209550,305775
24-10-2024 10:16:30,24495.4,210100,303725
24-10-2024 10:16:40,24495.95,209600,307600
24-10-2024 10:16:50,24498.0,212075,308375
24-10-2024 10:17:00,24494.85,207875,310525
24-10-2024 10:17:10,24484.25,207425,309900
24-10-2024 10:17:20,24488.0,207900,313000
24-10-2024 10:17:30,24484.25,209325,310675
24-10-2024 10:17:40,24485.65,208100,310075
24-10-2024 10:17:50,24482.2,208100,309825
24-10-2024 10:18:00,24480.15,207700,310275
24-10-2024 10:18:10,24475.0,204150,310050
24-10-2024 10:18:20,24475.0,201975,311425
24-10-2024 10:18:30,24468.45,202000,313400
24-10-2024 10:18:40,24473.05,204575,311325
24-10-2024 10:18:50,24478.35,206225,312050
24-10-2024 10:19:00,24478.15,208250,309750
24-10-2024 10:19:10,24480.0,207625,310400
24-10-2024 10:19:20,24476.45,201375,311975
24-10-2024 10:19:30,24477.55,205400,310900
24-10-2024 10:19:40,24483.85,206650,310600
24-10-2024 10:19:50,24478.0,206575,312725
24-10-2024 10:20:00,24480.0,206300,312275
24-10-2024 10:20:10,24478.0,205925,312350
24-10-2024 10:20:20,24485.0,210650,312100
24-10-2024 10:20:30,24485.0,211125,312175
24-10-2024 10:20:40,24475.0,206100,314400
24-10-2024 10:20:50,24480.2,207825,311025
24-10-2024 10:21:00,24486.7,208400,309800
24-10-2024 10:21:10,24487.9,208275,310475
24-10-2024 10:21:20,24489.05,209450,310975
24-10-2024 10:21:30,24487.6,208550,315600
24-10-2024 10:21:40,24482.6,208475,315775
24-10-2024 10:21:50,24482.7,207275,316300
24-10-2024 10:22:00,24478.0,206625,316925
24-10-2024 10:22:10,24480.05,208650,316000
24-10-2024 10:22:20,24478.0,205350,316600
24-10-2024 10:22:30,24480.55,208300,315675
24-10-2024 10:22:40,24477.55,208550,317075
24-10-2024 10:22:50,24479.2,209825,317775
24-10-2024 10:23:00,24475.0,204750,318525
24-10-2024 10:23:10,24474.1,208700,316325
24-10-2024 10:23:20,24473.15,209375,317525
24-10-2024 10:23:30,24473.7,208900,318000
24-10-2024 10:23:40,24475.95,209425,318150
24-10-2024 10:23:50,24475.45,208625,317650
24-10-2024 10:24:00,24472.75,209325,318375
24-10-2024 10:24:10,24478.4,210225,316675
24-10-2024 10:24:20,24476.25,209950,317700
24-10-2024 10:24:30,24479.65,210775,316800
24-10-2024 10:24:40,24482.8,211150,316075
24-10-2024 10:24:50,24481.7,209575,316600
24-10-2024 10:25:00,24476.0,209900,316500
24-10-2024 10:25:10,24482.85,209925,316725
24-10-2024 10:25:20,24485.5,210150,316000
24-10-2024 10:25:30,24482.35,208500,316475
24-10-2024 10:25:40,24480.95,207150,316575
24-10-2024 10:25:50,24477.05,208400,316475
24-10-2024 10:26:00,24478.0,209725,317950
24-10-2024 10:26:10,24473.0,208550,316375
24-10-2024 10:26:20,24471.0,208600,323500
24-10-2024 10:26:30,24477.4,209825,316850
24-10-2024 10:26:40,24476.6,211225,318600
24-10-2024 10:26:50,24480.0,211825,316475
24-10-2024 10:27:00,24481.55,212425,316475
24-10-2024 10:27:10,24481.55,211775,315950
24-10-2024 10:27:20,24485.5,213525,316450
24-10-2024 10:27:30,24488.0,214850,315525
24-10-2024 10:27:40,24483.1,213600,313675
24-10-2024 10:27:50,24490.0,212925,312375
24-10-2024 10:28:00,24487.35,212050,316925
24-10-2024 10:28:10,24482.45,212650,313825
24-10-2024 10:28:20,24488.15,212625,312900
24-10-2024 10:28:30,24486.85,212225,314400
24-10-2024 10:28:40,24489.2,214425,313300
24-10-2024 10:28:50,24493.55,214525,314450
24-10-2024 10:29:00,24493.9,214050,315025
24-10-2024 10:29:10,24490.0,213250,314450
24-10-2024 10:29:20,24490.0,211850,316875
24-10-2024 10:29:30,24488.0,212000,316275
24-10-2024 10:29:40,24490.2,211950,317100
24-10-2024 10:29:50,24486.85,212300,316600
24-10-2024 10:30:00,24488.55,212275,318925
24-10-2024 10:30:10,24491.25,213025,316700
24-10-2024 10:30:20,24485.15,212775,318850
24-10-2024 10:30:30,24486.25,210825,320575
24-10-2024 10:30:40,24482.0,210750,320350
24-10-2024 10:30:50,24486.9,211700,318150
24-10-2024 10:31:00,24477.2,209350,323575
24-10-2024 10:31:10,24483.2,211675,317400
24-10-2024 10:31:20,24483.55,211000,315425
24-10-2024 10:31:30,24483.05,212225,315200
24-10-2024 10:31:40,24484.7,214150,314750
24-10-2024 10:31:50,24477.1,212750,315875
24-10-2024 10:32:00,24475.25,213925,315225
24-10-2024 10:32:10,24474.45,212475,315775
24-10-2024 10:32:20,24472.45,211850,315725
24-10-2024 10:32:30,24477.55,214625,316225
24-10-2024 10:32:40,24475.45,214875,316025
