last_traded_time,bid_ask_diff,bid_ask_pr_diff,bid_ask_diff,bid_ask_pr_diff,bid_ask_diff,bid_ask_pr_diff
17-12-2024 09:15,12900,2.3,1450,0,11150,-0.05
17-12-2024 09:20,33475,1.2,2075,-1.42E-14,40200,-2.84E-14
17-12-2024 09:25,29650,2.6,10825,1.42E-14,-22050,-0.05
17-12-2024 09:30,-20425,-2.25,1375,0,-71400,-0.15
17-12-2024 09:35,-16500,-0.05,1925,0,-23425,-0.2
17-12-2024 09:40,-69050,0.9,25850,-0.05,52350,0.2
17-12-2024 09:45,27200,0.55,12075,-0.05,425,-0.35
17-12-2024 09:50,-4250,-0.9,5100,-0.1,9500,-0.05
17-12-2024 09:55,-42100,0.6,4175,0,-14625,0.05
17-12-2024 10:00,15625,2.8,2550,0.05,78750,-0.1
17-12-2024 10:05,-8300,-1.4,7800,0,23625,0.1
17-12-2024 10:10,33475,-0.65,3375,-0.05,-14575,0.25
17-12-2024 10:15,28075,0.05,3475,-0.1,21925,0.25
17-12-2024 10:20,21875,0.2,7575,-0.15,7300,-0.45
17-12-2024 10:25,43750,-1.05,36250,-0.05,28800,0.45
17-12-2024 10:30,26525,-0.1,16725,-7.11E-15,13700,-0.15
17-12-2024 10:35,-14450,-0.3,4425,0.1,-6400,0.1
17-12-2024 10:40,-76200,2.6,3650,-0.05,-23450,-0.2
17-12-2024 10:45,4150,0.65,4400,-0.1,3325,0.1
17-12-2024 10:50,-17675,-0.3,3925,-0.05,31075,-0.4
17-12-2024 10:55,-43400,-0.55,18000,-0.05,32550,0.05
17-12-2024 11:00,25400,3.75,4450,0,-8350,0.1
17-12-2024 11:05,-96800,2.85,5100,0.05,19825,-0.25
17-12-2024 11:10,-13075,0.3,9875,0.05,20050,-0.4
17-12-2024 11:15,3175,-1.15,2925,-0.05,42575,-0.05
17-12-2024 11:20,10150,2.05,6475,-0.1,-78550,0.15
17-12-2024 11:25,48325,-2.05,7000,-0.05,-20800,-0.05
17-12-2024 11:30,73925,3.65,4125,-7.11E-15,-11725,-0.4
17-12-2024 11:35,3300,-0.4,13000,7.11E-15,28450,-0.05
17-12-2024 11:40,1225,-0.65,3950,0,3375,0.3
17-12-2024 11:45,18975,-0.6,17475,-0.05,56450,0.15
17-12-2024 11:50,-26425,-2.65,3775,-0.05,31550,-0.1
17-12-2024 11:55,-20600,-0.8,4000,-0.05,7950,0.1
17-12-2024 12:00,-21050,-0.3,4175,7.11E-15,-675,-0.45
17-12-2024 12:05,-51825,2.6,25125,0.05,34900,0.35
17-12-2024 12:10,-42825,-0.55,10950,0,75,-0.05
17-12-2024 12:15,-69175,1.2,4800,0,950,-0.2
17-12-2024 12:20,-30950,2.05,18625,-0.05,-7350,0.05
17-12-2024 12:25,-20275,-3.2,4450,0.05,-10900,0.15
17-12-2024 12:30,26475,3.3,5575,0.05,-17925,0.15
17-12-2024 12:35,-17250,-0.15,3950,-0.05,-32525,-0.15
17-12-2024 12:40,20450,0.85,4250,0,-5400,-0.05
17-12-2024 12:45,-7950,3.05,25325,-0.05,-3775,0.3
17-12-2024 12:50,28350,0.65,6150,0.05,-6175,-0.1
17-12-2024 12:55,41075,-0.4,4925,-0.1,24550,-0.15
17-12-2024 13:00,7350,1.45,4825,7.11E-15,-15175,-0.2
17-12-2024 13:05,66500,3.1,7275,0.1,-3850,-0.05
17-12-2024 13:10,12900,1.3,6575,0,12250,-0.3
17-12-2024 13:15,114625,0.75,11725,-0.05,13500,-0.35
17-12-2024 13:20,55700,1.4,5325,0.05,-27550,-0.05
17-12-2024 13:25,-26625,-0.25,6175,-0.05,-6650,-0.45
17-12-2024 13:30,21375,-3.4,5250,0,-14575,-0.35
17-12-2024 13:35,-20925,0.2,10050,7.11E-15,30425,-0.15
17-12-2024 13:40,1600,-1.65,30325,-0.05,-3100,0.05
17-12-2024 13:45,17875,-0.85,6475,0,11825,-0.4
17-12-2024 13:50,-45925,1.15,6900,0,13400,0.1
17-12-2024 13:55,95275,0.8,5150,0.05,-8975,0.15
17-12-2024 14:00,-19850,0.15,9650,0.05,22025,-0.05
17-12-2024 14:05,30725,1.4,16625,0,-25475,0.05
17-12-2024 14:10,21025,-0.3,7325,-0.05,8800,-0.15
17-12-2024 14:15,-9675,-2.35,21375,-0.05,24225,-0.25
17-12-2024 14:20,88350,-0.2,43200,-0.05,-10000,0
17-12-2024 14:25,-24300,-0.75,10000,-3.55E-15,7675,-0.2
17-12-2024 14:30,-50625,-1.8,13200,0,-26200,-0.4
17-12-2024 14:35,7875,1.8,11775,-3.55E-15,-22675,0.05
17-12-2024 14:40,29425,4.95,9375,-3.55E-15,-15425,0.05
17-12-2024 14:45,-4275,-0.35,10375,-3.55E-15,-17550,0.15
17-12-2024 14:50,32825,-0.5,11200,-3.55E-15,79200,-0.2
17-12-2024 14:55,-455450,0.7,10775,-0.05,-17250,0.3
17-12-2024 15:00,26975,-2.65,10550,-0.05,21050,-0.05
17-12-2024 15:05,19650,-0.8,11925,0,-23125,0.3
17-12-2024 15:10,68100,0.85,10150,-3.55E-15,800,-0.1
17-12-2024 15:15,-29775,0.2,11850,0,30250,-0.1
17-12-2024 15:20,-97475,0.55,10800,3.55E-15,2950,-0.2
17-12-2024 15:25,39250,3.5,7700,0.1,-152050,-0.05
