last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
03-12-2024 14:10,-10,72875,-150,1225,-6.55,-9.1,17875,675,N,7050,N,1.32,24584,24574,-5.15,1850625,475,-150,-4.3,-4.25,24175,-25500,36225,0.3,2.4,2119250,1125,-400,2.2,2.25,33900,1250,-60675,-0.45,-1.4,26010,30,-30,-11.4,-16.5,10500,45,255,2.63
03-12-2024 14:15,12.5,71700,-100,-650,13.5,13,16675,4600,N,-5450,Y,1.29,24575,24587.5,6.55,1408425,-16725,275,6,6,26725,-2700,-33525,0.22,-4.45,1365800,-250,-750,-4.3,-4.35,34700,34325,23100,-0.27,27.15,17145,-30,3255,37.05,35.7,13080,1635,-1800,1.8
03-12-2024 14:20,-4.75,60975,-25,-25,-10.1,-5,13875,725,YES,-1950,N,1.08,24587.45,24582.7,-3.6,1797700,-5475,-200,-3.45,-3.35,26150,-16800,5700,0.3,1.05,2035575,1175,2050,1.1,1.05,35925,32000,-21350,-0.44,5.85,37455,0,-3210,14.4,8.55,9285,-7800,-11730,4.58
03-12-2024 14:25,-2.8,41225,-75,575,2.55,-2.8,15200,-6225,YES,1825,N,0.63,24582.7,24579.9,-0.9,1238125,-50,75,-0.5,-0.35,24600,-68975,36450,0.16,-0.1,1431125,-700,-625,0.2,0.2,31100,-46050,19925,-0.26,9.75,9360,-210,270,9.8,10.75,6825,-1350,-2085,1.06
03-12-2024 14:30,-16.9,41800,-225,100,-18.95,-16.9,13050,11175,N,2275,N,0.61,24579.95,24563.05,-10.95,2180775,-100,250,-9.9,-10,27775,-182150,-14650,0.24,5.7,1774000,-575,-25,5.3,5.3,32725,54225,-114875,-0.3,-10,16110,315,315,-10,-6.7,11235,-3675,3330,1.97
03-12-2024 14:35,0.25,101275,1025,0,0.45,0.1,18250,15650,N,-425,Y,0.98,24560.15,24560.4,3.15,2581475,25,-500,2.8,2.85,25675,169975,-45875,0.2,-2.15,3959650,-250,-650,-1.3,-1.3,31950,-112750,63250,-0.49,-13.25,18150,-375,-615,-16.6,-15.65,8985,1845,-2910,1.64
03-12-2024 14:40,0.85,78350,-75,850,1.05,1.05,19150,800,YES,4725,N,1.03,24560.4,24561.25,-2.05,2437925,300,150,-2.2,-2.1,27950,-44150,41625,0.26,2.85,2883600,125,1625,2.55,2.55,34175,98425,-39625,-0.45,2.7,14730,15,600,6.9,7.25,9390,780,8070,1.49
03-12-2024 14:45,3.1,39425,100,-150,4.45,3.9,15275,-19075,YES,-375,Y,0.41,24561.45,24564.55,3.4,1100950,500,25,4.05,4.1,27025,43100,-125,0.1,-2.25,1763725,-200,350,-2.65,-2.65,36150,-88275,63525,-0.22,-5.9,12990,60,-15,-5.8,-1.95,12630,-2145,540,1.2
03-12-2024 14:50,0.2,41375,250,-300,-1.15,-0.95,14925,7725,Y,7825,N,0.46,24564.55,24564.75,-0.55,1439225,-25,75,-0.95,-0.85,25750,-36475,7075,0.14,-0.65,1795300,225,-8825,-0.3,-0.3,34675,-25450,8200,-0.24,-1,15405,-30,0,3.9,11.25,11415,19545,1200,1.47
03-12-2024 14:55,-6.1,52925,-575,-350,-7,-6.35,14250,7925,N,-2350,Y,0.48,24564.75,24558.65,-4.1,1900175,-150,50,-3.95,-3.95,27425,-11425,-140100,0.12,2.3,2155625,-1275,-4400,2.2,2.1,29575,-5550,-119125,-0.22,-10.1,14700,480,-15,-14.05,-21.4,10395,8220,-7470,1.24
03-12-2024 15:00,10.3,61825,175,-75,10.3,9.45,17975,7900,N,-9525,Y,0.66,24557.75,24568.05,3.45,1874750,-150,125,3,3.05,27125,13650,-26575,0.16,-3.6,2244825,-375,300,-3.55,-3.6,32550,-8025,82075,-0.28,-13.55,23775,-435,-15,-15.9,-16.55,6540,-1020,6000,1.8
03-12-2024 15:05,-8.15,43400,25,1925,-10.7,-8.15,14325,3550,N,-13075,Y,0.4,24568.05,24559.9,-5.75,1256675,-100,-200,-5.5,-5.55,27650,-29825,27800,0.08,2.55,1567825,-50,-625,2.4,2.4,33900,-54175,-48450,-0.17,-66.05,45150,75,735,-59.25,-65.55,9855,-4200,-4680,1.87
03-12-2024 15:10,-7,66775,-225,-1875,-5.45,-5.05,16650,-226500,YES,-116200,Y,0.54,24560,24553,-4.2,1528400,50,75,-3.65,-3.85,24425,-70400,-49600,0.08,1.45,1970375,200,375,0.55,0.6,35400,17775,-103550,-0.2,6.25,37335,45,-480,8.1,13.75,8610,3555,-2670,1.12
