last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
13-05-2025 09:15,-91.4,-88.1,-89.5,135000,-698.3,27075,-12600,N,-25125,N,-25.47,25031.2,24940.6,-42.9,-42.4,-42.6,-1725,-147.7,33300,123375,N,158625,N,-9.14,47.2,47,47.4,31125,-142.85,34200,175275,N,3450,N,24.6,-156.6,-159.6,-167.2,18420,-2737.8,13350,23910,N,-840,N,-84.47,55566.6,55410
13-05-2025 09:20,-75.8,-77.1,-78.6,-3600,-757.8,41400,-15375,YES,125475,YES,-38.78,24940.4,24868.1,-42.25,-42.1,-42.15,40200,-158,53175,-89625,YES,179700,YES,-19.57,43.7,42.75,42.8,-26925,-265.55,49650,17475,N,-106200,YES,18.41,-120.2,-110,-111.2,31980,-3742.2,18420,23160,N,-2220,Y,-47.85,55415,55294.8
13-05-2025 09:25,-5.5,-6.7,-5.5,24075,-857.8,41925,16425,Y,37050,N,-12.36,24864,24857,-5.15,-5.65,-5.65,-29100,-143.75,51150,52125,Y,178425,N,-9.36,4.6,5.4,5.45,-11775,-256.65,46125,15900,N,17400,Y,6.49,-11.4,-15,-10.8,-2790,-3562.6,19320,23550,N,4290,N,-22.24,55290,55278.6
13-05-2025 09:30,-27.1,-23.4,-26,166125,-1037.5,39975,52725,Y,-61125,Y,-35.96,24854.9,24829,-4.8,-3.95,-3.9,-2925,-120.65,47400,18750,N,-15825,Y,-13.59,25.1,24.1,24.05,5775,-344.9,47850,-72600,Y,-44400,YES,12.75,31,36.6,33.2,5730,-4413.4,22200,12810,N,-13650,Y,-39.96,55271,55302
13-05-2025 09:35,89.6,90.4,89,-58125,-1455.4,46050,-14925,YES,45450,YES,-0.76,24832.2,24921.7,40.7,39.65,39.55,17550,-176.75,55575,38100,N,-91650,Y,-1.31,-57.25,-55.35,-55.6,-4125,-307.45,54300,33075,YES,21225,Y,0.96,153.2,150.2,153.2,36630,-4134.4,24000,-5130,YES,16950,YES,8.19,55315,55468.2
13-05-2025 09:40,-87.3,-87.1,-87.1,16425,-1424.7,34125,10500,Y,139275,YES,-2.02,24924,24837.8,-44.4,-44.4,-44.4,-55875,-155.25,51825,-13875,YES,153300,YES,-1.89,49.2,49.9,49.95,450,-293.4,51300,1650,Y,-9000,YES,1.91,-147.4,-155.2,-159.4,-18810,-5049,21270,-7230,YES,8730,N,0.01,55456.2,55308.8
13-05-2025 09:45,-54.6,-58.1,-54.8,182025,-1009.9,36225,30600,Y,39675,N,-8.23,24835.9,24781.3,-11.45,-12.6,-12.6,-34125,-137.05,62700,63825,Y,106875,N,-3.04,54.55,52.7,52.8,19950,-357.65,50250,-9675,Y,-52800,YES,3.93,-82.6,-94.8,-85.8,12060,-3720.4,19530,-8610,YES,17130,N,-10.66,55305.8,55223.2
13-05-2025 09:50,42.9,45.1,44.3,5175,-1437,40350,105900,Y,22200,N,-4.49,24781.7,24824.6,17.5,17.4,17.5,-95325,-145.45,58275,27525,N,5775,N,-2.05,-33.3,-33.15,-33.25,3975,-381.45,54075,-9375,N,30975,Y,2.27,59.4,64.8,62,-1560,-4112.8,16770,14670,Y,2820,Y,-6.65,55211.6,55271
13-05-2025 09:55,-26.5,-22.7,-26.9,23925,-1475.3,40725,128100,Y,28350,N,-2.8,24820,24793.5,-14.95,-15.15,-15.2,-33900,-138.45,54375,-11025,YES,66825,YES,-1.45,7.6,6.75,6.75,4800,-338.25,50100,750,N,18750,N,1.05,-32.2,-26,-30.2,-39750,-3678.6,18330,27300,N,-25650,Y,-3.01,55269.8,55237.6
13-05-2025 10:00,-21.7,-20.9,-21.1,-15825,-1462.2,45150,19200,N,28425,N,-4.96,24793.5,24771.8,-1.85,-2.1,-2.25,-70725,-126.2,55425,37425,Y,121050,YES,-1.68,22.9,22.85,22.8,11400,-349.6,49125,-12075,Y,-15375,YES,1.5,-22.4,-28.8,-34.2,7650,-4458.6,20010,-2130,YES,10830,YES,-3.4,55238,55215.6
